Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,36,0,36,36,36,0,0,0
20/03/2025,36,0,36,36,36,0,0,0
19/03/2025,36,0,36,36,36,0,0,0
18/03/2025,36,100,36,36,36,0,0,0
17/03/2025,36,0,36,36,36,0,0,0
14/03/2025,36,100,36,36,36,0,0,0
13/03/2025,36,0,36,36,36,0,0,0
12/03/2025,36,100,36,36,36,0,0,0
11/03/2025,40,900,40,40,40,0,0,0
10/03/2025,40,200,40,40,40,0,0,0
07/03/2025,40,0,40,40,40,0,0,0
06/03/2025,40,0,40,40,40,0,0,0
05/03/2025,40,100,40,40,40,0,0,0
04/03/2025,40,0,40,40,40,0,0,0
03/03/2025,40,0,40,40,40,0,0,0
28/02/2025,40,200,40,40,40,0,0,0
27/02/2025,40,600,38.60,44.20,38.60,0,0,0
26/02/2025,38.60,100,38.60,38.60,38.60,0,0,0
25/02/2025,38.60,0,38.60,38.60,38.60,0,0,0
24/02/2025,38.60,0,38.60,38.60,38.60,0,0,0
21/02/2025,38.60,300,38.50,38.60,38.50,0,0,0
20/02/2025,36.80,0,36.80,36.80,36.80,0,0,0
19/02/2025,36.80,0,36.80,36.80,36.80,0,0,0
18/02/2025,36.80,0,36.80,36.80,36.80,0,0,0
17/02/2025,36.80,0,36.80,36.80,36.80,0,0,0
14/02/2025,36.80,200,36.80,36.80,36.80,0,0,0
13/02/2025,35,200,38.50,38.50,35,0,0,0
12/02/2025,38.80,226,38.80,38.80,38.80,0,0,0
11/02/2025,35,301,35,35,35,0,0,0
10/02/2025,33.70,2,34.30,34.30,34.30,0,0,0
07/02/2025,33.70,53,34.30,34.30,34.30,0,0,0
06/02/2025,33.70,901,36,36,33.70,0,0,0
05/02/2025,38.70,6,38.70,38.70,38.70,0,0,0
04/02/2025,38.70,114,38.70,38.70,38.70,0,0,0
03/02/2025,38.80,100,38.80,38.80,38.80,0,0,0
24/01/2025,38.80,0,38.80,38.80,38.80,0,0,0
23/01/2025,38.80,3,38.80,38.80,38.80,0,0,0
22/01/2025,38.80,0,38.80,38.80,38.80,0,0,0
21/01/2025,38.80,0,38.80,38.80,38.80,0,0,0
20/01/2025,38.80,100,38.80,38.80,38.80,0,0,0
17/01/2025,38.90,3,38.90,38.90,38.90,0,0,0
16/01/2025,38.90,0,38.90,38.90,38.90,0,0,0
15/01/2025,38.90,1,38.90,38.90,38.90,0,0,0
14/01/2025,38.90,109,38.90,38.90,38.90,0,0,0
13/01/2025,35,6,35.20,35.20,35.20,0,0,0
10/01/2025,35.20,0,35.20,35.20,35.20,0,0,0
09/01/2025,35.20,0,35.20,35.20,35.20,0,0,0
08/01/2025,35,1,35.20,35.20,35.20,0,0,0
07/01/2025,35.20,0,35.20,35.20,35.20,0,0,0
