Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,7,"10,900",6.90,7.05,6.90,0,0,0
20/03/2025,7,"2,800",7.03,7.05,7,0,50,0
19/03/2025,7.03,0,7.03,7.03,7.03,0,0,0
18/03/2025,7.03,"10,400",7.50,7.50,6.71,0,0,0
17/03/2025,7.03,"15,600",7.05,7.05,7,0,0,0
14/03/2025,7.05,"1,600",7.25,7.25,7.05,0,0,0
13/03/2025,7,"17,100",7.25,7.30,7,0,0,0
12/03/2025,7.20,"9,100",7.10,7.20,7.10,0,0,0
11/03/2025,7,"14,100",7.07,7.20,7,0,0,0
10/03/2025,7.09,"6,700",7,7.09,7,0,0,0
07/03/2025,7,"8,200",7,7.20,6.90,0,100,-0.0
06/03/2025,6.90,"8,600",6.80,7.05,6.80,0,0,0
05/03/2025,7,700,7,7,7,0,0,0
04/03/2025,7,"108,300",7.05,7.05,7,0,0,0
03/03/2025,7.05,"31,100",7.05,7.10,7,0,0,0
28/02/2025,7.05,"6,800",6.71,7.10,6.71,"4,500",0,0.0
27/02/2025,6.99,700,6.90,6.99,6.90,0,0,0
26/02/2025,7,"2,000",6.90,7,6.85,0,0,0
25/02/2025,6.83,"2,300",6.90,7.20,6.83,0,0,0
24/02/2025,6.90,"2,600",6.90,6.90,6.90,0,0,0
21/02/2025,6.90,"3,600",6.90,6.90,6.80,0,0,0
20/02/2025,6.95,500,6.95,6.95,6.95,0,200,-0.0
19/02/2025,6.95,"3,400",6.89,6.97,6.89,0,0,0
18/02/2025,6.89,"8,600",7.02,7.10,6.89,0,0,0
17/02/2025,7.02,"5,900",7.25,7.25,7,0,0,0
14/02/2025,7.26,600,7.27,7.27,7.26,0,0,0
13/02/2025,7,"8,100",7.01,7.01,6.70,0,0,0
12/02/2025,7.01,200,7.01,7.01,7.01,0,0,0
11/02/2025,7.01,"1,100",7,7.01,7,0,0,0
10/02/2025,7,"5,800",7,7,7,0,0,0
07/02/2025,7,"3,200",7.20,7.20,6.85,0,0,0
06/02/2025,6.90,"3,700",7,7.10,6.90,0,0,0
05/02/2025,7,"1,500",7.07,7.07,6.76,0,0,0
04/02/2025,7.07,0,7.07,7.07,7.07,0,0,0
03/02/2025,7.07,"3,400",7.07,7.07,6.70,0,0,0
24/01/2025,7.07,100,7.07,7.07,7.07,0,0,0
23/01/2025,7.07,"2,500",6.63,7.07,6.63,0,0,0
22/01/2025,6.66,0,6.66,6.66,6.66,0,0,0
21/01/2025,6.66,"2,200",6.80,6.80,6.66,0,0,0
20/01/2025,7,"16,300",7,7.05,7,0,0,0
17/01/2025,6.82,"3,000",6.90,6.90,6.82,0,0,0
16/01/2025,6.85,800,7,7,6.81,0,0,0
15/01/2025,7,400,7.10,7.10,7,0,0,0
