Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,97,"195,200",97.80,98,96.10,"11,000","6,500",0.4
20/03/2025,97.80,"356,100",99.20,99.20,96.50,"5,430","44,400",-3.8
19/03/2025,98.60,"579,800",101.20,101.30,98.10,"5,600","115,800",-10.9
18/03/2025,101,"211,200",104.50,104.50,101,"2,100","100,000",0
17/03/2025,101.40,"223,500",101.10,102.30,100.50,"5,500","100,000",0
14/03/2025,100.80,"826,600",103,104.10,99.70,"27,015","540,400",-51.9
13/03/2025,103,"276,500",103.90,105,102.20,"6,300","49,500",-4.5
12/03/2025,104,"558,300",104.80,104.80,102,"6,200","248,300",-24.9
11/03/2025,104.80,"300,000",104.90,104.90,102.70,200,"5,050",-0.5
10/03/2025,104.80,"276,600",105.90,106,104.20,100,0,0.0
07/03/2025,105.80,"532,000",105,106.50,104,"2,700","174,500",-17.9
06/03/2025,104.50,"672,500",106.20,106.90,104.50,"32,630","222,760",-20.0
05/03/2025,106,"348,400",108,108.10,105.80,"2,203","92,700",-9.6
04/03/2025,107.90,"234,700",105.90,108.50,105.70,"1,500","10,100",-0.9
03/03/2025,105.90,"309,000",106.20,106.50,105.50,"1,737","67,800",-7.0
28/02/2025,106.20,"353,900",106.90,107.70,106.10,"2,100","70,000",-7.2
27/02/2025,107.70,"124,600",108.20,108.90,107.20,"3,300","4,800",-0.2
26/02/2025,108,"150,200",107.40,108.50,107.40,600,"9,500",-1.0
25/02/2025,107.40,"142,400",109,109,107.10,500,"18,600",-1.9
24/02/2025,109.20,"530,100",109.80,110.10,105.60,"10,800","127,700",-12.5
21/02/2025,109.80,"257,000",111.30,112,109.80,"16,300","9,800",0.7
20/02/2025,111.40,"475,800",109,111.40,109,"96,801","34,300",6.9
19/02/2025,108.90,"470,000",105.50,109.60,105.50,"4,128","46,373",-4.6
18/02/2025,105,"479,000",107.80,107.80,104.50,"30,800","127,200",-10.2
17/02/2025,106.80,"892,900",112.30,112.30,106,"69,144","191,700",-13.2
14/02/2025,112.30,"1,226,600",116,116,109.80,"56,000","232,400",-19.9
13/02/2025,116,"306,700",115,117.10,115,"1,600","5,200",-0.4
12/02/2025,116.20,"572,498",116.20,116.80,115,"6,400","1,600",0.6
11/02/2025,116.20,"849,030",119.60,120.20,116.10,"37,900","102,600",-7.6
10/02/2025,120,"682,819",123.20,123.70,119.10,"12,800",0,1.5
07/02/2025,124.70,"354,521",124.70,124.70,122.60,0,"1,100",-0.1
06/02/2025,124.80,"302,750",123.80,126.40,123.80,"4,900",0,0.6
05/02/2025,123.20,"509,731",123.50,124.80,123,"3,600","205,700",-24.8
04/02/2025,122.80,"451,061",122.70,123.50,121.70,"103,411","175,400",-8.8
03/02/2025,122.40,"390,700",123,124.50,122,"5,000","58,310",0
24/01/2025,121.50,"272,848",121.40,123.70,121.40,"1,400","32,400",-3.8
23/01/2025,122,"281,830",121,122,120.80,"6,500","62,700",-6.8
22/01/2025,120.30,"374,987",122,122,120.20,"6,600","154,100",-17.8
21/01/2025,122,"415,893",124,124.30,121.10,"5,100","103,600",-12.0
20/01/2025,123.30,"580,603",123.20,125.50,123.10,"175,300","268,100",-11.5
17/01/2025,122.50,"900,802",119.60,123,119.10,"3,600","536,600",-64.5
16/01/2025,119.50,"218,492",119.90,120,118.80,"2,800","90,129",-10.4
15/01/2025,119,"238,999",120,121,118.90,"6,650","99,900",-11.1
14/01/2025,120,"126,815",121.40,121.40,119.20,"26,900","5,700",2.5
13/01/2025,121.40,"187,406",120,121.40,118.60,"5,200","1,100",0.5
10/01/2025,120,"568,223",123.50,123.80,119.50,"5,900","273,200",-32.5
09/01/2025,123.30,"106,772",123.80,124.40,122.70,"4,100","2,100",0.2
08/01/2025,123.70,"127,629",124,124.90,122.60,"11,500",0,1.4
07/01/2025,124,"213,396",123,124,122,"43,600",400,5.3
06/01/2025,122.90,"380,130",124.40,124.60,121,"4,300","29,300",-3.1
03/01/2025,123.50,"563,556",127.20,127.90,123.20,"7,550","180,200",-21.5
02/01/2025,126.60,"633,134",125.50,128.90,125.30,"15,400","265,000",-31.7
31/12/2024,125.90,"523,759",125,126,123.90,"12,700","184,100",-21.3
30/12/2024,125.80,"374,539",125,126.50,123.70,"1,100","118,100",-14.5
27/12/2024,124.50,"631,740",124,127,122.70,"62,900","52,850",1.2
26/12/2024,124.90,"399,786",125,125,123.20,"32,143","126,950",-11.7
25/12/2024,124.50,"414,168",125.30,127.20,123.80,"48,527","86,600",-4.8
24/12/2024,126,"473,651",126,126.50,124.60,"117,700","96,900",2.6
23/12/2024,126,"567,386",123.90,127.50,123.90,"6,200","222,800",-27.1
20/12/2024,123.90,"860,923",118.80,124.30,118.80,"8,400","336,161",-39.6
19/12/2024,118.70,"187,888",119.50,119.70,118.30,"3,700","51,700",-5.7
18/12/2024,119.90,"176,627",119.60,120,118.40,"1,400","49,900",-5.8
17/12/2024,120,"213,649",120.10,120.80,119.40,"2,600","28,800",-3.1
16/12/2024,120,"354,785",119.90,120.50,119,"59,216","162,800",-12.5
13/12/2024,120,"309,759",119.50,120.40,117.80,800,"41,000",-4.8
12/12/2024,119.30,"460,318",121.20,122.20,118,"2,800","177,300",-20.9
11/12/2024,120.50,"313,253",121.50,122.50,120.30,500,"54,200",-6.5
10/12/2024,121.50,"200,264",122.50,123.40,121.20,0,"37,700",-4.6
09/12/2024,122,"253,408",121.50,123.50,121,0,"69,500",-8.5
06/12/2024,121.50,"238,366",123.90,123.90,121.40,"2,600","97,200",-11.5
05/12/2024,122.50,"376,666",123.90,123.90,121.60,"72,500","153,200",-10.3
04/12/2024,122,"485,627",122,125.70,120.90,"25,000","202,000",-21.8
03/12/2024,122,"493,148",123.80,124.70,121.50,"33,200","201,253",-20.6
02/12/2024,126.30,"388,973",125.70,127.80,122.80,"46,500","148,700",-12.8
29/11/2024,125.70,"312,571",124.30,127.50,124.30,"103,619","99,800",0.5
28/11/2024,124.30,"413,476",121.30,125.40,121.30,"2,103","119,000",-14.5
27/11/2024,122,"423,861",120,122.70,119.10,"72,100","168,400",-11.7
26/11/2024,119.90,"226,284",119,121.30,118.60,"30,300","29,000",0.1
25/11/2024,118.70,"178,308",120.50,123,118.50,"5,300","50,700",-5.4
22/11/2024,119.70,"134,767",119.50,120.90,119.40,"16,000","40,900",-3.0
21/11/2024,120,"139,661",119.20,120.80,118.20,"1,000","16,000",-1.8
20/11/2024,119.90,"169,817",120,120.50,116,"10,575","11,200",-0.1
19/11/2024,120,"252,913",120,124,118.60,"5,204","59,200",-6.6
18/11/2024,120,"177,962",117.80,120.20,117,"2,000","6,800",-0.6
15/11/2024,117.80,"251,560",118.50,118.50,114.80,"6,700","5,700",0.1
14/11/2024,118,"110,738",120.20,120.20,118,600,"2,200",-0.2
13/11/2024,121.50,"108,916",116,122.50,116,0,"11,800",-1.4
12/11/2024,122,"210,323",122,123,119,"10,900","41,700",-3.7
11/11/2024,121.30,"217,836",120,124.50,120,"101,000","98,300",0.3
08/11/2024,120,"313,994",118.30,120.90,118.30,"351,900","342,280",1.1
07/11/2024,118.30,"322,036",115.30,120.20,114,"9,200","28,200",-2.3
06/11/2024,115,"66,042",114.50,115,113.10,0,0,0
05/11/2024,114.50,"40,198",113.90,114.50,113,"6,000",200,0.7
04/11/2024,113.90,"62,221",111,115,111,"16,800","1,200",1.8
01/11/2024,116,"57,857",117.50,117.50,114.50,"15,000",800,1.6
31/10/2024,118,"346,835",117.90,118,111,"131,100","9,200",14.2
30/10/2024,117.60,"71,067",118,118.50,117.50,"30,300","2,000",3.3
29/10/2024,118,"295,833",115.70,118.80,115.70,"222,300","32,500",22.4
28/10/2024,115.40,"93,020",117.10,117.50,114,"1,900","26,200",-2.8
25/10/2024,117.70,"101,322",117.70,117.70,116.20,"68,500","35,800",3.8
24/10/2024,117,"351,284",114.10,118.80,114.10,"114,700","33,800",9.5
23/10/2024,114.30,"123,404",113.50,114.90,111.50,"100,000","1,000",11.2
22/10/2024,114,"178,285",115.50,115.50,111,"92,000","1,711",10.3
21/10/2024,115.50,"111,087",115.70,115.70,113.60,"71,500","5,450",7.6
18/10/2024,115.70,"160,990",115.10,116.10,114.10,"107,000","6,100",11.7
17/10/2024,115.10,"127,348",115.50,115.70,113.20,"70,400","1,700",7.9
16/10/2024,115.50,"326,116",114.60,115.50,111.80,"220,400","34,000",21.4
15/10/2024,113.80,"343,353",113,115.50,112,"147,900","5,600",16.2
14/10/2024,113,"192,707",113.60,114,110.80,"81,400","9,528",8.1
11/10/2024,113.40,"496,420",107.80,113.70,107.50,"195,100","7,400",20.9
10/10/2024,108,"147,818",109,110.70,106.10,"47,814","40,400",0.8
09/10/2024,109,"597,458",103.70,110.40,103.70,"332,100","309,275",2.4
08/10/2024,103.70,"176,994",102.20,103.70,101.70,"117,700","50,106",6.9
07/10/2024,102,"47,926",102.20,103,101.90,"8,600","4,800",0.4
04/10/2024,102,"96,474",103.80,103.80,101.80,"4,700","14,000",-1.0
03/10/2024,102.90,"79,793",102.80,104,102.80,"3,800",500,0.3
02/10/2024,102.70,"128,078",103.80,104,102.70,"18,600","17,100",0.2
01/10/2024,103.80,"114,567",104,104.20,103.50,"5,228","3,400",0.2
30/09/2024,103.80,"135,318",105.10,105.10,103.50,"8,620","19,566",-1.1
27/09/2024,105.10,"119,199",106,106.80,105.10,"4,500","11,120",-0.7
