Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,17.45,"127,700",17.40,17.60,17.40,0,"4,300",0
20/03/2025,17.60,"429,500",17.65,17.65,17.35,1,"75,500",-1.3
19/03/2025,17.70,"313,600",17.75,17.75,17.45,0,"13,200",-0.2
18/03/2025,17.75,"514,800",17.70,17.80,17.35,"1,200","26,000",-0.4
17/03/2025,17.65,"621,300",17.50,17.75,17.35,"61,700","4,300",1.0
14/03/2025,17.40,"488,100",17.35,17.75,17.30,0,"8,300",-0.1
13/03/2025,17.70,"703,100",17.90,17.90,17.35,0,"33,700",-0.6
12/03/2025,17.90,"1,279,900",18.40,18.40,17.70,0,"70,500",-1.3
11/03/2025,17.90,"1,016,000",17.10,17.90,16.80,"52,300","5,229",0.8
10/03/2025,17.25,"683,100",17.30,17.40,17.15,0,"22,900",-0.4
07/03/2025,17.15,"888,900",16.90,17.15,16.90,"77,100",504,1.3
06/03/2025,16.90,"648,400",17.25,17.25,16.90,"56,300","17,400",0.7
05/03/2025,16.90,"556,200",16.70,16.90,16.60,"75,100",0,1.3
04/03/2025,16.70,"858,700",16.55,16.75,16.45,"55,700",300,0.9
03/03/2025,16.75,"383,700",16.85,16.90,16.70,0,0,0
28/02/2025,16.80,"373,000",16.80,16.90,16.55,"7,900",200,0.1
27/02/2025,16.80,"453,800",16.55,16.80,16.50,"32,400",300,0.5
26/02/2025,16.65,"257,300",16.65,16.75,16.55,"2,900",600,0.0
25/02/2025,16.65,"616,300",16.70,17.10,16.55,500,"1,300",-0.0
24/02/2025,16.70,"441,800",16.70,16.80,16.50,"28,800","2,400",0.4
21/02/2025,16.70,"412,100",16.55,16.80,16.55,600,"4,900",-0.1
20/02/2025,16.90,"491,600",17.20,17.20,16.70,100,"12,500",-0.2
19/02/2025,17,"906,200",16.70,17.25,16.70,"45,200","22,400",0.4
18/02/2025,16.45,"574,000",16.20,16.45,16.20,"82,600",0,1.3
17/02/2025,16.15,"516,800",16.05,16.25,15.95,"35,400",0,0.6
14/02/2025,16.05,"468,100",16.10,16.25,16.05,"14,400",0,0.2
13/02/2025,16.05,"228,400",16.05,16.10,15.95,"9,100",0,0.1
12/02/2025,16.05,"565,600",15.80,16.20,15.80,"22,500",0,0.4
11/02/2025,15.80,"380,500",15.60,15.90,15.50,"2,670",100,0.0
10/02/2025,15.70,"323,100",15.55,15.70,15.55,300,0,0.0
07/02/2025,15.70,"264,200",15.75,15.85,15.60,"9,900",0,0.2
06/02/2025,15.75,"171,000",15.70,15.75,15.50,300,0,0.0
05/02/2025,15.75,"357,400",15.90,16.15,15.70,"12,400","27,246",-0.2
04/02/2025,15.65,"531,000",15.30,15.95,15.30,"15,200","15,700",-0.0
03/02/2025,15.15,"112,800",15.30,15.30,15.10,500,200,0.0
24/01/2025,15.30,"169,100",15.20,15.30,15.15,"22,100",0,0.3
23/01/2025,15.20,"146,400",15.15,15.30,15,"5,400",0,0.1
22/01/2025,15.15,"178,900",14.90,15.15,14.90,0,"4,300",-0.1
21/01/2025,15.15,"195,700",15.20,15.25,14.90,0,"11,600",-0.2
20/01/2025,15.15,"149,700",15.15,15.25,15,300,"2,400",-0.0
17/01/2025,15.25,"127,700",15.30,15.30,15.10,200,"7,500",-0.1
16/01/2025,15.25,"128,200",15.30,15.35,15.10,200,"2,300",-0.0
15/01/2025,15.20,"134,300",14.85,15.20,14.85,700,400,0.0
14/01/2025,15.10,"164,900",14.95,15.35,14.80,"35,800",0,0.5
13/01/2025,15.05,"138,400",15,15.05,14.70,700,900,-0.0
10/01/2025,15.05,"410,500",15.10,15.15,14.25,"10,000","13,200",-0.1
09/01/2025,15.10,"164,800",15.25,15.40,15.10,0,"17,900",-0.3
08/01/2025,15.40,"149,800",15.30,15.55,15.15,0,"10,400",-0.2
07/01/2025,15.30,"396,100",15.60,15.75,15.30,210,"14,100",-0.2
06/01/2025,15.60,"400,100",15.45,15.75,15.35,"9,200","34,900",-0.4
03/01/2025,15.45,"364,000",15.35,15.90,15.30,0,"64,400",-1.0
02/01/2025,15.45,"132,400",15.65,15.65,15.40,"10,800","20,000",-0.1
31/12/2024,15.40,"259,100",15.35,15.60,15.30,100,"34,300",-0.5
30/12/2024,15.40,"690,400",15.80,15.80,15.35,"2,700","21,400",-0.3
27/12/2024,15.80,"472,300",16,16.05,15.75,300,"24,940",-0.4
26/12/2024,16.05,"376,200",16,16.25,16,"6,100","2,500",0.1
25/12/2024,16.10,"356,500",16.10,16.30,16,"24,000","6,700",0.3
24/12/2024,16.05,"468,700",16,16.15,15.90,"80,100","8,700",1.1
23/12/2024,15.95,"376,400",15.85,16.15,15.85,"18,500","11,600",0.1
20/12/2024,15.75,"305,500",15.50,15.75,15.30,"42,300","6,800",0.6
19/12/2024,15.60,"822,900",15.85,15.85,15.50,"7,710","97,300",-1.4
18/12/2024,15.95,"290,300",15.95,16.20,15.85,"23,800","18,800",0.1
17/12/2024,15.95,"401,100",15.90,16.20,15.90,"19,400","5,100",0.2
16/12/2024,15.95,"345,700",15.95,16.15,15.85,"21,500","8,000",0.2
13/12/2024,16.15,"582,100",16.05,16.20,15.80,"14,100","31,600",-0.3
12/12/2024,16.15,"342,700",16.40,16.50,16.10,"4,000","33,175",-0.5
11/12/2024,16.20,"522,800",16.35,16.50,16.05,"26,800","26,300",0.0
10/12/2024,16.35,"497,900",16.55,16.80,16.25,"13,800","27,100",-0.2
09/12/2024,16.55,"1,356,900",15.90,16.95,15.90,"61,410","22,200",0.7
06/12/2024,15.85,"1,026,200",16.30,16.35,15.70,"70,200","39,700",0.5
05/12/2024,16.30,"549,000",16.25,16.35,15.80,"13,900","40,000",-0.4
04/12/2024,15.90,"1,821,600",15,15.90,14.90,"50,500","350,548",-4.8
03/12/2024,14.90,"191,600",15.05,15.10,14.90,"17,100","2,002",0.2
02/12/2024,15.05,"123,500",15.05,15.20,15,"3,900","3,200",0.0
29/11/2024,15.05,"289,500",15,15.15,14.95,"45,600","4,300",0.6
28/11/2024,14.90,"140,000",14.95,15.10,14.90,"13,300",200,0.2
27/11/2024,14.90,"106,400",15.05,15.20,14.90,"3,700","3,600",0.0
26/11/2024,15,"259,100",14.75,15.15,14.70,"47,400","3,300",0.7
25/11/2024,14.70,"185,200",14.70,14.70,14.50,"3,400","17,200",-0.2
22/11/2024,14.65,"83,000",14.80,14.90,14.65,0,"16,600",-0.2
21/11/2024,14.80,"100,800",14.70,15,14.70,"5,000","10,900",-0.1
20/11/2024,14.65,"183,700",14.60,15.10,14.45,"20,600","15,300",0.1
19/11/2024,14.55,"237,100",14.85,15,14.55,626,400,0.0
18/11/2024,14.95,"182,000",14.90,14.95,14.80,"8,800","7,800",0.0
15/11/2024,14.95,"210,500",14.95,15.25,14.95,"2,000","14,500",-0.2
14/11/2024,15.30,"150,700",15.30,15.40,15,"5,000","6,400",-0.0
13/11/2024,15.35,"133,400",15.55,15.55,15.20,0,"11,500",-0.2
12/11/2024,15.55,"196,500",15.20,15.65,15.20,400,"22,000",-0.3
11/11/2024,15.45,"179,300",15.55,15.55,15.30,"4,300","33,300",-0.4
08/11/2024,15.55,"237,100",15.70,15.70,15.40,200,"10,100",-0.2
07/11/2024,15.75,"305,400",15.90,15.90,15.60,"24,600",0,0.4
06/11/2024,15.80,"237,300",15.35,15.80,15.35,0,0,0
05/11/2024,15.35,"146,100",15.55,15.60,15.35,"5,900",0,0.1
04/11/2024,15.55,"311,500",15.55,15.55,15.15,"7,500","9,300",-0.0
01/11/2024,15.55,"324,200",15.60,15.70,15.30,0,"21,400",-0.3
31/10/2024,15.70,"228,500",15.80,15.95,15.50,0,"39,300",-0.6
30/10/2024,15.80,"272,800",15.80,15.90,15.55,0,"11,300",-0.2
29/10/2024,15.70,"652,800",15.60,16,15.60,"12,300","2,100",0.2
28/10/2024,15.55,"570,400",15.05,15.55,15,"97,300","43,400",0.8
25/10/2024,15.10,"236,000",15.20,15.40,15.05,0,"36,100",-0.5
24/10/2024,15.20,"123,300",15.25,15.25,15.05,"4,000","3,700",0.0
23/10/2024,15.25,"545,100",15.20,15.30,15.05,"68,800","3,900",1.0
22/10/2024,15.20,"727,100",14.95,15.35,14.80,"44,700","6,100",0.6
21/10/2024,14.95,"300,400",15.20,15.30,14.95,"18,000","55,800",-0.6
18/10/2024,15.20,"141,200",15.45,15.45,15.20,"4,400",0,0.1
17/10/2024,15.40,"364,300",15.05,15.55,14.95,"33,400","3,400",0.5
16/10/2024,15.05,"599,800",15.35,15.40,15,"16,600","6,200",0.2
15/10/2024,15.35,"681,200",15.80,15.85,15.35,"3,000","49,400",-0.7
14/10/2024,15.75,"331,200",15.90,16.05,15.75,"5,900","10,500",-0.1
11/10/2024,15.90,"382,600",15.90,16.05,15.85,"5,900",0,0.1
10/10/2024,15.85,"274,900",16,16.05,15.85,"4,000","1,900",0.0
09/10/2024,15.90,"221,500",16.05,16.15,15.90,0,"6,800",-0.1
08/10/2024,15.90,"326,600",15.95,16.10,15.90,"20,900","7,900",0.2
07/10/2024,16,"264,400",16.15,16.40,16,"5,100","1,900",0.1
04/10/2024,16.15,"209,400",16.15,16.30,16.10,100,"34,100",-0.5
03/10/2024,16.20,"459,400",16.55,16.55,16.10,0,"64,900",-1.1
02/10/2024,16.50,"270,200",16.80,16.80,16.45,"12,300","45,300",-0.5
01/10/2024,16.80,"430,300",16.70,16.90,16.60,"30,300","5,100",0.4
30/09/2024,16.65,"314,600",16.85,16.85,16.60,"2,900","44,400",-0.7
27/09/2024,16.70,"412,600",16.85,17.10,16.70,"31,300","3,300",0.5
26/09/2024,16.80,"695,800",17.15,17.15,16.80,"5,500","230,000",-3.8
25/09/2024,17,"884,900",16.60,17.10,16.10,"125,800","15,500",1.9
24/09/2024,16.30,"409,900",16.35,16.40,16.10,"18,300","63,200",-0.7
23/09/2024,16.35,"195,700",16.70,16.70,16.35,0,"46,000",-0.8
20/09/2024,16.55,"556,500",16.90,16.90,16.40,"5,700","40,300",-0.6
19/09/2024,16.70,"156,100",16.80,17,16.70,"2,200",0,0.0
18/09/2024,16.75,"163,000",16.70,16.85,16.60,"18,300",0,0.3
17/09/2024,16.70,"255,600",16.40,16.75,16.30,"11,800",0,0.2
16/09/2024,16.50,"223,000",16.80,17,16.50,"7,100",0,0.1
13/09/2024,16.90,"202,200",16.75,16.95,16.65,"16,500","4,500",0.2
12/09/2024,16.70,"162,500",17,17.10,16.70,"1,900",0,0.0
11/09/2024,16.90,"147,700",16.85,16.95,16.50,"7,400","9,300",-0.0
10/09/2024,16.80,"312,700",17.10,17.30,16.80,0,300,-0.0
09/09/2024,17.10,"112,700",17.10,17.40,17.10,0,0,0
06/09/2024,17.30,"185,400",17.50,17.50,17.20,"6,300","1,900",0.1
05/09/2024,17.30,"351,600",17.40,17.65,17.30,0,200,-0.0
04/09/2024,17.35,"222,000",17.30,17.50,17.30,"1,400","9,500",-0.1
30/08/2024,17.60,"175,900",17.55,17.80,17.55,"2,500",100,0.0
29/08/2024,17.65,"173,100",17.80,17.85,17.60,"2,300","14,200",-0.2
28/08/2024,17.70,"205,800",17.85,17.90,17.50,"1,900","13,300",-0.2
27/08/2024,17.85,"175,900",17.75,17.95,17.75,"4,900","6,600",-0.0
26/08/2024,17.80,"303,800",18.20,18.30,17.75,0,"38,000",-0.7
23/08/2024,17.60,"356,600",17.80,17.85,17.50,"2,200",500,0.0
22/08/2024,17.80,"455,900",17.80,18.10,17.55,"23,700","6,600",0.3
21/08/2024,17.80,"419,400",18.20,18.20,17.70,200,"55,800",-1.0
20/08/2024,18.15,"686,000",17.60,18.30,17.40,"49,800",400,0.9
19/08/2024,17.55,"341,800",17.75,18.05,17.55,300,200,0.0
16/08/2024,17.65,"726,100",16.80,17.75,16.80,"118,100","3,800",2.0
15/08/2024,16.80,"261,900",16.70,17,16.70,100,200,-0.0
14/08/2024,16.90,"235,400",17.20,17.20,16.85,200,"28,200",-0.5
13/08/2024,16.85,"313,000",16.70,17.35,16.65,100,"104,500",-1.8
12/08/2024,16.85,"476,800",17.15,17.15,16.50,"4,300","154,500",-2.5
09/08/2024,17.15,"379,700",17.10,17.30,16.85,0,"211,600",-3.6
08/08/2024,17.10,"1,760,500",18.60,18.60,17.05,"15,900","240,400",-4.0
"07/08/2024: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  100/25 (Volume + 25%, Ratio=0.25)",,,,,,,,
07/08/2024,18.30,"596,400",19.35,19.40,17.80,"11,900","101,700",-1.7
06/08/2024,19,"2,110,200",18.68,19.04,18.16,"474,700","23,200",10.6
05/08/2024,17.80,"1,041,600",18.04,18.68,17.76,"223,200","20,200",4.6
02/08/2024,18.24,"382,100",17.64,18.24,17.64,"43,700","44,500",-0.0
01/08/2024,17.64,"1,065,200",18.60,18.60,17.32,"21,300","113,800",-2.1
31/07/2024,18.60,"1,041,300",18.48,18.88,18.48,"60,600","21,800",0.9
30/07/2024,19.04,"860,400",19.20,19.40,18.40,"25,500","1,100",0.6
29/07/2024,19.20,"353,400",19.28,19.60,19.08,"25,500","1,100",0.6
26/07/2024,19.20,"573,700",18.92,19.32,18.92,"57,700","7,500",1.2
25/07/2024,18.92,"803,100",18.16,19,18,"87,100","53,200",0.8
24/07/2024,18.16,"533,700",17.60,18.20,17.48,"20,700","28,700",-0.2
23/07/2024,17.92,"443,900",18,18.24,17.60,"20,900","25,300",-0.1
22/07/2024,17.88,"680,500",18.32,18.32,17.60,"58,100","36,400",0.5
19/07/2024,18.32,"528,800",18.80,18.80,18.28,"2,900","18,900",-0.4
18/07/2024,18.80,"971,200",18.32,18.80,18.24,"39,500","39,100",0.0
17/07/2024,18.32,"1,804,200",19.68,20,18.32,"63,400","141,700",-1.9
16/07/2024,19.68,"1,000,300",20,20,19.56,"19,400","21,400",-0.1
15/07/2024,19.76,"717,800",20.12,20.12,19.72,"34,300","48,300",-0.4
12/07/2024,19.96,"1,283,600",20.36,20.40,19.64,"62,400",0,1.5
11/07/2024,20.32,"1,402,600",20.76,20.88,20,"14,100","6,300",0.2
10/07/2024,20.40,"4,520,700",19.44,20.80,19.44,"136,000","178,200",-1.1
09/07/2024,19.44,"683,200",19.28,19.84,19.24,"1,000","23,000",-0.5
08/07/2024,19.36,"375,600",19.40,19.68,19.16,400,"45,100",-1.1
05/07/2024,19.40,"704,900",19.60,19.96,19.40,"1,100","30,900",-0.7
04/07/2024,19.60,"384,800",19.60,19.68,19.24,600,"30,300",-0.7
03/07/2024,19.60,"808,600",19.28,19.60,19.08,"8,300","38,800",-0.7
02/07/2024,19.28,"626,100",19.36,19.60,19,"60,000","58,400",0.0
01/07/2024,19,"286,300",18.76,19.36,18.76,"29,700","33,800",-0.1
28/06/2024,19.04,"880,700",19.72,19.72,18.80,"30,500","101,900",-1.7
27/06/2024,19.48,"535,300",19.84,19.84,19.20,"13,200","75,000",-1.5
26/06/2024,19.84,"1,190,400",19.92,20.20,19.68,"2,000","15,500",-0.3
25/06/2024,19.72,"1,037,900",18.88,19.80,18.68,"214,500","15,100",4.8
24/06/2024,18.80,"1,903,900",19.44,19.76,18.52,"109,100","29,800",1.9
21/06/2024,19.60,"1,192,700",19.88,20,19.60,"12,800","106,300",-2.3
20/06/2024,19.84,"1,434,600",20.40,20.40,19.60,"4,000","16,200",-0.3
19/06/2024,20.20,"1,543,500",20.16,20.60,20.12,"6,500","33,200",-0.7
18/06/2024,20.08,"919,900",20.12,20.40,20.04,"7,000",400,0.2
17/06/2024,20.12,"1,387,900",20.48,20.64,20.08,"6,900","53,100",-1.2
14/06/2024,20.48,"1,381,500",21.12,21.24,20.48,"25,000","2,500",0.6
13/06/2024,21.04,"1,076,600",20.80,21.20,20.80,"25,500","54,600",-0.8
12/06/2024,20.64,"1,052,800",20.64,20.80,20.40,"19,300","117,500",-2.5
11/06/2024,20.64,"2,147,700",21.36,21.36,20.56,"60,300","103,200",-1.1
10/06/2024,21.32,"924,100",21.72,21.76,21.28,"2,000","8,300",-0.2
07/06/2024,21.72,"2,723,600",21.40,22.48,21.40,"477,400","175,900",8.3
06/06/2024,21.36,"1,503,100",21.04,21.48,21,"96,700","68,800",0.7
05/06/2024,21.12,"1,695,000",21.36,21.48,21.12,"16,800","91,800",-2.0
04/06/2024,21.36,"1,559,600",21.32,21.84,21.20,"36,500","319,900",-7.6
03/06/2024,21.20,"1,126,200",21.20,21.60,21.20,"15,000","75,900",-1.6
31/05/2024,21.04,"1,581,100",21.36,21.96,21.04,"40,900","58,600",-0.5
30/05/2024,21.20,"1,845,700",21.32,21.60,20.84,"259,900","52,400",5.4
29/05/2024,21.60,"5,229,600",20.40,21.80,20.24,"481,000","280,900",5.4
28/05/2024,20.40,"1,229,400",20.04,20.56,19.92,"25,100","74,000",-1.3
27/05/2024,20.08,"844,800",19.92,20.08,19.72,"36,600","80,800",-1.1
24/05/2024,19.92,"2,769,800",20.40,20.56,19.36,"3,600","411,200",-10.2
23/05/2024,20.64,"1,727,500",20.24,20.64,20.04,"44,900","116,400",-1.8
22/05/2024,20.24,"1,921,100",20.92,21,20.20,"60,800","167,400",-2.8
21/05/2024,20.96,"3,588,100",20.28,21.20,19.84,"493,600","133,900",9.2
20/05/2024,20.16,"2,514,400",20.24,20.76,20.16,"207,600","29,300",4.6
17/05/2024,20.12,"2,012,300",20.32,20.44,19.96,"6,700","162,000",-3.9
16/05/2024,20.40,"2,911,300",20.48,20.96,20.24,"220,400","36,300",4.7
15/05/2024,20.24,"2,361,600",20.24,20.68,19.84,"18,400","222,900",-5.2
14/05/2024,20.16,"2,976,400",19.28,20.64,19.08,"160,700","330,400",-4.2
13/05/2024,19.44,"1,181,900",19.60,19.64,19.12,"19,600","105,600",-2.1
10/05/2024,19.44,"2,096,400",19.12,19.60,18.56,"194,400","107,700",2.0
09/05/2024,19.24,"1,166,900",19.56,19.68,19.12,"84,300","24,000",1.4
08/05/2024,19.60,"1,684,900",19.04,19.60,18.84,"296,100","54,700",5.8
07/05/2024,19.24,"1,528,200",19.28,19.52,19.08,"276,500","85,900",4.5
06/05/2024,19.20,"1,541,000",18.80,19.52,18.64,"94,300","57,700",0.9
03/05/2024,18.68,"1,284,200",18.80,19.20,18.60,"60,800","37,900",0.5
02/05/2024,18.56,"2,113,400",17.68,18.56,17.60,"101,600","66,600",0.8
