Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,5.70,"13,300",5.30,5.70,5.30,0,0,0
20/03/2025,5.20,"10,200",4.80,5.20,4.80,0,0,0
19/03/2025,4.80,"2,300",4.80,4.80,4.80,0,0,0
18/03/2025,4.80,200,4.80,4.80,4.80,0,0,0
17/03/2025,4.60,"24,300",4.80,4.80,4.60,0,0,0
14/03/2025,4.80,700,4.80,4.80,4.80,0,0,0
13/03/2025,4.80,"2,600",4.80,4.80,4.70,0,0,0
12/03/2025,4.70,0,4.70,4.70,4.70,0,0,0
11/03/2025,4.70,0,4.70,4.70,4.70,0,0,0
10/03/2025,4.70,"1,100",4.70,4.70,4.70,0,0,0
07/03/2025,4.70,0,4.70,4.70,4.70,0,0,0
06/03/2025,4.70,0,4.70,4.70,4.70,0,0,0
05/03/2025,4.70,800,4.70,4.70,4.70,0,0,0
04/03/2025,4.80,"5,400",4.60,4.80,4.50,0,0,0
03/03/2025,4.80,"2,100",4.80,4.80,4.80,0,0,0
28/02/2025,4.80,"22,200",4.60,4.80,4.60,0,0,0
27/02/2025,4.80,0,4.80,4.80,4.80,0,0,0
26/02/2025,4.80,100,4.80,4.80,4.80,0,0,0
25/02/2025,4.80,"3,700",4.80,4.90,4.80,0,0,0
24/02/2025,4.80,500,4.80,4.80,4.80,0,0,0
21/02/2025,4.80,700,4.80,4.80,4.80,0,0,0
20/02/2025,4.80,"5,700",4.80,4.80,4.80,0,0,0
19/02/2025,4.80,200,4.80,4.80,4.80,100,0,0.0
18/02/2025,4.70,"2,400",4.50,4.80,4.50,0,"2,100",-0.0
17/02/2025,4.90,0,4.90,4.90,4.90,0,0,0
14/02/2025,4.90,0,4.90,4.90,4.90,0,0,0
13/02/2025,4.90,0,4.90,4.90,4.90,0,0,0
12/02/2025,4.90,200,4.90,4.90,4.90,0,0,0
11/02/2025,4.80,0,4.80,4.80,4.80,0,0,0
10/02/2025,4.80,300,4.80,4.80,4.80,0,0,0
07/02/2025,4.80,0,4.80,4.80,4.80,0,0,0
06/02/2025,4.80,100,4.80,4.80,4.80,0,100,-0.0
05/02/2025,4.80,20,4.80,4.80,4.80,0,0,0
04/02/2025,4.80,0,4.80,4.80,4.80,0,0,0
03/02/2025,4.80,0,4.80,4.80,4.80,0,0,0
24/01/2025,4.80,0,4.80,4.80,4.80,0,0,0
23/01/2025,4.80,0,4.80,4.80,4.80,0,0,0
22/01/2025,4.80,0,4.80,4.80,4.80,0,0,0
21/01/2025,4.80,100,4.80,4.80,4.80,0,0,0
20/01/2025,4.80,0,4.80,4.80,4.80,0,0,0
17/01/2025,4.80,300,4.30,4.80,4.30,0,0,0
16/01/2025,4.50,0,4.50,4.50,4.50,0,0,0
15/01/2025,4.50,0,4.50,4.50,4.50,0,0,0
14/01/2025,4.50,0,4.50,4.50,4.50,0,0,0
13/01/2025,4.50,0,4.50,4.50,4.50,0,0,0
10/01/2025,4.50,0,4.50,4.50,4.50,0,0,0
09/01/2025,4.50,0,4.50,4.50,4.50,0,0,0
08/01/2025,4.50,100,4.50,4.50,4.50,0,0,0
07/01/2025,4.50,0,4.50,4.50,4.50,0,0,0
06/01/2025,4.50,0,4.50,4.50,4.50,0,0,0
03/01/2025,4.50,100,4.50,4.50,4.50,0,0,0
02/01/2025,4.70,0,4.70,4.70,4.70,0,0,0
31/12/2024,4.70,100,4.70,4.70,4.70,0,0,0
30/12/2024,4.80,100,4.80,4.80,4.80,0,0,0
27/12/2024,4.70,0,4.70,4.70,4.70,0,0,0
26/12/2024,4.70,1,4.70,4.70,4.70,0,0,0
25/12/2024,4.70,50,4.70,4.70,4.70,0,0,0
24/12/2024,4.70,0,4.70,4.70,4.70,0,0,0
23/12/2024,4.70,10,4.70,4.70,4.70,0,0,0
20/12/2024,4.70,700,4.70,4.70,4.70,0,0,0
19/12/2024,4.70,800,4.70,4.70,4.60,100,0,0.0
18/12/2024,4.70,465,4.70,4.70,4.70,0,0,0
17/12/2024,4.60,500,4.50,4.60,4.50,0,0,0
16/12/2024,4.50,400,4.40,4.50,4.40,0,0,0
13/12/2024,4.40,"1,000",4.50,4.50,4.40,0,0,0
12/12/2024,4.50,100,4.50,4.50,4.50,0,0,0
11/12/2024,4.60,"2,100",4.30,4.60,4.30,0,0,0
10/12/2024,4.70,200,4.70,4.70,4.70,0,0,0
09/12/2024,4.80,500,4.50,4.80,4.50,0,0,0
06/12/2024,4.80,0,4.80,4.80,4.80,0,0,0
05/12/2024,4.80,200,4.80,4.80,4.80,0,0,0
04/12/2024,4.80,"2,000",4.80,4.80,4.80,0,0,0
03/12/2024,4.90,0,4.90,4.90,4.90,0,0,0
02/12/2024,4.90,0,4.90,4.90,4.90,0,0,0
29/11/2024,4.90,300,4.90,4.90,4.90,0,0,0
28/11/2024,4.80,300,4.80,4.80,4.80,0,0,0
27/11/2024,4.80,100,4.80,4.80,4.80,0,0,0
26/11/2024,4.50,0,4.50,4.50,4.50,0,0,0
25/11/2024,4.50,"2,300",4.80,4.80,4.50,0,0,0
22/11/2024,5,0,5,5,5,0,0,0
21/11/2024,5,300,4.80,5,4.80,0,0,0
20/11/2024,4.80,0,4.80,4.80,4.80,0,0,0
19/11/2024,4.80,900,4.70,4.80,4.50,0,0,0
18/11/2024,5,0,5,5,5,0,0,0
15/11/2024,5,0,5,5,5,0,0,0
14/11/2024,5,500,5,5,5,0,0,0
13/11/2024,5,0,5,5,5,0,0,0
12/11/2024,5,0,5,5,5,0,0,0
11/11/2024,5,0,5,5,5,0,0,0
08/11/2024,5,0,5,5,5,0,0,0
