Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,51.80,"4,400",51.80,51.80,51.70,0,0,0
20/03/2025,52,"3,300",52,52,51.80,0,0,0
19/03/2025,52,"4,900",51.70,52.10,51.70,0,0,0
18/03/2025,51.60,"3,200",51.20,52,51.20,0,0,0
17/03/2025,51.70,"3,500",51.50,51.70,51.50,0,0,0
14/03/2025,51.50,"4,600",51.60,51.60,51.50,0,0,0
13/03/2025,51.70,"2,800",51.70,52,51.70,0,0,0
12/03/2025,51.70,"8,100",52.10,52.10,51.70,0,0,0
11/03/2025,52.50,"7,900",52.10,52.50,52,0,0,0
10/03/2025,52.50,600,52.40,52.50,52.40,0,0,0
07/03/2025,52.30,"1,700",52.40,52.40,52,0,0,0
06/03/2025,52.50,"15,300",52.60,52.60,52.40,0,0,0
05/03/2025,52.60,"2,500",52.60,52.60,52.50,0,0,0
04/03/2025,52.50,"2,900",52.50,52.60,52.40,0,0,0
03/03/2025,53,"7,100",52.80,53,52,0,0,0
28/02/2025,53,"1,600",52.60,53,52.60,0,0,0
27/02/2025,53.50,"4,700",53.50,53.70,45.50,0,0,0
26/02/2025,53.50,"2,900",53.50,53.50,53.50,0,0,0
25/02/2025,53.50,"8,600",53.60,53.80,53.50,0,0,0
24/02/2025,53.30,"3,300",53.60,53.60,53.30,0,0,0
21/02/2025,53.10,"20,600",52.90,54,52.90,0,0,0
20/02/2025,52.50,"9,600",52.80,52.90,52.50,0,0,0
19/02/2025,52.60,"9,000",52.60,52.70,52.50,0,0,0
18/02/2025,52.50,"8,600",53,53,52.50,0,0,0
17/02/2025,52.50,900,52.50,52.50,52.50,0,0,0
14/02/2025,52.20,"6,400",52.50,52.60,52.10,0,0,0
13/02/2025,52.50,"1,300",52.50,52.50,52.50,0,0,0
12/02/2025,52.40,2,52.50,52.50,52.50,0,0,0
11/02/2025,52.40,"5,536",52.60,52.60,52.40,0,0,0
10/02/2025,52.20,"6,316",52.90,52.90,52.20,0,0,0
07/02/2025,52.70,"1,363",52.70,52.70,52.70,0,0,0
06/02/2025,53,40,52.90,52.90,52.90,0,0,0
05/02/2025,53,"2,580",53,53,52.90,0,0,0
04/02/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
04/02/2025,53.10,"1,941",53.20,53.20,52.60,0,0,0
03/02/2025,52.90,"15,300",51.62,53.00,51.62,0,0,0
24/01/2025,52.02,"20,811",52.70,52.70,51.53,0,0,0
23/01/2025,52.70,"6,970",51.04,52.70,50.54,0,0,0
22/01/2025,52.12,"30,132",52.02,52.21,51.82,0,0,0
21/01/2025,51.92,"14,320",51.23,52.02,51.23,0,0,0
20/01/2025,51.13,"1,750",51.04,51.23,51.04,0,0,0
17/01/2025,51.53,"6,349",50.05,51.53,50.05,0,0,0
16/01/2025,50.05,"7,600",50.05,50.05,50.05,0,0,0
15/01/2025,50.05,"28,260",49.17,50.05,49.07,0,0,0
14/01/2025,49.07,"12,700",50.05,50.05,49.07,0,0,0
13/01/2025,50.05,"2,000",49.76,50.05,49.76,0,0,0
10/01/2025,49.27,"10,832",49.47,49.47,48.88,0,0,0
09/01/2025,49.76,"5,200",49.76,49.76,48.97,0,0,0
08/01/2025,49.86,"1,400",49.07,50.05,49.07,0,0,0
07/01/2025,49.07,"20,010",50.05,50.05,48.09,0,0,0
06/01/2025,49.07,"12,300",49.27,49.37,49.07,0,0,0
03/01/2025,49.47,"12,800",50.05,50.05,49.27,0,0,0
02/01/2025,50.35,"4,700",50.05,50.35,50.05,0,0,0
31/12/2024,53.98,"20,643",49.66,53.98,49.07,0,0,0
30/12/2024,49.66,"6,901",49.86,49.96,49.56,0,0,0
27/12/2024,49.76,"2,341",50.05,50.05,49.66,0,0,0
26/12/2024,49.96,"22,938",49.66,49.96,49.56,0,0,0
25/12/2024,50.05,"24,200",49.76,50.05,49.66,0,0,0
24/12/2024,50.05,"24,900",50.94,50.94,49.17,0,0,0
23/12/2024,50.94,"7,400",51.04,51.04,50.94,0,0,0
20/12/2024,51.04,"11,500",51.23,51.23,51.04,0,0,0
19/12/2024,51.23,"2,617",51.92,51.92,51.23,0,0,0
18/12/2024,52.02,"10,027",52.02,52.02,52.02,0,0,0
17/12/2024,51.82,"6,700",51.62,51.82,51.62,0,0,0
16/12/2024,51.53,"1,720",51.53,51.53,51.53,0,0,0
13/12/2024,51.23,"10,400",51.72,51.72,51.04,0,0,0
