Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,16,"4,200",15.80,16,15.80,0,0,0
20/03/2025,15.80,200,15.80,15.80,15.80,0,0,0
19/03/2025,15.80,"6,700",15.70,15.90,15.50,0,0,0
18/03/2025,15.60,900,15.60,15.80,15.60,0,0,0
17/03/2025,15.60,"6,900",14.20,16.10,14.20,0,0,0
14/03/2025,14.20,"1,700",14.90,14.90,14.20,0,200,-0.0
13/03/2025,14.80,"2,300",15.10,15.10,14.80,0,800,-0.0
12/03/2025,15.20,"3,600",16.90,16.90,15.20,200,0,0.0
11/03/2025,15.50,"2,300",15.50,15.50,15.30,0,0,0
10/03/2025,15.30,"22,300",18,18,15.30,0,0,0
07/03/2025,17.80,"10,700",22,22,17.80,300,0,0.0
06/03/2025,22,"3,200",22,22,19.50,0,0,0
05/03/2025,20,"1,000",21,21,18.80,0,0,0
04/03/2025,21,"5,100",21,22.20,18.50,0,0,0
03/03/2025,21,"6,500",18,21,18,0,0,0
28/02/2025,17.20,"4,200",18.30,19,17.20,0,0,0
27/02/2025,17.70,"1,000",19,19,17.70,0,0,0
26/02/2025,19.40,"3,200",17.40,19.50,17.40,0,0,0
25/02/2025,17.80,"1,400",20,20,17.60,0,0,0
24/02/2025,19,"17,200",19.20,19.50,19,0,0,0
21/02/2025,17.10,"8,000",16.10,17.20,16.10,0,0,0
20/02/2025,16.10,"11,900",14.10,16.10,14,0,0,0
19/02/2025,14.10,"1,600",13.80,14.10,13.80,0,0,0
18/02/2025,13.70,0,13.70,13.70,13.70,0,0,0
17/02/2025,13.70,"3,300",13.70,13.70,13.60,0,0,0
14/02/2025,13.60,"4,300",13.70,13.70,13.60,0,0,0
13/02/2025,13.60,"7,100",13.60,13.70,13.50,0,0,0
12/02/2025,13.70,"3,529",13.60,14.80,13,0,0,0
11/02/2025,13.60,"3,702",13.60,13.80,13.60,0,0,0
10/02/2025,13.60,"14,000",13.60,13.60,13.50,0,0,0
07/02/2025,13.50,"4,500",13.70,13.70,13.50,0,0,0
06/02/2025,13.50,"3,700",13.50,13.70,13.50,0,0,0
05/02/2025,13.50,58,13.30,13.30,13.30,0,0,0
04/02/2025,13.50,503,13,13.50,13,0,0,0
03/02/2025,13,900,13,13,13,0,0,0
24/01/2025,13,300,13,13,13,0,0,0
23/01/2025,13,603,12.80,13,12.80,0,0,0
22/01/2025,12.80,900,12.80,12.80,12.80,0,0,0
21/01/2025,12.60,16,12.60,12.60,12.60,0,0,0
20/01/2025,12.60,200,12.60,12.60,12.60,0,0,0
17/01/2025,12.80,"2,100",12.80,12.80,12,0,0,0
16/01/2025,12.90,100,12.90,12.90,12.90,0,0,0
15/01/2025,12.90,105,12.90,12.90,12.90,0,0,0
14/01/2025,12,"2,008",12,12,12,0,0,0
13/01/2025,12,"1,800",12,12,12,0,0,0
10/01/2025,12.80,2,12.90,12.90,12.90,0,0,0
09/01/2025,12.80,400,13,13,12.80,0,0,0
08/01/2025,13,"1,734",11.90,13,11.90,0,0,0
07/01/2025,14,0,14,14,14,0,0,0
06/01/2025,14,117,14,14,14,0,0,0
03/01/2025,13,"2,200",13,13,13,0,0,0
02/01/2025,13.40,21,13.10,13.10,13.10,0,0,0
31/12/2024,13.40,212,12.70,13.40,12.70,0,0,0
30/12/2024,12.70,2,12.70,12.70,12.70,0,0,0
27/12/2024,12.70,0,12.70,12.70,12.70,0,0,0
26/12/2024,12.70,0,12.70,12.70,12.70,0,0,0
25/12/2024,12.70,15,12.70,12.70,12.70,0,0,0
24/12/2024,12.70,"1,550",12.70,12.70,12.70,0,0,0
23/12/2024,12.70,"1,035",12.70,12.70,12.70,0,0,0
20/12/2024,12.70,180,12.70,12.70,12.70,0,0,0
19/12/2024,12.70,2,12.70,12.70,12.70,0,0,0
18/12/2024,12.70,109,12.70,12.70,12.70,0,0,0
17/12/2024,12.30,"1,720",13.60,13.80,12.30,0,0,0
16/12/2024,13.70,"1,001",14.50,14.50,13.60,0,0,0
13/12/2024,14.50,800,14.50,14.50,14.50,0,0,0
12/12/2024,13,"2,231",14.50,14.50,13,0,0,0
11/12/2024,13.80,810,13.80,13.80,13.80,0,0,0
10/12/2024,14.50,800,14.50,14.50,14.50,0,0,0
09/12/2024,13,"1,320",14.30,14.50,13,0,0,0
06/12/2024,13,"1,300",14,14,13,0,0,0
05/12/2024,13,"2,007",13.50,13.50,13,0,0,0
04/12/2024,13,"2,858",14.30,14.30,13,0,0,0
03/12/2024,14.30,"1,000",14.30,14.30,14.30,0,0,0
02/12/2024,13.50,"1,849",14.20,14.20,13,0,0,0
29/11/2024,13,"3,032",14.50,14.50,12.90,0,0,0
28/11/2024,12.90,"3,400",14.50,14.50,12.90,0,0,0
27/11/2024,14,"1,500",14,14,14,0,0,0
26/11/2024,13,"2,500",14,14,13,0,0,0
25/11/2024,13,"2,600",14,14,13,0,0,0
22/11/2024,12.60,"2,300",14,14,12.60,0,0,0
21/11/2024,12.50,"2,610",14,14,12.50,0,0,0
20/11/2024,12,"4,702",14.30,14.30,12,0,0,0
19/11/2024,12,"1,400",13,13.50,12,0,0,0
18/11/2024,11.50,"3,630",13.30,13.30,11.50,0,0,0
15/11/2024,11.40,"2,302",13,13,11.40,0,0,0
14/11/2024,12,"2,705",12,13,12,0,0,0
13/11/2024,13.50,"2,010",13.50,13.50,13.50,0,0,0
12/11/2024,12,"1,200",12,12,11.80,0,0,0
11/11/2024,12,"1,558",12.10,13,12,0,0,0
08/11/2024,12.90,"3,940",14,14,12.60,0,0,0
07/11/2024,12.50,"2,330",14,14,12.40,0,0,0
06/11/2024,13,"3,604",15.50,15.50,13,0,0,0
05/11/2024,13.10,"4,000",13.40,15.90,13,0,0,0
04/11/2024,13.40,"2,114",14,15.50,13.40,0,0,0
01/11/2024,12.50,"1,401",14,14,12.40,0,0,0
31/10/2024,12.30,"1,727",14,14,12.30,0,0,0
30/10/2024,13,"5,310",14,14,12.30,0,0,0
29/10/2024,12.20,"4,101",14,14,12.20,0,0,0
28/10/2024,12.60,"3,650",14,14,12.60,0,0,0
25/10/2024,12,"2,702",14,14,12,0,0,0
24/10/2024,13.50,"2,015",13.50,13.50,13.50,0,0,0
23/10/2024,12,"14,116",14,14,11.80,0,0,0
22/10/2024,12.60,"4,417",14,14,12.60,0,0,0
21/10/2024,13,"6,825",13.90,14.50,12.70,0,0,0
18/10/2024,13.90,"5,002",14,14,13,0,0,0
17/10/2024,12.70,"9,905",14.40,15,12.70,0,0,0
16/10/2024,14,"5,763",14.50,15.80,12.50,0,0,0
15/10/2024,14.50,"5,308",14,14.50,14,0,0,0
14/10/2024,13.20,"6,901",12.80,13.20,12.80,0,0,0
11/10/2024,14.90,"7,944",14.20,15,12.40,0,0,0
10/10/2024,14.20,"4,154",15,15,14.20,0,0,0
09/10/2024,14.90,"17,762",17.70,18,14.90,0,0,0
08/10/2024,16,"14,045",16,17,14.10,0,0,0
07/10/2024,15.40,"33,312",15,15.40,15,0,0,0
04/10/2024,13.40,"21,204",12.60,13.40,12.60,0,0,0
03/10/2024,11.80,"13,123",11.30,11.80,11.30,0,0,0
02/10/2024,10.50,"7,944",10.10,11,10,0,0,0
01/10/2024,10.10,"6,072",9.90,10.50,9.90,0,0,0
30/09/2024,9.90,"8,513",9.80,9.90,9.50,0,0,0
27/09/2024,9.80,"7,764",9,9.80,8.90,0,0,0
26/09/2024,8.70,200,8.70,8.70,8.70,0,0,0
25/09/2024,7.60,112,7.60,7.60,7.60,0,0,0
24/09/2024,8.20,0,8.20,8.20,8.20,0,0,0
23/09/2024,8.20,8,8.20,8.20,8.20,0,0,0
20/09/2024,8.20,901,8.20,8.20,8.20,0,0,0
19/09/2024,8,100,8,8,8,0,0,0
18/09/2024,9,611,10.10,10.10,9,0,0,0
17/09/2024,9,107,9,9,9,0,0,0
16/09/2024,9.20,"5,008",8.40,9.20,8.40,0,0,0
13/09/2024,8,"19,200",8.30,8.30,8,0,0,0
12/09/2024,8.30,112,8.30,8.30,8.30,0,0,0
11/09/2024,7,10,7.80,7.80,7.80,0,0,0
10/09/2024,7,10,7.80,7.80,7.80,0,0,0
09/09/2024,7,"3,056",7.90,7.90,7,0,0,0
06/09/2024,7.90,0,7.90,7.90,7.90,0,0,0
05/09/2024,7.90,1,7.90,7.90,7.90,0,0,0
04/09/2024,7.90,502,7.90,7.90,7.90,0,0,0
30/08/2024,8.50,"2,036",8.50,8.50,8.50,0,0,0
29/08/2024,8.10,950,8,8.10,8,0,0,0
28/08/2024,8.90,58,8.90,8.90,8.90,0,0,0
27/08/2024,8.90,78,8.90,8.90,8.90,0,0,0
26/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
23/08/2024,8.90,22,8.90,8.90,8.90,0,0,0
22/08/2024,8.90,110,8.90,8.90,8.90,0,0,0
21/08/2024,8,84,8,8,8,0,0,0
20/08/2024,8,508,8,8,8,0,0,0
19/08/2024,7.60,101,7.60,7.60,7.60,0,0,0
16/08/2024,8.60,904,8.50,8.60,8.50,0,0,0
15/08/2024,8.90,31,8.60,8.60,8.60,0,0,0
14/08/2024,8.90,215,8.20,8.90,8.20,0,0,0
13/08/2024,8.20,5,8.20,8.20,8.20,0,0,0
12/08/2024,8.20,100,8.20,8.20,8.20,0,0,0
09/08/2024,8.20,9,8.20,8.20,8.20,0,0,0
08/08/2024,8.20,"1,048",8.20,8.20,8.20,0,0,0
07/08/2024,9.60,146,9.60,9.60,9.60,0,0,0
06/08/2024,8.50,233,8.50,8.50,8.50,0,0,0
05/08/2024,8.60,104,8.60,8.60,8.60,0,0,0
