Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.40,"25,500",12.40,12.70,12,0,0,0
20/03/2025,12.40,"3,800",12.60,12.60,12.30,0,0,0
19/03/2025,12.50,"14,300",12.50,13.20,12.40,0,0,0
18/03/2025,12.90,"65,000",12.60,13,12.30,0,0,0
17/03/2025,12.80,"12,500",13.40,13.40,12.70,0,0,0
14/03/2025,13,"18,200",13.40,13.40,12.50,0,0,0
13/03/2025,12.90,"23,700",13.40,13.40,12.90,0,0,0
12/03/2025,13.40,"38,100",13.60,13.80,13,0,0,0
11/03/2025,13.40,"12,000",13.20,13.40,13,0,0,0
10/03/2025,13.40,"41,400",14,14,13,0,0,0
07/03/2025,13.50,"7,700",13.70,13.70,13.30,0,0,0
06/03/2025,13.50,"24,000",13.70,13.80,13.50,0,0,0
05/03/2025,13.70,"34,400",14.20,14.20,13.60,0,0,0
04/03/2025,13.80,"59,000",14.10,14.50,13.80,0,0,0
03/03/2025,14.10,"40,800",14.40,15.30,14.10,0,0,0
28/02/2025,13.90,"64,600",14.80,15.60,13.90,0,0,0
27/02/2025,14.20,"113,100",14.30,15.10,13.50,0,0,0
26/02/2025,14.30,"220,000",13.80,14.90,13.30,0,0,0
25/02/2025,13.10,"23,900",13,13.40,13,0,0,0
24/02/2025,13.40,"115,200",12.90,14.10,12.70,0,0,0
21/02/2025,12.90,"20,600",14.20,14.20,12.80,0,0,0
20/02/2025,13,"56,600",13.50,14.70,13,0,0,0
19/02/2025,13.50,"221,700",12.10,13.60,12.10,0,0,0
18/02/2025,12,"39,500",11.70,12,11.70,0,0,0
17/02/2025,11.80,"43,000",11.40,12,11.30,0,0,0
14/02/2025,11.50,"38,900",11.70,12,11.30,0,0,0
13/02/2025,11.70,"55,400",12.40,12.50,11.60,0,0,0
12/02/2025,12.20,"24,201",13,13,12.10,0,0,0
11/02/2025,12.90,"111,210",11.40,12.90,11.40,0,0,0
10/02/2025,11.60,"29,869",11.90,11.90,11,0,0,0
07/02/2025,12,"30,610",11.50,12,11.30,0,0,0
06/02/2025,11.90,"26,732",12.10,12.10,11.10,0,0,0
05/02/2025,11.90,"12,101",11.50,12.50,11.50,0,0,0
04/02/2025,11.20,"24,435",11.40,11.40,11,0,0,0
03/02/2025,11.30,"2,400",11.50,11.50,11.30,0,0,0
24/01/2025,11,"24,300",11.50,11.90,11,0,0,0
23/01/2025,11,"10,700",11.10,11.60,11,0,0,0
22/01/2025,11.20,"16,600",11.50,11.60,11.20,0,0,0
21/01/2025,11.30,"16,001",11.20,11.80,11.10,0,0,0
20/01/2025,11.50,"20,000",12.90,12.90,11.40,0,0,0
17/01/2025,11.60,"13,403",11.10,11.70,11.10,0,0,0
16/01/2025,11,"5,251",11,11.40,11,0,0,0
15/01/2025,11.30,"9,203",10.90,11.30,10.90,0,0,0
14/01/2025,11.20,"18,359",11.30,11.50,10.80,0,0,0
13/01/2025,11.30,"5,101",11.10,11.30,10.80,0,0,0
10/01/2025,10.70,"5,800",11.40,11.40,10.70,0,0,0
09/01/2025,11,"19,002",11.50,11.70,11,0,0,0
08/01/2025,11.40,"4,317",11.10,11.40,10.70,0,0,0
07/01/2025,11,"1,783",11.50,11.50,11,0,0,0
06/01/2025,10.80,"8,116",11.30,11.50,10.80,0,0,0
03/01/2025,11.10,"19,300",11.40,11.40,11.10,0,0,0
02/01/2025,11.50,"4,200",11,11.70,11,0,0,0
31/12/2024,11,"34,204",11.80,11.80,10.20,0,0,0
30/12/2024,11.80,"6,908",11.60,11.90,11.60,0,0,0
27/12/2024,12,"26,900",12.20,12.20,11.50,0,0,0
26/12/2024,12.10,"20,200",12.40,12.40,12.10,0,0,0
25/12/2024,12.30,"20,204",12.10,12.80,12,0,0,0
24/12/2024,12.60,"49,303",12.50,12.60,11.90,0,0,0
23/12/2024,12.40,"27,205",13.30,13.30,12.40,0,0,0
20/12/2024,12.50,"36,805",11.70,12.90,11.70,0,0,0
19/12/2024,12.40,"23,232",11.60,12.50,11,0,0,0
18/12/2024,12,"30,406",11.80,12.40,11.60,0,0,0
17/12/2024,11.80,"46,145",12.50,12.50,11.70,0,0,0
16/12/2024,12.30,"24,797",12.90,13.40,11.60,0,0,0
13/12/2024,12.50,"69,602",14.60,14.60,12.50,0,0,0
12/12/2024,13.90,"203,358",13.10,14.70,13.10,0,0,0
11/12/2024,12.80,"49,711",11.50,12.80,11.50,0,0,0
10/12/2024,11.30,"52,756",9.90,11.30,9.90,0,0,0
09/12/2024,9.80,"22,710",10.30,10.50,9.20,0,0,0
06/12/2024,10.10,"27,700",10.30,10.50,10.10,0,0,0
05/12/2024,10.40,"7,780",10.40,10.50,10,0,0,0
04/12/2024,10,"10,500",10.60,10.60,10,0,0,0
03/12/2024,10.70,"13,000",10.30,10.80,10.30,0,0,0
02/12/2024,10.30,"8,500",10.40,10.40,10.20,0,0,0
29/11/2024,10.50,"6,500",10.20,10.50,10.20,0,0,0
28/11/2024,10.40,"1,201",10,10.40,10,0,0,0
27/11/2024,10.30,"16,124",10.20,10.50,10.20,0,0,0
26/11/2024,10.40,"11,500",10.40,10.50,10.40,0,0,0
25/11/2024,10.40,"4,101",11,11,10.40,0,0,0
22/11/2024,10.50,"22,401",10.60,10.60,9.10,0,0,0
21/11/2024,10.60,"3,200",10.50,10.60,10.50,0,0,0
20/11/2024,10.90,100,10.90,10.90,10.90,0,0,0
19/11/2024,10.70,"16,430",11,11,10.60,0,0,0
18/11/2024,10.50,300,10.50,10.50,10.50,0,0,0
15/11/2024,10.50,"12,301",10.60,10.60,10.50,0,0,0
14/11/2024,10.80,"8,430",11,11.10,10.80,0,0,0
13/11/2024,11,"8,400",11,11,11,0,0,0
12/11/2024,11.10,"12,800",11.30,11.30,10.60,0,0,0
11/11/2024,11.30,"4,300",11,11.30,11,0,0,0
08/11/2024,11,"2,610",11,11.20,11,0,0,0
