Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,7.70,"26,100",7.80,7.80,7.60,0,0,0
20/03/2025,7.80,"90,600",7.50,7.80,7.50,0,0,0
19/03/2025,7.50,"98,900",7.60,7.60,7.40,"15,000",0,0.1
18/03/2025,7.60,"169,100",7.60,7.60,7.40,300,0,0.0
17/03/2025,7.60,"238,200",7.60,7.60,7.30,300,0,0
14/03/2025,7.60,"116,000",7.60,7.80,7.50,0,0,0
13/03/2025,7.60,"154,900",7.80,7.80,7.60,0,0,0
12/03/2025,7.80,"27,200",7.90,7.90,7.80,0,0,0
11/03/2025,7.90,"103,400",7.80,7.90,7.70,"3,300",0,0.0
10/03/2025,7.90,"308,500",7.90,7.90,7.70,"1,400",0,0.0
07/03/2025,7.90,"92,700",7.90,8,7.90,0,0,0
06/03/2025,7.90,"70,200",7.90,8,7.80,0,"2,800",-0.0
05/03/2025,7.90,"77,500",8,8.10,7.90,0,200,-0.0
04/03/2025,8.10,"190,500",8.10,8.10,7.80,"2,100","1,200",0.0
03/03/2025,8.10,"93,300",8,8.10,7.90,0,0,0
28/02/2025,7.90,"130,200",8.10,8.10,7.90,0,0,0
27/02/2025,8.10,"122,400",8,8.10,7.90,0,0,0
26/02/2025,8,"102,800",8.10,8.20,8,0,0,0
25/02/2025,8.10,"71,100",8.10,8.10,8,0,0,0
24/02/2025,8.10,"193,200",8.10,8.30,8,200,0,0.0
21/02/2025,8.10,"119,900",7.90,8.20,7.90,0,0,0
20/02/2025,8,"142,500",8.10,8.10,7.90,0,0,0
19/02/2025,8,"125,500",8,8.10,7.90,100,0,0.0
18/02/2025,8,"158,400",8.20,8.20,8,0,100,-0.0
17/02/2025,8.20,"635,400",7.50,8.20,7.50,600,500,0.0
14/02/2025,7.50,"105,600",7.50,7.60,7.40,0,0,0
13/02/2025,7.50,"30,600",7.50,7.60,7.40,0,200,-0.0
12/02/2025,7.50,"156,854",7.40,7.60,7.40,"2,500",0,0.0
11/02/2025,7.40,"40,510",7.40,7.50,7.30,0,0,0
10/02/2025,7.30,"53,639",7.40,7.40,7.30,0,0,0
07/02/2025,7.40,"41,531",7.40,7.50,7.30,0,0,0
06/02/2025,7.40,"69,827",7.40,7.50,7.30,0,300,-0.0
05/02/2025,7.40,"15,040",7.50,7.50,7.30,0,0,0
04/02/2025,7.40,"241,709",7.30,7.50,7.30,0,600,-0.0
03/02/2025,7.20,"37,700",7,7.20,7,0,"1,800",0
24/01/2025,7,"27,614",7.10,7.10,7,0,"10,500",-0.1
23/01/2025,7.10,"67,105",6.90,7.10,6.90,0,"17,000",-0.1
22/01/2025,6.90,"59,535",7,7,6.90,0,"6,000",-0.0
21/01/2025,7,"95,895",7.10,7.10,6.90,0,"28,100",-0.2
20/01/2025,7.10,"88,095",7.20,7.20,7,0,"5,000",-0.0
17/01/2025,7.20,"131,820",7.30,7.30,7,0,0,0
16/01/2025,7.30,"36,974",7.50,7.50,7.30,0,"2,400",-0.0
15/01/2025,7.50,"419,943",7,7.60,6.80,"2,800","51,500",-0.4
14/01/2025,7,"7,878",7,7,6.90,0,0,0
13/01/2025,7,"55,426",6.90,7,6.90,0,"7,000",-0.0
10/01/2025,6.90,"38,981",6.90,7,6.90,0,0,0
09/01/2025,6.90,"46,010",7.10,7.10,6.90,100,0,0.0
08/01/2025,7.10,"46,758",7.10,7.10,6.90,0,"20,900",-0.1
07/01/2025,7.10,"90,567",7.10,7.10,7,200,"15,100",-0.1
06/01/2025,7.20,"44,775",7.20,7.30,7.10,100,"30,000",-0.2
03/01/2025,7.20,"37,070",7.20,7.20,7.20,0,0,0
02/01/2025,7.30,"17,807",7.20,7.30,7.20,0,0,0
31/12/2024,7.30,"30,290",7.20,7.30,7.20,0,0,0
30/12/2024,7.30,"158,416",7.40,7.40,7.20,100,0,0.0
27/12/2024,7.30,"48,341",7.30,7.60,7.30,0,0,0
26/12/2024,7.50,"51,801",7.50,7.60,7.40,0,0,0
25/12/2024,7.50,"231,010",7.30,7.60,7.20,"2,900",0,0.0
24/12/2024,7.30,"12,840",7.40,7.40,7.30,0,0,0
23/12/2024,7.40,"66,074",7.30,7.40,7.30,0,0,0
20/12/2024,7.30,"37,000",7.30,7.40,7.30,100,"11,200",-0.1
19/12/2024,7.40,"97,217",7.30,7.40,7.30,200,0,0.0
18/12/2024,7.50,"17,521",7.40,7.50,7.30,0,0,0
17/12/2024,7.40,"43,741",7.40,7.40,7.30,100,"33,300",-0.2
16/12/2024,7.40,"33,533",7.50,7.50,7.30,100,"10,000",-0.1
13/12/2024,7.40,"26,908",7.40,7.50,7.30,100,"6,800",-0.0
12/12/2024,7.40,"31,260",7.50,7.60,7.40,0,400,-0.0
11/12/2024,7.50,"59,149",7.60,7.60,7.50,0,0,0
10/12/2024,7.60,"92,600",7.60,7.60,7.50,100,0,0.0
09/12/2024,7.60,"42,520",7.50,7.60,7.50,0,"25,700",-0.2
06/12/2024,7.50,"97,343",7.60,7.60,7.50,"6,100","5,000",0.0
05/12/2024,7.50,"192,501",7.50,7.70,7.30,0,"20,000",-0.1
04/12/2024,7.50,"35,410",7.60,7.60,7.40,0,"11,700",-0.1
03/12/2024,7.60,"55,905",7.70,7.70,7.40,"2,300","1,000",0.0
02/12/2024,7.60,"88,057",7.50,7.70,7.40,0,0,0
29/11/2024,7.50,"67,429",7.40,7.50,7.40,"1,500",0,0.0
28/11/2024,7.40,"34,800",7.60,7.60,7.40,300,"20,000",-0.1
27/11/2024,7.60,"33,064",7.50,7.60,7.50,0,"3,000",-0.0
26/11/2024,7.60,"68,785",7.60,7.70,7.50,100,"3,500",-0.0
25/11/2024,7.60,"71,356",7.50,7.70,7.50,0,0,0
22/11/2024,7.60,"16,994",7.60,7.60,7.50,"2,300",0,0.0
21/11/2024,7.60,"31,520",7.60,7.60,7.40,900,0,0.0
20/11/2024,7.60,"57,854",7.50,7.60,7.50,0,0,0
19/11/2024,7.50,"21,311",7.60,7.60,7.50,200,100,0.0
18/11/2024,7.60,"30,149",7.70,7.70,7.60,0,"1,300",-0.0
15/11/2024,7.70,"132,986",7.60,7.80,7.60,100,0,0.0
14/11/2024,7.70,"49,902",7.80,7.80,7.60,0,0,0
13/11/2024,7.80,"73,178",7.80,7.80,7.60,0,"3,800",-0.0
12/11/2024,7.80,"21,750",7.70,7.80,7.70,"1,000",0,0.0
11/11/2024,7.70,"184,400",7.70,7.90,7.60,0,500,-0.0
08/11/2024,7.70,"32,983",7.80,7.80,7.60,0,0,0
07/11/2024,7.80,"88,068",7.80,7.80,7.60,"4,200",0,0.0
06/11/2024,7.80,"86,807",7.70,7.80,7.60,0,0,0
05/11/2024,7.70,"50,043",7.60,7.70,7.60,0,0,0
04/11/2024,7.60,"36,901",7.80,7.80,7.60,300,0,0.0
01/11/2024,7.80,"32,705",7.80,7.90,7.70,0,0,0
31/10/2024,7.90,"15,326",7.90,7.90,7.80,0,0,0
30/10/2024,7.90,"69,810",7.90,8,7.80,"5,100",0,0.0
29/10/2024,7.90,"100,210",7.80,7.90,7.80,0,0,0
28/10/2024,7.80,"46,818",7.70,7.90,7.70,0,0,0
25/10/2024,7.80,"56,613",7.70,7.90,7.70,0,0,0
24/10/2024,7.80,"40,500",7.90,7.90,7.70,0,0,0
23/10/2024,7.90,"25,454",7.80,7.90,7.70,0,0,0
22/10/2024,7.80,"35,163",7.90,7.90,7.70,0,0,0
21/10/2024,7.70,"119,702",7.90,8,7.70,500,0,0.0
18/10/2024,7.90,"141,826",8,8,7.90,0,"7,900",-0.1
17/10/2024,8,"75,311",7.90,8,7.80,"2,800","3,600",-0.0
16/10/2024,7.90,"59,020",7.90,7.90,7.80,0,"1,300",-0.0
15/10/2024,7.90,"69,638",7.90,8,7.80,0,0,0
14/10/2024,7.90,"85,774",8,8,7.90,"3,000",0,0.0
11/10/2024,8,"20,615",8,8,7.90,0,0,0
10/10/2024,8,"220,528",8,8.20,7.80,"1,700","1,600",0.0
09/10/2024,8.10,"102,833",8.10,8.10,8,0,0,0
08/10/2024,8.10,"47,742",8.10,8.10,7.90,0,"2,400",-0.0
07/10/2024,8.10,"42,772",8,8.10,8,0,500,-0.0
04/10/2024,8,"105,571",8,8.10,7.90,0,0,0
03/10/2024,8,"98,565",8,8.10,8,0,0,0
02/10/2024,8,"64,851",8.10,8.10,8,"1,000",0,0.0
01/10/2024,8.10,"125,840",8.10,8.20,8,0,0,0
30/09/2024,8.10,"66,937",8,8.10,7.90,0,0,0
27/09/2024,8,"84,673",8.10,8.10,7.90,0,0,0
26/09/2024,8.10,"62,668",8,8.10,7.90,0,0,0
25/09/2024,7.90,"92,825",7.80,8,7.80,0,0,0
24/09/2024,7.90,"38,445",7.90,7.90,7.90,0,0,0
23/09/2024,7.90,"59,377",7.90,8,7.80,0,0,0
20/09/2024,7.90,"43,288",7.90,8,7.90,200,0,0.0
19/09/2024,7.90,"71,863",8,8,7.90,0,0,0
18/09/2024,8,"42,742",8,8,7.80,"2,300",0,0.0
17/09/2024,8,"48,676",7.90,8,7.80,0,"2,500",-0.0
16/09/2024,7.90,"56,973",7.90,8,7.80,0,0,0
13/09/2024,7.80,"47,210",7.90,7.90,7.80,100,0,0.0
12/09/2024,7.90,"33,434",7.90,7.90,7.80,0,0,0
11/09/2024,7.90,"65,645",8,8,7.80,"1,300",0,0.0
10/09/2024,8,"66,606",8,8,7.90,0,"2,400",-0.0
09/09/2024,8,"140,099",8,8.10,7.90,0,0,0
06/09/2024,7.90,"54,107",7.90,8,7.90,"2,000",0,0.0
05/09/2024,7.90,"89,116",8,8.10,7.90,300,"1,300",-0.0
04/09/2024,8,"76,570",8,8,7.90,"2,200",0,0.0
30/08/2024,8,"62,225",8.10,8.10,8,0,200,-0.0
29/08/2024,8.10,"46,660",8.10,8.20,8,0,"1,800",-0.0
28/08/2024,8.10,"81,851",8.10,8.20,8.10,0,"1,600",-0.0
27/08/2024,8.10,"34,743",8.10,8.10,8,0,100,-0.0
26/08/2024,8.10,"68,993",8.10,8.20,8,0,"2,100",-0.0
23/08/2024,8.10,"42,224",8.10,8.10,8,0,100,-0.0
22/08/2024,8.10,"51,414",8.20,8.20,8.10,0,0,0
21/08/2024,8.20,"79,103",8.20,8.40,8.10,0,"7,900",-0.1
20/08/2024,8.20,"63,583",8.10,8.20,8.10,"7,500",0,0.1
19/08/2024,8.20,"108,486",8.20,8.20,8.10,"46,500",500,0.4
16/08/2024,8.20,"168,432",7.90,8.20,7.90,"16,600",0,0.1
15/08/2024,7.90,"137,476",7.90,7.90,7.80,"63,100",0,0.5
14/08/2024,7.90,"121,935",7.80,8,7.80,"86,600",0,0.7
13/08/2024,7.80,"113,449",7.80,7.90,7.80,"55,700","14,200",0.3
12/08/2024,7.80,"58,297",7.80,7.90,7.70,0,"10,000",-0.1
09/08/2024,7.90,"34,478",7.80,8,7.80,0,0,0
