Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,39.45,"2,407,600",39.60,39.80,39.45,"102,800","430,257",0
20/03/2025,39.80,"2,255,800",39.55,39.90,39.55,"28,010","112,200",-3.3
19/03/2025,39.80,"3,182,000",40.20,40.20,39.55,"90,400","841,766",-29.9
18/03/2025,40,"3,419,200",40.50,40.60,40,"43,610","200,400",-6.3
17/03/2025,40.35,"3,319,900",40.40,40.55,40.15,"262,400","155,074",4.3
14/03/2025,40.40,"2,298,100",40.20,40.40,40.05,"131,827","197,500",-2.6
13/03/2025,40.20,"3,981,300",40.90,40.90,40.10,"201,800","126,072",3.0
12/03/2025,40.90,"3,968,100",41.35,41.40,40.85,"346,300","1,335,364",-40.6
11/03/2025,41.40,"3,352,200",40.95,41.40,40.75,"735,130","1,274,938",-22.1
10/03/2025,41.40,"4,881,700",41.30,42,41.20,"507,662","1,417,094",-37.8
07/03/2025,41.15,"4,622,400",40.80,41.15,40.70,"418,801","1,299,000",-36.0
06/03/2025,40.80,"2,390,500",40.65,40.90,40.55,"497,700","752,036",-10.3
05/03/2025,40.65,"2,829,800",40.70,41.15,40.45,"201,500","812,800",-24.9
04/03/2025,40.80,"3,340,100",40.80,40.90,40.40,"9,703","1,430,904",-57.8
03/03/2025,40.95,"1,966,100",40.95,41.20,40.85,"42,321","396,237",-14.5
28/02/2025,40.95,"3,051,600",40.95,40.95,40.70,"87,300","442,374",-14.5
27/02/2025,40.95,"2,552,300",41.20,41.30,40.90,"6,001","327,100",-13.2
26/02/2025,41.20,"3,020,100",41.20,41.25,40.95,"218,300","474,116",-10.5
25/02/2025,41.25,"4,348,800",41.15,41.35,41,"533,002","844,973",-12.8
24/02/2025,41.10,"4,168,600",40.90,41.40,40.70,"499,900","640,241",-5.8
21/02/2025,40.90,"2,988,800",40.85,41.05,40.65,"630,079","61,723",23.2
20/02/2025,40.90,"3,398,400",41,41.05,40.65,"680,616","663,600",0.7
19/02/2025,40.85,"5,452,400",40.50,40.90,40.40,"937,049","455,062",19.6
18/02/2025,40.50,"3,320,100",40.10,40.65,40.05,"216,475","72,578",5.8
17/02/2025,40.20,"2,273,100",40.65,40.65,40.15,"261,591","545,308",-11.5
14/02/2025,40.65,"4,557,800",40.35,40.85,40.15,"1,220,880","131,428",44.1
13/02/2025,40,"2,430,100",40,40.25,39.90,"271,000","706,770",-17.4
12/02/2025,40,"4,336,000",40.35,40.45,39.90,"338,900","1,315,534",-39.2
11/02/2025,40.45,"2,873,800",40.50,40.75,40.10,"297,300","190,897",4.3
10/02/2025,40.35,"4,596,700",40.50,41.20,40.10,"1,103,400","564,970",21.9
07/02/2025,40.50,"8,054,000",39.80,40.80,39.80,"1,118,366","921,991",8.1
06/02/2025,39.80,"3,976,100",39.65,40,39.60,"371,428","1,019,061",-25.8
05/02/2025,39.60,"2,370,300",39.90,39.95,39.55,"226,600","804,903",-22.9
04/02/2025,39.65,"4,270,900",39.50,40.10,39.15,"380,706","754,418",-14.8
03/02/2025,39.25,"3,358,300",39.70,39.90,39.10,"181,533","998,035",-32.2
24/01/2025,40,"2,333,900",39.90,40,39.75,"332,100","79,049",10.1
23/01/2025,39.90,"2,925,500",39.50,40.10,39.45,"471,900","242,496",9.2
22/01/2025,39.50,"2,020,900",39.80,39.80,39.45,"317,400","61,981",10.1
21/01/2025,39.80,"2,139,600",40.05,40.05,39.50,"555,450","420,989",5.4
