Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,62.30,"17,000",68,68.90,62,"1,000","1,500",-0.0
20/03/2025,64.70,"28,000",67.50,69,62,0,0,0
19/03/2025,64.20,"48,900",67.80,68.90,63,400,0,0.0
18/03/2025,67.80,"76,500",63.60,68,59,"2,000",0,0.1
17/03/2025,63.90,"43,700",69,69.60,63,"1,000",100,0
14/03/2025,63.40,"21,300",65.20,68.80,62.10,0,0,0
13/03/2025,65.10,"55,700",69,70,62.10,0,300,-0.0
12/03/2025,69,"105,300",69.90,70.60,66,100,"1,100",-0.1
11/03/2025,64.20,"107,700",59.90,64.20,59.90,0,0,0
10/03/2025,58.40,"40,100",53,58.40,53,300,0,0.0
07/03/2025,53.10,"80,900",58.10,58.10,53.10,"1,100","1,100",-0.0
06/03/2025,58,"96,800",63.30,63.30,57.90,0,0,0
05/03/2025,64.30,"33,200",64,67.70,64,0,0,0
04/03/2025,64,"125,100",68.40,68.40,61.60,"1,100",400,0.0
03/03/2025,68.40,"121,000",76.90,82.80,68.40,0,0,0
28/02/2025,76,"38,300",80.30,80.30,73.40,0,0,0
27/02/2025,73.10,"232,400",68.10,83,68.10,400,"1,300",-0.1
26/02/2025,75.60,"107,600",75.60,80,75.60,0,"4,700",-0.4
25/02/2025,84,"34,900",102.60,102.60,84,0,0,0
24/02/2025,93.30,"120,800",93.30,93.30,84.90,"1,500",600,0.1
21/02/2025,84.90,"21,400",84.90,84.90,84.90,0,0,0
20/02/2025,77.20,"17,100",77.20,77.20,76.80,0,0,0
19/02/2025,70.20,"63,700",70.10,70.20,64,200,0,0.0
18/02/2025,63.90,"210,100",63.90,63.90,52.30,"1,000","1,800",-0.1
17/02/2025,58.10,"6,200",58.10,58.10,58.10,0,0,0
14/02/2025,52.90,"17,500",52.90,52.90,52.90,0,0,0
13/02/2025,48.10,"10,400",48.10,48.10,48.10,0,0,0
12/02/2025,43.80,"14,950",43.80,43.80,43.80,0,0,0
11/02/2025,39.90,"2,417",39.90,39.90,39.90,0,0,0
10/02/2025,36.30,"4,200",36.30,36.30,36.30,0,0,0
07/02/2025,33,"3,900",33,33,33,0,0,0
06/02/2025,30,"7,605",30,30,30,0,0,0
05/02/2025,27.30,"20,006",25.90,27.30,25.90,200,0,0.0
04/02/2025,24.90,"88,500",22.80,24.90,20.50,0,300,-0.0
03/02/2025,22.70,"40,400",22.90,22.90,19.50,0,600,0
24/01/2025,20.90,"111,384",20.90,20.90,20.90,0,0,0
23/01/2025,19,"11,300",19,19,19,0,0,0
22/01/2025,17.30,"21,700",17.30,17.30,17.30,0,0,0
21/01/2025,15.80,"72,384",15,15.80,15,0,0,0
20/01/2025,14.40,0,14.40,14.40,14.40,0,0,0
17/01/2025,14.40,"1,100",14.40,14.40,14.40,0,0,0
16/01/2025,14.40,"3,400",14,14.40,13.90,0,0,0
15/01/2025,14.40,"4,600",14.80,14.90,14.30,0,0,0
14/01/2025,15,"4,400",15.30,15.30,14.60,0,0,0
13/01/2025,15.50,"1,700",15.70,16,14.40,100,0,0.0
10/01/2025,15.70,"6,700",14.90,15.70,14.70,0,0,0
09/01/2025,15,"4,100",14.20,15,14,0,0,0
08/01/2025,14.20,900,14,14.20,13.90,0,0,0
07/01/2025,14.50,"3,300",14,14.50,13.70,0,0,0
06/01/2025,14,"11,900",14,14.30,14,0,0,0
03/01/2025,13.70,"5,600",13.50,14.20,13.50,0,0,0
02/01/2025,13.50,"13,100",14.30,14.30,13.40,0,100,-0.0
31/12/2024,14.30,"9,600",15,15,14.10,0,0,0
30/12/2024,15.20,"13,514",15.50,15.70,14.30,200,0,0.0
27/12/2024,15.70,"23,930",15.90,15.90,14.10,100,0,0.0
26/12/2024,15.40,"32,910",15.40,15.40,15.40,0,0,0
25/12/2024,14,"33,311",13.50,14,13.50,0,0,0
24/12/2024,12.80,"3,900",12.80,12.90,12.80,0,0,0
23/12/2024,12.80,"6,423",12.80,13.30,12.80,0,0,0
20/12/2024,12.70,"3,311",12.60,13.30,12.60,0,0,0
19/12/2024,12.60,"50,300",13.50,13.50,12.60,0,0,0
18/12/2024,13.90,"4,601",13.40,13.90,12.70,0,0,0
17/12/2024,13.40,"56,968",12.50,13.40,12.50,0,0,0
16/12/2024,12.20,"14,200",11.90,12.20,11.60,0,0,0
13/12/2024,11.10,329,11.20,11.20,11.10,0,0,0
12/12/2024,11.10,"2,600",11,11.10,11,0,0,0
11/12/2024,11.10,"1,900",11.50,11.50,11.10,0,0,0
10/12/2024,12,"3,742",11.50,12,11.50,0,0,0
09/12/2024,11.50,"10,412",10.30,11.50,10.30,0,0,0
06/12/2024,10.50,"1,909",10.50,10.50,10.50,0,0,0
05/12/2024,10.50,"4,700",11,11,10.50,0,0,0
04/12/2024,10.50,"6,302",10.50,10.60,10.50,0,0,0
03/12/2024,10.80,200,10.60,10.80,10.60,0,0,0
02/12/2024,10.80,"3,300",10.30,10.80,10.30,0,0,0
29/11/2024,11,"2,600",11.20,11.20,11,0,0,0
28/11/2024,11.10,"1,109",11.30,11.30,10.50,0,0,0
27/11/2024,11.50,"3,203",12.10,12.10,11.30,0,0,0
26/11/2024,11,"1,608",10.60,11,10.60,0,0,0
25/11/2024,10.60,"1,300",10.90,10.90,10.60,0,0,0
22/11/2024,11.40,"1,020",11,11.40,11,0,0,0
21/11/2024,11.60,4,11.60,11.60,11.60,0,0,0
20/11/2024,11.60,800,10.60,11.60,10.60,0,0,0
19/11/2024,10.60,"2,200",10.30,10.60,10.20,0,0,0
18/11/2024,10.30,"3,300",10.20,10.30,10.10,0,0,0
15/11/2024,10.20,"2,111",10.60,10.60,10.20,0,0,0
14/11/2024,10.70,"3,100",10.70,10.70,10.70,0,0,0
13/11/2024,10.60,304,10.60,10.60,10.60,0,0,0
12/11/2024,10.60,"4,700",11.10,11.10,10.60,0,0,0
11/11/2024,11.10,"13,308",11.10,11.20,11.10,0,0,0
08/11/2024,11.50,"7,501",11.80,11.80,11.50,0,0,0
07/11/2024,11.80,"17,713",12.50,12.50,11.80,0,0,0
06/11/2024,12.50,"14,002",11.50,12.50,11.50,0,0,0
05/11/2024,11.60,"11,801",11.60,11.60,11.40,0,0,0
04/11/2024,11.40,"17,459",11,11.80,10.60,0,0,0
01/11/2024,11,"22,450",11.50,11.50,10.40,0,0,0
31/10/2024,11.50,"9,031",11.20,11.60,10.90,0,0,0
30/10/2024,11.20,"50,426",12.30,12.30,10.90,0,0,0
29/10/2024,11.20,"53,127",11.20,11.20,11.20,0,0,0
28/10/2024,10.20,"5,312",10.20,10.20,10.20,0,0,0
25/10/2024,9.30,"3,503",8.90,9.30,8.90,0,0,0
24/10/2024,8.50,"32,884",8.20,8.50,8.20,0,0,0
23/10/2024,7.80,"11,700",7.10,7.80,7.10,0,600,-0.0
22/10/2024,7.10,"5,514",7.70,7.70,7.10,0,0,0
21/10/2024,7,"9,208",6.60,7,6.60,0,0,0
18/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
17/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
16/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
15/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
14/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
11/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
10/10/2024,6.40,10,6.40,6.40,6.40,0,0,0
09/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
08/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
07/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
04/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
03/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
02/10/2024,6.40,1,6.40,6.40,6.40,0,0,0
01/10/2024,6.40,0,6.40,6.40,6.40,0,0,0
30/09/2024,6.40,100,6.40,6.40,6.40,0,0,0
27/09/2024,6.50,0,6.50,6.50,6.50,0,0,0
26/09/2024,6.50,100,6.50,6.50,6.50,0,100,-0.0
25/09/2024,6.40,500,6.40,6.40,6.40,0,500,-0.0
24/09/2024,6.40,115,6.40,6.40,6.40,0,0,0
23/09/2024,6.40,402,6.40,6.40,6.40,0,0,0
20/09/2024,6.50,0,6.50,6.50,6.50,0,0,0
19/09/2024,6.50,6,6.50,6.50,6.50,0,0,0
18/09/2024,6.50,0,6.50,6.50,6.50,0,0,0
17/09/2024,6.50,0,6.50,6.50,6.50,0,0,0
16/09/2024,6.50,100,6.50,6.50,6.50,0,0,0
13/09/2024,6.50,705,6.30,6.50,6.30,0,0,0
12/09/2024,6.50,0,6.50,6.50,6.50,0,0,0
11/09/2024,6.50,"1,700",6.50,6.50,6.50,0,0,0
10/09/2024,6.50,101,6.50,6.50,6.50,0,0,0
09/09/2024,6.50,800,6.30,6.50,6.30,0,0,0
06/09/2024,6.30,502,6.30,6.30,6.30,0,0,0
05/09/2024,6.50,300,6.50,6.50,6.50,0,0,0
04/09/2024,6.50,1,6.50,6.50,6.50,0,0,0
30/08/2024,6.50,200,6.60,6.60,6.50,0,0,0
29/08/2024,6.70,116,6.70,6.70,6.70,0,0,0
28/08/2024,6.70,"1,700",6.60,6.80,6.60,0,0,0
27/08/2024,6.50,"1,800",6.60,6.60,6.50,0,0,0
26/08/2024,6.60,101,6.60,6.60,6.60,0,0,0
23/08/2024,6.20,"1,000",6.60,6.60,6.20,0,0,0
22/08/2024,6.70,0,6.70,6.70,6.70,0,0,0
21/08/2024,6.70,3,6.70,6.70,6.70,0,0,0
20/08/2024,6.70,600,6.60,6.70,6.60,0,0,0
19/08/2024,6.60,"2,804",6.50,6.70,6.50,0,0,0
16/08/2024,6.30,"1,108",6.10,6.30,5.90,0,0,0
15/08/2024,6.30,10,6.30,6.30,6.30,0,0,0
14/08/2024,6.30,0,6.30,6.30,6.30,0,0,0
13/08/2024,6.30,300,6.30,6.30,6.30,0,0,0
12/08/2024,6.30,0,6.30,6.30,6.30,0,0,0
09/08/2024,6.30,0,6.30,6.30,6.30,0,0,0
08/08/2024,6.30,1,6.30,6.30,6.30,0,0,0
07/08/2024,6.30,0,6.30,6.30,6.30,0,0,0
06/08/2024,6.30,"1,000",6.30,6.30,6.30,0,0,0
05/08/2024,6.30,200,6.30,6.30,6.30,0,0,0
02/08/2024,6.40,5,6.40,6.40,6.40,0,0,0
01/08/2024,6.40,500,6.40,6.40,6.40,0,0,0
31/07/2024,6.40,"1,125",6.40,6.50,6.40,0,0,0
30/07/2024,6.40,0,6.40,6.40,6.40,0,0,0
29/07/2024,6.40,103,6.40,6.40,6.40,0,0,0
26/07/2024,6.40,201,6.50,6.50,6.40,0,0,0
25/07/2024,6.40,0,6.40,6.40,6.40,0,0,0
24/07/2024,6.40,3,6.40,6.40,6.40,0,0,0
23/07/2024,6.40,"1,103",6.30,6.40,6.30,0,0,0
22/07/2024,6.50,301,6.50,6.50,6.50,0,0,0
19/07/2024,6.70,210,6.70,6.70,6.70,0,0,0
18/07/2024,6.70,201,6.50,6.70,6.50,0,0,0
17/07/2024,6.30,"6,205",6.50,6.50,6,0,0,0
16/07/2024,6.50,0,6.50,6.50,6.50,0,0,0
15/07/2024,6.50,"1,700",6.70,6.70,6.50,0,0,0
12/07/2024,6.90,125,6.90,6.90,6.90,0,0,0
11/07/2024,6.90,100,6.90,6.90,6.90,0,0,0
10/07/2024,6.80,0,6.80,6.80,6.80,0,0,0
09/07/2024,6.80,"1,005",6.80,6.80,6.80,0,0,0
08/07/2024,6.80,509,6.80,6.80,6.80,0,200,-0.0
05/07/2024,6.80,"6,900",6.50,6.80,6.50,0,0,0
04/07/2024,6.70,"9,600",6.80,6.80,6.70,0,0,0
03/07/2024,6.90,"10,700",6.80,6.90,6.70,0,0,0
02/07/2024,6.70,"6,150",6.70,6.90,6.60,0,0,0
01/07/2024,6.70,"12,301",6.80,6.80,6.50,0,0,0
28/06/2024,6.80,"12,301",6.70,6.80,6.50,0,0,0
27/06/2024,6.80,"9,800",7,7,6.80,0,0,0
26/06/2024,7.10,"14,800",7.30,7.30,6.80,0,0,0
25/06/2024,7.40,"30,344",8,8.50,7.10,0,0,0
24/06/2024,7.80,"9,611",7.30,7.80,7.30,0,700,-0.0
21/06/2024,7.10,"56,400",6.30,7.10,6.30,0,0,0
20/06/2024,6.50,11,6.50,6.50,6.50,0,0,0
19/06/2024,6.50,100,6.50,6.50,6.50,0,0,0
18/06/2024,6.50,300,6.50,6.50,6.50,0,0,0
17/06/2024,6.50,500,6.50,6.50,6.50,0,0,0
14/06/2024,6.50,500,6.50,6.50,6.50,0,0,0
13/06/2024,6.50,"2,900",6.50,6.50,6.50,0,0,0
12/06/2024,6.50,800,6.50,6.50,6.50,0,0,0
11/06/2024,6.60,0,6.60,6.60,6.60,0,0,0
10/06/2024,6.60,400,6.60,6.60,6.60,0,0,0
07/06/2024,6.60,"7,701",6.50,6.60,6.50,0,0,0
06/06/2024,6.60,"1,100",6.60,6.60,6.60,0,0,0
05/06/2024,6.60,"1,500",6.50,6.60,6.50,0,0,0
04/06/2024,6.50,900,6.50,6.50,6.50,0,0,0
03/06/2024,6.60,"1,804",6.70,6.70,6.60,0,0,0
31/05/2024,6.70,"1,000",6.60,6.70,6.50,0,0,0
30/05/2024,6.50,402,6.50,6.50,6.50,0,0,0
29/05/2024,6.70,0,6.70,6.70,6.70,0,0,0
28/05/2024,6.70,204,6.70,6.70,6.70,0,0,0
27/05/2024,6.70,1,6.70,6.70,6.70,0,0,0
24/05/2024,6.70,600,6.70,6.70,6.70,0,0,0
23/05/2024,6.70,"1,700",6.60,6.70,6.60,0,0,0
22/05/2024,6.50,"2,900",6.50,6.50,6.50,0,0,0
21/05/2024,6.70,"1,100",6.50,6.70,6.50,0,0,0
20/05/2024,6.50,"1,000",6.50,6.50,6.50,0,0,0
17/05/2024,6.70,"3,006",6.50,6.70,6.30,0,0,0
16/05/2024,6.70,"1,700",6.70,6.70,6.70,0,0,0
15/05/2024,6.90,"3,500",6.70,7.10,6.70,0,0,0
14/05/2024,6.50,"4,524",6.50,6.50,6.50,0,0,0
13/05/2024,6.70,"9,802",6.60,6.70,6.50,0,0,0
10/05/2024,6.60,0,6.60,6.60,6.60,0,0,0
09/05/2024,6.60,"1,000",6.70,6.70,6.50,0,0,0
08/05/2024,6.90,100,6.90,6.90,6.90,0,0,0
07/05/2024,6.70,"1,500",6.50,6.70,6.50,0,0,0
06/05/2024,6.80,724,6.50,6.80,6.50,0,0,0
03/05/2024,6.50,"1,701",6.60,6.70,6.50,0,0,0
02/05/2024,6.70,0,6.70,6.70,6.70,0,0,0
26/04/2024,6.70,0,6.70,6.70,6.70,0,0,0
25/04/2024,6.70,500,6.70,6.70,6.70,0,0,0
24/04/2024,6.90,6,6.90,6.90,6.90,0,0,0
23/04/2024,6.90,4,6.90,6.90,6.90,0,0,0
22/04/2024,6.90,0,6.90,6.90,6.90,0,0,0
19/04/2024,6.90,0,6.90,6.90,6.90,0,0,0
17/04/2024,6.90,0,6.90,6.90,6.90,0,0,0
16/04/2024,6.90,0,6.90,6.90,6.90,0,0,0
15/04/2024,6.90,"3,403",6.80,6.90,6.50,0,0,0
12/04/2024,6.90,1,6.90,6.90,6.90,0,0,0
11/04/2024,6.90,812,6.70,6.90,6.70,0,0,0
10/04/2024,6.80,9,6.80,6.80,6.80,0,0,0
09/04/2024,6.80,"1,600",6.70,6.80,6.70,0,0,0
08/04/2024,6.80,"2,301",6.90,6.90,6.70,0,0,0
05/04/2024,6.70,"3,405",6.80,6.80,6.70,0,0,0
04/04/2024,6.90,"3,400",6.80,6.90,6.60,0,0,0
03/04/2024,6.90,105,6.90,6.90,6.90,0,0,0
02/04/2024,6.60,0,6.60,6.60,6.60,0,0,0
01/04/2024,6.60,"2,200",6.90,6.90,6.60,0,0,0
29/03/2024,6.90,500,6.60,6.90,6.60,0,0,0
28/03/2024,7.10,0,7.10,7.10,7.10,0,0,0
27/03/2024,7.10,"4,900",6.90,7.10,6.30,0,0,0
26/03/2024,6.90,"1,925",6.90,7.30,6.60,0,0,0
25/03/2024,7,"2,902",7.20,7.20,7,0,0,0
22/03/2024,7.10,600,7.10,7.10,7.10,0,0,0
21/03/2024,7.20,0,7.20,7.20,7.20,0,0,0
20/03/2024,7.20,0,7.20,7.20,7.20,0,0,0
19/03/2024,7.20,400,7.30,7.50,7.20,0,0,0
18/03/2024,7.20,"2,000",7.10,7.20,7.10,0,0,0
15/03/2024,7.20,"2,000",6.90,7.20,6.90,0,0,0
14/03/2024,6.90,700,6.80,6.90,6.70,0,0,0
13/03/2024,6.90,23,6.90,6.90,6.90,0,0,0
12/03/2024,6.90,1,6.90,6.90,6.90,0,0,0
11/03/2024,6.90,2,6.90,6.90,6.90,0,0,0
08/03/2024,6.90,0,6.90,6.90,6.90,0,0,0
07/03/2024,6.90,0,6.90,6.90,6.90,0,0,0
06/03/2024,6.90,0,6.90,6.90,6.90,0,0,0
05/03/2024,6.90,804,6.90,6.90,6.90,0,0,0
04/03/2024,7,"1,500",7.20,7.20,7,0,0,0
01/03/2024,7.20,300,7,7.20,7,0,0,0
29/02/2024,7.10,961,7.10,7.10,6.90,0,0,0
28/02/2024,7.30,201,7.30,7.30,7.30,0,0,0
27/02/2024,7.50,"2,500",7.10,7.50,6.90,0,"2,200",-0.0
26/02/2024,7.30,0,7.30,7.30,7.30,0,0,0
23/02/2024,7.30,"1,100",7.30,7.30,7.20,0,0,0
22/02/2024,7.30,100,7.30,7.30,7.30,0,0,0
21/02/2024,7.90,400,7.90,7.90,7.90,0,0,0
20/02/2024,7.20,1,7.20,7.20,7.20,0,0,0
19/02/2024,7.20,0,7.20,7.20,7.20,0,0,0
16/02/2024,7.20,6,7.20,7.20,7.20,0,0,0
15/02/2024,7.20,100,7.20,7.20,7.20,0,0,0
07/02/2024,7.10,400,7.10,7.10,7.10,0,0,0
06/02/2024,7.10,0,7.10,7.10,7.10,0,0,0
05/02/2024,7.10,301,7.10,7.10,7.10,0,0,0
02/02/2024,7.10,0,7.10,7.10,7.10,0,0,0
01/02/2024,7.10,0,7.10,7.10,7.10,0,0,0
31/01/2024,7.10,400,7.10,7.10,7.10,0,0,0
30/01/2024,7.10,0,7.10,7.10,7.10,0,0,0
29/01/2024,7.10,101,7.10,7.10,7.10,0,0,0
26/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
25/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
24/01/2024,7.30,900,7.30,7.30,7.30,0,0,0
23/01/2024,7.30,901,6.90,7.30,6.90,0,0,0
22/01/2024,6.90,600,6.90,6.90,6.90,0,0,0
19/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
18/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
17/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
16/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
15/01/2024,7.30,10,7.30,7.30,7.30,0,0,0
12/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
11/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
10/01/2024,7.30,0,7.30,7.30,7.30,0,0,0
09/01/2024,7.30,"1,100",7.10,7.30,7.10,0,0,0
08/01/2024,7.20,701,7.20,7.20,7.20,700,0,0.0
05/01/2024,7.30,100,7.30,7.30,7.30,0,0,0
04/01/2024,7.50,200,6.90,7.50,6.90,0,0,0
03/01/2024,6.90,1,6.90,6.90,6.90,0,0,0
02/01/2024,6.90,400,6.90,6.90,6.90,0,0,0
29/12/2023,6.90,100,6.90,6.90,6.90,0,0,0
28/12/2023,6.90,200,6.90,6.90,6.90,0,0,0
27/12/2023,6.90,100,6.80,6.90,6.90,0,0,0
26/12/2023,6.80,0,6.80,6.80,6.80,0,0,0
25/12/2023,6.80,100,6.80,6.80,6.80,0,0,0
22/12/2023,6.80,0,6.80,6.80,6.80,0,0,0
21/12/2023,6.80,0,6.80,6.80,6.80,0,0,0
20/12/2023,6.80,0,6.80,6.80,6.80,0,0,0
19/12/2023,6.80,0,6.80,6.80,6.80,0,0,0
18/12/2023,6.80,0,6.80,6.80,6.80,0,0,0
15/12/2023,6.80,"2,100",7,7,6.80,0,0,0
14/12/2023,7,0,7,7,7,0,0,0
13/12/2023,7,600,6.90,7,7,0,0,0
12/12/2023,6.90,300,7.10,7.10,6.70,0,0,0
11/12/2023,7.10,100,7.10,7.10,7.10,0,0,0
08/12/2023,7.10,100,7.10,7.10,7.10,0,0,0
07/12/2023,7.10,100,7,7.10,7.10,0,0,0
06/12/2023,7,100,7,7,7,0,0,0
05/12/2023,7,200,7,7,7,0,0,0
04/12/2023,7,100,7,7,7,0,0,0
01/12/2023,7,400,7.10,7.10,6.90,0,0,0
30/11/2023,7.10,0,7.10,7.10,7.10,0,0,0
29/11/2023,7.10,100,7.10,7.10,7.10,0,0,0
28/11/2023,7.10,200,7.10,7.10,7.10,0,0,0
27/11/2023,7.10,0,7.10,7.10,7.10,0,0,0
24/11/2023,7.10,200,7.10,7.10,7.10,0,0,0
23/11/2023,7.10,100,7.10,7.10,7.10,0,0,0
22/11/2023,7.10,0,7.10,7.10,7.10,0,0,0
21/11/2023,7.10,200,7.10,7.10,7,0,0,0
20/11/2023,7.10,0,7.10,7.10,7.10,0,0,0
17/11/2023,7.10,100,7,7.10,7.10,0,0,0
16/11/2023,7,400,7.20,7.20,7,0,0,0
15/11/2023,7.20,100,7.40,7.40,7.20,0,0,0
14/11/2023,7.40,0,7.40,7.40,7.40,0,0,0
13/11/2023,7.40,0,7.40,7.40,7.40,0,0,0
10/11/2023,7.40,0,7.40,7.40,7.40,0,0,0
09/11/2023,7.40,100,6.80,7.40,7.40,0,0,0
08/11/2023,6.80,0,6.80,6.80,6.80,0,0,0
07/11/2023,6.80,400,7.20,7.20,6.80,0,0,0
06/11/2023,7.20,0,7.20,7.20,7.20,0,0,0
03/11/2023,7.20,100,7.20,7.20,7.20,0,0,0
02/11/2023,7.20,0,7.20,7.20,7.20,0,0,0
01/11/2023,7.20,0,7.20,7.20,7.20,0,0,0
31/10/2023,7.20,0,7.20,7.20,7.20,0,0,0
30/10/2023,7.20,0,7.20,7.20,7.20,0,0,0
27/10/2023,7.20,700,7.20,7.20,7.20,0,0,0
26/10/2023,7.20,0,7.20,7.20,7.20,0,0,0
25/10/2023,7.20,0,7.20,7.20,7.20,0,0,0
24/10/2023,7.20,100,7.10,7.20,7.20,0,0,0
23/10/2023,7.10,100,7.10,7.10,7.10,0,0,0
20/10/2023,7.10,0,7.10,7.10,7.10,0,0,0
19/10/2023,7.10,0,7.10,7.10,7.10,0,0,0
18/10/2023,7.10,0,7.10,7.10,7.10,0,0,0
17/10/2023,7.10,700,7.20,7.20,7.10,0,0,0
16/10/2023,7.20,300,7.20,7.20,7.20,0,0,0
13/10/2023,7.20,0,7.20,7.20,7.20,0,0,0
12/10/2023,7.20,0,7.20,7.20,7.20,0,0,0
11/10/2023,7.20,700,7.50,7.50,7.20,0,0,0
10/10/2023,7.50,0,7.50,7.50,7.50,0,0,0
09/10/2023,7.50,0,7.50,7.50,7.50,0,0,0
06/10/2023,7.50,800,7.20,7.50,7.50,0,0,0
05/10/2023,7.20,400,7.20,7.20,7.20,0,0,0
04/10/2023,7.20,0,7.20,7.20,7.20,0,0,0
03/10/2023,7.20,"4,100",7.10,7.30,6.90,"3,000",0,0.0
02/10/2023,7.10,700,7.20,7.20,7,0,0,0
29/09/2023,7.20,900,7.20,7.20,6.70,0,0,0
28/09/2023,7.20,"2,100",6.70,7.20,6.70,0,0,0
27/09/2023,6.70,600,7,7,6.70,0,0,0
26/09/2023,7,"2,000",7.40,7.40,7,0,0,0
25/09/2023,7.40,500,7.40,7.40,7.40,0,0,0
22/09/2023,7.40,"2,100",7.20,7.40,6.60,300,100,0.0
21/09/2023,7.20,0,7.20,7.20,7.20,0,0,0
20/09/2023,7.20,"1,600",7.20,7.20,7.20,0,0,0
19/09/2023,7.20,"1,100",7.20,7.20,6.80,0,0,0
18/09/2023,7.20,500,7.20,7.20,7.20,0,0,0
15/09/2023,7.20,0,7.20,7.20,7.20,0,0,0
14/09/2023,7.20,0,7.20,7.20,7.20,0,0,0
13/09/2023,7.20,600,7.70,7.70,7.10,0,0,0
12/09/2023,7.70,100,7.50,7.70,7.70,0,0,0
11/09/2023,7.50,"1,200",7.50,7.50,7,0,0,0
08/09/2023,7.50,700,7.60,7.60,7.10,0,0,0
07/09/2023,7.60,"2,200",7.60,7.60,6.90,0,0,0
06/09/2023,7.60,"5,500",8.40,8.40,7.60,0,0,0
05/09/2023,8.40,100,8,8.40,8.40,0,0,0
31/08/2023,8,900,7.90,8.30,8,0,0,0
30/08/2023,7.90,"1,800",8.10,8.10,7.30,0,0,0
29/08/2023,8.10,100,7.80,8.10,8.10,0,0,0
28/08/2023,7.80,"1,300",7.80,8.40,7.80,0,0,0
25/08/2023,7.80,400,7.80,8.40,7.80,0,0,0
24/08/2023,7.80,"1,800",8,8.70,7.20,0,0,0
23/08/2023,8,100,7.40,8,8,0,0,0
22/08/2023,7.40,"6,900",7.80,7.80,7.10,0,"6,400",-0.0
21/08/2023,7.80,100,7.80,7.80,7.80,0,0,0
18/08/2023,7.80,100,7.40,7.80,7.80,0,0,0
17/08/2023,7.40,100,8,8,7.40,0,0,0
16/08/2023,8,200,8,8,8,200,0,0.0
15/08/2023,8,"1,000",7.30,8,7.40,0,0,0
14/08/2023,7.30,400,8,8,7.20,0,0,0
11/08/2023,8,200,7.40,8,7.40,0,100,-0.0
10/08/2023,7.40,100,8.10,8.10,7.40,0,0,0
09/08/2023,8.10,100,8,8.10,8.10,0,0,0
08/08/2023,8,"3,000",8,8.80,7.30,0,0,0
07/08/2023,8,100,8.10,8.10,8,0,0,0
04/08/2023,8.10,"2,400",8.80,9.60,8,0,0,0
03/08/2023,8.80,0,8.80,8.80,8.80,0,0,0
02/08/2023,8.80,"3,700",8.10,8.80,7.60,0,0,0
01/08/2023,8.10,0,8.10,8.10,8.10,0,0,0
31/07/2023,8.10,"8,600",8.10,8.20,8.10,0,0,0
28/07/2023,8.10,500,8,8.10,8.10,0,0,0
27/07/2023,8,200,7.50,8,8,0,0,0
26/07/2023,7.50,800,8,8,7.50,0,0,0
25/07/2023,8,500,8.10,8.10,8,0,0,0
24/07/2023,8.10,600,8.10,8.10,8.10,0,0,0
21/07/2023,8.10,"1,000",8.50,8.50,8.10,0,0,0
20/07/2023,8.50,200,8,8.50,7.40,0,0,0
19/07/2023,8,"1,500",8,8,8,0,0,0
18/07/2023,8,500,8.20,8.20,8,0,0,0
17/07/2023,8.20,"3,900",8.50,8.80,8.10,0,0,0
14/07/2023,8.50,0,8.50,8.50,8.50,0,0,0
13/07/2023,8.50,"7,600",8,8.70,8,0,0,0
12/07/2023,8,"65,100",8,8.60,8,0,0,0
11/07/2023,8,"8,300",8,8.60,7.90,0,0,0
10/07/2023,8,"1,500",7.30,8,7.70,0,0,0
07/07/2023,7.30,"5,300",8.10,8.10,7.30,0,0,0
06/07/2023,8.10,400,8.10,8.10,7.30,0,0,0
05/07/2023,8.10,"3,000",8.90,9.20,8.10,0,0,0
