Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,21,500,22.10,22.10,21,0,200,-0.0
20/03/2025,21.80,100,21.80,21.80,21.80,0,0,0
19/03/2025,21.80,"2,000",21.80,21.80,21.80,0,0,0
18/03/2025,21.70,500,21.70,21.70,21.70,0,0,0
17/03/2025,22,"1,500",21.30,22,21.30,0,0,0
14/03/2025,20,0,20,20,20,0,0,0
13/03/2025,20,0,20,20,20,0,0,0
12/03/2025,20,0,20,20,20,0,0,0
11/03/2025,20,0,20,20,20,0,0,0
10/03/2025,20,200,20,20,20,0,0,0
07/03/2025,18.70,0,18.70,18.70,18.70,0,0,0
06/03/2025,18.70,0,18.70,18.70,18.70,0,0,0
05/03/2025,18.70,0,18.70,18.70,18.70,0,0,0
04/03/2025,18.70,"4,900",18.70,18.70,18.70,0,0,0
03/03/2025,20,0,20,20,20,0,0,0
28/02/2025,20,0,20,20,20,0,0,0
27/02/2025,20,0,20,20,20,0,0,0
26/02/2025,20,0,20,20,20,0,0,0
25/02/2025,20,0,20,20,20,0,0,0
24/02/2025,20,100,20,20,20,0,0,0
21/02/2025,19.20,0,19.20,19.20,19.20,0,0,0
20/02/2025,19.20,0,19.20,19.20,19.20,0,0,0
19/02/2025,19.20,0,19.20,19.20,19.20,0,0,0
18/02/2025,19.20,0,19.20,19.20,19.20,0,0,0
17/02/2025,19.20,0,19.20,19.20,19.20,0,0,0
14/02/2025,19.20,0,19.20,19.20,19.20,0,0,0
13/02/2025,19.20,0,19.20,19.20,19.20,0,0,0
12/02/2025,19.20,200,19.20,19.20,19.20,0,0,0
11/02/2025,19.20,301,19.20,19.20,19.20,0,0,0
10/02/2025,19.20,0,19.20,19.20,19.20,0,0,0
07/02/2025,18.60,500,20.10,20.10,18.60,0,500,-0.0
06/02/2025,20,15,20,20,20,0,0,0
05/02/2025,20,0,20,20,20,0,0,0
04/02/2025,20,0,20,20,20,0,0,0
03/02/2025,20,0,20,20,20,0,0,0
24/01/2025,20,100,20,20,20,0,0,0
23/01/2025,20.60,0,20.60,20.60,20.60,0,0,0
22/01/2025,20.60,0,20.60,20.60,20.60,0,0,0
21/01/2025,20.60,0,20.60,20.60,20.60,0,0,0
20/01/2025,20.60,500,20.60,20.60,20.60,0,0,0
17/01/2025,21.20,0,21.20,21.20,21.20,0,0,0
16/01/2025,21.20,1,21.20,21.20,21.20,0,0,0
15/01/2025,21.20,100,21.20,21.20,21.20,0,100,-0.0
14/01/2025,18.50,101,18.50,18.50,18.50,0,0,0
13/01/2025,16.10,0,16.10,16.10,16.10,0,0,0
10/01/2025,16.10,0,16.10,16.10,16.10,0,0,0
09/01/2025,16,"5,014",18.70,18.70,16,0,0,0
08/01/2025,18.70,0,18.70,18.70,18.70,0,0,0
07/01/2025,18.70,0,18.70,18.70,18.70,0,0,0
06/01/2025,18.70,5,18.70,18.70,18.70,0,0,0
03/01/2025,18.70,0,18.70,18.70,18.70,0,0,0
02/01/2025,18.70,0,18.70,18.70,18.70,0,0,0
31/12/2024,18.70,0,18.70,18.70,18.70,0,0,0
30/12/2024,18.70,0,18.70,18.70,18.70,0,0,0
27/12/2024,18.70,0,18.70,18.70,18.70,0,0,0
26/12/2024,18.70,"5,000",18.70,18.70,18.70,0,0,0
25/12/2024,20,2,20,20,20,0,0,0
24/12/2024,20,0,20,20,20,0,0,0
23/12/2024,20,"1,300",20,20,20,0,0,0
20/12/2024,20,"9,500",20,20,20,0,0,0
19/12/2024,20,0,20,20,20,0,0,0
18/12/2024,20,0,20,20,20,0,0,0
17/12/2024,20,0,20,20,20,0,0,0
16/12/2024,20,5,20,20,20,0,0,0
13/12/2024,20,502,20,20,20,0,0,0
12/12/2024,19.10,0,19.10,19.10,19.10,0,0,0
11/12/2024,19.10,400,19,19.10,19,0,0,0
10/12/2024,21,100,21,21,21,0,0,0
09/12/2024,19.60,"2,000",19.70,19.70,19.60,0,0,0
06/12/2024,19.60,500,19.60,19.60,19.60,0,0,0
05/12/2024,19.60,600,19.60,19.60,19.60,0,0,0
04/12/2024,21.50,0,21.50,21.50,21.50,0,0,0
03/12/2024,21.50,209,21.50,21.50,21.50,0,0,0
02/12/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
02/12/2024,18.70,100,21.50,21.50,21.50,0,0,0
29/11/2024,21.70,"12,900",21.41,21.70,18.26,300,0,0.0
28/11/2024,21.51,"12,100",21.03,21.51,21.03,500,0,0.0
27/11/2024,20.55,3,20.55,20.55,20.55,0,0,0
26/11/2024,20.55,"1,200",20.55,20.55,20.55,0,0,0
25/11/2024,21.51,300,20.07,21.51,20.07,0,0,0
22/11/2024,20.07,"2,500",20.07,20.07,20.07,0,"2,500",-0.1
21/11/2024,21.80,0,21.80,21.80,21.80,0,0,0
20/11/2024,21.80,0,21.80,21.80,21.80,0,0,0
19/11/2024,21.80,0,21.80,21.80,21.80,0,0,0
18/11/2024,21.80,0,21.80,21.80,21.80,0,0,0
15/11/2024,21.80,0,21.80,21.80,21.80,0,0,0
14/11/2024,21.80,0,21.80,21.80,21.80,0,0,0
13/11/2024,21.80,10,21.80,21.80,21.80,0,0,0
12/11/2024,21.80,0,21.80,21.80,21.80,0,0,0
11/11/2024,21.80,100,21.80,21.80,21.80,0,0,0
08/11/2024,19.12,0,19.12,19.12,19.12,0,0,0
07/11/2024,19.12,1,19.12,19.12,19.12,0,0,0
06/11/2024,19.12,0,19.12,19.12,19.12,0,0,0
05/11/2024,19.12,0,19.12,19.12,19.12,0,0,0
04/11/2024,19.12,0,19.12,19.12,19.12,0,0,0
01/11/2024,19.12,0,19.12,19.12,19.12,0,0,0
31/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
30/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
29/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
28/10/2024,19.12,"1,100",19.12,19.12,19.12,0,0,0
25/10/2024,19.12,"2,000",19.12,19.12,19.12,0,0,0
24/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
23/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
22/10/2024,19.12,"10,900",19.12,19.12,19.12,0,0,0
21/10/2024,18.93,0,18.93,18.93,18.93,0,0,0
18/10/2024,18.93,"4,900",18.93,18.93,18.64,0,0,0
17/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
16/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
15/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
14/10/2024,19.12,1,19.12,19.12,19.12,0,0,0
11/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
10/10/2024,19.12,9,19.12,19.12,19.12,0,0,0
09/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
08/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
07/10/2024,19.12,2,19.12,19.12,19.12,0,0,0
04/10/2024,19.12,1,19.12,19.12,19.12,0,0,0
03/10/2024,19.12,0,19.12,19.12,19.12,0,0,0
02/10/2024,19.12,15,19.12,19.12,19.12,0,0,0
01/10/2024,19.12,2,19.12,19.12,19.12,0,0,0
30/09/2024,19.12,100,19.12,19.12,19.12,0,0,0
27/09/2024,19.12,0,19.12,19.12,19.12,0,0,0
26/09/2024,19.12,15,19.12,19.12,19.12,0,0,0
25/09/2024,19.12,0,19.12,19.12,19.12,0,0,0
24/09/2024,19.12,0,19.12,19.12,19.12,0,0,0
23/09/2024,19.12,"7,500",19.12,19.12,19.12,0,0,0
20/09/2024,20.07,0,20.07,20.07,20.07,0,0,0
19/09/2024,20.07,"2,200",20.55,20.55,20.07,0,0,0
18/09/2024,20.55,300,20.46,20.55,20.46,0,0,0
17/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
16/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
13/09/2024,21.03,15,21.03,21.03,21.03,0,0,0
12/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
11/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
10/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
09/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
06/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
05/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
04/09/2024,21.03,0,21.03,21.03,21.03,0,0,0
30/08/2024,21.03,2,21.03,21.03,21.03,0,0,0
29/08/2024,21.03,0,21.03,21.03,21.03,0,0,0
28/08/2024,21.03,15,21.03,21.03,21.03,0,0,0
27/08/2024,21.03,0,21.03,21.03,21.03,0,0,0
26/08/2024,21.03,6,21.03,21.03,21.03,0,0,0
23/08/2024,21.03,200,21.03,21.03,21.03,0,0,0
22/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
21/08/2024,23.13,5,23.13,23.13,23.13,0,0,0
20/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
19/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
16/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
15/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
14/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
13/08/2024,23.13,5,23.13,23.13,23.13,0,0,0
12/08/2024,23.13,6,23.13,23.13,23.13,0,0,0
09/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
08/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
07/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
06/08/2024,23.13,6,23.13,23.13,23.13,0,0,0
05/08/2024,23.13,1,23.13,23.13,23.13,0,0,0
02/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
01/08/2024,23.13,0,23.13,23.13,23.13,0,0,0
31/07/2024,23.13,0,23.13,23.13,23.13,0,0,0
30/07/2024,23.13,0,23.13,23.13,23.13,0,0,0
29/07/2024,23.13,0,23.13,23.13,23.13,0,0,0
26/07/2024,23.13,0,23.13,23.13,23.13,0,0,0
25/07/2024,23.13,0,23.13,23.13,23.13,0,0,0
24/07/2024,23.13,0,23.13,23.13,23.13,0,0,0
23/07/2024,23.13,0,23.13,23.13,23.13,0,0,0
22/07/2024,23.13,1,23.13,23.13,23.13,0,0,0
19/07/2024,23.13,0,23.13,23.13,23.13,0,0,0
18/07/2024,23.13,4,23.13,23.13,23.13,0,0,0
17/07/2024,23.13,101,23.13,23.13,23.13,0,0,0
16/07/2024,20.55,131,20.55,20.55,20.55,0,0,0
15/07/2024,20.55,0,20.55,20.55,20.55,0,0,0
12/07/2024,20.55,1,20.55,20.55,20.55,0,0,0
11/07/2024,20.55,1,20.55,20.55,20.55,0,0,0
10/07/2024,20.55,0,20.55,20.55,20.55,0,0,0
09/07/2024,20.55,0,20.55,20.55,20.55,0,0,0
08/07/2024,20.55,33,20.55,20.55,20.55,0,0,0
05/07/2024,20.55,100,20.55,20.55,20.55,0,0,0
04/07/2024,21.99,507,21.99,21.99,21.99,0,0,0
03/07/2024,21.99,"20,700",20.74,21.99,20.65,400,0,0.0
02/07/2024,20.55,542,20.55,20.55,20.55,0,0,0
01/07/2024,20.07,"2,500",20.17,20.17,20.07,0,0,0
28/06/2024,20.74,0,20.74,20.74,20.74,0,0,0
27/06/2024,20.74,0,20.74,20.74,20.74,0,0,0
26/06/2024,20.74,0,20.74,20.74,20.74,0,0,0
25/06/2024,20.74,400,20.74,20.74,20.74,0,0,0
24/06/2024,20.65,0,20.65,20.65,20.65,0,0,0
21/06/2024,21.03,1,20.65,20.65,20.65,0,0,0
20/06/2024,21.03,"13,500",20.65,21.03,20.36,0,0,0
19/06/2024,20.07,"1,400",20.07,20.07,20.07,0,0,0
18/06/2024,19.69,0,19.69,19.69,19.69,0,0,0
17/06/2024,19.69,"1,000",19.69,19.69,19.69,0,0,0
14/06/2024,19.60,0,19.60,19.60,19.60,0,0,0
13/06/2024,19.60,0,19.60,19.60,19.60,0,0,0
12/06/2024,19.60,"2,800",19.41,19.60,19.41,0,0,0
11/06/2024,19.12,0,19.12,19.12,19.12,0,0,0
10/06/2024,19.12,"10,000",19.12,19.12,19.12,0,0,0
07/06/2024,19.12,100,19.12,19.12,19.12,0,0,0
06/06/2024,19.12,0,19.12,19.12,19.12,0,0,0
05/06/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
05/06/2024,19.12,"2,700",19.12,19.12,19.12,0,0,0
04/06/2024,19.12,400,19.12,19.12,19.12,0,0,0
03/06/2024,18.21,1,18.48,18.48,18.48,0,0,0
31/05/2024,18.48,0,18.48,18.48,18.48,0,0,0
30/05/2024,18.48,0,18.48,18.48,18.48,0,0,0
29/05/2024,18.48,0,18.48,18.48,18.48,0,0,0
28/05/2024,18.21,1,18.48,18.48,18.48,0,0,0
27/05/2024,18.21,"151,200",18.66,18.66,18.21,0,0,0
24/05/2024,18.66,201,18.66,18.66,18.66,0,0,0
23/05/2024,18.66,"1,000",18.66,18.66,18.66,0,0,0
22/05/2024,18.66,"1,000",18.66,18.66,18.66,0,0,0
21/05/2024,18.21,0,18.21,18.21,18.21,0,0,0
20/05/2024,18.21,100,18.21,18.21,18.21,0,100,-0.0
17/05/2024,18.21,0,18.21,18.21,18.21,0,0,0
16/05/2024,18.21,0,18.21,18.21,18.21,0,0,0
15/05/2024,18.21,0,18.21,18.21,18.21,0,0,0
14/05/2024,18.21,0,18.21,18.21,18.21,0,0,0
13/05/2024,18.21,"90,000",18.21,18.21,18.21,0,0,0
10/05/2024,16.84,0,16.84,16.84,16.84,0,0,0
09/05/2024,16.84,0,16.84,16.84,16.84,0,0,0
08/05/2024,16.84,100,16.84,16.84,16.84,0,100,-0.0
07/05/2024,17.48,0,17.48,17.48,17.48,0,0,0
