Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,49,"20,900",47.80,49.30,47.80,0,900,-0.0
20/03/2025,47.50,"25,100",45.50,47.80,45,0,"1,400",-0.1
19/03/2025,45.80,"8,200",46.70,46.70,45.30,0,400,-0.0
18/03/2025,46.80,"24,100",47.50,47.50,45.90,0,700,0
17/03/2025,47,"40,000",49.10,49.20,46.30,0,0,0
14/03/2025,49,"10,900",49,49,48.50,0,0,0
13/03/2025,49.50,"6,000",49,49.50,49,0,0,0
12/03/2025,49.60,"11,200",49.10,49.90,49,0,0,0
11/03/2025,49.90,"3,900",49,49.90,49,0,0,0
10/03/2025,49.20,"17,000",51,51,49.20,0,0,0
07/03/2025,50,"14,600",49.90,50.40,49.80,0,0,0
06/03/2025,50,"25,200",50.70,51,50,0,0,0
05/03/2025,50.50,"9,500",52.50,52.50,49.60,0,0,0
04/03/2025,52.30,"26,700",50.80,53.40,50.80,0,0,0
03/03/2025,49.70,"10,400",50,51,49.70,0,0,0
28/02/2025,49.60,"11,400",51.40,51.40,49.50,0,0,0
27/02/2025,50.20,"24,300",52.60,52.60,48.60,0,0,0
26/02/2025,52,"14,800",51.90,52.90,51.10,0,0,0
25/02/2025,51.40,"37,200",50.10,51.50,48.60,0,0,0
24/02/2025,50.20,"32,200",52,53.30,50.20,0,0,0
21/02/2025,52.50,"57,800",53.20,53.20,51.10,0,0,0
20/02/2025,53.50,"20,600",53.30,55.20,53.30,0,0,0
19/02/2025,53.30,"35,400",53,54.90,52.20,0,0,0
18/02/2025,54.50,"55,700",56.10,56.20,52.80,0,0,0
17/02/2025,57,"50,300",59.60,60.50,56,400,0,0.0
14/02/2025,59.60,"61,600",57,61.90,57,"3,100",0,0.2
13/02/2025,57.70,"48,200",55.50,58.20,54,0,0,0
12/02/2025,54.50,"51,710",57.90,57.90,51.50,0,0,0
11/02/2025,56.30,"64,007",60,62,56,100,0,0.0
10/02/2025,60.50,"68,905",60,64.70,59,"2,400",0,0.1
07/02/2025,59.80,"162,047",56.80,59.80,52.70,0,0,0
06/02/2025,53,"79,260",53,54,51,0,0,0
05/02/2025,50.80,"96,146",47.30,51.20,47,0,0,0
04/02/2025,47.40,"29,203",47.60,51.30,46,100,0,0.0
03/02/2025,47.60,"18,700",49.80,49.80,45.10,0,0,0
24/01/2025,48.50,"43,965",52.40,52.60,48.50,0,0,0
23/01/2025,52.50,"101,300",59,59,49.10,0,0,0
22/01/2025,53.20,"78,614",53.20,53.20,50,0,"3,000",-0.2
21/01/2025,46.40,"168,800",43,46.40,43,0,0,0
20/01/2025,41,"16,201",38,42,38,0,0,0
17/01/2025,38.50,"1,000",38.50,38.50,38.50,0,0,0
16/01/2025,35.60,700,35.90,37.80,35.60,0,0,0
15/01/2025,35.50,400,35.50,35.50,35.50,0,0,0
14/01/2025,35.50,900,35.50,35.50,35.50,0,0,0
13/01/2025,36.50,"1,200",37,37,36.50,0,0,0
10/01/2025,37,"2,700",37.90,37.90,37,0,0,0
09/01/2025,37.80,501,38,38,37.80,0,0,0
08/01/2025,37.60,0,37.60,37.60,37.60,0,0,0
07/01/2025,38,"1,100",37,38.90,36.50,0,0,0
06/01/2025,37.50,600,37.60,37.60,37.50,0,0,0
03/01/2025,38.80,500,37,38.80,37,0,0,0
02/01/2025,38.90,"1,600",37,39,35.80,0,0,0
31/12/2024,35.70,200,35.70,35.70,35.70,0,0,0
30/12/2024,38,301,39,39,38,100,0,0.0
27/12/2024,39.90,300,37,39.90,37,0,0,0
26/12/2024,35.70,"6,902",35.50,37,35.50,0,0,0
25/12/2024,37.50,"1,100",35.70,37.50,35.70,0,0,0
24/12/2024,37.80,100,37.80,37.80,37.80,0,0,0
23/12/2024,40.20,"6,300",35.20,40.20,35.20,0,0,0
20/12/2024,35.20,701,35.50,35.50,35.20,0,0,0
19/12/2024,36,"1,000",35.70,36,35.50,0,0,0
18/12/2024,36.70,0,36.70,36.70,36.70,0,0,0
17/12/2024,36.70,100,36.70,36.70,36.70,0,0,0
16/12/2024,35.90,200,37,37,35.90,0,0,0
13/12/2024,35.70,400,35.50,35.80,35.50,0,0,0
12/12/2024,35.50,673,35.40,35.50,35.40,0,0,0
11/12/2024,35.20,41,35.20,35.20,35.20,0,0,0
10/12/2024,35.20,700,35.20,35.20,35.20,0,0,0
09/12/2024,35.20,"2,800",35.60,35.60,35,0,0,0
06/12/2024,35.50,200,35.50,35.50,35.50,0,0,0
05/12/2024,35.10,0,35.10,35.10,35.10,0,0,0
04/12/2024,36.90,1,35.10,35.10,35.10,0,0,0
03/12/2024,36.90,"2,700",35,36.90,35,0,0,0
02/12/2024,34.80,"1,218",35,35.20,34.90,0,0,0
29/11/2024,35,"2,133",34.70,35,34.50,0,0,0
28/11/2024,35,800,35,35,35,0,0,0
27/11/2024,35,"1,400",35,35,35,0,0,0
26/11/2024,35.70,"3,400",35,35.90,34.50,0,0,0
25/11/2024,35.90,100,35.90,35.90,35.90,0,0,0
22/11/2024,34.40,554,35.50,35.50,34.40,0,0,0
21/11/2024,34.40,900,36,36,34.40,0,0,0
20/11/2024,36,100,36,36,36,0,0,0
19/11/2024,36.50,"10,384",35,37,35,0,0,0
18/11/2024,34.50,"3,700",34.20,34.50,33.50,"3,000",0,0.1
15/11/2024,34.50,"1,603",32.50,34.50,32.50,0,0,0
14/11/2024,34,"3,000",33.30,34.10,33,0,0,0
13/11/2024,34.50,"1,600",33,34.50,33,0,0,0
12/11/2024,34.20,"2,900",34,36.20,34,0,0,0
11/11/2024,36,"2,022",40,40,36,0,0,0
08/11/2024,35.70,600,35.70,35.70,35.50,0,0,0
07/11/2024,34,"7,005",34.20,36.10,33.50,0,0,0
06/11/2024,34.20,"1,100",32.90,35,32.90,0,0,0
05/11/2024,35.90,100,35.90,35.90,35.90,0,0,0
04/11/2024,36,"18,961",37.40,37.40,32.50,0,0,0
01/11/2024,37.30,"4,463",38.90,38.90,36.40,0,0,0
31/10/2024,36.50,"2,200",36.50,36.50,35.30,0,0,0
30/10/2024,36.50,"1,306",37.50,37.50,36.50,0,0,0
29/10/2024,37.30,"7,138",37.70,38,37.30,0,0,0
28/10/2024,36,300,38,38,36,0,0,0
25/10/2024,37.90,"7,468",35,38,34.80,0,0,0
24/10/2024,35,900,35,35.50,34.20,0,0,0
23/10/2024,34,"7,427",35.10,35.10,33.20,0,0,0
22/10/2024,37,"4,200",39,39,37,0,0,0
21/10/2024,36.10,"14,987",29.60,36.10,29.60,0,0,0
18/10/2024,31.90,"1,600",29.60,31.90,29.60,0,0,0
17/10/2024,28.60,"1,200",28.60,28.60,28.60,0,0,0
16/10/2024,29.70,0,29.70,29.70,29.70,0,0,0
15/10/2024,29.70,0,29.70,29.70,29.70,0,0,0
14/10/2024,29.70,0,29.70,29.70,29.70,0,0,0
11/10/2024,29.70,0,29.70,29.70,29.70,0,0,0
10/10/2024,29.70,100,29.70,29.70,29.70,0,0,0
09/10/2024,29,500,29,29,29,0,0,0
08/10/2024,29,"1,400",29.30,30.30,29,0,0,0
07/10/2024,30.60,0,30.60,30.60,30.60,0,0,0
04/10/2024,30.80,200,30.40,30.80,30.40,0,0,0
03/10/2024,29.50,100,29.50,29.50,29.50,0,0,0
02/10/2024,29.40,200,29.40,29.40,29.40,0,0,0
