Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8.50,"296,000",8.50,8.60,8.50,0,0,0
20/03/2025,8.60,"387,000",8.50,8.60,8.40,0,0,0
19/03/2025,8.50,"464,600",8.60,8.60,8.50,0,0,0
18/03/2025,8.60,"613,600",8.60,8.70,8.40,0,0,0
17/03/2025,8.50,"780,800",8.50,8.60,8.40,0,0,0
14/03/2025,8.60,"655,800",8.40,8.60,8.40,0,0,0
13/03/2025,8.50,"992,200",8.80,8.80,8.40,0,0,0
12/03/2025,8.70,"419,300",8.80,8.90,8.70,0,0,0
11/03/2025,8.90,"1,110,000",8.80,9,8.60,0,0,0
10/03/2025,8.80,"1,420,100",8.80,8.80,8.60,0,0,0
07/03/2025,8.80,"1,023,700",8.60,8.80,8.60,0,0,0
06/03/2025,8.60,"455,800",8.60,8.60,8.50,0,0,0
05/03/2025,8.60,"585,500",8.60,8.70,8.50,0,0,0
04/03/2025,8.70,"647,800",8.60,8.80,8.50,0,0,0
03/03/2025,8.60,"1,066,600",8.80,8.80,8.50,0,0,0
28/02/2025,8.80,"495,200",8.80,8.80,8.70,0,0,0
27/02/2025,8.80,"796,400",8.80,8.80,8.60,0,0,0
26/02/2025,8.70,"967,000",8.90,8.90,8.70,0,0,0
25/02/2025,8.90,"1,245,900",9,9.10,8.80,0,0,0
24/02/2025,9,"863,100",9.10,9.10,8.90,0,0,0
21/02/2025,9.10,"1,910,600",8.80,9.30,8.70,0,0,0
20/02/2025,8.90,"934,100",8.80,8.90,8.70,0,0,0
19/02/2025,8.90,"838,300",8.90,8.90,8.70,0,0,0
18/02/2025,8.90,"901,600",8.90,8.90,8.70,0,0,0
17/02/2025,8.90,"1,265,300",8.80,9,8.70,0,0,0
14/02/2025,8.80,"793,900",8.80,9,8.70,0,0,0
13/02/2025,8.80,"569,800",8.80,8.80,8.60,0,0,0
12/02/2025,8.80,"1,222,148",8.80,9,8.60,0,0,0
11/02/2025,8.80,"1,587,714",8.50,8.90,8.50,0,0,0
10/02/2025,8.50,"1,120,401",8.40,8.60,8.40,0,0,0
07/02/2025,8.40,"1,061,630",8.30,8.50,8.20,0,0,0
06/02/2025,8.40,"729,605",8.30,8.40,8.20,0,0,0
05/02/2025,8.40,"569,520",8.50,8.50,8.30,0,0,0
