Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,20.50,"33,800",20.50,20.80,20.40,0,0,0
20/03/2025,20.30,"20,400",20.20,20.30,20.20,0,0,0
19/03/2025,20.20,"5,100",20.10,20.20,20.10,0,0,0
18/03/2025,20.30,"16,200",20.30,20.30,20,0,0,0
17/03/2025,20.40,"23,300",20.40,20.40,20.20,0,0,0
14/03/2025,20.50,"50,200",20.30,20.80,20.20,0,0,0
13/03/2025,20.60,"63,300",19.40,21.40,19.40,0,0,0
12/03/2025,19.60,"22,600",19.80,19.80,19.40,0,0,0
11/03/2025,19.50,"21,600",19.20,19.50,19.10,0,0,0
10/03/2025,19.60,"2,400",19.50,19.60,19.40,0,0,0
07/03/2025,19.60,"7,400",19.40,19.60,19.30,0,0,0
06/03/2025,19.20,"3,400",19,19.30,19,0,0,0
05/03/2025,19.30,400,19.30,19.30,19.30,0,0,0
04/03/2025,19,"40,300",19.70,19.70,19,0,0,0
03/03/2025,19.60,"7,500",19.30,19.80,19.30,0,0,0
28/02/2025,19.30,"13,800",19.40,19.40,19,0,0,0
27/02/2025,19.60,"7,400",19.60,19.60,19.50,0,0,0
26/02/2025,19.80,"9,300",19.80,20,19.60,0,0,0
25/02/2025,19.80,"35,500",20,20.20,19.60,0,0,0
24/02/2025,20,"26,400",19.80,20.10,19.50,0,0,0
21/02/2025,19.80,"28,500",19.50,19.80,19.30,0,0,0
20/02/2025,19.50,"22,400",19.70,19.70,19.10,0,0,0
19/02/2025,19,"28,300",18.60,19.10,18.60,0,0,0
18/02/2025,18.60,"31,500",18.60,18.60,18.60,0,0,0
17/02/2025,18.70,"40,900",18.60,19,18.50,0,0,0
14/02/2025,18.60,"1,200",18.50,18.80,18.10,0,0,0
13/02/2025,18.60,"10,200",18.70,18.80,18.60,0,0,0
12/02/2025,18.80,"43,800",18.70,18.80,18.50,0,0,0
11/02/2025,18.60,"1,900",18.50,18.60,18.50,0,0,0
10/02/2025,18.50,"1,702",18.90,18.90,18.50,0,0,0
07/02/2025,18.80,"5,500",19.30,19.30,18.50,0,0,0
06/02/2025,18.50,"4,400",19.20,19.20,18.50,0,0,0
05/02/2025,18.50,"1,500",18.50,19.50,18.50,0,0,0
04/02/2025,18.40,"1,500",18.50,18.60,18.40,0,0,0
03/02/2025,19,0,19,19,19,0,0,0
24/01/2025,18.60,700,19.90,19.90,18.60,0,0,0
23/01/2025,18.50,0,18.50,18.50,18.50,0,0,0
22/01/2025,18.40,"2,100",18.50,18.50,18.40,0,0,0
21/01/2025,18.30,"2,700",18.30,18.40,18.30,0,0,0
20/01/2025,18.50,800,18.60,18.60,18.30,0,0,0
17/01/2025,18.50,"2,800",18.50,18.50,18.20,0,0,0
16/01/2025,18.50,"2,600",18.30,18.50,18.30,0,0,0
15/01/2025,18.70,200,18.70,18.70,18.70,0,0,0
14/01/2025,18.50,"3,901",18.30,18.50,18,0,0,0
13/01/2025,18.60,0,18.60,18.60,18.60,0,0,0
10/01/2025,18.60,"2,800",18.60,18.60,18.60,0,0,0
09/01/2025,18.60,200,18.60,18.60,18.60,0,0,0
08/01/2025,18.40,"8,900",18.50,18.50,18.40,0,0,0
07/01/2025,18.40,100,18.40,18.40,18.40,0,0,0
06/01/2025,18.60,100,18.60,18.60,18.60,0,0,0
03/01/2025,18.70,0,18.70,18.70,18.70,0,0,0
02/01/2025,18.70,200,18.70,18.70,18.70,0,0,0
31/12/2024,18.50,"3,100",18.70,18.70,18.50,0,0,0
30/12/2024,18.60,"5,200",18.40,18.70,18.40,0,0,0
27/12/2024,18.50,"1,900",18.50,18.60,18.40,0,0,0
26/12/2024,18.60,"3,300",18.80,18.80,18.30,0,0,0
25/12/2024,18.30,"5,000",18.50,18.50,18.30,0,0,0
24/12/2024,18.50,"1,100",18.90,18.90,18.50,0,0,0
23/12/2024,18.70,300,18.70,18.70,18.70,0,0,0
20/12/2024,18.40,"4,100",18.10,18.50,18.10,0,0,0
19/12/2024,18.40,600,18.40,18.40,18.40,0,0,0
18/12/2024,18.70,100,18.70,18.70,18.70,0,0,0
17/12/2024,18.50,"1,400",18.40,18.50,18.40,0,0,0
16/12/2024,18.90,100,18.90,18.90,18.90,0,0,0
13/12/2024,18.40,"1,300",19.80,19.80,18.40,0,0,0
12/12/2024,18.40,200,18.40,18.40,18.40,0,0,0
11/12/2024,18.90,100,18.90,18.90,18.90,0,0,0
10/12/2024,18.50,"23,000",18.40,18.50,18.40,0,0,0
09/12/2024,18.40,"3,801",18.40,18.40,18.30,0,0,0
06/12/2024,18.30,"6,600",18.40,18.40,18.30,0,0,0
05/12/2024,18.40,"14,400",18.30,18.40,17.70,0,0,0
04/12/2024,18.40,"2,300",18.40,18.40,18.40,0,0,0
03/12/2024,18.40,"4,925",18.40,18.50,18.40,0,25,-0.0
02/12/2024,18.40,"1,500",18.40,18.60,18.40,0,0,0
29/11/2024,18.50,"4,200",18.80,18.80,18.40,0,0,0
28/11/2024,18.40,"12,000",18.50,18.50,18.40,0,0,0
27/11/2024,18.70,"11,900",18.40,18.70,18.40,0,0,0
26/11/2024,18.60,"8,300",18.50,18.60,18.50,0,0,0
25/11/2024,18.90,0,18.90,18.90,18.90,0,0,0
22/11/2024,18.90,100,18.90,18.90,18.90,0,0,0
21/11/2024,18.40,300,18.40,18.40,18.40,0,0,0
20/11/2024,18.50,"4,100",18.90,18.90,18.50,0,0,0
19/11/2024,18.50,"1,400",18.80,18.80,18.50,0,0,0
18/11/2024,18.60,"11,500",18.90,18.90,18.60,0,0,0
15/11/2024,18.60,0,18.60,18.60,18.60,0,0,0
14/11/2024,18.60,700,18.80,18.80,18.50,0,0,0
13/11/2024,18.50,"5,000",18.50,18.50,18.50,0,0,0
12/11/2024,18.90,0,18.90,18.90,18.90,0,0,0
11/11/2024,18.90,100,18.90,18.90,18.90,0,0,0
08/11/2024,18.40,"1,200",18.80,18.80,18.40,0,0,0
07/11/2024,18.50,"3,300",18.90,18.90,18.50,0,0,0
06/11/2024,18.50,"2,200",18.90,18.90,18.30,0,0,0
05/11/2024,18.50,"5,000",18.50,18.50,18.50,0,0,0
04/11/2024,18.70,700,18.90,18.90,18.70,0,0,0
01/11/2024,18.60,500,19.40,19.40,18.60,0,0,0
31/10/2024,18.50,"8,100",18.90,18.90,18.50,0,0,0
30/10/2024,18.60,100,18.60,18.60,18.60,0,0,0
29/10/2024,18.60,"7,100",19.20,19.20,18.50,0,0,0
28/10/2024,19.20,100,19.20,19.20,19.20,0,0,0
25/10/2024,19.40,100,19.40,19.40,19.40,0,0,0
24/10/2024,18.40,500,18.40,18.40,18.40,0,0,0
23/10/2024,18.60,"2,500",19,19,18.50,0,0,0
22/10/2024,18.30,"14,401",19.40,19.40,18.20,0,1,-0.0
21/10/2024,18.80,"6,200",19.10,19.10,18.70,0,0,0
18/10/2024,18.80,"3,900",18.90,18.90,18.80,0,0,0
17/10/2024,18.70,"5,800",18.70,19,18.60,0,0,0
16/10/2024,18.60,"28,000",19,19,18.60,0,0,0
15/10/2024,19.40,100,19.40,19.40,19.40,0,0,0
14/10/2024,18.50,"1,004",19.90,19.90,18.40,0,4,-0.0
11/10/2024,18.50,100,18.50,18.50,18.50,0,0,0
10/10/2024,18.90,300,19.40,19.40,18.90,0,0,0
09/10/2024,18.20,"3,500",18.20,18.30,18.10,0,0,0
08/10/2024,18.10,"3,100",18.30,18.30,18.10,0,0,0
07/10/2024,18.40,400,18,18.40,18,0,0,0
04/10/2024,18.50,"1,000",18.50,18.50,18.50,0,0,0
03/10/2024,18.50,0,18.50,18.50,18.50,0,0,0
02/10/2024,18.50,"1,500",18.40,18.50,18.40,0,0,0
01/10/2024,18.40,"5,300",18.30,18.40,18.30,0,0,0
30/09/2024,18.30,0,18.30,18.30,18.30,0,0,0
27/09/2024,18.30,"2,102",18.30,18.40,18.30,0,0,0
26/09/2024,18.30,200,18.30,18.30,18.30,0,0,0
25/09/2024,18.30,200,18.30,18.30,18.30,0,0,0
24/09/2024,18.10,"1,900",18.30,18.30,18.10,0,0,0
