Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,3.60,600,3.50,3.60,3.50,0,0,0
20/03/2025,3.60,"1,100",3.50,3.60,3.50,0,0,0
19/03/2025,3.60,"3,000",3.40,3.60,3.40,0,0,0
18/03/2025,3.40,400,3.40,3.40,3.40,0,0,0
17/03/2025,3.30,400,3.30,3.30,3.30,0,0,0
14/03/2025,3.30,"1,000",3.30,3.30,3.30,0,0,0
13/03/2025,3.40,"4,400",3.30,3.40,3.30,0,0,0
12/03/2025,3.40,"4,600",3.40,3.40,3.40,0,0,0
11/03/2025,3.50,100,3.50,3.50,3.50,0,0,0
10/03/2025,3.40,"1,100",3.30,3.40,3.30,0,0,0
07/03/2025,3.30,"11,700",3.30,3.30,3.30,0,0,0
06/03/2025,3.30,0,3.30,3.30,3.30,0,0,0
05/03/2025,3.30,200,3.30,3.30,3.30,0,0,0
04/03/2025,3.30,"16,700",3.40,3.40,3.30,0,0,0
03/03/2025,3.40,"15,900",3.40,3.60,3.40,0,0,0
28/02/2025,3.50,"1,700",3.50,3.50,3.40,0,0,0
27/02/2025,3.60,900,3.50,3.60,3.50,0,0,0
26/02/2025,3.50,"1,500",3.80,3.80,3.50,0,0,0
25/02/2025,3.80,"2,900",3.60,3.80,3.60,0,0,0
24/02/2025,3.60,"1,200",3.50,3.60,3.50,0,0,0
21/02/2025,3.50,"4,900",3.50,3.50,3.50,0,0,0
20/02/2025,3.50,"9,000",3.50,3.60,3.50,0,0,0
19/02/2025,3.50,"3,600",3.50,3.70,3.50,0,0,0
18/02/2025,3.50,"2,100",3.70,3.70,3.50,0,0,0
17/02/2025,3.50,"20,400",3.50,3.50,3.30,0,0,0
14/02/2025,3.30,900,3.30,3.30,3.30,0,0,0
13/02/2025,3.30,"1,500",3.30,3.30,3.30,0,0,0
12/02/2025,3.40,"3,510",3.40,3.40,3.20,0,0,0
11/02/2025,3.40,"1,005",3.50,3.50,3.40,0,0,0
10/02/2025,3.40,"1,302",3.50,3.50,3.40,0,0,0
07/02/2025,3.40,"23,405",3.30,3.50,3.20,0,0,0
06/02/2025,3.20,"1,000",3,3.20,3,0,0,0
05/02/2025,3.30,611,3.20,3.30,3.20,0,0,0
04/02/2025,3,"1,501",3.20,3.20,3,0,0,0
03/02/2025,3.10,"2,700",3.20,3.20,2.80,0,0,0
24/01/2025,3,"1,401",3,3.20,3,0,0,0
23/01/2025,3.20,400,3.20,3.20,3,0,0,0
22/01/2025,3.20,300,3,3.20,3,0,0,0
21/01/2025,3,"1,801",3,3,3,0,0,0
20/01/2025,3,"1,101",3.10,3.10,3,0,0,0
17/01/2025,3.30,501,3.30,3.30,3.30,0,0,0
16/01/2025,3,"1,610",3,3,3,0,0,0
15/01/2025,3,605,3.10,3.10,3,0,0,0
14/01/2025,3.10,"2,420",3,3.10,3,0,0,0
13/01/2025,3.10,"2,200",2.90,3.10,2.90,0,0,0
10/01/2025,3.10,"3,000",3.10,3.10,3,0,0,0
09/01/2025,3.20,400,3.20,3.20,3.10,0,0,0
08/01/2025,3.10,"1,201",3.10,3.10,3.10,0,0,0
07/01/2025,3.10,"1,600",3.20,3.20,3.10,0,0,0
06/01/2025,3.10,"4,800",3.40,3.40,3.10,0,0,0
03/01/2025,2.90,"28,901",3,3,2.90,0,0,0
02/01/2025,3,"30,418",3,3,3,0,0,0
31/12/2024,3,"7,000",3,3,2.90,0,0,0
30/12/2024,2.90,"2,611",3.20,3.20,2.90,0,0,0
27/12/2024,2.90,"185,262",3,3.30,2.60,0,0,0
26/12/2024,3.20,"9,714",3.10,3.20,3,0,0,0
25/12/2024,3,9,3,3,3,0,0,0
24/12/2024,3,"5,101",3.30,3.30,3,0,0,0
23/12/2024,3,"6,411",3,3.10,3,0,0,0
20/12/2024,3,"5,833",3.10,3.10,2.90,0,0,0
19/12/2024,3,"2,320",3,3.20,3,0,0,0
18/12/2024,3,"2,301",3.10,3.10,3,0,0,0
17/12/2024,3.10,"7,301",3,3.10,3,0,0,0
16/12/2024,3,53,3.10,3.10,3.10,0,0,0
13/12/2024,3,620,3,3.10,3,0,0,0
12/12/2024,3,200,3,3,3,0,0,0
11/12/2024,2.90,"8,615",2.90,2.90,2.90,0,0,0
10/12/2024,2.90,"1,050",2.90,2.90,2.90,0,0,0
09/12/2024,2.80,"2,701",3,3,2.80,0,0,0
06/12/2024,3,650,3,3,3,0,0,0
05/12/2024,3,510,3,3,3,0,0,0
04/12/2024,3,"1,300",3,3,3,0,0,0
03/12/2024,3,600,3.10,3.10,3,0,0,0
02/12/2024,2.90,"5,800",2.80,2.90,2.70,0,0,0
29/11/2024,3.10,"2,605",2.70,3.20,2.70,0,0,0
28/11/2024,2.80,200,2.80,2.80,2.80,0,0,0
27/11/2024,2.80,0,2.80,2.80,2.80,0,0,0
26/11/2024,2.80,"1,001",2.80,2.80,2.80,0,0,0
25/11/2024,2.80,0,2.80,2.80,2.80,0,0,0
22/11/2024,2.70,"3,000",2.90,2.90,2.70,0,0,0
21/11/2024,2.80,"2,400",2.80,2.80,2.80,0,0,0
