Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,13,300,13,13,13,0,0,0
20/03/2025,12,0,12,12,12,0,0,0
19/03/2025,12,100,12,12,12,0,100,-0.0
18/03/2025,12.70,0,12.70,12.70,12.70,0,0,0
17/03/2025,12.70,"8,900",12.70,12.70,12.70,"5,000",0,0
14/03/2025,12.70,"6,400",12.70,12.70,12.70,"5,000",0,0.1
13/03/2025,12.70,"4,300",12.70,12.70,12.70,0,0,0
12/03/2025,12,100,12,12,12,0,100,-0.0
11/03/2025,13,"6,200",12,13,11.90,0,100,-0.0
10/03/2025,13,100,13,13,13,0,0,0
07/03/2025,12.40,100,12.40,12.40,12.40,0,0,0
06/03/2025,12.50,0,12.50,12.50,12.50,0,0,0
05/03/2025,12,"1,100",12.50,12.60,12,0,0,0
04/03/2025,12.50,0,12.50,12.50,12.50,0,0,0
03/03/2025,12.50,0,12.50,12.50,12.50,0,0,0
28/02/2025,12.10,800,12.60,12.60,12.10,0,700,-0.0
27/02/2025,12.60,0,12.60,12.60,12.60,0,0,0
26/02/2025,12.60,0,12.60,12.60,12.60,0,0,0
25/02/2025,12.50,"1,700",12.60,12.60,12.40,0,0,0
24/02/2025,12.60,0,12.60,12.60,12.60,0,0,0
21/02/2025,12.60,100,12.60,12.60,12.60,0,0,0
20/02/2025,12.70,"1,600",13.50,13.50,12.70,0,0,0
19/02/2025,13.10,800,12.50,13.10,12.50,0,0,0
18/02/2025,12.50,200,12.50,12.50,12.50,0,0,0
17/02/2025,13.30,"21,400",13.30,13.30,13,"9,000","2,000",0.1
14/02/2025,13,200,12.60,13,12.60,0,100,-0.0
13/02/2025,13.40,100,13.40,13.40,13.40,0,0,0
12/02/2025,12.70,100,12.70,12.70,12.70,0,0,0
11/02/2025,12.60,"4,300",13.40,13.40,12.60,"2,000",0,0.0
10/02/2025,13.30,600,12.60,13.30,12.60,0,100,-0.0
07/02/2025,12.20,600,13.20,13.20,12.20,0,0,0
06/02/2025,12.10,702,11.30,13.40,11.30,0,100,-0.0
05/02/2025,12.40,"4,400",13.20,13.40,12.40,"3,000",0,0.0
04/02/2025,12.30,"1,100",13.40,13.40,12.30,0,0,0
03/02/2025,13,"1,000",13.60,13.60,13,500,0,0
24/01/2025,12.50,"10,200",12.60,12.60,12.30,0,"10,000",-0.1
23/01/2025,13.20,400,13.20,13.20,13.20,0,0,0
22/01/2025,13.20,"5,200",13,13.30,12.80,"4,500",0,0.1
21/01/2025,12.90,"5,700",12.70,12.90,12.70,"2,000",0,0.0
20/01/2025,12.70,"2,900",13,13,12.70,0,100,-0.0
17/01/2025,13.90,100,13.90,13.90,13.90,0,0,0
16/01/2025,12.70,"2,200",12.90,12.90,12.70,0,0,0
15/01/2025,13,"12,000",13.90,13.90,13,"11,500",0,0.2
14/01/2025,13,"1,500",13,13,13,0,0,0
13/01/2025,13.40,"1,100",13.40,13.40,13.40,0,0,0
10/01/2025,13.40,500,13.40,13.40,13.40,0,0,0
09/01/2025,13.30,"8,000",13.90,13.90,13.20,"5,000",0,0.1
08/01/2025,12.80,"8,600",13.40,13.40,12.80,"6,000",0,0.1
07/01/2025,12.80,"2,100",12.70,12.80,12.70,0,100,-0.0
06/01/2025,13.50,"11,100",12.60,13.70,12.60,"7,000",100,0.1
03/01/2025,13.60,"1,000",13.70,13.70,13.60,500,0,0.0
02/01/2025,13,"6,100",12.30,13.80,12.30,"5,000",100,0.1
31/12/2024,13,600,12.30,13,12.30,0,100,-0.0
30/12/2024,13,"2,000",12.30,13,12.30,0,0,0
27/12/2024,12.30,"1,500",12.50,12.50,12.30,0,0,0
26/12/2024,13,0,13,13,13,0,0,0
25/12/2024,13,"2,600",13,13,13,"2,000",0,0.0
24/12/2024,13,"4,000",12.70,13,12.70,"3,000",100,0.0
23/12/2024,13.30,"4,400",12.50,14.30,12.50,"3,000",100,0.0
20/12/2024,12.50,"3,700",13.40,13.40,12.50,"2,000",0,0.0
19/12/2024,12.50,"4,400",11.50,13.30,11.50,"2,000",100,0.0
18/12/2024,12.60,"2,642",11.50,13.40,11.50,"1,000",100,0.0
17/12/2024,13.10,"4,800",14.30,14.30,12.10,"2,100",0,0.0
16/12/2024,12.60,"6,800",12.50,12.60,12.50,"3,700",0,0.0
13/12/2024,12.50,"7,900",12.60,12.70,12.50,"4,000","1,000",0.0
12/12/2024,12.50,"15,800",12.20,12.50,12.20,"10,600",0,0.1
11/12/2024,12.40,"4,100",12.50,12.50,12.40,"3,000",0,0.0
10/12/2024,12.20,"4,500",12.60,12.60,12.20,0,0,0
09/12/2024,12.20,"1,400",12.60,12.60,12.20,0,0,0
06/12/2024,12.40,"2,800",12.60,12.60,12.40,0,0,0
05/12/2024,12.40,"3,600",12.50,12.50,12.40,"3,000",0,0.0
04/12/2024,12.20,"2,800",12.50,12.50,12.20,"2,300",0,0.0
03/12/2024,12.20,"7,300",12.20,12.20,12.20,"5,500",0,0.1
02/12/2024,11.90,"9,700",12,12.20,11.90,0,0,0
29/11/2024,11.90,500,11.90,12,11.90,0,0,0
28/11/2024,12,300,12,12,12,0,0,0
27/11/2024,12,0,12,12,12,0,0,0
26/11/2024,12,200,12,12,12,0,0,0
25/11/2024,11.90,"2,500",11.90,11.90,11.90,"2,000",0,0.0
22/11/2024,11.80,900,11.80,11.90,11.80,0,0,0
21/11/2024,11.90,"2,600",11.20,11.90,11.20,"2,000",100,0.0
20/11/2024,12.10,"1,600",11,12.10,11,700,100,0.0
19/11/2024,11.90,"4,100",11.50,11.90,11.50,"2,000",100,0.0
18/11/2024,11.90,600,10.80,11.90,10.80,0,100,-0.0
15/11/2024,12.10,600,10.70,12.10,10.70,0,100,-0.0
14/11/2024,12.10,600,10.70,12.10,10.70,0,100,-0.0
13/11/2024,12.30,"5,800",10.60,12.30,10.60,"4,000",100,0.0
12/11/2024,12.40,"2,700",12.60,12.60,11.80,"2,000",0,0.0
11/11/2024,11.80,"2,700",11.50,11.90,11.50,0,0,0
08/11/2024,11.80,0,11.80,11.80,11.80,0,0,0
07/11/2024,11.80,"1,000",11.80,11.80,11.80,0,0,0
06/11/2024,11.80,"2,800",11.50,11.80,11.10,0,0,0
05/11/2024,11.60,0,11.60,11.60,11.60,0,0,0
04/11/2024,11.60,200,11.60,11.60,11.60,0,0,0
01/11/2024,11.50,500,11.50,11.50,11.50,0,0,0
31/10/2024,11.70,0,11.70,11.70,11.70,0,0,0
30/10/2024,11.70,0,11.70,11.70,11.70,0,0,0
29/10/2024,11.70,0,11.70,11.70,11.70,0,0,0
28/10/2024,11.70,200,11.70,11.70,11.70,0,0,0
25/10/2024,11.50,0,11.50,11.50,11.50,0,0,0
24/10/2024,11.50,100,11.50,11.50,11.50,0,0,0
23/10/2024,11.80,0,11.80,11.80,11.80,0,0,0
22/10/2024,11.80,0,11.80,11.80,11.80,0,0,0
21/10/2024,11.80,"1,300",11.80,11.80,11.80,0,0,0
18/10/2024,11.80,"1,304",11.70,11.80,11.70,500,0,0.0
17/10/2024,11.60,"2,000",11.60,11.60,11.60,"1,000",0,0.0
16/10/2024,11.50,"3,000",11.60,11.60,11.50,0,0,0
15/10/2024,11.40,1,11.40,11.40,11.40,0,0,0
14/10/2024,11.40,310,11.40,11.40,11.40,0,0,0
11/10/2024,11.40,0,11.40,11.40,11.40,0,0,0
10/10/2024,11.40,11,11.40,11.40,11.40,0,0,0
09/10/2024,11.40,"3,100",11.50,11.50,11.40,0,0,0
08/10/2024,11.90,"4,512",11.30,11.90,11.30,"2,800",100,0.0
07/10/2024,11.90,"26,800",11.90,11.90,11.60,"15,000",0,0.2
04/10/2024,11.50,"5,000",11.90,11.90,11.50,"2,000",0,0.0
