Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,14.05,"5,891,300",14.15,14.20,14,"18,900","30,413",0
20/03/2025,14.20,"7,385,400",14.45,14.45,14.05,"4,100","305,070",-4.3
19/03/2025,14.35,"7,295,500",14.55,14.55,14.20,"35,000","50,186",-0.2
18/03/2025,14.45,"19,565,700",14.50,14.90,14.40,"33,352","939,014",-13.4
17/03/2025,14.35,"10,369,200",14.15,14.40,14.05,"615,300","44,600",8.1
14/03/2025,14.10,"7,484,100",14,14.15,13.90,"260,000","153,400",1.5
13/03/2025,14,"8,221,800",14.20,14.25,13.95,"66,000","631,200",-8.0
12/03/2025,14.15,"5,898,500",14.40,14.40,14.15,"3,700","605,600",-8.6
11/03/2025,14.30,"8,962,700",14.05,14.40,14,"151,700","355,525",-2.9
10/03/2025,14.25,"10,193,800",14.25,14.45,14.10,"937,823","73,800",12.3
07/03/2025,14.15,"10,053,400",14.15,14.40,14.10,"892,800","81,333",11.6
06/03/2025,14.10,"6,393,400",14.10,14.10,13.90,"128,900","125,700",0.0
05/03/2025,13.95,"7,250,900",14.20,14.30,13.95,"321,200","1,553,200",-17.4
04/03/2025,14.20,"9,967,800",14.20,14.40,14.10,"126,900","301,455",-2.5
03/03/2025,14.25,"9,345,100",14.30,14.35,14.15,"13,300","154,400",-2.0
28/02/2025,14.15,"18,805,000",13.80,14.25,13.80,"783,952","141,350",9.1
27/02/2025,13.80,"8,816,600",13.80,13.80,13.65,"193,300","211,410",-0.2
26/02/2025,13.70,"9,259,700",13.75,13.90,13.70,"6,400","1,275,472",-17.5
25/02/2025,13.80,"11,585,500",14,14,13.70,400,"2,034,542",-28.2
24/02/2025,13.75,"31,962,400",13.50,14,13.50,"187,900","3,406,368",-44.3
21/02/2025,14.45,"7,275,100",14.55,14.80,14.40,"22,200","97,900",-1.1
20/02/2025,14.65,"9,915,500",14.55,14.90,14.55,"282,600","485,000",-3.0
19/02/2025,14.55,"8,505,600",14.50,14.60,14.35,"198,200","343,700",-2.1
18/02/2025,14.45,"7,525,000",14.50,14.80,14.40,"127,200","555,500",-6.3
17/02/2025,14.30,"11,942,100",14.25,14.65,14.20,"431,400","379,400",0.7
14/02/2025,14.25,"4,626,000",14.30,14.45,14.20,"249,400","30,710",3.1
13/02/2025,14.25,"5,254,100",14.40,14.40,14.10,"127,400","72,130",0.8
12/02/2025,14.35,"6,606,400",14.35,14.65,14.35,"201,300","220,500",-0.3
11/02/2025,14.40,"5,720,400",14.60,14.70,14.35,"228,000","41,500",2.7
10/02/2025,14.55,"6,984,900",14.70,14.80,14.40,"100,500","132,100",-0.5
07/02/2025,14.45,"17,591,000",14,14.45,13.95,"592,900","197,512",5.6
06/02/2025,13.55,"2,012,000",13.65,13.75,13.50,"10,700","6,100",0.1
05/02/2025,13.65,"2,492,000",13.80,13.85,13.60,"28,300","94,800",-0.9
04/02/2025,13.70,"2,411,100",13.45,13.70,13.40,"108,901","13,800",1.3
03/02/2025,13.35,"1,275,600",13.30,13.45,13.25,"40,400","15,700",0.3
24/01/2025,13.25,"1,720,100",13.30,13.35,13.25,"48,900","67,800",-0.3
23/01/2025,13.30,"1,748,800",13.30,13.40,13.25,"37,600","177,300",-1.9
22/01/2025,13.25,"2,054,200",13.55,13.55,13.25,"42,600",0,0.6
21/01/2025,13.55,"1,235,400",13.70,13.70,13.45,"18,300",50,0.2
20/01/2025,13.60,"4,010,000",13.55,13.80,13.55,"362,000","10,499",4.8
17/01/2025,13.55,"1,410,700",13.55,13.65,13.50,900,"74,200",-1.0
16/01/2025,13.55,"1,303,700",13.70,13.75,13.50,700,"42,700",-0.6
15/01/2025,13.55,"2,947,000",13.25,13.75,13.25,"1,900","2,400",-0.0
14/01/2025,13.25,"1,138,400",13.35,13.40,13.20,100,"25,510",-0.3
13/01/2025,13.30,"1,499,500",13.20,13.35,13.10,"1,400","3,000",-0.0
10/01/2025,13.20,"1,665,100",13.40,13.40,13.15,100,"4,405",-0.1
09/01/2025,13.40,"1,481,700",13.25,13.50,13.25,"2,700","43,570",-0.5
08/01/2025,13.25,"1,572,000",13.15,13.35,13.15,"20,200","5,000",0.2
07/01/2025,13.20,"2,551,900",13.55,13.65,13.20,"17,400","3,400",0.2
06/01/2025,13.55,"1,857,400",13.80,13.90,13.55,"18,400","20,100",-0.0
03/01/2025,13.80,"1,707,500",13.95,14,13.80,"23,000","53,600",-0.4
02/01/2025,14,"1,171,900",14,14.05,13.95,"4,400","65,000",-0.8
31/12/2024,13.95,"1,129,700",13.95,14.05,13.90,628,"21,400",-0.3
30/12/2024,13.95,"1,392,100",14.05,14.15,13.95,"16,500","114,900",-1.4
27/12/2024,14,"2,433,200",14.15,14.25,14,"38,000","5,300",0.5
26/12/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  3%,,,,,,,,
26/12/2024,14.15,"1,661,200",14.25,14.30,14.15,"16,300","38,500",-0.3
25/12/2024,14.45,"6,409,400",14.16,14.65,14.11,"88,400","1,800",1.3
24/12/2024,14.06,"1,742,800",14.16,14.16,13.96,"9,600","26,300",-0.2
23/12/2024,14.11,"1,529,300",14.11,14.21,14.06,100,"13,700",-0.2
20/12/2024,14.01,"1,386,700",14.06,14.16,14.01,400,"7,300",-0.1
19/12/2024,14.06,"1,861,000",14.11,14.21,14.01,200,"1,600",-0.0
18/12/2024,14.21,"3,941,800",13.96,14.50,13.96,"12,500","37,200",-0.4
17/12/2024,13.91,"599,700",13.96,13.96,13.86,500,"8,820",-0.1
16/12/2024,13.91,"1,195,200",13.86,13.96,13.81,"2,300","52,300",-0.7
13/12/2024,13.86,"1,927,100",14.06,14.06,13.81,"2,600","75,700",-1.0
12/12/2024,14.06,"1,273,300",14.25,14.25,14.06,700,40,0.0
11/12/2024,14.16,"1,583,200",14.25,14.30,14.11,"30,000","37,400",-0.1
10/12/2024,14.25,"1,867,500",14.21,14.30,14.16,"66,800","8,300",0.8
09/12/2024,14.25,"1,999,900",14.30,14.40,14.25,"3,300","4,900",-0.0
06/12/2024,14.30,"1,990,500",14.35,14.40,14.11,"13,100","11,400",0.0
05/12/2024,14.30,"3,186,100",13.91,14.30,13.76,"70,000","33,500",0.5
04/12/2024,13.91,"2,539,700",14.06,14.11,13.91,"37,600","11,600",0.4
03/12/2024,14.06,"2,606,600",14.11,14.30,14.06,"99,300","8,900",1.3
02/12/2024,14.11,"3,959,200",13.86,14.35,13.86,"22,000","47,500",-0.4
29/11/2024,13.81,"1,287,400",13.86,13.96,13.76,"13,800","9,400",0.1
28/11/2024,13.91,"1,286,200",14.01,14.11,13.86,0,"104,600",-1.5
27/11/2024,14.01,"941,800",14.06,14.11,13.91,"45,600","16,600",0.4
26/11/2024,14.06,"1,486,500",13.96,14.11,13.96,"13,000","200,400",-2.7
25/11/2024,13.96,"1,112,300",13.86,14.01,13.86,500,"5,000",-0.1
22/11/2024,13.86,"1,944,800",13.86,14.01,13.81,"2,000","131,900",-1.8
21/11/2024,13.96,"758,000",13.96,13.96,13.81,"9,500","70,200",-0.9
20/11/2024,13.96,"1,845,500",13.62,14.11,13.57,"4,800","73,900",-1.0
19/11/2024,13.62,"1,217,400",13.76,13.81,13.62,"4,200","32,500",-0.4
18/11/2024,13.72,"2,081,700",13.57,13.81,13.57,"140,100","57,900",1.1
15/11/2024,13.57,"4,128,900",13.86,13.86,13.57,"106,100","537,700",-6.1
14/11/2024,13.81,"2,282,600",14.21,14.30,13.81,"46,800","44,700",0.0
13/11/2024,14.21,"2,644,400",14.30,14.40,14.16,"25,600","142,400",-1.7
12/11/2024,14.40,"2,350,800",14.50,14.55,14.30,400,"541,500",-8.0
11/11/2024,14.40,"2,450,200",14.65,14.69,14.40,"4,200","49,200",-0.7
08/11/2024,14.60,"1,479,900",14.74,14.79,14.60,"3,500","10,200",-0.1
07/11/2024,14.74,"1,498,900",14.84,14.99,14.74,"12,900","123,600",-1.7
06/11/2024,14.79,"2,185,700",14.69,14.79,14.60,0,0,0
05/11/2024,14.60,"1,158,400",14.55,14.69,14.55,0,"1,800",-0.0
04/11/2024,14.55,"2,516,000",14.79,14.89,14.55,"3,700","9,300",-0.1
01/11/2024,14.79,"2,525,500",14.89,15.04,14.79,"2,000","59,800",-0.9
31/10/2024,14.94,"2,138,800",15.04,15.09,14.89,800,300,0.0
30/10/2024,15.09,"2,695,300",15.18,15.23,14.89,"13,700","40,100",-0.4
29/10/2024,15.14,"2,964,000",15.18,15.33,15.04,"136,500","1,600",2.1
28/10/2024,15.14,"1,145,700",15.09,15.18,15.04,"32,700","6,900",0.4
25/10/2024,15.09,"3,753,800",14.99,15.28,14.94,"52,800","11,900",0.6
24/10/2024,14.94,"2,253,200",15.23,15.28,14.94,"21,000","17,000",0.1
23/10/2024,15.23,"3,569,700",15.09,15.38,14.99,"159,800",600,2.5
22/10/2024,15.09,"4,201,900",15.14,15.43,14.94,"85,300","40,400",0.7
21/10/2024,15.18,"4,599,900",15.48,15.48,15.18,"14,300","90,600",-1.2
18/10/2024,15.43,"3,895,100",15.63,15.77,15.43,"5,400","250,400",-3.9
17/10/2024,15.58,"5,649,700",15.28,15.58,15.14,"183,100","400,900",-3.5
16/10/2024,15.23,"5,599,500",15.53,15.53,15.04,"72,500","86,200",-0.2
15/10/2024,15.48,"3,774,500",15.72,15.82,15.38,"130,400","105,800",0.4
14/10/2024,15.72,"11,928,000",15.18,15.87,15.09,"719,500","1,500",11.4
11/10/2024,15.09,"2,063,800",15.04,15.09,14.94,0,600,-0.0
10/10/2024,14.99,"1,614,000",15.14,15.18,14.99,"103,400",0,1.6
09/10/2024,15.09,"1,578,700",15.04,15.14,14.99,600,"3,600",-0.0
08/10/2024,14.94,"3,861,800",14.89,15.28,14.84,600,"27,400",-0.4
07/10/2024,14.69,"1,211,800",14.84,14.84,14.65,"52,700","20,600",0.5
04/10/2024,14.69,"1,716,700",14.79,14.84,14.69,"15,000","3,400",0.2
03/10/2024,14.69,"4,089,600",15.09,15.18,14.69,"59,200","23,700",0.5
02/10/2024,15.04,"2,712,400",15.23,15.23,15.04,"4,600","72,300",-1.0
01/10/2024,15.28,"5,490,000",15.28,15.43,15.18,"9,600","198,200",-2.9
30/09/2024,15.18,"2,333,700",15.09,15.23,15.04,"1,000","279,800",-4.3
27/09/2024,15.18,"4,680,800",15.23,15.53,15.18,"77,100","262,600",-2.9
26/09/2024,15.18,"5,198,500",15.14,15.23,15.04,"23,600","46,900",-0.4
25/09/2024,15.18,"5,018,100",14.94,15.28,14.89,"439,400","52,900",6.0
24/09/2024,14.79,"2,534,800",14.79,14.89,14.74,"152,000","58,900",1.4
23/09/2024,14.79,"1,457,800",14.99,15.04,14.79,100,"43,500",-0.7
20/09/2024,14.89,"2,064,200",15.04,15.09,14.89,"14,300","20,900",-0.1
19/09/2024,14.94,"2,242,200",14.89,14.99,14.84,"52,300","53,900",-0.0
18/09/2024,14.84,"1,662,500",14.79,14.94,14.74,"49,600","54,300",-0.1
17/09/2024,14.89,"1,825,400",14.55,14.89,14.50,"55,800","32,900",0.3
16/09/2024,14.55,"1,696,200",14.69,14.84,14.55,"144,400",0,2.2
13/09/2024,14.69,"1,243,400",14.65,14.74,14.55,"4,400","1,700",0.0
12/09/2024,14.65,"1,545,300",14.69,14.79,14.65,"26,400","14,000",0.2
11/09/2024,14.55,"2,500,400",14.74,14.79,14.45,"12,800","159,400",-2.2
10/09/2024,14.74,"2,612,600",15.04,15.14,14.69,"89,100","66,800",0.3
09/09/2024,14.99,"1,877,000",14.94,15.14,14.89,0,0,0
06/09/2024,14.99,"2,316,500",15.09,15.14,14.89,"127,000","2,000",1.9
05/09/2024,15.09,"2,030,300",15.33,15.43,14.99,"59,300","136,300",-1.2
04/09/2024,15.28,"4,069,900",14.89,15.38,14.84,"85,500","250,900",-2.6
30/08/2024,15.09,"2,609,200",15.28,15.28,15.04,"13,200","199,700",-2.9
29/08/2024,15.28,"1,382,800",15.23,15.38,15.14,"44,700","92,300",-0.7
28/08/2024,15.28,"3,795,100",15.38,15.58,15.04,"91,000","78,800",0.2
27/08/2024,15.23,"3,317,100",15.43,15.43,15.18,"163,000","132,900",0.4
26/08/2024,15.38,"2,673,200",15.53,15.63,15.38,"129,500","53,700",1.2
23/08/2024,15.43,"2,946,000",15.33,15.48,15.18,"251,600","32,400",3.4
22/08/2024,15.38,"2,676,300",15.67,15.67,15.33,"6,000","62,800",-0.9
21/08/2024,15.63,"6,492,600",15.38,15.87,15.23,"36,200","349,200",-5.0
20/08/2024,15.23,"6,518,300",14.99,15.48,14.84,"468,900","85,300",5.9
19/08/2024,14.94,"4,773,900",15.09,15.28,14.94,"80,200","14,100",1.0
16/08/2024,14.84,"6,966,200",14.06,14.84,14.06,"281,700","3,600",4.1
15/08/2024,13.96,"1,903,700",14.11,14.40,13.96,"105,700",600,1.5
14/08/2024,14.16,"1,151,800",14.30,14.40,14.11,"14,800","32,200",-0.3
13/08/2024,14.25,"1,692,900",14.40,14.50,14.21,"15,500","128,900",-1.7
12/08/2024,14.40,"2,309,500",14.35,14.60,14.21,"7,000","35,100",-0.4
09/08/2024,14.35,"1,623,200",14.35,14.35,14.11,"10,800","63,000",-0.8
08/08/2024,14.16,"5,507,800",13.86,14.60,13.81,"130,500","3,000",1.8
07/08/2024,13.96,"1,709,500",13.91,14.01,13.72,"41,200","148,000",-1.5
06/08/2024,13.91,"4,215,800",13.52,13.91,13.32,"215,300","84,500",1.8
05/08/2024,13.32,"6,290,900",14.16,14.25,13.32,"19,900","138,100",-1.7
02/08/2024,14.30,"2,766,600",14.11,14.45,14.11,"155,400","66,900",1.3
01/08/2024,14.25,"5,282,900",15.09,15.18,14.25,"45,400","324,100",-4.2
31/07/2024,15.09,"1,548,100",15.09,15.18,14.99,"59,400","33,000",0.4
30/07/2024,14.99,"1,931,900",14.94,15.09,14.89,"45,100","2,800",0.6
29/07/2024,15.04,"2,128,100",15.04,15.23,14.99,"45,100","2,800",0.6
26/07/2024,15.04,"1,874,800",15.14,15.14,14.94,"17,000","10,900",0.1
25/07/2024,14.89,"1,897,200",14.94,15.04,14.79,"36,900","38,800",-0.0
24/07/2024,15.09,"4,107,900",14.89,15.28,14.55,"176,300","9,800",2.5
23/07/2024,14.94,"2,567,400",15.28,15.43,14.94,"8,600","205,655",-3.1
22/07/2024,15.28,"4,867,500",15.53,15.58,15.18,"13,100","20,100",-0.1
19/07/2024,15.58,"3,634,700",15.92,15.97,15.58,"18,400","46,600",-0.5
18/07/2024,15.92,"3,446,800",15.82,15.92,15.67,"339,100","1,000",5.4
17/07/2024,15.72,"4,737,100",16.36,16.36,15.58,"55,000","177,100",-2.0
16/07/2024,16.26,"7,237,100",16.16,16.56,16.12,"80,700","392,200",-5.2
15/07/2024,15.92,"2,081,600",16.07,16.12,15.92,"9,400",0,0.2
12/07/2024,15.92,"4,124,500",16.12,16.16,15.87,"61,700","67,000",-0.1
11/07/2024,16.02,"4,696,200",15.87,16.36,15.87,"192,900","17,800",2.9
10/07/2024,15.82,"3,438,600",16.12,16.12,15.77,"4,300","80,400",-1.2
09/07/2024,16.02,"2,348,300",16.12,16.12,15.92,"3,200","45,900",-0.7
08/07/2024,15.97,"5,986,100",16.16,16.36,15.97,"4,500","103,700",-1.6
05/07/2024,15.58,"2,906,600",15.67,15.77,15.53,"22,200","7,600",0.2
04/07/2024,15.67,"1,457,300",15.77,15.82,15.63,"5,300","14,500",-0.1
03/07/2024,15.67,"2,313,800",15.77,15.82,15.67,"5,100","1,200",0.1
