Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,50.80,"11,900",50,50.80,50,0,0,0
20/03/2025,50,"7,700",50,50.20,49.90,0,0,0
19/03/2025,50.30,"9,700",50.30,50.30,50,0,0,0
18/03/2025,50,"15,400",50.50,50.50,50,0,0,0
17/03/2025,50.40,"5,300",50.10,50.40,50.10,0,0,0
14/03/2025,50.10,"10,100",50,50.40,50,0,0,0
13/03/2025,50.10,"6,900",50.50,50.50,50.10,0,0,0
12/03/2025,50.90,"9,000",50.20,51.40,50.20,0,0,0
11/03/2025,50.30,"11,400",49.80,50.30,49.20,0,0,0
10/03/2025,50,"9,100",49.70,50,49.50,0,0,0
07/03/2025,50,"6,800",49.30,50,49.30,0,0,0
06/03/2025,49.70,"11,500",50.10,50.10,48.50,0,0,0
05/03/2025,50.20,"10,700",51.50,51.50,50,0,0,0
04/03/2025,51,"1,300",51.50,51.50,50.50,0,0,0
03/03/2025,51.70,"7,100",51.10,51.70,50.50,0,0,0
28/02/2025,51,"35,700",52.80,53,51,0,0,0
27/02/2025,52,"14,700",52.50,52.50,51.50,0,0,0
26/02/2025,51.80,"41,500",48.60,52.50,48.30,0,0,0
25/02/2025,48.30,"13,900",48.10,48.30,47.50,0,0,0
24/02/2025,48.70,"10,300",48.30,48.70,47.50,0,0,0
21/02/2025,47.30,"8,600",48.90,48.90,47.10,0,0,0
20/02/2025,49.10,"8,600",49,49.30,47,0,0,0
19/02/2025,49.50,"19,100",49.20,49.50,49.20,0,0,0
18/02/2025,49.20,"19,500",50,50,48.60,0,0,0
17/02/2025,49.90,"6,300",51,51,49,0,0,0
14/02/2025,51,"2,700",52,52,51,0,0,0
13/02/2025,51.10,"10,200",49.40,52.50,49.40,0,0,0
12/02/2025,49,"15,458",51.50,51.50,49,0,0,0
11/02/2025,52,"9,200",52.80,52.80,51.60,0,0,0
10/02/2025,52,"39,737",54.60,55.50,51.50,0,0,0
07/02/2025,54.80,"23,110",54.40,55.50,53.80,0,0,0
06/02/2025,53.80,"31,706",50.50,56,50.50,0,0,0
05/02/2025,50.50,"37,957",49,50.60,49,0,0,0
04/02/2025,48.70,"34,284",45,48.70,45,0,0,0
03/02/2025,45,"8,700",44.80,45,44.60,0,0,0
24/01/2025,44.70,"2,916",44,44.90,44,0,0,0
23/01/2025,44.90,"8,100",45.90,45.90,44.70,0,0,0
22/01/2025,44.50,"11,128",46.90,47,44.20,0,0,0
21/01/2025,46.90,"20,340",44.50,47.50,44.50,0,0,0
20/01/2025,44.40,"7,600",44.20,44.50,44.20,0,0,0
17/01/2025,44.20,"12,849",43.20,44.50,43.20,0,0,0
16/01/2025,43.30,"1,700",43.30,43.30,43.20,0,0,0
15/01/2025,43,"3,600",43.20,43.30,43,0,0,0
14/01/2025,43.20,"5,701",43.20,43.40,43,0,0,0
13/01/2025,43,"1,300",43.30,43.30,43,0,0,0
10/01/2025,43.10,"1,600",43.30,43.40,43.10,0,0,0
09/01/2025,43,"1,362",43.50,43.50,43,0,0,0
08/01/2025,43.60,"2,100",42.80,43.70,42.50,0,0,0
07/01/2025,42.90,"1,001",42.90,42.90,42.90,0,0,0
06/01/2025,42.90,"3,500",43.50,43.50,42.90,0,0,0
03/01/2025,43.40,"5,200",43.60,43.60,43.40,0,0,0
02/01/2025,43.60,"9,444",43.80,43.80,43.50,0,0,0
31/12/2024,43.80,"3,700",43.60,43.80,43.30,0,0,0
30/12/2024,43.50,"7,020",43.80,43.80,43.50,0,0,0
27/12/2024,43.60,"11,002",43.70,43.70,43.40,0,0,0
26/12/2024,43.80,"10,800",44,44,43.50,0,0,0
25/12/2024,44.30,"4,700",44.10,44.30,43.70,0,0,0
24/12/2024,44,"16,825",44,44.40,43.70,0,0,0
23/12/2024,44,"8,940",44,44.40,43.50,0,0,0
20/12/2024,43.80,"8,900",43.70,43.90,43,0,0,0
19/12/2024,44.30,"1,901",43.50,44.30,43.50,0,0,0
18/12/2024,43.90,"5,700",45,45,43.60,0,0,0
17/12/2024,44.30,"7,400",43.90,44.30,43.30,0,0,0
16/12/2024,43.40,"4,100",44.60,44.60,43.40,0,0,0
13/12/2024,44.60,"3,900",44.50,44.60,44.50,0,0,0
12/12/2024,44.10,"8,301",44,44.40,44,0,0,0
11/12/2024,43.50,"5,600",43.20,43.50,43.20,0,0,0
10/12/2024,43.40,"8,850",43,43.50,42.90,0,0,0
09/12/2024,43.60,"18,100",44.40,44.40,43,0,0,0
06/12/2024,44.50,"7,754",44.90,45,44.10,0,0,0
05/12/2024,45,"17,060",43.30,45,43.20,0,0,0
04/12/2024,44,"20,500",42.20,44,42.20,0,0,0
03/12/2024,42.40,"9,500",41.90,42.60,41.90,0,0,0
02/12/2024,41.50,"3,455",41.50,42.40,41.50,0,0,0
29/11/2024,41.60,"11,200",41.30,41.80,41,0,0,0
28/11/2024,40.70,"12,200",40.30,41.20,40.30,0,0,0
27/11/2024,40.70,"2,614",40.90,40.90,40.40,0,0,0
26/11/2024,41,"7,500",41.50,41.50,41,0,0,0
25/11/2024,41.40,"3,200",41.90,41.90,41.40,0,0,0
22/11/2024,42,"23,550",41.70,42,41.20,0,0,0
21/11/2024,41.10,"4,916",41,41.70,41,0,0,0
