Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,23.20,"5,500",22.40,23.20,22.40,0,0,0
20/03/2025,23,0,23,23,23,0,0,0
19/03/2025,23,"5,600",23.40,23.50,23,0,0,0
18/03/2025,23.40,0,23.40,23.40,23.40,0,0,0
17/03/2025,23.40,"2,100",22.90,23.40,22.80,0,500,0
14/03/2025,23.20,"9,500",23,23.20,22.90,0,0,0
13/03/2025,23,"1,200",23.10,23.10,23,0,0,0
12/03/2025,23.20,"5,500",23.40,23.40,23,400,0,0.0
11/03/2025,23.10,"15,800",23,23.40,23,0,0,0
10/03/2025,23.10,"6,100",23.20,23.20,23,0,0,0
07/03/2025,23.10,"8,300",23.10,23.10,23.10,0,0,0
06/03/2025,23.10,"9,300",23.10,23.30,23.10,0,0,0
05/03/2025,23.10,100,23.10,23.10,23.10,0,0,0
04/03/2025,23.20,"10,300",23.10,23.20,23.10,0,0,0
03/03/2025,23.20,"5,100",23.10,23.20,23.10,100,"2,000",-0.0
28/02/2025,23.20,"16,600",23.30,23.30,23.20,0,0,0
27/02/2025,23.40,"21,400",23.30,23.40,23.20,0,0,0
26/02/2025,23.50,"10,900",23,23.50,23,0,0,0
25/02/2025,23,"26,000",22.90,23.10,22.90,0,0,0
24/02/2025,22.90,"8,600",22.80,22.90,22.80,900,0,0.0
21/02/2025,22.90,"5,400",22.80,23,22.70,0,0,0
20/02/2025,22.50,"13,700",22.80,23.50,22.50,0,"7,300",-0.2
19/02/2025,22.50,"2,200",22.60,22.60,22.50,0,0,0
18/02/2025,22.70,"8,200",22.60,22.70,22.60,0,"6,900",-0.2
17/02/2025,22.60,"11,700",22.70,22.70,22.50,200,"7,000",-0.2
14/02/2025,22.70,"1,800",22.70,22.70,22.70,0,0,0
13/02/2025,22.60,"2,300",22.40,22.60,22.40,0,0,0
12/02/2025,22.40,700,22.60,22.70,22.40,0,0,0
11/02/2025,22.30,"3,211",22.60,22.60,22.30,0,0,0
10/02/2025,22.60,"5,900",22.90,23,22.20,0,0,0
07/02/2025,23,"1,200",23,23,23,0,0,0
06/02/2025,23,"1,005",23,23,23,0,0,0
05/02/2025,23.30,"6,100",23.50,23.50,21.50,0,900,-0.0
04/02/2025,23,"7,000",23.40,23.50,23,0,0,0
03/02/2025,23,"8,000",22.70,23.60,22.70,"2,000",0,0
24/01/2025,22.70,48,22.70,22.70,22.70,0,0,0
23/01/2025,22.70,100,22.70,22.70,22.70,0,0,0
22/01/2025,22.70,"4,900",22.40,22.70,22.40,0,300,-0.0
21/01/2025,22.20,"2,600",22.20,22.20,22.20,0,0,0
20/01/2025,22,"1,400",22,22,22,0,0,0
17/01/2025,22,"1,000",21.90,22,21.90,0,0,0
