Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,82.60,0,82.60,82.60,82.60,0,0,0
20/03/2025,82.60,"1,100",80.60,82.60,80,0,0,0
19/03/2025,84,0,84,84,84,0,0,0
18/03/2025,84,100,84,84,84,0,0,0
17/03/2025,82.10,"3,100",82.80,89.80,80.50,0,0,0
14/03/2025,81.70,"3,400",81.70,81.80,81.70,0,0,0
13/03/2025,81.80,300,79,81.90,79,0,0,0
12/03/2025,83.20,0,83.20,83.20,83.20,0,0,0
11/03/2025,83.20,0,83.20,83.20,83.20,0,0,0
10/03/2025,83.20,800,81,83.20,81,0,0,0
07/03/2025,80.70,"1,300",80,80.70,80,0,0,0
06/03/2025,80,700,80,80,80,0,0,0
05/03/2025,79,900,79.40,79.40,79,0,0,0
04/03/2025,79.20,200,85,85,79.20,0,0,0
03/03/2025,80.30,"1,200",80,87,80,0,0,0
28/02/2025,79.50,"3,200",79.10,79.50,79.10,0,0,0
27/02/2025,80,"2,100",79.10,80,79.10,0,0,0
26/02/2025,79,"2,200",79,79,79,0,0,0
25/02/2025,78.50,"1,700",78.90,78.90,78.40,0,0,0
24/02/2025,78.90,"2,100",78.20,78.90,78.20,0,0,0
21/02/2025,78.20,"2,900",78.20,78.20,78.20,0,0,0
20/02/2025,78.10,0,78.10,78.10,78.10,0,0,0
19/02/2025,78.10,0,78.10,78.10,78.10,0,0,0
18/02/2025,78.10,"7,600",79.90,80,78.10,0,0,0
17/02/2025,80,0,80,80,80,0,0,0
14/02/2025,80,"1,300",77.30,80,77.30,0,0,0
13/02/2025,78.30,"1,000",78.20,78.40,78.20,0,0,0
12/02/2025,78,"3,300",78.20,78.40,78,0,0,0
11/02/2025,84.50,300,80,85,80,0,0,0
10/02/2025,78,"3,000",75,78,75,0,0,0
07/02/2025,75,"1,100",74.90,75,74.90,0,0,0
06/02/2025,75,100,75,75,75,0,0,0
05/02/2025,70.80,0,70.80,70.80,70.80,0,0,0
04/02/2025,70.80,0,70.80,70.80,70.80,0,0,0
03/02/2025,70.80,300,70.80,70.80,70.80,0,0,0
24/01/2025,70.70,0,70.70,70.70,70.70,0,0,0
23/01/2025,70.70,100,70.70,70.70,70.70,0,0,0
22/01/2025,72,"1,300",73,75.90,69.10,0,0,0
21/01/2025,76,100,76,76,76,0,0,0
20/01/2025,78.50,100,78.50,78.50,78.50,0,0,0
17/01/2025,78.50,0,78.50,78.50,78.50,0,0,0
16/01/2025,78.50,0,78.50,78.50,78.50,0,0,0
15/01/2025,78.50,0,78.50,78.50,78.50,0,0,0
14/01/2025,78.50,0,78.50,78.50,78.50,0,0,0
13/01/2025,78.50,"1,125",78,78.50,78,0,0,0
10/01/2025,77.10,0,77.10,77.10,77.10,0,0,0
09/01/2025,77.10,"1,900",73.70,77.10,73.50,0,0,0
08/01/2025,77.30,0,77.30,77.30,77.30,0,0,0
07/01/2025,77.30,0,77.30,77.30,77.30,0,0,0
06/01/2025,77.30,306,72,77.30,72,0,0,0
03/01/2025,77.30,100,77.30,77.30,77.30,0,0,0
