Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,41.50,"476,100",41.15,41.75,41.15,"86,200","36,100",0
20/03/2025,41.15,"574,100",41.15,41.60,40.65,"104,600","8,397",4.0
19/03/2025,41.15,"572,000",41.80,41.90,41.10,"124,825","30,600",3.9
18/03/2025,41.70,"563,800",41.05,41.90,41.05,"225,930","5,399",9.2
17/03/2025,41.10,"585,700",41.75,41.85,41.05,"27,700","6,600",0.9
14/03/2025,41.50,"1,205,300",42.80,42.80,41.30,"104,697","30,060",3.2
13/03/2025,42.45,"843,900",42.50,43.40,42.40,"29,800","14,200",0.7
12/03/2025,42.25,"1,808,600",43.10,43.35,42.25,"103,700","92,000",0.5
11/03/2025,43.10,"1,602,500",43.05,43.30,42.95,"92,800","48,976",1.9
10/03/2025,43.95,"910,000",44.50,44.50,43.90,"12,100","145,498",-5.9
07/03/2025,44.35,"596,200",44.80,44.85,44.30,"9,200","4,862",0.2
06/03/2025,44.60,"1,053,600",44.15,44.80,44,"41,700","146,401",-4.6
05/03/2025,44,"644,900",44.15,44.65,44,"119,500","5,920",5.0
04/03/2025,44.15,"1,093,200",44.15,44.25,43.85,"94,800","47,895",2.1
03/03/2025,44.35,"646,400",44.40,44.80,44.30,"19,630","25,200",-0.2
28/02/2025,44.40,"793,900",44.45,44.65,44.25,"75,500","16,623",2.6
27/02/2025,44.45,"526,300",44.90,44.90,44.30,"2,400",500,0.1
26/02/2025,44.60,"952,600",44.25,45,44.20,"43,500","81,393",-1.7
25/02/2025,44.20,"939,900",44.30,44.60,44,100,"14,500",-0.6
24/02/2025,44.15,"1,668,600",44.70,44.70,44,"7,300","138,500",-5.8
21/02/2025,44.70,"880,000",45,45,44.55,"52,200","18,100",1.5
20/02/2025,44.90,"676,700",45.35,45.45,44.85,"37,000","22,700",0.6
19/02/2025,45.25,"1,060,600",44.65,45.30,44.50,"287,600","59,405",10.3
18/02/2025,44.60,"590,500",44.60,44.90,44.50,"5,000","3,863",0.1
17/02/2025,44.55,"917,400",45,45,44.55,"68,500","23,450",2.0
14/02/2025,45,"811,200",45.60,45.60,45,"25,330","14,400",0.5
13/02/2025,45.25,"564,500",45.50,45.50,45,"105,301",0,4.8
12/02/2025,45.35,"862,700",44.80,45.75,44.80,"97,769","7,000",4.1
11/02/2025,44.65,"800,400",44.30,44.85,44.15,"201,100","29,100",7.6
10/02/2025,44.05,"1,854,100",44.95,44.95,44.05,"41,700","87,500",-2.0
07/02/2025,44.95,"928,400",45.20,45.30,44.95,"98,000","12,100",3.9
06/02/2025,45.20,"745,500",46,46.10,45,"7,400","52,400",-2.1
05/02/2025,45.80,"773,100",45.60,46,45.35,"226,900","13,079",9.8
04/02/2025,45.40,"794,800",45.20,45.50,45.05,"25,700","9,114",0.7
03/02/2025,44.85,"1,926,200",44.30,45.55,44.30,"75,325","13,587",2.8
24/01/2025,47.10,"730,300",47.60,47.90,46.90,"6,100","4,700",0.1
23/01/2025,47.50,"882,600",47,48.20,46.80,"43,900","32,200",0.5
22/01/2025,46.40,"544,400",47,47.35,46.40,500,"5,300",-0.2
21/01/2025,46.95,"670,000",46.65,47.45,46.65,"46,100","17,741",1.3
20/01/2025,46.60,"674,100",47.80,47.80,46.60,"11,100","54,800",-2.1
17/01/2025,47.45,"1,356,800",46.10,47.50,46,"27,500","59,700",-1.5
16/01/2025,46.10,"956,900",45.80,46.40,45.50,"6,121","68,000",-2.8
15/01/2025,45.10,"466,800",45.20,45.30,45,"28,327","6,900",1.0
14/01/2025,44.80,"585,600",45.30,45.45,44.80,"52,600","22,824",1.3
13/01/2025,44.80,"1,582,000",44.30,44.90,43.90,"210,802","11,352",8.8
10/01/2025,44.65,"1,784,100",46,46.40,44.65,"20,620","108,300",-4.0
09/01/2025,46,"1,644,800",47.30,47.45,46,"75,422","205,800",-6.0
08/01/2025,47.20,"1,772,800",48.25,48.25,47,"8,000","4,300",0.2
07/01/2025,48.15,"1,654,200",49.10,49.30,48,"130,134","12,800",5.8
06/01/2025,49,"1,150,100",49.40,49.75,48.50,"38,500","73,000",-1.7
03/01/2025,49.35,"1,894,600",49.30,50.40,49.25,"3,100","4,508",-0.1
02/01/2025,49.30,"513,000",49.50,49.50,49,"8,190","104,754",-4.7
31/12/2024,49.25,"957,300",49.30,49.85,48.95,"4,100","5,800",-0.1
"30/12/2024: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  100/11 (Volume + 11%, Ratio=0.11)",,,,,,,,
30/12/2024,49.10,"963,700",49,49.50,49,"1,500","165,390",-8.1
27/12/2024,48.56,"3,243,500",49.73,49.91,48.47,"28,201","24,900",0.2
26/12/2024,49.91,"1,404,500",50.81,50.81,49.91,"44,700",900,2.5
25/12/2024,50.36,"2,060,100",50.27,50.99,49.91,"208,200","25,200",10.2
24/12/2024,49.55,"2,269,700",50.27,50.63,49.28,"110,000","178,662",-3.8
23/12/2024,50.27,"2,381,700",51.08,51.26,50.09,"72,300","92,614",-1.2
20/12/2024,50.90,"2,137,600",51.17,51.62,50.72,"17,300","44,828",-1.6
19/12/2024,50.90,"2,980,500",49.55,51.08,49.10,"298,600","37,414",14.6
18/12/2024,50.09,"1,389,800",49.64,50.27,49.64,"88,100","10,126",4.3
17/12/2024,49.55,"1,094,200",50.18,50.36,49.37,"16,500","419,442",-22.2
16/12/2024,50.18,"1,834,400",49.10,50.27,48.83,"94,600","588,500",-27.0
13/12/2024,48.83,"3,117,200",49.82,50.09,48.83,"26,300","578,600",-30.4
12/12/2024,50.18,"2,565,600",51.44,51.89,50.18,"65,800","570,300",-28.4
11/12/2024,51.35,"2,240,000",51.26,52.61,50.99,"99,900","572,522",-27.1
10/12/2024,50.99,"2,964,300",51.08,51.44,50.09,"60,100","180,256",-6.8
09/12/2024,51.08,"2,717,300",52.61,52.70,50.99,"17,100","609,400",-33.9
06/12/2024,52.16,"2,863,800",52.79,53.51,51.71,"94,257","172,800",-4.6
05/12/2024,51.35,"3,679,000",50.99,52.07,50.09,"214,800","61,200",8.7
04/12/2024,50.90,"2,940,000",52.52,52.52,50.90,"91,200","681,500",-33.8
03/12/2024,52.52,"4,352,000",50.81,53.78,50.63,"263,300","516,526",-15.0
02/12/2024,50.72,"1,717,700",51.98,51.98,50.27,"56,400","57,900",-0.1
29/11/2024,51.17,"3,612,300",49.19,51.80,49.19,"202,900","231,587",-1.5
28/11/2024,49.01,"2,215,200",49.10,50,48.47,"118,000","499,000",-20.6
27/11/2024,48.65,"2,365,300",47.93,49.28,47.57,"213,700","536,148",-17.4
26/11/2024,48.02,"1,732,100",47.48,48.29,46.85,"171,900","536,300",-19.2
25/11/2024,47.57,"2,205,500",47.48,48.20,46.49,"160,700","792,208",-32.9
22/11/2024,48.02,"2,129,900",49.01,50,47.84,"100,900","595,800",-26.9
21/11/2024,48.65,"1,049,900",48.47,48.65,47.30,"45,401","149,600",-5.5
