Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8.60,0,8.60,8.60,8.60,0,0,0
20/03/2025,8.60,0,8.60,8.60,8.60,0,0,0
19/03/2025,8.60,"2,400",8.60,8.60,8.59,0,0,0
18/03/2025,8.50,200,8.40,8.50,8.40,0,0,0
17/03/2025,8.40,200,8.40,8.40,8.40,0,0,0
14/03/2025,8.40,"1,600",8.41,8.41,8.40,0,0,0
13/03/2025,8.50,100,8.50,8.50,8.50,0,0,0
12/03/2025,8.41,500,8.38,8.41,8.38,0,0,0
11/03/2025,8.41,200,8.13,8.41,8.13,0,0,0
10/03/2025,8.13,"6,000",8.23,8.23,8.13,0,0,0
07/03/2025,8.74,0,8.74,8.74,8.74,0,0,0
06/03/2025,8.74,"30,300",8.30,8.74,7.64,0,0,0
05/03/2025,8.20,"3,300",8.36,8.40,8.20,0,0,0
04/03/2025,8.40,"2,100",8.41,8.41,8.40,0,0,0
03/03/2025,8.41,"39,600",8.94,8.94,8.41,0,0,0
28/02/2025,9.01,"2,600",9,9.01,9,0,0,0
27/02/2025,9.01,"1,600",9.01,9.01,9.01,0,0,0
26/02/2025,9.06,0,9.06,9.06,9.06,0,0,0
25/02/2025,9.06,500,9.06,9.06,9.06,0,0,0
24/02/2025,9.06,900,9.03,9.06,9.03,0,0,0
21/02/2025,9.04,700,9.04,9.04,9.04,0,0,0
20/02/2025,9.60,0,9.60,9.60,9.60,0,0,0
19/02/2025,9.60,0,9.60,9.60,9.60,0,0,0
18/02/2025,9.60,100,9.60,9.60,9.60,0,0,0
17/02/2025,9.60,0,9.60,9.60,9.60,0,0,0
14/02/2025,9.60,100,9.60,9.60,9.60,0,0,0
13/02/2025,9.70,100,9.70,9.70,9.70,0,0,0
12/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
11/02/2025,9.20,300,9.20,9.20,9.20,0,0,0
10/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
07/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
06/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
05/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
04/02/2025,9.20,800,9.20,9.20,9.20,0,0,0
03/02/2025,9.20,0,9.20,9.20,9.20,0,0,0
24/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
23/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
22/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
21/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
20/01/2025,9.20,200,9.20,9.20,9.20,0,0,0
17/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
16/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
15/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
14/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
13/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
10/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
09/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
08/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
07/01/2025,9.20,0,9.20,9.20,9.20,0,0,0
06/01/2025,9.20,300,9.40,9.40,9.20,0,0,0
03/01/2025,9.30,300,9.20,9.30,9.20,0,0,0
02/01/2025,9.09,"1,800",9,9.09,9,0,0,0
31/12/2024,8.50,700,9.01,9.01,8.50,0,0,0
30/12/2024,9.10,200,9.10,9.10,9.10,0,200,-0.0
27/12/2024,9.01,0,9.01,9.01,9.01,0,0,0
26/12/2024,9.01,"3,100",9.35,9.35,9,0,0,0
25/12/2024,9.35,"1,000",9.32,9.35,9.30,0,0,0
24/12/2024,10,"3,800",10.25,10.90,10,0,0,0
23/12/2024,10.25,"1,500",10.30,10.30,10.10,0,0,0
20/12/2024,9.63,"2,200",9.40,9.63,9.40,0,0,0
19/12/2024,9,0,9,9,9,0,0,0
18/12/2024,9,100,9,9,9,0,0,0
17/12/2024,9,100,9,9,9,0,0,0
16/12/2024,9.10,0,9.10,9.10,9.10,0,0,0
13/12/2024,9.10,100,9.10,9.10,9.10,0,0,0
12/12/2024,9.10,0,9.10,9.10,9.10,0,0,0
11/12/2024,9.10,400,9.10,9.10,9.10,0,0,0
10/12/2024,9.10,0,9.10,9.10,9.10,0,0,0
09/12/2024,9.10,"1,200",9.10,9.10,9.10,0,0,0
06/12/2024,9.08,200,9.10,9.10,9.08,0,0,0
05/12/2024,9.08,0,9.08,9.08,9.08,0,0,0
04/12/2024,9.08,200,9.09,9.09,9.08,0,0,0
03/12/2024,9.11,0,9.11,9.11,9.11,0,0,0
02/12/2024,9.11,400,9.12,9.12,9.11,0,0,0
29/11/2024,9.12,300,9.12,9.12,9.12,0,0,0
28/11/2024,9,0,9,9,9,0,0,0
27/11/2024,9,100,9,9,9,0,0,0
26/11/2024,8.70,0,8.70,8.70,8.70,0,0,0
