Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,40.90,100,40.90,40.90,40.90,0,0,0
20/03/2025,39.90,"1,600",37.50,40.90,37.50,0,0,0
19/03/2025,38,"2,300",35.40,41,35,0,0,0
18/03/2025,38.50,"2,900",37,38.50,37,0,0,0
17/03/2025,37.90,"2,800",37.60,37.90,35,0,0,0
14/03/2025,37.10,"34,500",36,37.10,35.40,0,0,0
13/03/2025,40.10,300,40.30,40.30,40.10,0,0,0
12/03/2025,40.30,200,40.30,40.30,40.30,0,0,0
11/03/2025,40.40,"3,900",40,40.90,40,0,0,0
10/03/2025,39.90,"3,100",39,41.50,39,0,0,0
07/03/2025,41,"13,700",40,41,37.60,0,0,0
06/03/2025,40,"4,000",40.20,40.30,39,0,0,0
05/03/2025,40.90,"2,200",38,40.90,38,0,0,0
04/03/2025,42,100,42,42,42,0,0,0
03/03/2025,41.20,400,41.80,41.80,41.20,0,0,0
28/02/2025,41.80,"12,300",41.80,41.90,40,0,0,0
27/02/2025,41.60,"5,400",41.90,41.90,41.50,0,0,0
26/02/2025,41,"1,400",42,45,41,0,0,0
25/02/2025,40.90,"7,900",40.80,41,40.40,0,0,0
24/02/2025,40,"11,900",39.90,42,39.90,0,0,0
21/02/2025,39.90,"9,400",39.20,40,39.10,0,0,0
20/02/2025,39.20,"3,000",38.90,39.20,37.90,0,0,0
19/02/2025,37,"1,500",37,37,37,0,0,0
18/02/2025,39.50,0,39.50,39.50,39.50,0,0,0
17/02/2025,39.50,0,39.50,39.50,39.50,0,0,0
14/02/2025,39,"2,000",39.60,39.80,39,0,0,0
13/02/2025,39,400,39.80,39.80,39,0,0,0
12/02/2025,39.80,"7,103",39.90,39.90,37.10,0,0,0
11/02/2025,39.90,"5,020",39.50,39.90,38.90,0,0,0
10/02/2025,40,"9,831",39,40,38.10,0,0,0
07/02/2025,38.50,"2,715",39,40,38.50,0,0,0
06/02/2025,39,200,39,39,39,0,0,0
05/02/2025,38.50,920,39,39,38.50,0,0,0
04/02/2025,39,"4,113",39,39,38,0,0,0
03/02/2025,39,"2,000",36.90,39.80,36.90,0,0,0
