Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,18.70,"3,400",18.70,18.70,18.50,0,0,0
20/03/2025,19.10,"3,100",19,19.10,19,0,0,0
19/03/2025,18.90,"1,300",18.70,18.90,18.70,0,0,0
18/03/2025,18.50,0,18.50,18.50,18.50,0,0,0
17/03/2025,18.50,600,19,19,18.50,0,0,0
14/03/2025,18.60,400,18.90,18.90,18.60,0,0,0
13/03/2025,19.20,0,19.20,19.20,19.20,0,0,0
12/03/2025,19.20,0,19.20,19.20,19.20,0,0,0
11/03/2025,19.20,"3,200",19,19.20,17.80,0,0,0
10/03/2025,19.60,"2,200",19.50,19.60,19.40,"1,000",0,0.0
07/03/2025,21.50,"16,800",20.50,22.90,18.90,0,0,0
06/03/2025,20.90,"1,700",19,20.90,19,0,0,0
05/03/2025,19,100,19,19,19,0,0,0
04/03/2025,18.50,"2,000",18.50,18.50,18.50,0,0,0
03/03/2025,19,"1,100",19,19.50,18.50,0,0,0
28/02/2025,18.50,"1,700",20,20,18.50,0,0,0
27/02/2025,18.40,0,18.40,18.40,18.40,0,0,0
26/02/2025,18.40,"12,900",18.70,20.20,18.40,0,0,0
25/02/2025,18.40,"1,600",18.40,18.40,18.40,0,0,0
24/02/2025,18.30,"2,700",18.40,18.40,18.30,0,0,0
21/02/2025,18.20,500,18.10,18.20,18.10,0,0,0
20/02/2025,18.30,100,18.30,18.30,18.30,0,0,0
19/02/2025,18.20,800,18.30,18.30,18.20,0,0,0
18/02/2025,18.20,500,18.40,18.40,18.20,0,0,0
17/02/2025,18.10,"1,700",18.10,18.10,18,0,0,0
14/02/2025,18.10,300,18,18.10,18,0,0,0
13/02/2025,18,"10,100",18.40,18.40,18,0,0,0
12/02/2025,18.40,1,18.40,18.40,18.40,0,0,0
11/02/2025,18.40,100,18.40,18.40,18.40,0,0,0
10/02/2025,18.30,"2,100",18.30,18.40,18.30,0,0,0
07/02/2025,18.30,"3,800",18.10,18.40,18.10,300,0,0.0
06/02/2025,18.30,"1,300",18,18.30,18,0,0,0
05/02/2025,18,0,18,18,18,0,0,0
04/02/2025,18,800,18,18,18,0,0,0
03/02/2025,17.90,"1,600",17.90,18.10,17.90,0,0,0
24/01/2025,18.30,0,18.30,18.30,18.30,0,0,0
23/01/2025,18.30,200,18.30,18.30,18.30,0,0,0
22/01/2025,17.80,100,17.80,17.80,17.80,0,0,0
21/01/2025,17.90,"2,900",17.90,18,17.90,0,0,0
20/01/2025,17.90,"1,700",17.90,18,17.90,0,0,0
17/01/2025,18.10,200,18.10,18.10,18.10,0,0,0
16/01/2025,18.10,0,18.10,18.10,18.10,0,0,0
15/01/2025,18.10,501,18.10,18.10,18.10,0,0,0
14/01/2025,18.10,0,18.10,18.10,18.10,0,0,0
13/01/2025,18.10,"2,100",17.90,18.10,17.90,0,0,0
10/01/2025,17.90,201,17.90,17.90,17.90,0,0,0
09/01/2025,18.20,0,18.20,18.20,18.20,0,0,0
08/01/2025,18.20,0,18.20,18.20,18.20,0,0,0
07/01/2025,18.20,"2,400",18.10,18.20,18.10,0,0,0
06/01/2025,18,0,18,18,18,0,0,0
03/01/2025,18,"1,200",18,18,18,0,0,0
02/01/2025,18,0,18,18,18,0,0,0
31/12/2024,18,400,18,18,18,0,0,0
30/12/2024,18.20,500,18,18.20,18,0,0,0
27/12/2024,18,300,18,18,18,0,0,0
26/12/2024,18,100,18,18,18,0,0,0
25/12/2024,18,200,18,18,18,0,0,0
24/12/2024,18,"2,251",18,18,18,0,0,0
23/12/2024,18,"1,700",18,18,18,500,0,0.0
20/12/2024,18,400,18,18,18,0,0,0
19/12/2024,17.90,"3,550",18.20,18.20,17.90,0,0,0
18/12/2024,18.20,200,18.20,18.20,18.20,0,0,0
17/12/2024,18,0,18,18,18,0,0,0
16/12/2024,18,200,18,18,18,0,0,0
13/12/2024,18,100,18,18,18,0,0,0
12/12/2024,17.90,"1,900",17.80,17.90,17.70,200,0,0.0
11/12/2024,17.90,"1,300",17.80,17.90,17.70,0,0,0
10/12/2024,18,0,18,18,18,0,0,0
09/12/2024,18,0,18,18,18,0,0,0
06/12/2024,18,700,18.10,18.10,17.90,0,0,0
05/12/2024,18,700,18,18.10,18,0,100,-0.0
04/12/2024,18.10,0,18.10,18.10,18.10,0,0,0
03/12/2024,18.10,300,18,18.10,18,0,0,0
02/12/2024,18.10,602,18.10,18.10,18.10,100,0,0.0
29/11/2024,18.10,201,18.10,18.10,18.10,0,0,0
28/11/2024,18.20,0,18.20,18.20,18.20,0,0,0
27/11/2024,18.20,200,17.70,18.20,17.70,0,0,0
26/11/2024,18,0,18,18,18,0,0,0
25/11/2024,18,100,18,18,18,100,0,0.0
22/11/2024,18,0,18,18,18,0,0,0
21/11/2024,18,1,18,18,18,0,0,0
20/11/2024,18,"2,300",17.80,18,17.70,0,0,0
19/11/2024,17.90,200,17.60,17.90,17.60,0,0,0
18/11/2024,17.70,"1,100",17.80,17.90,17.70,0,0,0
15/11/2024,17.70,"3,400",17.80,17.80,17.70,0,0,0
14/11/2024,17.90,800,17.80,18.20,17.80,0,0,0
13/11/2024,18.10,"2,002",17.90,18.10,17.90,0,0,0
12/11/2024,17.90,500,18,18,17.90,0,0,0
11/11/2024,17.90,800,17.80,17.90,17.80,300,0,0.0
08/11/2024,17.70,"6,000",17.80,17.80,17.70,0,0,0
07/11/2024,18,"1,600",18,18,18,0,0,0
06/11/2024,18,800,18,18,18,0,0,0
05/11/2024,18,0,18,18,18,0,0,0
04/11/2024,18,800,18,18,18,0,0,0
01/11/2024,18,700,18,18,18,0,0,0
31/10/2024,18,500,18,18,18,0,0,0
30/10/2024,18,"2,000",17.90,18,17.90,0,0,0
29/10/2024,18,"1,300",18,18,18,0,0,0
28/10/2024,18.20,300,18.10,18.20,18.10,0,0,0
25/10/2024,17.90,900,17.90,17.90,17.90,0,0,0
24/10/2024,18,100,18,18,18,0,0,0
23/10/2024,18.10,100,18.10,18.10,18.10,0,0,0
22/10/2024,18.10,100,18.10,18.10,18.10,0,0,0
21/10/2024,18.30,0,18.30,18.30,18.30,0,0,0
18/10/2024,18.30,"2,300",17.90,18.30,17.60,0,0,0
17/10/2024,18.20,0,18.20,18.20,18.20,0,0,0
16/10/2024,18.20,500,18,18.20,18,0,0,0
15/10/2024,17.70,0,17.70,17.70,17.70,0,0,0
14/10/2024,17.70,"2,900",18,18,17.70,0,0,0
11/10/2024,18,301,18.60,18.60,18,0,0,0
10/10/2024,18,"3,100",18.10,18.10,18,0,0,0
09/10/2024,18,"3,400",18.20,18.20,18,0,0,0
08/10/2024,18.40,0,18.40,18.40,18.40,0,0,0
07/10/2024,18.40,"1,011",18.40,18.40,18.40,0,0,0
04/10/2024,18.40,200,18.40,18.40,18.40,0,0,0
03/10/2024,18.20,0,18.20,18.20,18.20,0,0,0
02/10/2024,18.20,100,18.20,18.20,18.20,0,0,0
01/10/2024,18.20,22,18.20,18.20,18.20,0,0,0
30/09/2024,18.20,600,18.20,18.20,18.20,0,0,0
27/09/2024,18.20,200,18.20,18.20,18.20,0,0,0
26/09/2024,18.50,450,18.90,18.90,18.50,0,0,0
25/09/2024,18.10,200,18.10,18.10,18.10,0,0,0
24/09/2024,18.50,0,18.50,18.50,18.50,0,0,0
23/09/2024,18.50,"1,000",18.50,18.50,18.50,0,0,0
20/09/2024,18,"4,210",18.90,18.90,18,0,0,0
19/09/2024,19,"2,100",18.40,19,18.40,0,0,0
18/09/2024,18,22,18,18,18,0,0,0
17/09/2024,18,"2,200",18.30,18.30,18,0,0,0
16/09/2024,18,"1,600",18,18.30,18,0,0,0
13/09/2024,17.80,308,17.80,17.80,17.80,0,0,0
12/09/2024,18,0,18,18,18,0,0,0
11/09/2024,18,"1,001",18,18,18,0,0,0
10/09/2024,17.90,0,17.90,17.90,17.90,0,0,0
09/09/2024,17.90,710,17.90,17.90,17.90,0,0,0
06/09/2024,17.90,300,17.90,17.90,17.90,0,0,0
05/09/2024,17.70,400,17.90,17.90,17.70,0,0,0
04/09/2024,17.90,"2,200",17.90,17.90,17.70,0,0,0
30/08/2024,17.90,800,17.90,17.90,17.90,0,0,0
29/08/2024,17.90,400,17.90,17.90,17.90,0,0,0
28/08/2024,17.90,"2,310",17.90,17.90,17.90,0,0,0
27/08/2024,17.90,"1,500",17.90,17.90,17.90,0,0,0
26/08/2024,18,1,18,18,18,0,0,0
23/08/2024,18,900,18,18,17.90,200,0,0.0
22/08/2024,17.90,"1,177",17.90,17.90,17.90,77,0,0.0
21/08/2024,18,400,18,18,18,0,0,0
20/08/2024,18,"1,300",17.90,18,17.90,0,0,0
19/08/2024,17.90,600,17.90,17.90,17.90,0,0,0
16/08/2024,17.70,"4,606",17.70,17.80,17.70,900,0,0.0
15/08/2024,17.70,"6,310",17.60,17.70,17.60,"1,000",0,0.0
14/08/2024,17.70,"1,000",17.70,17.70,17.70,"1,000",0,0.0
13/08/2024,17.80,"5,300",17.70,17.80,17.60,"1,900",0,0.0
12/08/2024,17.60,"5,306",17.60,17.60,17.60,0,0,0
09/08/2024,17.60,10,17.60,17.60,17.60,0,0,0
08/08/2024,17.60,"2,700",17.70,17.70,17.60,900,0,0.0
07/08/2024,17.70,"1,300",17.50,17.90,16.70,500,0,0.0
06/08/2024,17.90,"2,400",17.60,17.90,17.60,0,0,0
05/08/2024,17.70,800,17.80,17.80,17.70,0,0,0
02/08/2024,18,0,18,18,18,0,0,0
01/08/2024,18,200,18,18,18,200,0,0.0
31/07/2024,17.80,600,18.10,18.30,17.80,400,0,0.0
30/07/2024,18.10,"1,000",18.30,18.30,17.70,200,0,0.0
29/07/2024,18.40,0,18.40,18.40,18.40,0,0,0
26/07/2024,18.40,0,18.40,18.40,18.40,0,0,0
25/07/2024,18.40,1,18.40,18.40,18.40,0,0,0
24/07/2024,18.40,"1,200",17.70,18.40,17.60,0,0,0
23/07/2024,17.70,"1,780",18.50,18.50,17.60,0,0,0
22/07/2024,17.90,"1,000",18.30,18.30,17.80,0,0,0
19/07/2024,18.30,1,18.30,18.30,18.30,0,0,0
18/07/2024,18.30,802,18,18.30,17.90,0,0,0
17/07/2024,18.30,499,18.30,18.30,18.30,0,0,0
16/07/2024,18.30,"2,622",18.50,18.50,18.20,0,0,0
15/07/2024,18.90,"3,901",18,18.90,17.50,0,0,0
12/07/2024,18,900,17.90,18,17.90,0,0,0
11/07/2024,17.90,"3,400",17.50,17.90,17.50,300,0,0.0
10/07/2024,17.50,"3,400",17.90,17.90,17.50,0,0,0
09/07/2024,17.80,2,17.80,17.80,17.80,0,0,0
08/07/2024,17.80,"1,200",17.80,17.80,17.80,0,0,0
05/07/2024,17.70,501,17.70,17.70,17.70,0,0,0
04/07/2024,17.60,"1,500",17.60,17.60,17.60,"1,000",0,0.0
03/07/2024,17.60,20,17.60,17.60,17.60,0,0,0
02/07/2024,17.60,100,17.60,17.60,17.60,0,0,0
01/07/2024,17.50,"1,900",17.80,17.90,17.50,"1,400",0,0.0
28/06/2024,18,618,17,18,17,0,210,-0.0
27/06/2024,17.50,"3,203",17.50,17.50,17.50,0,0,0
26/06/2024,17.50,"4,600",17.50,17.60,17.50,0,0,0
25/06/2024,17.50,"1,503",17.60,17.60,17.50,0,0,0
24/06/2024,17.90,"2,000",18,18,17.90,300,0,0.0
21/06/2024,18.10,"3,200",18.10,18.10,18.10,0,0,0
20/06/2024,18.10,"1,300",18.10,18.20,18,0,600,-0.0
19/06/2024,18.20,"2,600",18.20,18.20,18.10,0,0,0
18/06/2024,18.30,"2,700",18.20,18.40,18.20,"1,600",200,0.0
17/06/2024,18.50,711,19,19,18.30,0,100,-0.0
14/06/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  18%,,,,,,,,
14/06/2024,18.40,"16,445",19,19.10,18.30,0,0,0
13/06/2024,18.90,"13,700",18.90,19.17,18.90,0,0,0
12/06/2024,18.90,"7,400",20.54,20.54,18.81,0,0,0
11/06/2024,18.90,"7,000",18.81,18.99,18.81,0,0,0
10/06/2024,18.90,"14,343",18.53,18.90,18.53,100,0,0.0
07/06/2024,18.53,"2,768",18.44,18.81,18.44,0,0,0
06/06/2024,18.53,"9,100",18.26,18.72,18.26,0,0,0
05/06/2024,18.17,"3,334",18.17,18.72,18.08,0,0,0
04/06/2024,18.08,"11,600",18.08,18.08,17.90,0,0,0
03/06/2024,17.99,"1,601",17.90,17.99,17.90,0,0,0
31/05/2024,17.99,"10,304",18.17,18.17,17.80,200,0,0.0
30/05/2024,17.90,"2,506",17.99,17.99,17.90,0,0,0
29/05/2024,17.80,"10,607",18.08,18.08,17.71,100,0,0.0
28/05/2024,18.08,"3,139",18.08,18.08,18.08,0,0,0
27/05/2024,18.08,"5,815",18.08,18.17,18.08,100,0,0.0
24/05/2024,17.80,"11,440",17.80,17.99,17.80,0,0,0
23/05/2024,17.80,"17,310",17.80,18.17,17.80,200,0,0.0
22/05/2024,17.80,"15,600",18.08,18.08,17.80,200,0,0.0
21/05/2024,17.80,"3,300",17.80,17.90,17.80,0,0,0
20/05/2024,17.80,"17,902",17.62,17.80,17.62,0,0,0
17/05/2024,17.53,"6,650",17.53,17.53,17.44,0,0,0
16/05/2024,17.53,"5,301",17.35,17.62,17.35,0,0,0
15/05/2024,17.35,"26,101",17.35,17.53,17.26,0,0,0
14/05/2024,17.17,"10,612",16.89,17.35,16.89,200,0,0.0
13/05/2024,16.62,"7,300",16.53,16.71,16.53,0,0,0
10/05/2024,16.71,"10,100",16.71,16.71,16.71,0,0,0
09/05/2024,16.80,0,16.80,16.80,16.80,0,0,0
08/05/2024,16.80,0,16.80,16.80,16.80,0,0,0
07/05/2024,16.80,"3,118",16.16,16.89,16.16,0,0,0
06/05/2024,16.16,9,16.16,16.16,16.16,0,0,0
03/05/2024,16.16,"1,000",16.16,16.16,16.16,0,0,0
02/05/2024,16.16,"11,230",16.16,16.16,16.16,0,0,0
26/04/2024,16.16,"5,888",16.16,16.16,15.98,0,0,0
25/04/2024,16.16,20,16.16,16.16,16.16,0,0,0
24/04/2024,16.16,0,16.16,16.16,16.16,0,0,0
23/04/2024,16.16,0,16.16,16.16,16.16,0,0,0
22/04/2024,16.16,200,15.61,16.16,15.61,0,0,0
19/04/2024,16.34,"1,500",16.34,16.34,16.34,0,0,0
17/04/2024,16.34,130,16.34,16.34,16.34,0,0,0
16/04/2024,16.07,"1,950",16.62,16.62,15.61,200,0,0.0
15/04/2024,16.43,"2,801",16.07,16.43,15.98,0,0,0
12/04/2024,16.07,300,16.16,16.16,16.07,0,0,0
11/04/2024,16.25,700,15.98,16.25,15.98,0,0,0
10/04/2024,16.25,500,16.25,16.25,16.25,0,0,0
09/04/2024,16.25,"1,101",16.43,16.62,16.25,0,0,0
08/04/2024,16.07,"4,404",15.98,16.07,15.98,0,0,0
05/04/2024,15.98,"6,400",15.70,15.98,15.70,0,0,0
04/04/2024,16.07,"9,100",15.70,16.07,15.52,0,0,0
03/04/2024,16.07,"14,900",15.52,16.07,15.52,0,0,0
02/04/2024,15.70,"6,000",15.52,15.70,15.52,0,0,0
01/04/2024,15.89,"3,600",15.43,16.34,15.43,0,0,0
29/03/2024,15.07,"5,400",15.07,15.07,15.07,0,0,0
