Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,40.10,"660,200",40.30,40.50,40.05,0,"27,900",0
20/03/2025,40.35,"838,500",40.85,40.90,40.05,200,0,0.0
19/03/2025,40.70,"662,600",40.75,41.05,40.65,900,"13,450",-0.5
18/03/2025,40.75,"1,150,400",40.10,41.05,40.10,"107,200",0,4.3
17/03/2025,40.20,"911,700",40.50,40.50,39.95,0,"1,000",-0.0
14/03/2025,40,"1,730,200",41,41.25,40,"20,150","9,200",0.4
13/03/2025,41,"2,377,500",42.20,42.55,40.90,500,"2,000",-0.1
12/03/2025,42.10,"2,000,900",43.20,43.25,42.10,"8,100","92,900",-3.6
11/03/2025,42.90,"1,292,400",42.90,43.10,42.85,"9,200","3,800",0.2
10/03/2025,43.20,"1,044,500",43.15,43.45,43,800,"7,600",-0.3
07/03/2025,43.15,"1,197,300",43.60,43.70,43.15,0,"8,207",-0.4
06/03/2025,43.40,"1,734,900",43.05,43.50,42.85,"8,700","15,000",-0.3
05/03/2025,42.95,"2,333,900",43.75,43.85,42.95,"16,000",0,0.7
04/03/2025,43.70,"1,593,800",44.40,44.65,43.40,0,"30,100",-1.3
03/03/2025,44.20,"2,670,900",43.60,44.85,43.60,"121,400",900,5.3
28/02/2025,43.55,"1,751,800",43.45,44.05,43.35,"6,400","14,700",-0.4
27/02/2025,43.45,"1,226,700",43.25,43.65,43,"9,900","4,100",0.3
26/02/2025,43.25,"1,451,200",43.50,43.95,43.10,"2,000","18,900",-0.7
25/02/2025,43.25,"1,143,000",43.05,43.45,43,0,"6,600",-0.3
24/02/2025,43,"3,745,000",43.60,43.70,42.70,"19,000","16,900",0.1
21/02/2025,43.85,"1,315,100",44.15,44.25,43.40,"12,800","4,700",0.4
20/02/2025,44.15,"1,669,000",44.40,45.35,44.15,"3,400","39,800",-1.6
19/02/2025,44.35,"1,797,100",43.90,44.65,43.70,"14,900","113,000",-4.3
18/02/2025,43.85,"2,624,100",43.70,44,43,"4,100","556,600",-24.1
17/02/2025,43.80,"5,213,800",45.65,46.45,43.80,"10,000","191,100",-8.3
14/02/2025,45.70,"1,811,900",46.20,46.20,45.35,"355,900","198,200",7.2
13/02/2025,46,"5,084,000",43.30,46.25,43.25,"689,200","43,850",28.8
12/02/2025,43.45,"1,548,000",44.30,44.80,43.45,0,"118,000",-5.2
11/02/2025,43.95,"1,999,800",42.90,43.95,42.70,"226,000","7,500",9.5
10/02/2025,42.95,"1,780,700",43.05,43.80,42.65,"104,200","116,400",-0.5
07/02/2025,43.05,"2,353,200",44,44,43.05,"8,300","376,600",-16.0
06/02/2025,44,"1,716,600",44.60,44.60,43.60,"15,600","317,000",-13.3
05/02/2025,44.35,"1,214,800",44.70,44.70,43.85,"13,400","224,500",-9.3
04/02/2025,44.40,"2,814,300",43.40,45,43.10,"139,303","147,800",-0.5
03/02/2025,43.05,"1,011,500",42.20,43.50,42.05,"108,902","54,050",2.4
24/01/2025,42.20,"1,344,000",43,43.15,42.20,"3,300","91,100",-3.8
23/01/2025,42.95,"1,612,700",42.45,43.75,42.45,"69,300","154,800",-3.7
22/01/2025,42.45,"1,059,800",42.05,42.75,41.90,"40,900","87,500",-2.0
21/01/2025,42,"1,586,500",42.90,42.95,41.85,"29,200","114,400",-3.6
20/01/2025,42.50,"776,700",43.50,43.50,42.50,600,"120,900",-5.2
17/01/2025,43.10,"1,078,700",43,43.75,43,500,"173,300",-7.5
16/01/2025,43.20,"1,573,500",42.40,43.70,42.25,"176,700","181,300",-0.2
15/01/2025,42,"1,020,300",42.20,42.30,41.60,"60,800","83,500",-1.0
14/01/2025,41.90,"867,100",42,42.85,41.80,"33,800","116,300",-3.5
13/01/2025,42.45,"2,673,500",42.15,42.45,40.30,"224,701","248,000",-1.0
10/01/2025,42.70,"2,203,200",43.70,44.35,42.70,"196,900","81,800",5.0
09/01/2025,43.70,"1,193,400",44.85,45.35,43.70,"3,900","118,000",-5.1
08/01/2025,44.95,"966,800",44.75,45.45,44.35,"92,300","69,700",1.0
07/01/2025,44.55,"2,825,200",44.50,44.95,42.85,"411,900","80,300",14.5
06/01/2025,44,"3,112,800",45.70,46.70,42.70,"502,701","79,600",18.9
03/01/2025,45.90,"1,484,400",46.65,46.80,45.85,"3,600","87,900",-3.9
02/01/2025,46.65,"1,657,700",46,47.50,45.75,"161,100","172,400",-0.6
31/12/2024,45.70,"1,649,600",45.70,46.60,45.50,"86,600","158,000",-3.3
30/12/2024,46.10,"817,300",45.60,46.60,45.60,"50,500","161,510",-5.2
27/12/2024,46.15,"2,190,100",45.60,46.90,45.55,"309,900","104,350",9.4
26/12/2024,46,"1,793,000",46.60,47.15,45.55,"88,301","95,900",-0.3
25/12/2024,46.60,"3,121,000",48.15,48.15,45,"125,600","420,200",-13.8
24/12/2024,47.50,"3,692,200",45.05,48,44.30,"583,900","180,600",18.3
23/12/2024,45,"2,261,800",45.95,46.80,44.60,"50,000","292,050",-11.1
20/12/2024,45,"4,048,700",43.40,45,42.80,"298,500","113,200",8.3
19/12/2024,43,"5,651,300",41.50,44.45,41,"578,500","217,000",15.5
18/12/2024,42,"1,395,300",41.35,42,41.10,"120,300","17,500",4.3
17/12/2024,41.30,"1,846,600",41.55,42.20,41.30,"29,500","180,600",-6.3
16/12/2024,41.20,"1,595,600",40.90,41.65,40.30,"30,600","162,700",-5.4
13/12/2024,40.55,"2,172,500",40.80,41.35,40.20,"164,400","92,300",2.9
12/12/2024,41,"2,958,900",42.40,42.50,41,"33,800","514,100",-20.2
11/12/2024,42.50,"3,265,800",40.90,42.50,40.65,"149,900","109,300",1.6
10/12/2024,40.80,"3,023,000",41.25,42.40,40.55,"191,600","104,900",3.5
09/12/2024,41.25,"2,520,100",41.85,42.80,41.10,"214,000","63,200",6.2
06/12/2024,41.40,"10,424,200",39,41.40,38.80,"661,400","94,900",23.3
05/12/2024,38.70,"2,020,800",37.80,38.75,37.40,"208,800","71,000",5.3
04/12/2024,37.60,"1,790,400",38.45,38.50,37.55,"52,800","51,800",0.0
03/12/2024,38.30,"4,243,800",38.35,39.25,38.05,"222,000","163,700",2.3
02/12/2024,38,"1,664,800",37.30,38.20,37.20,"107,900","18,800",3.3
29/11/2024,37.20,"1,254,400",37.05,37.55,36.90,"57,600","83,850",-1.0
28/11/2024,37.05,"1,601,700",37.50,37.60,37.05,600,"9,900",-0.3
27/11/2024,37.45,"1,529,900",37.70,38.35,37.35,"37,900","6,800",1.2
26/11/2024,37.45,"1,645,500",37,37.95,37,"222,600","25,900",7.4
25/11/2024,36.90,"1,412,900",37.70,37.70,36.90,"10,000","89,600",-3.0
22/11/2024,37.25,"2,149,800",37.10,38.10,37.05,"19,200","273,400",-9.6
21/11/2024,37.05,"1,030,700",36.60,37.40,36.45,"2,000","163,400",-6.0
20/11/2024,36.55,"1,937,000",36.95,37.50,35.80,"13,800","100,700",-3.2
19/11/2024,36.30,"1,592,800",36.85,37.45,36.25,"2,100","230,900",-8.5
18/11/2024,36.85,"2,563,300",37.50,37.70,36,"114,000","339,800",-8.4
15/11/2024,37.55,"3,990,600",38.90,38.90,37,"259,900","217,000",1.5
14/11/2024,39.10,"2,927,500",40.50,40.55,39.10,"111,600","300,450",-7.6
13/11/2024,40.35,"6,594,000",38,40.50,37.65,"469,400","194,400",11.0
12/11/2024,37.90,"2,117,300",39,39,37.90,100,"265,400",-10.2
11/11/2024,38.65,"4,840,600",36.55,38.70,36.55,"753,900","40,400",27.0
08/11/2024,36.55,"1,038,700",36.85,37,36.30,"35,800","130,200",-3.5
07/11/2024,36.85,"1,344,300",36.80,37.50,36.45,"133,300","96,800",1.3
06/11/2024,36.70,"1,007,800",35.95,36.90,35.70,0,0,0
05/11/2024,35.60,"573,100",35.80,36.15,35.60,"50,400","14,100",1.3
04/11/2024,35.85,"1,327,200",36.30,36.40,34.95,"24,700","106,800",-2.9
01/11/2024,36.30,"1,315,500",36.80,37.35,36.30,"4,700","275,500",-10.0
31/10/2024,36.80,"1,446,800",37.55,37.70,36.50,"36,000","77,500",-1.6
30/10/2024,37.55,"1,372,600",38.20,38.40,37.25,"8,700","56,500",-1.8
29/10/2024,37.75,"3,691,600",35.50,37.75,35.50,"602,700","2,400",21.9
28/10/2024,35.30,"587,800",34.90,35.40,34.70,"92,700","41,500",1.8
25/10/2024,35,"852,300",35.55,35.65,34.75,"2,100","145,900",-5.1
24/10/2024,35.20,"647,200",35.60,36.15,35.20,"6,600","28,000",-0.8
23/10/2024,35.75,"485,700",36,36,35.60,800,"28,400",-1.0
22/10/2024,35.70,"1,822,600",35.10,36.40,34.30,"232,800","80,100",5.3
21/10/2024,35,"2,026,300",36.10,36.10,35,"10,100","9,700",0.0
18/10/2024,36.15,"804,700",36.65,36.65,35.95,"2,100",500,0.1
17/10/2024,36.20,"2,550,700",37.05,37.20,35.90,"16,400","31,700",-0.6
