Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,21.35,"325,400",21.15,21.60,21.15,0,"11,100",0
20/03/2025,21.55,"1,124,200",21.40,21.65,20.65,"83,500","11,900",1.5
19/03/2025,21.25,"1,016,500",21.40,21.55,21.25,"17,600","23,400",-0.1
18/03/2025,21.50,"632,300",21.80,21.90,21.50,0,"26,800",-0.6
17/03/2025,21.85,"676,100",21.80,21.90,21.50,"15,200","62,400",-1.0
14/03/2025,21.55,"1,982,900",22.20,22.20,21.20,"6,100","302,100",-6.5
13/03/2025,22.10,"1,608,400",23.10,23.10,22.05,"195,600","21,100",4.0
12/03/2025,23.40,"1,367,700",23.45,23.45,22.75,"63,500","301,600",-5.5
11/03/2025,23.10,"2,429,400",21.45,23.10,21.15,"340,900","5,800",7.5
10/03/2025,21.60,"908,000",21.60,22.10,21.45,"6,700","29,400",-0.5
07/03/2025,21.60,"2,292,400",21.60,22.30,21.60,"187,800","85,800",2.2
06/03/2025,21.55,"918,100",21.40,21.55,21.10,0,"204,900",-4.3
05/03/2025,21.20,"626,900",21.70,21.70,21.20,0,"72,200",-1.6
04/03/2025,21.70,"1,445,100",21.50,22.20,21.50,"13,800","37,400",-0.5
03/03/2025,21.70,"1,340,100",21.25,21.90,20.95,"387,700","37,900",7.5
28/02/2025,21.25,"773,500",21.30,21.50,21,"85,100","19,300",1.4
27/02/2025,21.25,"1,188,900",20.85,21.25,20.60,"28,800","42,400",-0.3
26/02/2025,21,"549,500",21.30,21.35,20.95,400,"88,200",-1.8
25/02/2025,21.25,"1,521,900",21.15,21.35,20.90,"4,200","37,500",-0.7
24/02/2025,21,"1,067,600",21.35,21.35,20.90,0,"213,500",-4.5
21/02/2025,21.50,"1,755,500",21.70,22.35,21.35,"42,500","71,500",-0.6
20/02/2025,21.25,"829,500",21.50,21.75,21.05,"4,100","125,500",-2.6
19/02/2025,21.50,"1,254,300",20.95,21.60,20.90,"219,400","26,100",4.1
18/02/2025,20.95,"900,000",21.20,21.70,20.90,"8,200","57,300",-1.1
17/02/2025,21.10,"1,202,200",21.25,21.80,20.90,"136,400","84,500",1.1
14/02/2025,21.15,"1,164,800",21.20,21.40,20.85,"39,200","124,100",-1.8
13/02/2025,21.20,"967,100",21.10,21.40,20.80,0,"88,100",-1.9
12/02/2025,21.15,"1,213,700",21,21.50,20.80,"38,600","84,500",-1.0
11/02/2025,20.85,"1,171,100",20,21.10,20,"237,700","5,000",4.8
10/02/2025,20.05,"717,900",20.30,20.40,19.90,"76,700","87,000",-0.2
07/02/2025,20.30,"853,700",20.60,20.95,20.20,"86,000","110,300",-0.5
06/02/2025,20.30,"844,200",20.60,20.60,20.10,"2,700","101,700",-2.0
05/02/2025,20.50,"969,100",19.95,20.60,19.60,"53,400","62,000",-0.2
04/02/2025,19.80,"1,013,500",19.50,20.10,19.40,"190,800","41,400",3.0
03/02/2025,19.50,"942,400",19.80,20,19,"68,400","157,900",-1.8
24/01/2025,20,"3,131,100",21.10,21.20,20,"36,700","309,600",-5.6
23/01/2025,21.50,"810,400",21.15,21.65,21.15,"88,900","26,400",1.3
22/01/2025,21.25,"1,442,600",21.10,21.75,21,"122,400","105,100",0.4
21/01/2025,21.15,"1,531,000",21.60,21.60,20.85,"49,300","124,000",-1.6
20/01/2025,21.80,"892,400",21.85,22.30,21.45,"67,600","96,300",-0.6
17/01/2025,21.85,"2,362,600",20.40,21.90,20.35,"235,700","20,600",4.6
16/01/2025,20.50,"1,373,400",20.95,21,20.25,"153,300","11,600",2.9
15/01/2025,20.25,"1,080,200",18.80,20.25,18.80,"99,700","130,300",-0.6
14/01/2025,18.95,"507,300",19.05,19.35,18.75,"11,900","121,600",-2.1
13/01/2025,19.05,"512,900",18.50,19.10,18.50,700,"43,400",-0.8
10/01/2025,18.70,"888,600",18.55,19.20,18.40,"87,300","76,700",0.2
09/01/2025,18.50,"268,800",18.25,18.80,18.25,0,"55,300",-1.0
08/01/2025,18.75,"340,100",18.55,18.75,18.40,"31,200","16,300",0.3
07/01/2025,18.55,"414,800",18.60,18.85,18.45,"36,900","40,100",-0.1
06/01/2025,18.55,"591,800",18.75,18.95,18.35,"58,200","27,200",0.6
03/01/2025,18.75,"390,800",18.70,18.90,18.70,"73,400","3,100",1.3
02/01/2025,18.65,"686,400",19.30,19.30,18.65,"57,200","4,200",1.0
31/12/2024,19.10,"392,900",18.95,19.20,18.90,"44,900",900,0.8
30/12/2024,18.95,"915,700",18.90,19.25,18.80,"225,400","50,200",3.3
27/12/2024,19,"1,160,500",19.90,19.95,19,"25,100","155,500",-2.5
26/12/2024,19.85,"558,200",19.65,19.90,19.40,"65,600","7,100",1.1
25/12/2024,19.65,"1,142,800",20.10,20.35,19.30,"69,200","126,200",-1.1
24/12/2024,19.80,"871,700",19.60,20,19.30,"122,200","74,200",0.9
23/12/2024,19.60,"916,100",20,20,19.35,"18,600","61,300",-0.8
20/12/2024,19.90,"1,107,200",19.80,20.50,19.65,"18,700","54,800",-0.7
19/12/2024,19.60,"1,464,100",18.90,19.80,18.70,"197,700","12,300",3.6
18/12/2024,19.25,"524,700",19.10,19.35,19,"58,100","9,100",0.9
17/12/2024,19.15,"961,000",18.85,19.80,18.85,"44,700","17,900",0.5
16/12/2024,18.80,"546,200",19,19.20,18.70,"9,100","11,800",-0.1
13/12/2024,19,"524,500",19.35,19.35,18.85,"11,900","22,000",-0.2
12/12/2024,19.25,"1,500,700",19,19.80,19,"19,400","34,500",-0.3
11/12/2024,18.85,"681,600",18.85,18.90,18.55,0,"2,400",-0.0
10/12/2024,19,"1,734,500",18.50,19.30,18.35,"42,700","13,600",0.5
09/12/2024,18.20,"1,643,400",17.40,18.20,17.30,"34,500",0,0.6
06/12/2024,17.05,"440,800",17.15,17.35,17.05,300,"17,900",-0.3
05/12/2024,17.15,"565,900",16.80,17.30,16.60,"41,700",0,0.7
04/12/2024,16.80,"499,700",16.90,17.05,16.80,"7,500",0,0.1
03/12/2024,17,"453,800",17,17.10,16.80,"25,100","14,000",0.2
02/12/2024,17,"607,800",17.15,17.40,17,"90,800","9,700",1.4
29/11/2024,17,"1,008,600",17.15,17.50,16.95,"20,200","3,400",0.3
28/11/2024,16.95,"395,100",17.05,17.20,16.85,"6,900","19,800",-0.2
27/11/2024,17,"758,700",16.80,17.25,16.80,"3,200",0,0.1
26/11/2024,16.75,"674,200",17,17.15,16.70,"7,000","11,900",-0.1
25/11/2024,16.85,"648,500",16.55,17.15,16.45,"14,700","8,000",0.1
22/11/2024,16.55,"438,700",16.60,16.90,16.40,0,"5,300",-0.1
21/11/2024,16.65,"143,900",16.70,16.70,16.40,200,"13,300",-0.2
20/11/2024,16.50,"1,347,600",16.15,16.85,15.95,"14,400","12,900",0.0
19/11/2024,16.20,"426,100",16.55,16.60,16.10,0,"10,100",-0.2
18/11/2024,16.50,"310,800",16.40,16.60,16.10,"7,900","5,400",0.0
15/11/2024,16.40,"498,100",16.25,16.40,15.90,"16,900","1,700",0.2
14/11/2024,16.25,"424,800",16.75,16.75,16.25,0,800,-0.0
13/11/2024,16.55,"347,400",16.70,16.85,16.35,0,"7,800",-0.1
12/11/2024,16.85,"345,300",17,17.15,16.70,0,"22,000",-0.4
11/11/2024,16.95,"1,152,500",16.55,17.15,16.55,100,"26,600",-0.4
08/11/2024,16.45,"408,200",16,16.45,15.90,"5,500",0,0.1
07/11/2024,16,"183,600",16.10,16.10,15.90,"11,000",0,0.2
06/11/2024,16,"196,400",15.70,16,15.70,0,0,0
05/11/2024,15.70,"155,500",15.80,15.80,15.65,500,"1,500",-0.0
04/11/2024,15.75,"221,000",16,16.10,15.60,0,"7,500",-0.1
01/11/2024,16,"194,400",16.15,16.20,15.80,0,"9,300",-0.1
