Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,40.50,"639,100",40.70,40.90,40.20,"2,700","52,600",0
20/03/2025,40.55,"2,810,000",39.65,41.70,39.65,"194,100","89,757",4.1
19/03/2025,39.60,"1,521,600",38.90,39.85,38.90,"269,200","9,800",10.2
18/03/2025,39.05,"1,050,900",39.60,39.85,39.05,"40,400","19,700",0.8
17/03/2025,39.35,"1,149,100",38.95,39.60,38.55,"48,400",212,1.9
14/03/2025,38.95,"986,800",39.20,39.45,38.65,"10,100","58,700",-1.9
13/03/2025,39.20,"1,684,200",39.50,40.10,39.10,"56,700","20,900",1.4
12/03/2025,39.70,"1,374,700",39.75,39.90,39.35,102,"67,800",-2.7
11/03/2025,39.70,"1,772,000",38.55,39.70,38.55,"73,300","97,300",-0.9
10/03/2025,39.20,"1,358,200",39.50,39.90,38.80,"2,000","34,400",-1.3
07/03/2025,39.05,"1,055,700",39.75,39.90,39.05,"6,100","75,900",-2.8
06/03/2025,39.60,"2,252,100",38.90,39.80,38.45,"187,100","155,300",1.2
05/03/2025,38.40,"1,236,600",38.90,39.55,38.35,"12,900","143,400",-5.1
04/03/2025,39,"1,535,600",39.20,39.80,37.80,"41,400","22,800",0.7
03/03/2025,39.10,"1,943,600",38.50,39.80,38.15,"211,701","20,500",7.4
28/02/2025,38.50,"2,418,700",38.90,39.30,38.40,"157,200","227,100",-2.7
27/02/2025,38.70,"2,052,600",38.10,38.80,38,"1,800","82,453",-3.1
26/02/2025,38.10,"2,738,000",37.45,38.90,37.15,"20,500","4,900",0.6
25/02/2025,37.25,"2,524,900",37,37.50,36.65,"107,500","267,700",-5.9
24/02/2025,36.75,"1,872,000",35.10,36.80,35.10,"258,100","10,000",8.9
21/02/2025,35.15,"545,100",35.45,35.55,35.10,0,"16,100",-0.6
20/02/2025,35.45,"1,033,800",36,36.10,35.45,"29,400","156,000",-4.5
19/02/2025,35.50,"599,800",35.50,35.60,35.25,"5,600","93,200",-3.1
18/02/2025,35.25,"665,400",35.30,35.70,35.10,"7,500","5,000",0.1
17/02/2025,35.35,"1,227,300",34.85,35.65,34.50,"145,000","60,800",3.0
14/02/2025,34.55,"979,800",34.75,35.30,34.50,"124,300","59,900",2.2
13/02/2025,34.35,"383,800",34.50,34.55,34.20,"7,300","42,600",-1.2
12/02/2025,34.50,"517,000",34.10,34.80,34.10,"58,100","7,700",1.7
