Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,3.52,"59,000",3.53,3.53,3.50,0,0,0
20/03/2025,3.52,"122,300",3.50,3.53,3.48,0,0,0
19/03/2025,3.52,"121,100",3.52,3.54,3.49,0,0,0
18/03/2025,3.51,"175,300",3.52,3.55,3.48,0,0,0
17/03/2025,3.51,"146,000",3.51,3.55,3.48,0,0,0
14/03/2025,3.51,"289,000",3.50,3.55,3.50,0,0,0
13/03/2025,3.50,"289,500",3.57,3.59,3.50,0,0,0
12/03/2025,3.59,"97,200",3.59,3.60,3.55,0,0,0
11/03/2025,3.58,"35,100",3.59,3.59,3.53,0,0,0
10/03/2025,3.54,"85,500",3.60,3.60,3.54,0,0,0
07/03/2025,3.60,"63,100",3.59,3.60,3.56,0,0,0
06/03/2025,3.59,"122,800",3.55,3.60,3.51,0,0,0
05/03/2025,3.55,"169,200",3.59,3.59,3.52,0,0,0
04/03/2025,3.59,"261,100",3.66,3.66,3.50,0,0,0
03/03/2025,3.66,"269,900",3.70,3.72,3.66,0,0,0
28/02/2025,3.70,"603,900",3.61,3.85,3.61,0,0,0
27/02/2025,3.61,"261,400",3.60,3.61,3.58,0,0,0
26/02/2025,3.59,"117,900",3.57,3.60,3.55,0,0,0
25/02/2025,3.58,"136,200",3.60,3.62,3.57,0,0,0
24/02/2025,3.58,"141,000",3.59,3.60,3.53,0,0,0
21/02/2025,3.59,"262,000",3.59,3.64,3.58,0,0,0
20/02/2025,3.59,"80,100",3.59,3.65,3.58,0,0,0
19/02/2025,3.58,"114,500",3.59,3.62,3.57,0,0,0
18/02/2025,3.59,"138,900",3.55,3.66,3.55,0,0,0
17/02/2025,3.56,"180,300",3.58,3.67,3.55,0,0,0
14/02/2025,3.58,"131,100",3.58,3.64,3.56,0,0,0
13/02/2025,3.57,"62,900",3.66,3.68,3.57,0,0,0
12/02/2025,3.66,"126,600",3.72,3.72,3.58,0,0,0
11/02/2025,3.66,"248,100",3.57,3.75,3.57,0,0,0
10/02/2025,3.60,"625,500",3.52,3.76,3.50,0,0,0
07/02/2025,3.52,"97,700",3.57,3.62,3.51,0,0,0
06/02/2025,3.58,"241,200",3.57,3.65,3.50,0,0,0
05/02/2025,3.57,"83,100",3.54,3.60,3.52,0,0,0
04/02/2025,3.55,"272,600",3.54,3.65,3.54,0,0,0
03/02/2025,3.54,"277,700",3.38,3.54,3.33,0,0,0
24/01/2025,3.31,"59,700",3.38,3.38,3.30,0,0,0
23/01/2025,3.33,"150,600",3.31,3.34,3.27,0,0,0
22/01/2025,3.28,"15,900",3.29,3.30,3.24,0,0,0
21/01/2025,3.27,"54,000",3.30,3.35,3.27,0,0,0
20/01/2025,3.28,"65,900",3.38,3.38,3.28,0,0,0
17/01/2025,3.29,"52,800",3.33,3.37,3.26,0,0,0
