Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,104.90,"1,605,200",106.80,106.80,104.30,"174,700","566,566",0
20/03/2025,106.40,"2,131,400",108,108,105.10,"36,300","624,700",-62.5
19/03/2025,107.90,"1,706,400",107.30,108.60,106.30,"14,440","533,059",-55.5
18/03/2025,107.30,"653,400",107.50,108.20,107.10,"7,100","139,300",-14.2
17/03/2025,107,"1,568,400",107.40,108,106.70,"9,038","397,000",-41.5
14/03/2025,107,"2,581,300",108.90,108.90,106.80,"11,660","446,973",-46.9
13/03/2025,108.90,"1,669,000",110.30,110.40,108.90,"26,501","327,300",-32.8
12/03/2025,110,"1,233,900",109.80,110,109,"177,200","39,200",15.1
11/03/2025,109.10,"2,038,900",109.70,109.90,108.90,"3,600","652,300",-70.8
10/03/2025,110.50,"1,634,500",111.20,111.70,110.40,"14,600","444,696",-47.6
07/03/2025,111.20,"1,415,100",111.90,111.90,110.60,"141,600","606,100",-51.5
06/03/2025,111.10,"2,065,100",110.50,111.40,109.30,"33,500","297,000",-29.1
05/03/2025,110,"2,388,400",112.40,112.60,109.90,"6,200","208,800",-22.6
04/03/2025,112,"1,487,700",113.50,113.50,111.50,"1,100","139,200",-15.5
03/03/2025,113.30,"3,330,600",112.50,115.60,111.50,"190,100","248,650",-6.7
28/02/2025,111.50,"2,520,300",111,112.80,110.80,"33,600","336,400",-33.8
27/02/2025,110.80,"1,743,000",110,111.50,109.70,"145,200","123,600",2.4
26/02/2025,110,"1,179,100",110,111,109.50,"1,200","231,400",-25.3
25/02/2025,109.70,"1,145,300",109.80,110.40,108.80,900,"37,600",-4.0
24/02/2025,109.50,"1,278,500",109.40,109.50,108,"24,170","13,400",1.2
21/02/2025,109.50,"909,800",110.40,110.90,109.10,"3,400","221,300",-23.9
20/02/2025,110.30,"2,532,000",108.30,112.20,108.10,"34,300","154,100",-13.3
19/02/2025,108,"1,118,400",108,108,107,"43,300","337,500",-31.5
18/02/2025,107.50,"915,400",106.90,107.50,106.60,"10,000","258,000",-26.5
17/02/2025,106.60,"1,738,300",108,108.30,106.50,"12,000","368,700",-38.2
14/02/2025,108,"1,254,600",108.80,109.50,107.60,"21,900","384,900",-39.2
13/02/2025,108.50,"995,600",107.90,108.50,107.40,"21,800","291,100",-29.0
12/02/2025,108.40,"941,900",109,109.50,107.50,"42,569","253,200",-22.7
11/02/2025,108.50,"1,405,100",107.60,108.80,106.30,"66,330","241,108",-18.8
10/02/2025,107.60,"2,288,800",110.50,110.50,107.60,"3,500","381,900",-41.3
07/02/2025,111.10,"1,245,600",111.40,111.50,110.20,"24,100","524,801",-55.3
06/02/2025,111.40,"1,226,000",111.70,111.90,110.60,"85,400","360,600",-30.5
05/02/2025,111.70,"1,253,300",111.80,111.90,110.50,"143,500","525,000",-42.3
04/02/2025,111.50,"1,077,100",110.80,111.90,110.40,"8,200","285,261",-30.8
03/02/2025,110.50,"638,100",111.40,111.40,109.90,"61,500","106,100",-4.9
24/01/2025,111.40,"1,038,000",111,111.70,110.20,"330,600","286,100",5.0
23/01/2025,111,"1,183,400",110.10,111,109.30,"205,400","388,700",-20.1
22/01/2025,109,"838,500",109,110.30,109,"35,600","149,100",-12.4
21/01/2025,109,"965,100",109.60,110.20,108.90,"52,800","285,200",-25.4
20/01/2025,109.90,"764,500",110,110.60,109.70,"46,500","219,984",-19.1
17/01/2025,109.80,"786,100",109.80,110,109,"48,100","279,600",-25.3
16/01/2025,109.80,"1,084,700",109.90,110.70,109.10,"100,900","495,900",-43.2
15/01/2025,109.30,"772,900",109.10,109.80,108.80,"11,000","184,200",-18.9
14/01/2025,108.90,"685,300",110.50,110.50,108.80,"50,051","181,400",-14.4
13/01/2025,110.50,"1,175,600",110,110.50,108.50,"99,530","334,900",-25.7
10/01/2025,110,"1,581,100",112.30,112.50,110,"2,313","37,000",-3.9
