Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,5.50,"160,900",5.50,5.60,5.40,300,0,0
20/03/2025,5.50,"141,600",5.50,5.60,5.50,0,0,0
19/03/2025,5.60,"90,700",5.60,5.60,5.50,0,0,0
18/03/2025,5.60,"105,800",5.70,5.70,5.50,0,0,0
17/03/2025,5.70,"266,200",5.60,5.70,5.40,"4,000",0,0
14/03/2025,5.60,"173,700",5.50,5.60,5.40,0,0,0
13/03/2025,5.50,"242,700",5.60,5.70,5.50,"2,500",0,0.0
12/03/2025,5.60,"193,200",5.60,5.70,5.50,0,0,0
11/03/2025,5.60,"202,900",5.60,5.70,5.50,0,0,0
10/03/2025,5.60,"213,700",5.60,5.70,5.50,0,0,0
07/03/2025,5.60,"211,400",5.70,5.70,5.50,0,0,0
06/03/2025,5.60,"135,700",5.60,5.70,5.60,0,0,0
05/03/2025,5.60,"218,900",5.70,5.70,5.60,"20,000",0,0.1
04/03/2025,5.70,"332,500",5.80,5.80,5.60,0,0,0
03/03/2025,5.80,"288,900",5.80,5.90,5.70,"20,000",0,0.1
28/02/2025,5.80,"146,700",5.80,5.80,5.60,"10,000",0,0.1
27/02/2025,5.80,"175,700",5.80,5.80,5.60,"10,000",0,0.1
26/02/2025,5.80,"242,800",5.70,5.80,5.60,0,0,0
25/02/2025,5.70,"495,600",5.80,5.90,5.60,0,0,0
24/02/2025,5.90,"406,700",6.10,6.10,5.80,"20,000",0,0.1
21/02/2025,5.80,"648,800",5.80,6,5.80,0,0,0
20/02/2025,5.80,"320,600",6.10,6.10,5.80,0,0,0
19/02/2025,6,"350,100",6.10,6.10,5.90,0,0,0
18/02/2025,5.90,"468,600",6.60,6.60,5.80,0,0,0
17/02/2025,5.90,"359,900",6.60,6.60,5.70,0,0,0
14/02/2025,5.90,"190,000",5.90,6,5.80,0,0,0
13/02/2025,5.90,"236,500",5.90,5.90,5.70,0,0,0
12/02/2025,5.90,"391,100",6.10,6.10,5.80,0,0,0
11/02/2025,6,"286,601",6.10,6.20,5.90,0,0,0
10/02/2025,6.20,"999,901",5.80,6.20,5.70,0,0,0
07/02/2025,5.80,"672,913",5.70,5.90,5.60,0,0,0
06/02/2025,5.60,"179,800",5.70,5.70,5.60,0,0,0
05/02/2025,5.70,"147,016",5.70,5.80,5.60,0,0,0
04/02/2025,5.70,"204,883",6.40,6.40,5.60,0,0,0
03/02/2025,5.70,"192,700",5.60,5.70,5.50,"10,000","903,900",0
24/01/2025,5.70,"169,502",5.70,5.70,5.60,0,0,0
23/01/2025,5.70,"197,813",5.60,5.80,5.50,"29,000",0,0.2
22/01/2025,5.60,"199,700",5.80,5.80,5.60,0,0,0
21/01/2025,5.70,"135,510",5.70,5.80,5.60,0,0,0
20/01/2025,5.70,"254,177",5.90,5.90,5.60,0,0,0
17/01/2025,5.90,"733,105",5.90,6.10,5.80,"196,800",0,1.2
16/01/2025,5.90,"1,709,707",5.50,6.10,5.50,"705,400",0,4.2
15/01/2025,5.40,"247,700",5.40,5.50,5.30,0,0,0
14/01/2025,5.30,"129,600",5.30,5.40,5.20,0,200,-0.0
13/01/2025,5.40,"324,104",5.40,5.50,5.20,"6,100",0,0.0
10/01/2025,5.50,"204,675",5.50,5.60,5.40,200,0,0.0
09/01/2025,5.50,"154,734",5.50,5.60,5.40,"3,000",0,0.0
08/01/2025,5.60,"933,300",5.60,5.70,5.20,"15,000",0,0.1
07/01/2025,5.60,"378,802",5.80,5.80,5.60,0,0,0
06/01/2025,5.80,"433,486",6.90,6.90,5.70,0,0,0
03/01/2025,5.90,"475,437",6.10,6.10,5.90,0,0,0
02/01/2025,6.10,"249,961",6.70,6.70,6,0,0,0
31/12/2024,6,"193,534",6,6,5.90,0,0,0
30/12/2024,6,"819,771",6.10,6.10,5.90,0,0,0
27/12/2024,6.10,"831,351",6.20,6.20,6,0,0,0
26/12/2024,6.20,"1,049,430",6.40,6.40,6.20,0,0,0
25/12/2024,6.40,"1,266,901",6.40,6.50,6.30,"56,000",0,0.4
24/12/2024,6.40,"1,773,013",6.30,6.60,6.30,"124,000",0,0.8
23/12/2024,6.30,"2,676,233",6.10,6.50,6.10,"259,300","16,300",1.5
20/12/2024,6.10,"57,003",6,6.10,6,0,0,0
19/12/2024,6,"248,500",6,6.10,5.90,"15,300",0,0.1
18/12/2024,6.10,"138,400",6,6.20,5.90,"3,000",0,0.0
17/12/2024,6.10,"161,800",6.10,6.20,6,0,0,0
16/12/2024,6.10,"296,301",6.10,6.20,6,0,0,0
13/12/2024,6.20,"160,518",6.30,6.40,6.10,0,0,0
12/12/2024,6.40,"390,405",7,7,6.30,"60,000",0,0.4
11/12/2024,6.40,"844,976",6.20,6.60,6.10,"74,000",100,0.5
