Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,7.45,"13,300",7.32,7.49,7.32,0,0,0
20/03/2025,7.38,"12,300",7.30,7.39,7.30,0,0,0
19/03/2025,7.39,"34,900",7.39,7.44,7.38,0,0,0
18/03/2025,7.45,"12,400",7.46,7.49,7.45,0,0,0
17/03/2025,7.49,"14,800",7.40,7.49,7.40,0,0,0
14/03/2025,7.49,"12,600",7.49,7.55,7.45,0,0,0
13/03/2025,7.49,"41,500",7.50,7.54,7.14,0,0,0
12/03/2025,7.55,"14,700",7.65,7.65,7.50,0,0,0
11/03/2025,7.55,"21,600",7.65,7.65,7.50,0,0,0
10/03/2025,7.65,"21,800",7.65,7.70,7.50,0,0,0
07/03/2025,7.65,"21,500",7.70,7.77,7.50,0,0,0
06/03/2025,7.74,"74,600",7.68,7.78,7.68,0,0,0
05/03/2025,7.83,"19,200",7.95,7.95,7.83,0,0,0
04/03/2025,8,"32,600",7.75,8,7.40,0,0,0
03/03/2025,7.77,"6,800",7.75,7.80,7.65,0,0,0
28/02/2025,7.80,"20,500",7.60,7.80,7.58,0,0,0
27/02/2025,7.60,"28,400",7.60,7.70,7.50,0,0,0
26/02/2025,7.60,"28,500",7.63,7.70,7.60,0,0,0
25/02/2025,7.63,"48,700",7.73,7.94,7.62,0,0,0
24/02/2025,7.94,"17,700",7.90,8.05,7.67,0,0,0
21/02/2025,7.94,"14,600",7.95,8.15,7.83,0,0,0
20/02/2025,8,"25,100",7.90,8,7.87,0,0,0
19/02/2025,7.90,"49,700",8.23,8.23,7.63,0,0,0
18/02/2025,8.01,"20,000",8.57,8.57,8.01,0,0,0
17/02/2025,8.01,"89,000",7.60,8.01,7.60,0,0,0
14/02/2025,7.49,"33,100",7.90,8.19,7.49,0,0,0
13/02/2025,7.99,"35,300",8.20,8.25,7.80,0,0,0
12/02/2025,8.30,"17,200",7.82,8.30,7.81,0,0,0
11/02/2025,7.84,"12,800",7.83,7.88,7.70,0,0,0
10/02/2025,7.88,"7,000",7.88,7.89,7.75,0,0,0
07/02/2025,7.95,"13,800",7.85,8,7.85,0,0,0
06/02/2025,7.94,"20,800",7.75,7.94,7.75,0,0,0
05/02/2025,7.88,"6,100",7.83,7.93,7.65,0,0,0
04/02/2025,7.94,"15,500",7.85,8.15,7.55,0,0,0
03/02/2025,7.88,"8,300",7.80,8,7.50,0,0,0
24/01/2025,7.85,"7,000",8.11,8.11,7.85,0,0,0
23/01/2025,8.18,"15,800",7.71,8.21,7.71,0,0,0
22/01/2025,8.22,"8,900",8.18,8.25,8,0,0,0
21/01/2025,8.22,"9,100",8.35,8.35,7.95,0,0,0
20/01/2025,8.28,"29,500",8.10,8.28,8.09,0,0,0
17/01/2025,8.14,"8,600",8.10,8.14,8.05,0,0,0
16/01/2025,8.20,"9,300",8.10,8.30,8.01,0,0,0
15/01/2025,8.15,"7,400",8.05,8.20,7.95,0,0,0
14/01/2025,8.17,"13,300",7.96,8.17,7.96,0,0,0
13/01/2025,7.98,"9,400",7.90,7.99,7.90,0,0,0
10/01/2025,8.10,"7,100",8.14,8.14,8,0,0,0
09/01/2025,8.14,"17,700",8.30,8.50,8.14,0,0,0
08/01/2025,8.70,"16,300",8.15,8.70,7.65,0,0,0
