Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.40,0,12.40,12.40,12.40,0,0,0
20/03/2025,12.40,100,12.40,12.40,12.40,0,0,0
19/03/2025,12.20,100,12.20,12.20,12.20,0,0,0
18/03/2025,12.10,"12,900",12.20,12.20,12.10,0,0,0
17/03/2025,12.10,"6,500",12.10,12.10,12.10,0,0,0
14/03/2025,12.10,0,12.10,12.10,12.10,0,0,0
13/03/2025,12.10,"3,200",12.10,12.10,12.10,0,0,0
12/03/2025,12.10,0,12.10,12.10,12.10,0,0,0
11/03/2025,12.10,"1,000",12.10,12.10,12.10,0,0,0
10/03/2025,12.20,"1,200",12.10,12.20,12.10,0,0,0
07/03/2025,12.20,0,12.20,12.20,12.20,0,0,0
06/03/2025,12.20,0,12.20,12.20,12.20,0,0,0
05/03/2025,12.20,0,12.20,12.20,12.20,0,0,0
04/03/2025,12.20,"1,000",12.10,12.20,12.10,0,0,0
03/03/2025,12.10,"2,000",12.20,12.20,12.10,0,0,0
28/02/2025,12.10,200,12.10,12.10,12.10,0,0,0
27/02/2025,12.10,"1,000",12.10,12.10,12.10,0,0,0
26/02/2025,12.30,0,12.30,12.30,12.30,0,0,0
25/02/2025,12.30,"1,000",12.30,12.30,12.30,0,0,0
24/02/2025,12,0,12,12,12,0,0,0
21/02/2025,12,0,12,12,12,0,0,0
20/02/2025,12,"1,000",12,12,12,0,0,0
19/02/2025,12,"1,000",12,12,12,0,0,0
18/02/2025,12,0,12,12,12,0,0,0
17/02/2025,12,300,12,12,12,0,0,0
14/02/2025,12,"1,700",12,12,12,0,0,0
13/02/2025,12,"5,200",12,12,12,0,0,0
12/02/2025,12,"1,700",12.10,12.10,12,0,0,0
11/02/2025,12,600,12,12,12,0,0,0
10/02/2025,11.90,600,11.90,11.90,11.90,0,0,0
07/02/2025,11.80,700,11.90,11.90,11.80,0,0,0
06/02/2025,11.80,100,11.80,11.80,11.80,0,0,0
05/02/2025,11.60,0,11.60,11.60,11.60,0,0,0
04/02/2025,11.60,39,11.60,11.60,11.60,0,0,0
03/02/2025,11.60,100,11.60,11.60,11.60,0,0,0
24/01/2025,11.60,"7,300",11.60,11.60,11.60,0,"2,200",-0.0
