Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,5.30,"747,100",5.30,5.40,5.30,0,600,-0.0
20/03/2025,5.30,"599,300",5.30,5.50,5.20,"26,000",0,0.1
19/03/2025,5.30,"228,200",5.40,5.40,5.20,"6,900","5,304,000",-29.1
18/03/2025,5.40,"544,900",5.40,5.50,5.20,600,0,0.0
17/03/2025,5.40,"211,700",5.40,5.50,5.40,0,200,0
14/03/2025,5.40,"450,600",5.30,5.40,5.20,0,0,0
13/03/2025,5.40,"326,800",5.50,5.50,5.40,0,0,0
12/03/2025,5.50,"258,900",5.40,5.60,5.40,0,0,0
11/03/2025,5.40,"562,800",5.50,5.60,5.30,0,"8,300",-0.0
10/03/2025,5.50,"320,800",5.60,5.60,5.40,0,"2,100",-0.0
07/03/2025,5.50,"670,700",5.60,5.90,5.50,200,"19,100",-0.1
06/03/2025,5.60,"513,700",5.50,5.60,5.40,"3,500",0,0.0
05/03/2025,5.40,"763,700",5.60,5.70,5.40,700,0,0.0
04/03/2025,5.60,"986,200",5.70,5.80,5.40,"16,300","13,000",0.0
03/03/2025,5.70,"641,400",5.70,6,5.60,"7,700",200,0.0
28/02/2025,5.60,"855,000",5.70,6,5.60,0,"14,100",-0.1
27/02/2025,5.70,"3,366,200",5.30,5.70,5.20,"12,000",200,0.1
26/02/2025,5.20,"1,110,300",5.10,5.30,5.10,0,"11,200",-0.1
25/02/2025,5.10,"415,700",5.20,5.20,5,0,0,0
24/02/2025,5.20,"482,500",5.20,5.20,5,0,0,0
21/02/2025,5.20,"795,000",5.20,5.20,5,"10,000","348,100",-1.7
20/02/2025,5.20,"407,500",5.30,5.30,5.10,"11,000",0,0.1
19/02/2025,5.30,"629,500",5.30,5.30,5.10,0,0,0
18/02/2025,5.20,"930,800",5.20,5.40,5.10,"50,000",0,0.3
17/02/2025,5.20,"464,900",5.30,5.30,5.10,"1,000",0,0.0
14/02/2025,5.30,"235,800",5.20,5.30,5.20,0,0,0
13/02/2025,5.20,"754,200",5.20,5.30,5.10,"67,300",0,0.4
12/02/2025,5.20,"805,158",5.40,5.50,5.20,0,"30,100",-0.2
11/02/2025,5.40,"1,435,312",5.10,5.50,5.10,"35,000",0,0.2
10/02/2025,5.10,"134,418",5.10,5.10,5,"15,200",0,0.1
07/02/2025,5.10,"904,934",4.90,5.30,4.90,"65,500",0,0.3
06/02/2025,5,"548,903",4.90,5,4.80,"15,000","18,400",-0.0
05/02/2025,4.90,"295,267",4.90,5,4.90,0,0,0
04/02/2025,5,"395,172",4.90,5,4.80,"1,100",0,0.0
03/02/2025,5,"446,600",4.90,5,4.80,"43,400","21,000",0
24/01/2025,5,"193,045",4.90,5,4.90,0,0,0
23/01/2025,4.90,"297,719",4.90,5,4.80,0,0,0
22/01/2025,4.80,"282,044",4.90,5,4.80,0,"3,200",-0.0
21/01/2025,4.90,"247,001",4.90,5,4.80,"5,000","87,200",-0.4
20/01/2025,4.90,"947,620",4.90,5,4.80,0,"4,200",-0.0
17/01/2025,4.90,"980,152",5,5.10,4.80,"23,300",0,0.1
16/01/2025,5.10,"162,311",5,5.10,5,"6,000",0,0.0
15/01/2025,5.10,"450,687",5,5.10,4.90,"18,600","40,200",-0.1
14/01/2025,5,"211,345",5,5.10,5,0,0,0
13/01/2025,5,"387,960",5,5.10,4.90,"10,000",0,0.1
10/01/2025,5,"365,700",5.10,5.20,5,0,"9,400",-0.0
