Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,67.20,"8,600",66.80,68.40,66.70,400,100,0
20/03/2025,66.50,800,66.90,66.90,66.20,0,0,0
19/03/2025,66.90,"3,300",68.20,68.20,66,100,100,0
18/03/2025,66.70,"2,900",65.90,66.80,65.90,0,0,0
17/03/2025,66,"7,900",69,69,65.20,500,100,0.0
14/03/2025,67,"4,800",68,68.90,67,"1,200",100,0.1
13/03/2025,68,"11,100",68.10,68.10,67,"5,800",100,0.4
12/03/2025,68.90,"2,200",68,69.60,68,"1,300",300,0.1
11/03/2025,69,"3,200",69.10,69.10,67.40,900,0,0.1
10/03/2025,69.10,"2,500",68.80,70.10,68.30,300,0,0.0
07/03/2025,69.10,"5,600",69,70.80,68.20,"1,500",0,0.1
06/03/2025,70.90,"7,000",67.90,72,67.50,"2,200",0,0.2
05/03/2025,67.30,"8,400",68.50,68.60,66.50,100,0,0.0
04/03/2025,68.50,"7,900",69.50,69.50,67.50,500,"1,000",-0.0
03/03/2025,69,"10,900",71,71.60,67,100,200,-0.0
28/02/2025,71,"25,300",70.10,72,70.10,500,0,0.0
27/02/2025,70.20,"20,700",72.60,74.40,70,552,0,0.0
26/02/2025,73,"73,100",75.20,78,72.60,"7,400",0,0.5
25/02/2025,77.90,"16,800",77.60,79.80,77,0,0,0
24/02/2025,79.90,"6,800",76.60,85,76.60,0,0,0
21/02/2025,79.80,"9,300",80.80,81,79,"1,100",800,0.0
20/02/2025,80.80,"59,000",80,83.20,80,400,0,0.0
19/02/2025,77.80,"23,100",78.80,78.80,77.40,"2,200",0,0.2
18/02/2025,78.80,"21,000",78,78.90,77.70,600,"14,400",-1.1
17/02/2025,79,"36,700",78,79.50,77.20,200,"10,401",-0.8
14/02/2025,77.20,"5,000",78.80,79,75.10,400,700,-0.0
13/02/2025,79,"14,000",79.10,79.80,78,0,0,0
12/02/2025,80,"6,100",84,84,80,100,0,0.0
11/02/2025,82.90,"28,000",82.90,86.60,82.10,300,100,0.0
10/02/2025,81,"12,400",83,83.10,80.10,300,100,0.0
07/02/2025,79.80,"14,500",80,80.20,79.10,0,0,0
06/02/2025,80.20,"12,200",80.30,81.10,79.70,0,0,0
05/02/2025,81.10,"8,800",82.50,82.50,81.10,300,0,0.0
04/02/2025,82.90,"7,400",86.60,86.60,79,800,0,0.1
03/02/2025,81,"3,800",82,82,80,0,500,-0.0
24/01/2025,83,"64,700",88.10,88.10,80.10,0,"4,520",-0.4
23/01/2025,82.40,"11,800",82.40,82.40,82.40,0,100,-0.0
22/01/2025,77.10,"16,300",77.10,77.10,77.10,0,0,0
21/01/2025,72.10,"1,300",73,73,69.50,0,0,0
20/01/2025,73.50,"1,300",74.40,76.90,73.50,0,0,0
17/01/2025,74.40,"1,700",74.40,74.40,74.40,0,0,0
16/01/2025,77.50,100,77.50,77.50,77.50,0,0,0
15/01/2025,74.50,"4,300",74,74.50,74,0,"3,500",-0.3
14/01/2025,75.80,"1,700",75.10,75.80,75.10,0,0,0
13/01/2025,78.50,700,78,78.50,78,0,200,-0.0
10/01/2025,78.90,200,77,78.90,77,0,0,0
09/01/2025,78.90,"1,800",76.90,78.90,76.80,1,0,0.0
08/01/2025,76.90,"11,700",74.20,77,74.20,100,"1,500",-0.1
07/01/2025,72,"6,500",72.80,72.80,72,0,100,-0.0
06/01/2025,72.80,"1,100",72,73,72,0,0,0
03/01/2025,72.20,"8,300",73.30,74.50,72.20,0,0,0
02/01/2025,73.30,"12,700",73.30,73.50,72.80,100,0,0.0
31/12/2024,69,"4,600",68,69,67.50,0,0,0
30/12/2024,68,"8,200",68,68,67.80,0,0,0
27/12/2024,68,"4,500",68,68,68,"4,400",0,0.3
26/12/2024,67.30,"1,600",67.30,67.30,67.30,"1,600",80,0.1
25/12/2024,67.90,700,64.60,67.90,64.50,0,0,0
24/12/2024,64.60,200,64.70,64.70,64.60,0,0,0
23/12/2024,64.50,"2,800",65.20,65.30,64.50,0,0,0
20/12/2024,64.50,0,64.50,64.50,64.50,0,0,0
19/12/2024,64.50,400,64.50,64.50,64.50,0,0,0
18/12/2024,64.50,"1,600",64.40,67,64.40,0,0,0
17/12/2024,64.40,"2,200",62.60,68,62.60,0,0,0
16/12/2024,66,600,66,66.30,66,0,0,0
13/12/2024,66,0,66,66,66,0,0,0
12/12/2024,66,"1,400",67,67,66,0,13,0
11/12/2024,65.30,0,65.30,65.30,65.30,0,0,0
10/12/2024,65.30,"4,000",67,67,65.20,0,0,0
09/12/2024,64,0,64,64,64,0,0,0
06/12/2024,64,"5,200",63.60,65,63.60,100,700,-0.0
05/12/2024,63.60,100,63.60,63.60,63.60,0,0,0
04/12/2024,66,"2,500",64.90,66,64.90,0,0,0
03/12/2024,65,"3,400",64.50,65,64.50,"3,000",0,0.2
02/12/2024,64,100,64,64,64,0,0,0
29/11/2024,64.50,"1,200",64.80,64.80,64.50,0,0,0
28/11/2024,62.50,"3,300",61.30,64,61.30,0,0,0
27/11/2024,64,0,64,64,64,0,0,0
26/11/2024,64,"3,400",63.90,64,63.80,0,0,0
25/11/2024,63.90,200,63.80,63.90,63.80,0,0,0
22/11/2024,64,400,64,64,64,0,0,0
21/11/2024,65.90,300,64,66,64,0,0,0
20/11/2024,65.80,500,63,65.80,63,0,0,0
19/11/2024,65.90,200,65.80,65.90,65.80,0,89,0
18/11/2024,65.80,200,65.50,65.80,65.50,0,0,0
15/11/2024,66,200,66,66,66,0,0,0
14/11/2024,66.70,0,66.70,66.70,66.70,0,0,0
13/11/2024,66.70,"1,000",66.70,66.70,66.70,0,0,0
12/11/2024,66.80,"1,000",66.80,66.80,66.80,0,0,0
11/11/2024,66.80,"1,000",67,67,66.80,0,0,0
08/11/2024,67,0,67,67,67,0,0,0
07/11/2024,67,100,67,67,67,0,0,0
06/11/2024,66.30,0,66.30,66.30,66.30,0,0,0
05/11/2024,66.30,0,66.30,66.30,66.30,0,0,0
04/11/2024,66.30,100,66.30,66.30,66.30,0,0,0
01/11/2024,66.40,0,66.40,66.40,66.40,0,0,0
31/10/2024,66.40,"1,200",66.40,66.40,66.40,"1,000",100,0.1
30/10/2024,66.40,600,66.30,66.40,66.30,400,0,0.0
29/10/2024,66.50,900,67,67,66.50,0,0,0
28/10/2024,64.50,800,64.50,64.50,64.50,0,800,-0.1
25/10/2024,64.50,500,64.10,64.50,64.10,0,0,0
24/10/2024,65.50,800,65.50,65.50,65.50,0,0,0
23/10/2024,65.50,200,65.50,65.50,65.50,0,0,0
22/10/2024,65.50,"4,500",63.30,65.50,63.30,0,500,-0.0
21/10/2024,65.50,200,65.50,65.50,65.50,0,0,0
18/10/2024,65.50,0,65.50,65.50,65.50,0,0,0
17/10/2024,65.50,500,65.50,65.50,65.50,0,0,0
16/10/2024,65.50,"1,200",66.90,66.90,65,100,0,0.0
15/10/2024,67,100,67,67,67,0,0,0
