Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,70.40,0,70.40,70.40,70.40,0,0,0
20/03/2025,70.40,100,70.40,70.40,70.40,0,0,0
19/03/2025,64.10,500,63.50,64.10,63.50,0,0,0
18/03/2025,70.40,0,70.40,70.40,70.40,0,0,0
17/03/2025,70.40,100,70.40,70.40,70.40,0,0,0
14/03/2025,64,100,64,64,64,0,0,0
13/03/2025,64,0,64,64,64,0,0,0
12/03/2025,64,"6,500",63.10,64,63.10,0,0,0
11/03/2025,65.50,100,65.50,65.50,65.50,0,0,0
10/03/2025,66,200,66,66,66,0,0,0
07/03/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  15%,,,,,,,,
07/03/2025,66.10,100,66.10,66.10,66.10,0,0,0
06/03/2025,64.50,"5,300",64.50,64.50,64.50,0,0,0
05/03/2025,64.50,"2,500",64.50,64.50,64.50,0,0,0
04/03/2025,64.50,"2,700",65.48,65.48,64.50,0,0,0
03/03/2025,65.48,"7,500",65.48,65.48,65.48,0,0,0
28/02/2025,65.38,0,65.38,65.38,65.38,0,0,0
27/02/2025,65.38,400,65.38,65.48,65.38,0,0,0
26/02/2025,65.38,100,65.38,65.38,65.38,0,0,0
25/02/2025,64.50,"4,400",63.52,64.50,63.52,0,0,0
24/02/2025,62.64,300,62.64,62.64,62.64,0,0,0
21/02/2025,62.55,"1,200",63.52,63.52,62.55,0,0,0
20/02/2025,63.52,"1,800",63.52,63.52,63.52,0,0,0
19/02/2025,63.52,"5,600",57.27,63.52,57.27,0,743,-0.0
18/02/2025,63.52,700,63.52,63.52,63.52,0,0,0
17/02/2025,63.33,"3,900",63.33,63.33,63.33,0,0,0
14/02/2025,63.52,0,63.52,63.52,63.52,0,0,0
13/02/2025,63.52,0,63.52,63.52,63.52,0,0,0
12/02/2025,63.52,0,63.52,63.52,63.52,0,0,0
11/02/2025,63.52,0,63.52,63.52,63.52,0,0,0
10/02/2025,63.52,500,63.52,63.52,63.52,0,500,-0.0
07/02/2025,63.52,"3,200",64.50,64.50,63.52,0,"1,000",-0.1
06/02/2025,64.50,"1,200",65.28,65.28,64.50,0,0,0
05/02/2025,68.60,0,68.60,68.60,68.60,0,0,0
04/02/2025,68.60,0,68.60,68.60,68.60,0,0,0
03/02/2025,68.60,0,68.60,68.60,68.60,0,0,0
24/01/2025,68.60,"1,010",68.60,68.60,68.60,0,0,0
23/01/2025,68.60,100,68.60,68.60,68.60,0,0,0
22/01/2025,68.60,700,68.60,68.60,68.60,0,0,0
21/01/2025,68.41,0,68.41,68.41,68.41,0,0,0
20/01/2025,68.41,400,68.41,68.41,68.41,0,0,0
17/01/2025,68.41,250,68.41,68.41,68.41,0,250,-0.0
16/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
15/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
14/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
13/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
10/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
09/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
08/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
07/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
06/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
03/01/2025,72.02,0,72.02,72.02,72.02,0,0,0
02/01/2025,72.02,600,72.02,72.02,72.02,0,0,0
31/12/2024,65.48,"9,000",65.48,65.48,64.50,0,0,0
30/12/2024,64.60,"25,000",66.45,66.45,64.50,0,0,0
27/12/2024,66.45,"2,200",63.62,66.45,63.52,0,0,0
26/12/2024,66.45,"1,901",65.48,66.45,65.48,0,0,0
25/12/2024,66.45,"3,102",63.52,66.45,63.52,0,0,0
24/12/2024,66.45,"2,100",63.52,66.45,63.52,0,0,0
23/12/2024,66.45,"3,128",64.50,66.45,64.50,0,0,0
20/12/2024,66.45,"1,800",66.65,66.65,66.45,0,0,0
19/12/2024,66.65,100,66.65,66.65,66.65,0,0,0
18/12/2024,66.65,800,66.65,66.65,66.65,0,0,0
17/12/2024,66.65,100,66.65,66.65,66.65,0,0,0
16/12/2024,68.21,200,68.21,68.21,68.21,0,0,0
13/12/2024,68.41,"7,700",68.41,68.41,68.41,0,0,0
12/12/2024,74.66,0,74.66,74.66,74.66,0,0,0
11/12/2024,74.66,0,74.66,74.66,74.66,0,0,0
10/12/2024,74.66,200,74.76,74.76,74.66,0,0,0
09/12/2024,76.72,"1,000",76.52,76.72,76.52,0,0,0
06/12/2024,76.52,0,76.52,76.52,76.52,0,0,0
05/12/2024,76.52,0,76.52,76.52,76.52,0,0,0
04/12/2024,76.52,100,76.52,76.52,76.52,0,0,0
03/12/2024,76.23,0,76.23,76.23,76.23,0,0,0
02/12/2024,76.23,0,76.23,76.23,76.23,0,0,0
29/11/2024,76.23,0,76.23,76.23,76.23,0,0,0
28/11/2024,76.23,100,76.23,76.23,76.23,0,0,0
27/11/2024,76.23,0,76.23,76.23,76.23,0,0,0
26/11/2024,76.23,100,76.23,76.23,76.23,0,0,0
25/11/2024,76.23,0,76.23,76.23,76.23,0,0,0
22/11/2024,76.23,0,76.23,76.23,76.23,0,0,0
21/11/2024,76.23,100,76.23,76.23,76.23,0,0,0
20/11/2024,75.74,100,75.74,75.74,75.74,0,0,0
19/11/2024,75.74,12,75.74,75.74,75.74,0,0,0
18/11/2024,75.74,500,75.54,75.74,75.54,0,0,0
15/11/2024,75.54,400,75.45,75.54,75.25,0,0,0
14/11/2024,75.45,200,75.45,75.45,75.45,0,0,0
13/11/2024,75.25,700,75.25,75.25,75.25,0,0,0
12/11/2024,74.27,0,74.27,74.27,74.27,0,0,0
11/11/2024,74.27,1,74.27,74.27,74.27,0,0,0
08/11/2024,74.27,0,74.27,74.27,74.27,0,0,0
07/11/2024,74.27,400,74.27,74.27,74.27,0,0,0
06/11/2024,74.27,0,74.27,74.27,74.27,0,0,0
05/11/2024,74.27,100,74.27,74.27,74.27,0,0,0
04/11/2024,74.27,100,74.27,74.27,74.27,0,0,0
01/11/2024,74.27,0,74.27,74.27,74.27,0,0,0
31/10/2024,74.27,0,74.27,74.27,74.27,0,0,0
30/10/2024,74.27,"3,400",73.30,74.27,73.30,0,0,0
29/10/2024,73.30,300,73.30,73.30,73.30,0,0,0
28/10/2024,69.68,0,69.68,69.68,69.68,0,0,0
25/10/2024,69.68,500,69.68,69.68,69.68,0,0,0
24/10/2024,69.68,500,68.41,69.68,68.41,0,0,0
23/10/2024,69.68,0,69.68,69.68,69.68,0,0,0
22/10/2024,69.68,0,69.68,69.68,69.68,0,0,0
21/10/2024,69.68,0,69.68,69.68,69.68,0,0,0
18/10/2024,69.68,0,69.68,69.68,69.68,0,0,0
17/10/2024,69.68,0,69.68,69.68,69.68,0,0,0
16/10/2024,69.68,0,69.68,69.68,69.68,0,0,0
15/10/2024,69.68,0,69.68,69.68,69.68,0,0,0
14/10/2024,69.68,100,69.68,69.68,69.68,0,0,0
11/10/2024,63.42,106,63.42,63.42,63.42,0,0,0
10/10/2024,57.66,0,57.66,57.66,57.66,0,0,0
09/10/2024,57.66,0,57.66,57.66,57.66,0,0,0
08/10/2024,57.66,0,57.66,57.66,57.66,0,0,0
07/10/2024,58.64,2,57.66,57.66,57.66,0,0,0
04/10/2024,57.66,0,57.66,57.66,57.66,0,0,0
03/10/2024,57.66,0,57.66,57.66,57.66,0,0,0
02/10/2024,57.66,0,57.66,57.66,57.66,0,0,0
01/10/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
01/10/2024,58.64,93,57.66,57.66,57.66,0,93,-0.0
30/09/2024,57.66,0,57.66,57.66,57.66,0,0,0
