Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  30%,,,,,,,,
21/03/2025,58.30,"40,000",59,61,58,0,0,0
20/03/2025,59.00,"32,600",59.29,59.76,59.00,0,0,0
19/03/2025,59.29,"29,300",59.57,59.76,59.00,0,0,0
18/03/2025,59.76,"59,800",59.29,60.43,59.29,0,0,0
17/03/2025,59.00,"20,200",59.48,59.48,59.00,0,0,0
14/03/2025,59.19,"38,400",58.90,59.48,58.90,0,0,0
13/03/2025,59.00,"21,400",59.29,59.48,58.90,0,0,0
12/03/2025,59.48,"21,000",59.67,59.76,59.19,0,0,0
11/03/2025,59.57,"27,800",59.57,59.76,59.19,0,0,0
10/03/2025,59.67,"30,900",59.29,59.86,59.00,0,0,0
07/03/2025,59.19,"29,000",58.90,59.19,58.71,0,0,0
06/03/2025,58.81,"36,200",58.71,59.38,58.62,0,0,0
05/03/2025,58.24,"9,000",58.24,58.52,57.67,0,0,0
04/03/2025,58.24,"20,700",58.33,58.81,58.05,0,0,0
03/03/2025,57.57,"8,400",57.95,58.05,57.57,0,0,0
28/02/2025,57.95,"6,300",57.57,58.05,57.57,0,0,0
27/02/2025,57.57,"21,200",57.57,57.57,57.29,0,0,0
26/02/2025,57.48,"11,200",57.57,57.86,57.48,0,0,0
25/02/2025,57.48,"11,700",57.67,57.67,57.38,0,0,0
24/02/2025,57.67,"22,600",57.00,57.67,57.00,0,0,0
21/02/2025,57.00,"7,000",57.10,57.10,57.00,0,0,0
20/02/2025,57.19,"6,200",56.81,57.19,56.81,0,0,0
19/02/2025,56.81,"26,000",57.57,57.57,56.62,0,0,0
18/02/2025,57.57,"7,500",58.05,58.05,56.91,0,0,0
17/02/2025,58.05,"13,800",58.43,58.43,56.72,0,0,0
14/02/2025,58.43,"21,200",58.43,58.52,58.43,0,0,0
13/02/2025,58.43,"21,300",58.52,59.00,57.38,0,0,0
12/02/2025,58.52,"23,536",59.00,59.29,58.05,0,0,0
11/02/2025,58.52,"37,109",57.48,60.43,56.81,0,0,0
10/02/2025,57.10,"33,910",56.43,57.57,56.24,0,0,0
07/02/2025,55.86,"28,940",55.29,56.53,55.29,0,0,0
06/02/2025,54.91,"14,238",55.10,55.57,54.91,0,0,0
05/02/2025,54.91,"11,051",54.62,55.10,54.53,0,0,0
04/02/2025,54.53,"11,103",54.72,54.72,54.43,0,0,0
03/02/2025,54.72,"5,500",54.72,54.81,54.53,0,0,0
24/01/2025,54.72,"4,504",54.72,54.72,54.15,0,0,0
23/01/2025,54.72,"35,500",54.05,55.10,53.29,0,0,0
22/01/2025,53.58,"10,879",53.86,54.05,53.48,0,"2,500",-0.1
21/01/2025,53.58,"15,900",53.77,54.15,53.58,0,0,0
20/01/2025,53.77,"9,324",54.24,54.24,53.77,0,0,0
17/01/2025,54.05,410,54.62,54.62,54.05,0,0,0
16/01/2025,53.96,"8,657",55.10,55.10,53.77,0,0,0
15/01/2025,53.86,"7,200",53.77,54.24,53.77,0,0,0
14/01/2025,53.77,"8,717",53.96,54.05,53.77,0,0,0
13/01/2025,53.77,"11,457",54.15,54.24,53.67,0,0,0
10/01/2025,54.15,"1,048",54.15,54.15,54.05,0,0,0
