Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,47.30,"470,100",47,47.70,46.85,"55,300","26,200",0
20/03/2025,46.90,"479,000",46.95,47.05,46.25,"47,800","27,700",0.9
19/03/2025,46.95,"1,117,800",46.05,47.50,45.75,"115,700","25,600",4.2
18/03/2025,46.05,"642,800",45.80,46.40,45.65,"113,700","3,100",5.1
17/03/2025,45.60,"1,360,500",47,47.20,45.50,"13,400","34,600",-1.0
14/03/2025,46.90,"1,364,500",47.40,48.90,46.90,"82,300","119,000",-1.7
13/03/2025,47.45,"1,199,600",47.65,48.10,46.60,"84,500","58,900",1.2
12/03/2025,47.65,"531,800",48.10,48.40,47.30,"15,000","164,800",-7.1
11/03/2025,47.90,"1,167,000",47.05,48.70,46.80,"113,900","121,700",-0.4
10/03/2025,47.50,"792,100",47.55,48,47,"15,300","91,900",-3.6
07/03/2025,47.55,"686,100",47.60,47.75,47.15,"116,500","29,200",4.1
06/03/2025,47.45,"1,091,900",46.80,47.90,46.45,"141,400","18,200",5.8
05/03/2025,46.40,"843,100",47.35,47.35,46.40,"10,500","152,600",-6.7
04/03/2025,47.35,"1,694,900",47.60,49,47.10,"115,600","405,800",-13.9
03/03/2025,47.65,"572,300",47.70,47.70,46.80,"23,200","180,605",-7.4
28/02/2025,47.40,"1,342,200",47.10,47.75,46.80,"237,400","79,000",7.5
27/02/2025,46.80,"1,274,700",46.70,47.50,46,"176,900","184,400",-0.4
26/02/2025,46.80,"1,315,800",47,47.90,46.80,"152,100","29,400",5.8
25/02/2025,46.80,"1,215,200",47.50,47.50,46.40,"9,600","255,900",-11.5
24/02/2025,47.20,"1,022,900",46.60,47.60,46.50,"20,800","39,300",-0.9
21/02/2025,46.60,"806,900",46,46.70,45.55,"39,300","10,200",1.3
20/02/2025,45.95,"2,417,800",45,47.70,44.95,"162,605","255,300",-4.4
19/02/2025,44.95,"879,900",45.75,45.75,44.60,"7,800","107,600",-4.5
18/02/2025,45.60,"659,200",45.10,45.60,44.55,"11,400","134,500",-5.5
17/02/2025,45.10,"2,044,100",44.20,46.20,44.20,"168,100","43,700",5.6
14/02/2025,43.75,"1,055,300",43.90,44.35,43.40,"70,400","59,400",0.5
13/02/2025,43.35,"1,716,500",41.60,43.70,41.10,"264,400","48,700",9.3
12/02/2025,41.10,"775,100",41.10,42.05,40.85,"61,800","58,100",0.2
11/02/2025,40.90,"595,900",40.95,41,40.25,"19,900","123,800",-4.2
10/02/2025,40.90,"505,200",41.40,41.45,40.85,"37,700","65,900",-1.2
07/02/2025,41.50,"983,100",41.80,42.70,41.40,"25,700","106,700",-3.4
06/02/2025,41.60,"454,900",41.80,41.95,41.15,500,"46,600",-1.9
05/02/2025,41.60,"807,800",41.50,41.80,40.90,"150,200","20,400",5.4
04/02/2025,41.50,"581,800",41,41.60,40.95,"127,200","15,300",4.6
03/02/2025,40.70,"913,200",41.20,42.10,40.20,"111,500","41,560",2.9
24/01/2025,41.20,"528,400",40.95,41.60,40.80,"156,800","6,500",6.2
23/01/2025,40.95,"1,517,600",38.90,41.55,38.90,"52,600","33,700",0.8
22/01/2025,38.85,"207,000",38.85,39.20,38.80,"4,400","6,100",-0.1
21/01/2025,38.80,"310,900",39.50,39.50,38.70,"4,900","3,800",0.0
20/01/2025,39.30,"655,600",39.05,40,39,"11,500",0,0.5
17/01/2025,38.70,"522,500",38.40,38.85,38.20,"18,200","2,800",0.6
16/01/2025,37.40,"68,700",37.50,37.60,37.30,0,300,-0.0
15/01/2025,37.25,"87,100",37.20,37.50,37.10,0,0,0
14/01/2025,37.10,"141,100",36.85,37.40,36.85,0,"7,500",-0.3
13/01/2025,36.80,"106,800",36.90,37,36.80,0,"5,800",-0.2
10/01/2025,36.80,"155,100",37.35,37.35,36.80,0,"6,100",-0.2
09/01/2025,37.05,"68,200",37.25,37.45,37,0,"3,900",-0.1
08/01/2025,37.20,"160,800",37,37.30,36.95,800,"29,600",-1.1
07/01/2025,37,"230,100",37.65,37.80,37,0,"22,100",-0.8
06/01/2025,37.65,"309,800",38.20,38.40,37.20,"1,300","24,500",-0.9
03/01/2025,38.40,"232,100",38.50,38.80,38.05,0,"8,000",-0.3
02/01/2025,38.60,"102,600",38.90,39,38.60,"1,800","9,900",-0.3
31/12/2024,38.80,"183,900",38.75,38.85,38.70,"7,800","5,500",0.1
30/12/2024,38.70,"214,800",38.85,38.85,38.40,0,"12,500",-0.5
27/12/2024,38.85,"284,200",38.85,39.10,38.70,0,"23,900",-0.9
26/12/2024,38.85,"190,500",38.75,39,38.65,600,500,0.0
25/12/2024,38.75,"288,000",38.90,39.10,38.60,"14,200","13,800",0.0
24/12/2024,38.70,"330,300",38.45,38.70,38.20,"31,000","5,800",1.0
23/12/2024,38.20,"145,000",38,38.45,38,"14,600","41,200",-1.0
20/12/2024,38,"171,500",37.95,38.20,37.95,0,"37,000",-1.4
19/12/2024,37.95,"458,400",38.10,38.50,37.90,"20,800","45,800",-1.0
18/12/2024,38.60,"201,000",38.30,38.60,38.05,"2,000","5,200",-0.1
17/12/2024,38.30,"127,100",38.40,38.50,38.10,0,"19,200",-0.7
16/12/2024,38.40,"212,300",38.60,38.80,38.05,600,"4,000",-0.1
13/12/2024,38.60,"174,700",39,39,38.60,0,"6,200",-0.2
12/12/2024,39,"472,100",38.45,39.20,38.45,"30,700","16,100",0.6
11/12/2024,38.45,"172,200",38.45,38.90,38.45,0,"11,200",-0.4
10/12/2024,38.50,"316,400",38.80,39.20,38.35,"6,200","7,100",-0.0
09/12/2024,38.80,"439,300",38.80,39.20,38.70,200,0,0.0
06/12/2024,38.90,"816,900",38.35,39.20,38.35,"25,600","5,500",0.8
05/12/2024,38.30,"388,000",37.60,38.45,37.60,"36,800",100,1.4
04/12/2024,37.60,"112,700",38.05,38.05,37.60,0,0,0
03/12/2024,38.05,"242,400",38,38.20,37.80,"2,600","6,800",-0.2
02/12/2024,38,"170,100",38.05,38.35,37.90,"4,100","22,400",-0.7
29/11/2024,38,"153,300",38.25,38.50,38,0,"16,200",-0.6
28/11/2024,38.20,"262,100",37.70,38.25,37.55,"8,300",0,0.3
27/11/2024,37.50,"103,700",37.55,37.65,37.30,0,0,0
26/11/2024,37.55,"112,700",37.55,37.85,37.50,"8,100",0,0.3
25/11/2024,37.35,"254,200",37.50,37.70,37.35,0,"9,000",-0.3
22/11/2024,37.30,"175,600",37.50,37.55,37.20,0,900,-0.0
21/11/2024,37.45,"102,600",37.75,37.75,37.30,"1,800","7,100",-0.2
20/11/2024,37.20,"158,200",37,37.65,36.75,"1,700","5,900",-0.2
19/11/2024,37,"169,200",37.05,37.45,37,"2,400",0,0.1
18/11/2024,37.30,"162,200",37.30,37.50,36.90,"14,400","5,400",0.3
15/11/2024,37.35,"520,300",38,38.05,37.15,"2,100","18,500",-0.6
14/11/2024,38.05,"209,200",38.40,38.60,38.05,100,"12,000",-0.5
13/11/2024,38.55,"255,700",38.90,38.95,38.15,"8,200","2,000",0.2
12/11/2024,39,"190,900",39.30,39.70,39,"16,100",0,0.6
11/11/2024,39.35,"312,400",39,39.70,38.70,"2,600","9,400",-0.3
08/11/2024,38.95,"213,100",38.75,39.10,38.75,0,0,0
07/11/2024,38.75,"79,200",39.25,39.50,38.75,"2,000",0,0.1
06/11/2024,39.15,"516,400",38.25,39.60,38.25,0,0,0
05/11/2024,38.20,"96,800",38.20,38.30,38.05,"1,300",0,0.0
04/11/2024,38.10,"488,400",38.45,38.45,38,100,"5,500",-0.2
01/11/2024,38.45,"223,100",38.45,38.75,38.40,0,"17,800",-0.7
31/10/2024,38.65,"174,400",39,39,38.50,0,"13,800",-0.5
30/10/2024,38.70,"218,000",39,39,38.65,"1,700",0,0.1
29/10/2024,38.70,"185,700",38.35,38.90,38.35,"26,200",0,1.0
28/10/2024,38.35,"364,600",38.55,38.80,38,"20,000",0,0.8
25/10/2024,38.55,"283,300",38.60,38.65,38.45,"2,300","21,100",-0.7
24/10/2024,38.55,"278,200",39.15,39.20,38.50,"2,500","1,900",0.0
23/10/2024,38.90,"345,800",38.50,39,38.50,900,"10,200",-0.4
22/10/2024,38.65,"624,900",39.65,39.85,38,"19,600","5,900",0.5
21/10/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  15%,,,,,,,,
21/10/2024,39.75,"528,000",40.90,40.90,39.70,"2,000","3,100",-0.0
18/10/2024,40.85,"732,800",41.09,41.67,40.85,0,"20,600",-0.9
17/10/2024,41.09,"587,500",41.04,41.19,40.37,0,"109,200",-4.6
16/10/2024,40.90,"531,300",41.19,41.53,40.56,0,"23,100",-1.0
15/10/2024,41.43,"550,100",42.39,42.39,41.38,100,"21,000",-0.9
14/10/2024,42.01,"1,327,800",41.53,42.63,41.38,"118,200","1,200",5.1
11/10/2024,41.28,"310,300",41.48,41.81,41.28,0,"5,500",-0.2
10/10/2024,41.43,"455,500",42.01,42.06,41.43,"2,300","1,200",0.0
09/10/2024,41.77,"512,800",41.72,41.77,41.33,"13,900","9,600",0.2
08/10/2024,41.38,"304,500",41.24,41.62,40.90,"12,500","4,400",0.3
07/10/2024,40.85,"200,400",40.99,41.38,40.71,"1,800","7,300",-0.2
04/10/2024,40.95,"493,100",41.38,41.96,40.90,0,"25,500",-1.1
03/10/2024,41.38,"777,700",42.59,42.92,41.19,"6,500","34,800",-1.2
02/10/2024,42.39,"954,700",41.96,42.97,41.96,"12,300","2,800",0.4
01/10/2024,41.91,"667,700",42.06,42.83,41.91,"10,100","11,300",-0.1
30/09/2024,41.77,"523,900",41.67,41.96,41.48,"9,700",500,0.4
27/09/2024,41.48,"389,200",41.96,41.96,41.19,0,"2,400",-0.1
26/09/2024,41.62,"763,300",41.96,42.35,41.48,0,"21,600",-0.9
25/09/2024,41.38,"446,700",41.57,41.57,41.09,800,"54,500",-2.3
24/09/2024,41.09,"703,100",40.37,42.44,40.13,100,"85,400",-3.6
23/09/2024,40.37,"370,700",40.80,40.80,39.84,"1,000","7,100",-0.3
20/09/2024,40.51,"714,200",41.19,41.77,40.42,0,"15,200",-0.7
19/09/2024,40.99,"436,000",40.46,40.99,40.22,"5,700","24,500",-0.8
18/09/2024,40.37,"1,060,300",40.37,41.14,40.22,400,"40,000",-1.7
17/09/2024,39.93,"379,700",39.35,39.93,39.07,"20,500","1,500",0.8
16/09/2024,39.31,"646,100",39.50,40.08,39.31,"59,700","2,300",2.4
13/09/2024,39.40,"159,000",39.50,39.74,39.16,0,"1,700",-0.1
12/09/2024,39.50,"164,600",39.98,39.98,39.45,"2,100","2,700",-0.0
11/09/2024,39.50,"214,500",39.16,39.74,39.02,"5,100",600,0.2
