Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10.85,"3,100",10.85,10.85,10.60,0,0,0
20/03/2025,10.90,"9,100",10.70,11.15,10.65,0,100,-0.0
19/03/2025,10.70,"5,400",10.70,10.75,10.70,0,0,0
18/03/2025,10.70,"10,700",10.70,10.70,10.65,300,0,0.0
17/03/2025,10.70,"11,700",10.55,10.75,10.55,"1,000",0,0.0
14/03/2025,10.65,"9,100",10.80,10.80,10.65,0,0,0
13/03/2025,10.80,"8,400",10.60,10.90,10.60,0,0,0
12/03/2025,10.85,"9,600",10.75,10.85,10.75,0,0,0
11/03/2025,10.75,"6,900",10.75,10.80,10.65,700,0,0.0
10/03/2025,10.70,"14,000",10.90,10.90,10.70,0,0,0
07/03/2025,10.90,"7,200",10.90,10.95,10.80,0,0,0
06/03/2025,10.90,"13,400",10.85,10.90,10.65,0,0,0
05/03/2025,10.85,"9,000",10.80,11,10.80,0,0,0
04/03/2025,10.90,"15,400",10.95,11,10.85,0,0,0
03/03/2025,10.95,"67,400",11,11.05,10.50,0,"2,300",-0.0
28/02/2025,11.05,"10,000",11,11.10,11,0,0,0
27/02/2025,11,"15,900",10.80,11.10,10.80,"3,500",0,0.0
26/02/2025,11,"12,800",11.20,11.40,10.80,0,0,0
25/02/2025,11.20,"19,000",11.20,11.25,11,0,0,0
24/02/2025,11.25,"6,800",11.25,11.45,11.25,0,0,0
21/02/2025,11.25,"8,100",11.35,11.40,11.25,0,0,0
20/02/2025,11.30,"13,900",11.40,11.40,11.10,0,100,-0.0
19/02/2025,11.35,"49,700",11.10,11.40,11.10,0,0,0
18/02/2025,10.90,"22,700",11,11,10.80,0,0,0
17/02/2025,10.90,"25,600",11,11.10,10.70,0,0,0
14/02/2025,11.10,"9,800",11,11.10,11,0,0,0
13/02/2025,11.10,"7,800",11,11.10,10.70,"1,900",0,0.0
12/02/2025,11.10,"4,800",11,11.10,11,0,0,0
11/02/2025,11,"28,400",10.75,11,10.50,0,0,0
10/02/2025,11,"70,300",11.60,11.60,10.80,0,0,0
07/02/2025,11.60,"11,400",11.25,11.80,11.25,0,0,0
06/02/2025,11.50,"10,300",11.55,11.80,11.50,0,0,0
05/02/2025,11.55,"5,300",11.70,11.75,11.55,0,0,0
04/02/2025,11.70,"14,000",11.60,11.70,11.20,0,0,0
03/02/2025,11.20,"33,300",11.60,11.70,11.20,0,0,0
24/01/2025,12,"5,100",11.80,12,11.80,0,0,0
23/01/2025,11.80,"10,000",11.75,11.80,11.70,0,0,0
22/01/2025,11.80,"34,900",11.90,11.90,11.70,0,0,0
21/01/2025,11.85,"1,700",12,12,11.75,0,0,0
20/01/2025,11.80,"18,600",11.80,11.85,11.75,0,0,0
17/01/2025,11.80,"8,200",11.90,12,11.75,0,0,0
16/01/2025,12,"13,100",12,12,11.95,0,0,0
15/01/2025,12.05,"13,600",12.05,12.05,11.90,0,0,0
14/01/2025,12.05,"2,100",11.90,12.05,11.75,0,"1,000",-0.0
13/01/2025,11.95,"1,600",12,12,11.95,0,200,-0.0
10/01/2025,12,"19,600",12.10,12.15,12,0,0,0
09/01/2025,12.10,"19,300",12.10,12.25,12,0,0,0
08/01/2025,12.30,"12,500",12.40,12.40,11.65,0,"10,400",-0.1
07/01/2025,12.50,"1,200",12.50,12.50,12.50,0,0,0
06/01/2025,12.35,"21,500",12.40,12.40,12.35,0,0,0
03/01/2025,12.45,"18,600",12.40,12.45,12.35,0,0,0
02/01/2025,12.45,"14,200",12.50,12.75,12.45,0,0,0
31/12/2024,12.60,"10,500",12.65,12.65,12.50,0,0,0
30/12/2024,12.65,"5,400",12.60,12.65,12.55,0,0,0
27/12/2024,12.70,"5,100",12.60,12.80,12.60,600,0,0.0
26/12/2024,12.85,"6,300",12.85,12.85,12.85,0,0,0
25/12/2024,12.90,"21,000",12.80,12.90,12.65,0,0,0
24/12/2024,12.95,"3,300",13,13,12.95,0,0,0
23/12/2024,13,"12,100",13,13,12.60,0,0,0
20/12/2024,12.95,"10,600",12.80,13,12.80,0,200,-0.0
