Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,11,"14,100",10.80,11.80,10.60,0,0,0
20/03/2025,10.60,"19,600",10.80,10.80,10.40,0,0,0
19/03/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  2.46%,,,,,,,,
19/03/2025,10.80,"39,400",10.70,10.90,10.50,0,0,0
18/03/2025,10.55,"23,900",10.26,10.65,10.07,0,0,0
17/03/2025,10.36,"25,200",10.55,10.55,10.16,0,0,0
14/03/2025,10.46,"34,500",10.75,10.85,10.46,0,0,0
13/03/2025,10.65,"45,800",11.14,11.43,10.55,0,0,0
12/03/2025,11.24,"27,600",11.63,11.63,11.14,0,0,0
11/03/2025,11.73,"82,300",11.34,12.02,11.34,0,0,0
10/03/2025,11.43,"66,500",12.22,12.22,11.43,0,0,0
07/03/2025,11.92,"24,800",12.31,12.61,11.92,0,0,0
06/03/2025,12.41,"18,400",12.51,12.51,12.02,0,0,0
05/03/2025,12.22,"57,600",12.70,12.80,12.22,0,0,0
04/03/2025,12.80,"80,400",13.68,13.68,12.61,0,0,0
03/03/2025,13.39,"36,700",14.17,14.17,13.09,0,0,0
28/02/2025,13.68,"66,200",13.39,14.17,13.09,0,0,0
27/02/2025,13.09,"50,500",13.49,13.68,12.70,0,0,0
26/02/2025,13.68,"63,200",13.49,14.37,12.70,0,0,0
25/02/2025,13.19,"67,200",13.49,13.68,12.02,0,0,0
24/02/2025,13.29,"54,300",13.09,13.29,12.12,0,0,0
21/02/2025,12.61,"48,000",12.80,12.80,11.92,0,0,0
20/02/2025,12.90,"84,000",14.07,14.27,12.02,0,0,0
19/02/2025,12.41,"151,200",12.41,12.41,12.22,0,0,0
18/02/2025,10.94,"141,200",10.94,10.94,9.87,0,0,0
17/02/2025,9.58,"62,200",8.79,9.58,8.79,0,0,0
14/02/2025,8.40,300,8.40,8.40,8.40,0,0,0
13/02/2025,8.31,"1,300",8.40,8.40,8.31,0,0,0
12/02/2025,8.40,"4,500",8.40,8.60,8.40,0,0,0
11/02/2025,8.79,100,8.79,8.79,8.79,0,0,0
10/02/2025,9.38,751,8.21,9.38,8.21,0,0,0
07/02/2025,9.28,"23,410",9.19,9.38,9.19,0,0,0
06/02/2025,8.70,"8,500",7.82,8.70,7.72,0,0,0
05/02/2025,7.82,200,7.43,7.82,7.43,0,0,0
04/02/2025,7.92,"2,500",7.23,8.11,7.23,0,0,0
03/02/2025,7.33,"1,100",7.33,7.33,7.04,0,0,0
24/01/2025,7.23,"2,500",8.40,8.40,7.23,0,0,0
23/01/2025,8.60,"3,000",8.40,8.60,8.40,0,0,0
22/01/2025,8.01,100,8.01,8.01,8.01,0,0,0
21/01/2025,7.62,0,7.62,7.62,7.62,0,0,0
20/01/2025,7.62,0,7.62,7.62,7.62,0,0,0
17/01/2025,7.62,0,7.62,7.62,7.62,0,0,0
16/01/2025,7.62,0,7.62,7.62,7.62,0,0,0
15/01/2025,7.82,"3,900",7.13,7.82,7.13,0,0,0
14/01/2025,7.04,600,7.33,7.33,7.04,0,0,0
13/01/2025,7.72,444,6.94,7.72,6.94,0,0,0
10/01/2025,7.43,0,7.43,7.43,7.43,0,0,0
09/01/2025,7.43,"2,200",7.43,7.43,7.43,0,0,0
08/01/2025,7.62,0,7.62,7.62,7.62,0,0,0
07/01/2025,7.62,0,7.62,7.62,7.62,0,0,0
06/01/2025,7.62,100,7.62,7.62,7.62,0,0,0
03/01/2025,7.62,"5,144",7.62,7.62,7.62,0,0,0
02/01/2025,7.52,300,7.62,7.62,7.52,0,0,0
31/12/2024,7.62,1,7.62,7.62,7.62,0,0,0
30/12/2024,7.62,"2,000",7.62,7.62,7.62,0,0,0
27/12/2024,7.43,"1,500",7.43,7.43,7.43,0,0,0
26/12/2024,7.43,"1,103",7.43,7.43,7.43,0,0,0
25/12/2024,7.33,"6,700",7.82,7.82,7.33,0,0,0
24/12/2024,7.82,"1,205",7.52,7.82,7.52,0,0,0
23/12/2024,7.43,"3,705",7.62,7.62,7.43,0,0,0
20/12/2024,7.43,0,7.43,7.43,7.43,0,0,0
19/12/2024,7.72,"2,500",7.23,7.72,7.23,0,0,0
18/12/2024,7.72,"4,000",7.82,8.01,7.72,0,0,0
17/12/2024,8.01,200,7.62,8.01,7.62,0,0,0
16/12/2024,7.33,"4,701",7.72,7.72,7.33,0,0,0
13/12/2024,7.72,500,7.72,7.72,7.72,0,0,0
12/12/2024,8.21,"1,800",7.82,8.21,7.82,0,0,0
11/12/2024,7.82,17,7.82,7.82,7.82,0,0,0
10/12/2024,7.82,0,7.82,7.82,7.82,0,0,0
09/12/2024,7.82,0,7.82,7.82,7.82,0,0,0
06/12/2024,7.82,100,7.82,7.82,7.82,0,0,0
05/12/2024,7.82,"1,400",7.82,7.82,7.82,0,0,0
04/12/2024,7.82,0,7.82,7.82,7.82,0,0,0
03/12/2024,7.82,100,7.82,7.82,7.82,0,0,0
02/12/2024,7.72,"1,700",7.43,8.01,7.43,0,0,0
29/11/2024,8.60,104,8.60,8.60,8.60,0,0,0
28/11/2024,8.60,0,8.60,8.60,8.60,0,0,0
27/11/2024,8.60,105,8.60,8.60,8.60,0,0,0
26/11/2024,7.62,"1,200",7.62,7.62,7.62,0,0,0
25/11/2024,8.21,100,8.21,8.21,8.21,0,0,0
22/11/2024,8.01,100,8.01,8.01,8.01,0,0,0
21/11/2024,8.01,"1,000",8.01,8.01,8.01,0,0,0
20/11/2024,7.33,400,7.33,7.33,7.33,0,0,0
19/11/2024,7.33,710,7.33,7.33,7.33,0,0,0
18/11/2024,8.11,200,8.11,8.11,8.11,0,0,0
15/11/2024,7.23,"3,500",7.04,7.33,7.04,0,0,0
14/11/2024,7.82,200,7.82,7.82,7.82,0,0,0
13/11/2024,7.82,500,8.40,8.40,7.82,0,0,0
12/11/2024,7.92,0,7.92,7.92,7.92,0,0,0
11/11/2024,8.40,"2,239",7.62,8.50,7.62,0,0,0
08/11/2024,7.82,200,7.82,7.82,7.82,0,0,0
07/11/2024,7.82,100,7.82,7.82,7.82,0,0,0
06/11/2024,7.82,"1,000",7.82,7.82,7.82,0,0,0
05/11/2024,7.82,300,7.82,7.82,7.82,0,0,0
04/11/2024,7.82,"1,100",7.82,7.82,7.82,0,0,0
01/11/2024,7.82,0,7.82,7.82,7.82,0,0,0
31/10/2024,7.82,"1,200",7.82,7.82,7.82,0,0,0
30/10/2024,7.82,"5,500",7.82,7.82,7.82,0,0,0
29/10/2024,7.82,"3,300",7.82,7.82,7.82,0,0,0
28/10/2024,8.21,300,7.82,8.21,7.82,0,0,0
25/10/2024,7.82,0,7.82,7.82,7.82,0,0,0
24/10/2024,7.82,"3,000",7.92,7.92,7.82,0,0,0
23/10/2024,8.31,200,8.31,8.31,8.31,0,0,0
22/10/2024,8.70,250,8.31,8.70,8.31,0,0,0
21/10/2024,7.72,"2,300",7.72,7.72,7.72,0,0,0
18/10/2024,7.82,18,7.82,7.82,7.82,0,0,0
17/10/2024,7.82,1,7.82,7.82,7.82,0,0,0
16/10/2024,7.82,10,7.82,7.82,7.82,0,0,0
15/10/2024,7.82,0,7.82,7.82,7.82,0,0,0
14/10/2024,7.82,0,7.82,7.82,7.82,0,0,0
