Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,5.40,"2,100",5.60,5.60,5.40,0,0,0
20/03/2025,5.60,"12,700",5.60,5.70,5.40,0,0,0
19/03/2025,5.70,"6,200",5.70,5.70,5.40,0,0,0
18/03/2025,5.70,"1,200",5.80,5.80,5.70,0,0,0
17/03/2025,5.70,"3,200",5.80,5.80,5.60,0,0,0
14/03/2025,5.70,"14,300",5.60,5.80,5.60,0,0,0
13/03/2025,5.60,"3,500",5.50,5.60,5.50,0,0,0
12/03/2025,5.50,"5,500",5.50,5.50,5.50,0,0,0
11/03/2025,5.80,"4,600",5.40,5.80,5.40,0,0,0
10/03/2025,5.50,"1,600",5.40,5.50,5.30,0,0,0
07/03/2025,5.50,"18,600",5.50,5.50,5.30,0,0,0
06/03/2025,5.40,"2,700",5.30,5.40,5.30,0,0,0
05/03/2025,5.30,"4,100",5.40,5.40,5.30,0,0,0
04/03/2025,5.50,100,5.50,5.50,5.50,0,0,0
03/03/2025,5.50,800,5.60,5.60,5.50,0,0,0
28/02/2025,5.60,"14,400",5.50,5.60,5.50,0,"3,000",-0.0
27/02/2025,5.50,"42,900",5.40,5.50,5.40,0,0,0
26/02/2025,5.40,"25,200",5.30,5.40,5.30,0,0,0
25/02/2025,5.30,"14,000",5.10,5.30,5.10,0,0,0
24/02/2025,5.20,"3,200",5.10,5.20,5.10,0,0,0
21/02/2025,5.10,"4,700",5.10,5.10,5.10,0,0,0
20/02/2025,5.20,"7,000",5.10,5.20,5.10,0,0,0
19/02/2025,5.20,"28,800",5.10,5.20,5.10,0,0,0
18/02/2025,5.10,"10,500",5.10,5.10,5.10,0,0,0
17/02/2025,5.10,"2,100",5.10,5.10,5.10,0,0,0
14/02/2025,5.20,600,5.30,5.30,5.10,0,0,0
13/02/2025,5.10,"14,000",5.10,5.10,5.10,0,0,0
12/02/2025,5.20,903,5.20,5.20,5.20,0,0,0
11/02/2025,5.30,"5,610",5.30,5.40,5.10,0,0,0
10/02/2025,5.30,"10,800",5.30,5.50,5.30,500,0,0.0
07/02/2025,5.60,"4,501",5.10,5.60,5,0,0,0
06/02/2025,5.30,"2,000",5.30,5.30,5.30,0,0,0
05/02/2025,5.30,"5,000",5.30,5.30,5.30,0,0,0
04/02/2025,5.20,"2,100",5.30,5.30,5.20,0,0,0
03/02/2025,5.30,"1,800",5,5.30,5,0,0,0
24/01/2025,5.20,602,5,5.20,5,0,0,0
23/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
22/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
21/01/2025,5.30,300,4.90,5.30,4.90,0,0,0
20/01/2025,5.20,101,5.20,5.20,5.20,0,0,0
17/01/2025,5,"2,100",5.30,5.30,5,0,0,0
16/01/2025,5,0,5,5,5,0,0,0
15/01/2025,5,600,5,5,5,0,0,0
14/01/2025,5.30,"2,200",5,5.30,5,0,0,0
13/01/2025,5.30,"1,100",5.20,5.30,5.20,0,0,0
10/01/2025,5.20,"1,500",5.20,5.30,5.20,0,0,0
09/01/2025,5,1,5,5,5,0,0,0
08/01/2025,5,1,5,5,5,0,0,0
07/01/2025,5,"1,400",5,5,5,0,0,0
06/01/2025,5,"2,000",5,5,5,0,0,0
03/01/2025,5.30,"1,200",5.30,5.30,5.10,0,0,0
02/01/2025,5.30,202,5.30,5.30,5.30,0,0,0
31/12/2024,5.20,"1,000",5.10,5.20,5.10,0,0,0
30/12/2024,5.10,0,5.10,5.10,5.10,0,0,0
27/12/2024,5.10,"3,800",5,5.10,5,0,0,0
26/12/2024,5.10,"3,202",5.10,5.10,5,0,0,0
25/12/2024,5.10,"3,400",5.30,5.30,5,0,0,0
24/12/2024,5,"2,100",5.10,5.10,5,0,0,0
23/12/2024,5.30,"1,803",5.40,5.40,5.10,0,0,0
20/12/2024,5.10,"3,200",5.10,5.10,5,0,0,0
19/12/2024,5.10,0,5.10,5.10,5.10,0,0,0
18/12/2024,5.10,"1,100",5,5.10,5,0,0,0
17/12/2024,5.30,"32,000",5.40,5.40,5,0,0,0
16/12/2024,5.40,100,5.40,5.40,5.40,0,0,0
13/12/2024,5.10,1,5.10,5.10,5.10,0,0,0
12/12/2024,5.10,"5,000",5.10,5.10,5.10,0,0,0
11/12/2024,5.20,0,5.20,5.20,5.20,0,0,0
10/12/2024,5.20,0,5.20,5.20,5.20,0,0,0
09/12/2024,5.20,0,5.20,5.20,5.20,0,0,0
06/12/2024,5.20,0,5.20,5.20,5.20,0,0,0
05/12/2024,5.20,205,5.10,5.20,5.10,0,0,0
04/12/2024,5.20,"10,000",5,5.20,5,0,0,0
03/12/2024,5.20,"10,802",5,5.20,4.90,0,0,0
02/12/2024,5.20,200,5.20,5.20,5.20,0,0,0
29/11/2024,4.90,"3,600",4.90,4.90,4.90,0,0,0
28/11/2024,4.90,300,4.90,4.90,4.90,0,0,0
27/11/2024,4.80,400,4.80,4.80,4.80,0,0,0
26/11/2024,4.90,"4,700",4.90,5,4.90,0,"2,000",-0.0
25/11/2024,4.90,"3,300",4.80,5,4.80,0,0,0
22/11/2024,4.90,300,4.90,4.90,4.90,0,0,0
21/11/2024,5.10,"242,400",4.70,5.40,4.70,0,0,0
20/11/2024,5.20,600,5.20,5.20,5.20,0,0,0
19/11/2024,4.90,"1,000",4.90,4.90,4.90,0,0,0
