Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,13,100,13,13,13,0,0,0
20/03/2025,12.90,600,12.50,12.90,12.50,0,0,0
19/03/2025,13,"1,200",13.50,13.50,13,0,0,0
18/03/2025,13,"1,400",13,13,13,0,800,-0.0
17/03/2025,13,700,12.50,13,12.50,0,0,0
14/03/2025,12.90,"1,400",12.90,12.90,12.90,0,0,0
13/03/2025,12.90,0,12.90,12.90,12.90,0,0,0
12/03/2025,12.90,800,12.80,12.90,12.80,0,0,0
11/03/2025,12.90,200,12.90,12.90,12.90,0,0,0
10/03/2025,13,800,13,13,12.10,0,0,0
07/03/2025,13,200,13,13,13,0,0,0
06/03/2025,13.20,100,13.20,13.20,13.20,0,0,0
05/03/2025,13.20,200,13.40,13.40,13.20,0,0,0
04/03/2025,13.40,200,13.40,13.40,13.40,0,0,0
03/03/2025,13,"4,200",13.50,13.50,13,0,100,-0.0
28/02/2025,13,700,12.70,13,12.70,0,0,0
27/02/2025,12.70,"2,500",12.70,12.70,12.20,100,0,0.0
26/02/2025,12.70,800,12.20,12.70,12.20,0,0,0
25/02/2025,13,300,13,13,13,0,0,0
24/02/2025,13,"3,400",13,13,13,0,0,0
21/02/2025,13,"3,600",13.20,13.70,13,0,200,-0.0
20/02/2025,13.20,"6,200",13.40,13.40,12.70,0,0,0
19/02/2025,13.90,0,13.90,13.90,13.90,0,0,0
18/02/2025,13.90,"1,900",13.90,13.90,13.90,0,0,0
17/02/2025,13.90,200,13.90,13.90,13.90,0,0,0
14/02/2025,13.40,200,12.60,13.40,12.60,0,0,0
13/02/2025,13.40,200,12.80,13.40,12.80,0,0,0
12/02/2025,13.80,2,13.80,13.80,13.80,0,0,0
11/02/2025,13.80,"1,510",13.30,14.20,13.30,0,100,-0.0
10/02/2025,13.30,808,13.50,13.50,13.30,0,0,0
07/02/2025,13.20,"3,101",13.40,13.40,13,0,0,0
06/02/2025,13,"14,011",12.90,13.20,12.90,200,"1,000",-0.0
05/02/2025,12.20,800,12.20,12.20,12.20,0,0,0
04/02/2025,13,"1,500",12.80,13,12.80,0,0,0
03/02/2025,13.10,100,13.10,13.10,13.10,0,0,0
24/01/2025,13.20,0,13.20,13.20,13.20,0,0,0
23/01/2025,13.20,332,13.30,13.30,12.20,0,0,0
22/01/2025,13.50,0,13.50,13.50,13.50,0,0,0
21/01/2025,13.50,600,13.80,13.80,13.50,0,0,0
20/01/2025,12.70,"10,802",11.80,12.80,11.80,0,0,0
17/01/2025,12.80,100,12.80,12.80,12.80,0,0,0
16/01/2025,12.70,"1,100",12.70,12.90,12.50,0,0,0
15/01/2025,12.70,0,12.70,12.70,12.70,0,0,0
14/01/2025,12.70,400,12.40,12.70,12.10,0,0,0
13/01/2025,12.90,"1,702",13,13,12.50,0,0,0
10/01/2025,13.20,0,13.20,13.20,13.20,0,0,0
09/01/2025,13.20,14,13.20,13.20,13.20,0,0,0
08/01/2025,13.20,624,12.20,13.20,12.10,0,0,0
07/01/2025,13.30,0,13.30,13.30,13.30,0,0,0
06/01/2025,13.30,"2,400",13.30,13.30,12.80,0,0,0
03/01/2025,13.90,400,14.20,14.20,13.90,0,0,0
02/01/2025,13,"11,049",13.80,13.80,13,0,200,-0.0
31/12/2024,13.80,"2,926",13.50,14.80,12.50,0,0,0
30/12/2024,13.80,2,13.80,13.80,13.80,0,0,0
27/12/2024,13.80,"2,103",13,13.80,13,0,0,0
26/12/2024,12.90,"1,802",12.80,14.10,12.80,0,0,0
25/12/2024,12.90,"6,409",11.80,12.90,11.80,100,0,0.0
24/12/2024,11.90,800,12,12,11.90,0,0,0
23/12/2024,12,101,12,12,12,0,0,0
20/12/2024,12,800,11.90,12,11.90,0,0,0
19/12/2024,11.30,701,11.40,11.90,11.30,100,0,0.0
18/12/2024,12,1,12,12,12,0,0,0
17/12/2024,12,400,11.90,12,11.90,0,0,0
16/12/2024,11.90,400,12,12,11.90,0,0,0
13/12/2024,12.10,0,12.10,12.10,12.10,0,0,0
12/12/2024,12.10,0,12.10,12.10,12.10,0,0,0
11/12/2024,12.10,0,12.10,12.10,12.10,0,0,0
10/12/2024,12.10,0,12.10,12.10,12.10,0,0,0
09/12/2024,12.10,"1,400",12.10,12.20,11.20,0,0,0
06/12/2024,12.10,0,12.10,12.10,12.10,0,0,0
05/12/2024,12.10,"1,100",12.30,12.30,12.10,0,100,-0.0
04/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
03/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
02/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
29/11/2024,11.90,0,11.90,11.90,11.90,0,0,0
28/11/2024,11.90,100,11.90,11.90,11.90,0,0,0
27/11/2024,11.40,100,11.40,11.40,11.40,0,0,0
26/11/2024,12,"3,100",11.10,12,11.10,0,0,0
25/11/2024,12,100,12,12,12,0,0,0
22/11/2024,12,"8,600",11.40,12.20,11.30,0,100,-0.0
21/11/2024,12.40,0,12.40,12.40,12.40,0,0,0
20/11/2024,12.40,"1,100",10.90,12.40,10.90,0,0,0
19/11/2024,12.10,107,12.10,12.10,12.10,0,0,0
18/11/2024,12.70,0,12.70,12.70,12.70,0,0,0
15/11/2024,12.70,0,12.70,12.70,12.70,0,0,0
14/11/2024,12.70,0,12.70,12.70,12.70,0,0,0
13/11/2024,12.70,9,12.70,12.70,12.70,0,0,0
12/11/2024,12.70,"2,002",12.50,12.70,12.50,0,0,0
11/11/2024,12.70,"3,900",11.90,12.80,11.90,200,0,0.0
08/11/2024,11.80,"1,100",11.70,11.80,11.60,0,0,0
07/11/2024,11.70,"1,812",11.70,11.70,11.40,700,300,0.0
06/11/2024,11.70,337,11.80,11.80,11.70,0,0,0
05/11/2024,11.60,200,11.60,11.60,11.60,0,0,0
04/11/2024,11.70,"11,900",11.70,11.70,11.10,100,0,0.0
01/11/2024,11.90,"1,900",11.80,11.90,11.50,300,0,0.0
31/10/2024,11.40,"1,302",11.90,11.90,11.30,100,0,0.0
30/10/2024,11.90,204,11.80,11.90,11.80,0,0,0
29/10/2024,11.80,106,11.80,11.80,11.80,0,0,0
28/10/2024,11.70,"1,600",11.70,11.70,11.10,0,0,0
25/10/2024,11.70,"5,400",11.80,11.80,11.70,0,0,0
24/10/2024,11.80,"1,408",12,12,11.80,0,0,0
23/10/2024,11.80,302,12,12,11.80,0,0,0
22/10/2024,11.70,"2,009",11.90,12.10,11.60,0,0,0
21/10/2024,12.10,400,12.10,12.10,11.60,0,0,0
18/10/2024,11.60,800,12,12.30,11.60,0,0,0
17/10/2024,11.80,"14,400",12.40,12.40,11.80,0,100,-0.0
16/10/2024,11.90,"5,650",12.70,12.70,11.90,"1,000",0,0.0
15/10/2024,12,200,12.50,12.50,12,0,0,0
14/10/2024,12,100,12,12,12,0,0,0
11/10/2024,12.40,"12,903",12.50,12.50,12,200,100,0.0
10/10/2024,12.40,802,12,12.40,12,0,0,0
09/10/2024,12.40,"6,507",12,12.40,12,0,100,-0.0
08/10/2024,12,"20,702",12.50,12.50,12,0,0,0
07/10/2024,12.50,701,11.70,12.80,11.70,0,0,0
04/10/2024,12.90,4,12.90,12.90,12.90,0,0,0
03/10/2024,12.90,"1,005",12.90,12.90,12.90,0,0,0
02/10/2024,12.90,"5,802",13,13,12.30,0,0,0
01/10/2024,13,741,12.30,13,12.30,0,0,0
30/09/2024,13.30,0,13.30,13.30,13.30,0,0,0
27/09/2024,13.30,"2,352",13.60,13.80,12.40,0,0,0
26/09/2024,13.30,300,13,13.30,13,0,100,-0.0
25/09/2024,12.50,"2,918",12.30,12.90,12.30,0,0,0
24/09/2024,12.50,6,12.50,12.50,12.50,0,0,0
23/09/2024,12.50,"1,003",13.60,13.60,12,0,0,0
20/09/2024,12.50,"20,200",12.40,12.90,12,100,0,0.0
19/09/2024,12.40,"1,438",12.80,12.80,12,0,0,0
18/09/2024,12,"1,500",12,12,12,0,0,0
17/09/2024,12.80,301,12.20,12.80,12.20,0,0,0
16/09/2024,13.30,0,13.30,13.30,13.30,0,0,0
13/09/2024,13.30,0,13.30,13.30,13.30,0,0,0
12/09/2024,13.30,0,13.30,13.30,13.30,0,0,0
11/09/2024,13.30,1,13.30,13.30,13.30,0,0,0
10/09/2024,13.30,206,13.30,13.30,13.30,0,0,0
09/09/2024,12.70,600,12.70,12.70,12.70,0,0,0
06/09/2024,13.30,0,13.30,13.30,13.30,0,0,0
05/09/2024,13.30,5,13.30,13.30,13.30,0,0,0
04/09/2024,13.30,0,13.30,13.30,13.30,0,0,0
