Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,28.20,"17,800",28.10,28.20,28.10,0,0,0
20/03/2025,28.10,"6,100",28.10,28.10,28,0,0,0
19/03/2025,28.10,"3,900",28.10,28.10,28,0,0,0
18/03/2025,28.20,"4,500",28.20,28.20,28,0,0,0
17/03/2025,28.20,"7,000",28.20,28.20,28,0,0,0
14/03/2025,28.20,"8,500",28.40,28.40,28,0,0,0
13/03/2025,28.20,"3,200",28.50,28.50,28.10,0,100,-0.0
12/03/2025,28.50,"4,000",28.40,28.50,28.40,0,0,0
11/03/2025,28.50,"3,700",28.20,28.50,28,0,0,0
10/03/2025,28.50,"2,100",28,28.70,28,0,0,0
07/03/2025,28.50,"6,900",28.50,28.50,28.20,0,0,0
06/03/2025,28.50,"3,600",28.50,28.50,28.40,0,0,0
05/03/2025,28.50,"6,600",28.50,28.50,28.20,0,0,0
04/03/2025,28.50,"9,400",28.70,28.70,28.20,0,0,0
03/03/2025,28.70,"3,900",28.50,28.70,28.30,0,0,0
28/02/2025,28.80,"12,300",28.20,28.80,28,0,0,0
27/02/2025,28.50,"1,200",28.10,28.50,28.10,0,0,0
26/02/2025,28.20,"1,500",28.30,28.30,28.20,0,0,0
25/02/2025,28.30,"2,400",28.30,28.30,28.10,0,0,0
24/02/2025,28.30,"1,400",28.50,28.50,28,0,0,0
21/02/2025,28.50,"6,600",28.20,28.50,28,0,0,0
20/02/2025,28.80,"6,100",28.90,31,28.70,0,0,0
19/02/2025,28.80,"6,100",26,28.90,26,0,0,0
18/02/2025,28.80,"9,600",28.70,28.80,28,0,700,-0.0
17/02/2025,28.80,"8,100",27.80,29.40,27.70,0,100,-0.0
14/02/2025,27.80,"2,600",27.90,27.90,27.10,0,100,-0.0
13/02/2025,27.90,"1,100",27.90,27.90,27.90,0,100,-0.0
12/02/2025,27.90,"6,000",27.90,28,27.80,0,400,-0.0
11/02/2025,27.90,"5,602",27.80,27.90,27.50,0,200,-0.0
10/02/2025,27.50,"3,802",27.60,27.90,27.50,0,400,-0.0
07/02/2025,27.50,"3,800",27.80,27.90,27.50,0,0,0
06/02/2025,27.80,"5,700",27.30,27.80,27.30,0,200,-0.0
05/02/2025,27.30,"2,800",27.50,27.50,27,0,0,0
04/02/2025,27.50,"8,160",27,27.50,26.80,0,"4,200",-0.1
03/02/2025,27.50,"7,000",27.30,27.50,27,0,200,0
24/01/2025,27.20,"4,100",27.20,27.30,27,0,200,-0.0
23/01/2025,27,"2,600",27,27,26.80,0,0,0
22/01/2025,27,950,26.80,27,26.80,0,0,0
