Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10.05,"5,549,500",10.15,10.20,10.05,"315,400","263,159",0
20/03/2025,10.15,"12,134,400",10.45,10.45,9.95,"288,300","385,700",-1.0
19/03/2025,10.35,"7,074,600",10.45,10.55,10.35,"422,000","265,500",1.6
18/03/2025,10.45,"7,780,100",10.55,10.70,10.40,"172,600","678,200",-5.3
17/03/2025,10.50,"3,966,200",10.30,10.50,10.30,"194,400","74,100",1.2
14/03/2025,10.25,"8,886,900",10.50,10.50,10.25,"136,530","609,000",-4.9
13/03/2025,10.45,"7,165,800",10.55,10.60,10.30,"15,850","880,745",-9.0
12/03/2025,10.55,"10,887,500",10.60,10.90,10.55,"8,400","1,911,300",-20.3
11/03/2025,10.55,"7,180,400",10.35,10.60,10.30,"145,000","432,900",-3.0
10/03/2025,10.50,"6,473,800",10.60,10.80,10.45,"75,500","498,483",-4.5
07/03/2025,10.60,"7,091,800",10.85,10.95,10.60,"108,100","303,900",-2.1
06/03/2025,10.80,"12,694,100",10.40,10.80,10.40,"2,262,500","182,800",21.9
05/03/2025,10.35,"5,680,900",10.50,10.75,10.35,"711,300","148,500",6.0
04/03/2025,10.65,"24,852,900",11.10,11.15,10.40,"730,870","2,204,600",-15.7
03/03/2025,11.15,"7,524,900",11.10,11.30,10.95,"567,200","522,800",0.4
28/02/2025,11,"6,899,100",11,11,10.80,"821,400","34,600",8.6
27/02/2025,10.95,"19,521,300",11.30,11.30,10.75,"859,400","469,040",4.1
26/02/2025,11.25,"13,153,700",11.40,11.65,11.20,"462,000","1,045,700",-6.8
25/02/2025,11.30,"9,872,300",11.45,11.50,11.20,"710,800","160,600",6.2
24/02/2025,11.35,"7,124,400",11.25,11.60,11.25,"403,000","418,536",-0.2
21/02/2025,11.35,"9,697,300",11.50,11.60,11.15,"665,000","686,600",-0.3
20/02/2025,11.40,"16,388,400",11.35,11.70,11.15,"483,100","735,800",-2.9
19/02/2025,11.15,"9,911,400",10.90,11.25,10.80,"794,400","270,900",5.7
18/02/2025,10.90,"12,822,500",11.05,11.15,10.85,"873,800","122,000",8.2
17/02/2025,10.95,"23,156,600",10.45,10.95,10.45,"457,500","1,005,400",-5.9
14/02/2025,10.25,"18,182,200",9.68,10.25,9.62,"2,029,300","245,700",17.3
13/02/2025,9.59,"3,405,400",9.50,9.61,9.50,"101,200","31,700",0.7
12/02/2025,9.50,"5,506,500",9.50,9.70,9.50,"112,620","156,300",-0.4
11/02/2025,9.50,"4,177,300",9.38,9.51,9.36,"899,300","6,200",8.4
10/02/2025,9.32,"4,847,100",9.51,9.51,9.30,0,"388,000",-3.7
07/02/2025,9.51,"4,253,300",9.51,9.65,9.49,"23,200","472,920",-4.3
06/02/2025,9.52,"3,613,800",9.57,9.63,9.50,"74,200","257,200",-1.8
05/02/2025,9.57,"3,267,200",9.70,9.70,9.56,0,"271,700",-2.6
04/02/2025,9.62,"8,727,200",9.31,9.74,9.31,"795,500","734,400",0.4
03/02/2025,9.27,"2,194,200",9.29,9.34,9.13,"2,500","413,231",-3.8
24/01/2025,9.29,"5,788,900",9.28,9.38,9.21,"357,700","72,800",2.7
23/01/2025,9.25,"3,407,600",9.18,9.27,9.12,"362,080","126,549",2.2
22/01/2025,9.16,"4,258,000",9.29,9.34,9.16,"3,600","320,101",-2.9
21/01/2025,9.27,"3,075,500",9.38,9.38,9.20,"62,700","247,600",-1.7
20/01/2025,9.29,"7,473,400",9.08,9.40,9.08,"441,100","710,404",-2.5
17/01/2025,9.05,"2,555,600",9.08,9.15,9.05,0,"166,428",-1.5
16/01/2025,9.08,"3,909,300",9.15,9.26,9.08,"23,460","783,274",-6.9
15/01/2025,9.10,"3,658,100",9.06,9.16,9.06,"67,400","45,800",0.2
14/01/2025,9,"3,922,100",9.29,9.29,8.70,"38,800","522,505",-4.4
13/01/2025,9.23,"7,834,200",8.80,9.23,8.70,"1,291,600","225,701",9.5
10/01/2025,8.80,"4,209,700",9,9.02,8.80,"77,219","122,900",-0.4
09/01/2025,9,"4,550,300",9.25,9.25,9,"53,100","236,979",-1.7
08/01/2025,9.25,"10,203,500",8.85,9.39,8.85,"34,500","52,700",-0.2
07/01/2025,8.85,"8,764,900",8.46,9.07,8.36,"821,901","39,684",6.7
06/01/2025,8.50,"6,773,700",8.70,8.84,8.44,"295,581","281,100",0.1
03/01/2025,8.80,"6,502,000",9.05,9.10,8.80,"31,400","18,100",0.1
02/01/2025,9.10,"2,434,200",9.12,9.20,9.04,0,"119,222",-1.1
31/12/2024,9.10,"7,755,600",9.16,9.27,8.96,"277,175","45,300",2.1
30/12/2024,9.19,"10,225,600",9.57,9.58,9.15,"6,500","126,100",-1.1
27/12/2024,9.55,"8,321,800",9.77,9.78,9.55,"11,500","62,700",-0.5
26/12/2024,9.75,"3,739,800",9.84,9.84,9.75,"72,800",0,0.7
25/12/2024,9.77,"5,402,900",9.75,9.90,9.74,"167,500","13,400",1.5
24/12/2024,9.72,"3,986,100",9.87,9.89,9.72,570,200,0.0
23/12/2024,9.89,"2,606,100",9.75,9.97,9.75,"130,500","44,100",0.9
20/12/2024,9.72,"7,047,300",9.87,9.87,9.67,"12,000","25,989",-0.1
19/12/2024,9.84,"8,049,700",10,10.05,9.76,"9,500","57,621",-0.5
18/12/2024,10.10,"4,268,200",10.15,10.15,10,"145,600","18,700",1.3
17/12/2024,10.10,"4,750,100",10.10,10.15,10,"88,500","1,100",0.9
16/12/2024,10.05,"5,078,200",10.10,10.20,10,"1,000","113,600",-1.1
13/12/2024,10.10,"5,541,200",10.25,10.25,10.05,"3,527","440,400",-4.4
12/12/2024,10.25,"5,855,500",10.25,10.30,10.10,"2,100","594,500",-6.0
11/12/2024,10.25,"7,014,500",10.50,10.50,10.20,"22,200","535,000",-5.3
10/12/2024,10.45,"5,640,900",10.50,10.55,10.35,"196,600",0,2.1
09/12/2024,10.45,"6,844,200",10.45,10.55,10.35,"419,283",0,4.4
06/12/2024,10.45,"8,560,600",10.70,10.70,10.40,"518,900","27,784",5.1
05/12/2024,10.65,"9,824,200",10.30,10.65,10,"449,500","164,600",2.9
04/12/2024,10.20,"9,092,700",10.60,10.60,10.15,"23,100","124,476",-1.1
03/12/2024,10.55,"6,669,700",10.80,10.85,10.55,"16,500","206,900",-2.1
02/12/2024,10.75,"5,869,700",10.85,10.90,10.55,"3,000","144,318",-1.5
29/11/2024,10.70,"7,889,000",10.50,10.90,10.50,"277,800","298,000",-0.3
28/11/2024,10.55,"1,409,600",10.65,10.70,10.50,0,"108,600",-1.2
27/11/2024,10.55,"1,649,300",10.70,10.70,10.50,"2,200","61,740",-0.6
26/11/2024,10.70,"5,417,800",10.40,10.85,10.40,"452,100","6,504",4.7
25/11/2024,10.40,"2,408,600",10.25,10.40,10.15,60,"2,244",-0.0
22/11/2024,10.20,"3,112,000",10.30,10.35,10.20,"51,500","251,200",-2.0
21/11/2024,10.35,"1,935,200",10.15,10.40,10.10,0,"80,300",-0.8
20/11/2024,10.10,"7,078,100",10.05,10.35,9.96,"132,200","151,600",-0.2
19/11/2024,10.25,"4,188,600",10.60,10.70,10.25,"27,400","58,900",-0.3
18/11/2024,10.70,"3,064,400",10.50,10.70,10.40,"36,500",0,0.4
