Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,6.18,"1,443,600",6.35,6.40,6.16,"16,000","62,300",0
20/03/2025,6.34,"1,301,100",6.45,6.50,6.28,"10,000","33,900",-0.2
19/03/2025,6.46,"549,400",6.51,6.53,6.40,"2,000","18,400",-0.1
18/03/2025,6.51,"1,397,300",6.55,6.79,6.51,"5,900","19,600",-0.1
17/03/2025,6.50,"779,800",6.45,6.52,6.39,"90,800","16,700",0.5
14/03/2025,6.38,"664,200",6.35,6.49,6.32,"18,400","17,000",0.0
13/03/2025,6.35,"912,700",6.43,6.46,6.30,0,"43,900",-0.3
12/03/2025,6.43,"551,500",6.55,6.55,6.38,0,"1,700",-0.0
11/03/2025,6.48,"617,100",6.30,6.50,6.30,0,"30,200",-0.2
10/03/2025,6.45,"1,018,900",6.40,6.54,6.34,"78,700","76,100",0.0
07/03/2025,6.37,"842,200",6.37,6.53,6.35,600,"163,800",-1.1
06/03/2025,6.35,"851,300",6.31,6.38,6.29,0,"120,800",-0.8
05/03/2025,6.30,"1,463,800",6.54,6.62,6.28,"60,500","149,200",-0.6
04/03/2025,6.54,"1,545,400",6.71,6.75,6.52,"80,600","100,200",-0.1
03/03/2025,6.70,"1,329,400",6.86,6.90,6.70,"15,400","165,600",-1.0
28/02/2025,6.83,"2,044,000",7.05,7.05,6.74,"119,100","266,800",-1.0
27/02/2025,6.86,"4,140,900",6.53,6.86,6.52,"37,300","282,500",-1.7
26/02/2025,6.42,"946,000",6.40,6.44,6.30,"182,300","97,400",0.5
25/02/2025,6.34,"823,500",6.43,6.49,6.32,"41,000","107,900",-0.4
24/02/2025,6.40,"609,200",6.35,6.42,6.31,"56,500","97,800",-0.3
21/02/2025,6.34,"918,400",6.45,6.45,6.32,"72,800","15,500",0.4
20/02/2025,6.46,"735,400",6.50,6.53,6.40,"54,400","53,600",0.0
19/02/2025,6.47,"2,051,800",6.30,6.51,6.27,"397,000","32,123",2.3
18/02/2025,6.27,"960,700",6.32,6.38,6.27,"26,700","39,800",-0.1
17/02/2025,6.29,"1,653,200",6.13,6.38,6.13,"318,200","20,700",1.9
14/02/2025,6.13,"1,317,100",6.20,6.22,6.10,"30,600","26,200",0.0
13/02/2025,6.20,"1,612,500",6.09,6.20,6,"50,100","29,900",0.1
12/02/2025,6.09,"1,399,300",6.06,6.15,6.06,"53,800","42,700",0.1
11/02/2025,6.05,"1,279,600",6.14,6.15,6.05,0,"15,800",-0.1
10/02/2025,6.12,"1,280,500",6.25,6.25,6.08,100,"202,600",-1.2
07/02/2025,6.26,"1,332,000",6.30,6.34,6.25,"59,200","16,500",0.3
06/02/2025,6.34,"1,285,400",6.38,6.38,6.26,"15,200","43,100",-0.2
05/02/2025,6.37,"1,892,900",6.23,6.43,6.23,"140,100","62,300",0.5
04/02/2025,6.21,"1,133,000",6.16,6.25,6.16,"75,400","2,100",0.5
03/02/2025,6.13,"704,500",6.02,6.17,6.02,"49,400","17,700",0.2
24/01/2025,6.14,"885,900",6,6.15,6,"64,500","8,700",0.3
