Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,14.25,"407,100",14.40,14.50,14.25,0,"55,800",0
20/03/2025,14.40,"882,300",14.20,14.55,14.05,"90,600","5,500",1.2
19/03/2025,14.20,"626,600",14.20,14.35,14.10,"2,600","1,700",0.0
18/03/2025,14.15,"616,800",14.30,14.40,14.15,0,"5,500",-0.1
17/03/2025,14.20,"855,800",13.90,14.25,13.90,"6,600","8,000",-0.0
14/03/2025,13.90,"1,242,500",14.20,14.20,13.90,"7,200","48,600",-0.6
13/03/2025,14.05,"2,577,800",14.65,14.75,13.90,0,"197,300",-2.9
12/03/2025,14.60,"1,832,700",15.10,15.10,14.60,0,"2,600",-0.0
11/03/2025,14.95,"2,443,000",14.60,15.15,14.55,"144,600","120,700",0.3
10/03/2025,14.75,"2,064,600",14.55,15,14.50,"197,300","5,000",2.8
07/03/2025,14.50,"1,550,800",14.70,15,14.50,"2,600","45,400",-0.6
06/03/2025,14.70,"3,340,100",14.90,15.05,14.40,"123,700","53,700",1.0
05/03/2025,14.85,"1,652,400",15.50,15.50,14.85,0,"4,000",-0.1
04/03/2025,15.40,"1,755,500",15.50,15.70,15.10,"50,400",0,0.8
03/03/2025,15.55,"1,018,500",15.55,15.65,15.10,"65,700","7,200",0.9
28/02/2025,15.35,"3,519,200",15.80,15.80,15.30,0,"658,500",-10.2
27/02/2025,15.80,"1,354,700",15.75,15.95,15.55,0,"41,800",-0.7
26/02/2025,15.75,"1,210,700",16.05,16.25,15.75,0,"45,400",-0.7
25/02/2025,16,"1,896,700",15.95,16.30,15.80,"117,600","46,300",1.1
24/02/2025,15.95,"1,398,300",16.40,16.40,15.75,"18,700","227,900",-3.4
21/02/2025,16.20,"4,619,400",15.40,16.35,15.30,"520,700","70,500",7.2
20/02/2025,15.30,"1,947,100",15.25,15.65,15.15,"29,800","150,600",-1.9
19/02/2025,15.25,"2,464,700",14.95,15.45,14.90,"281,500","66,500",3.3
18/02/2025,14.95,"889,500",15.10,15.15,14.90,"5,300","44,600",-0.6
17/02/2025,15.05,"1,528,000",15.10,15.30,15.05,"93,600","84,700",0.1
14/02/2025,15.10,"1,728,700",15.25,15.50,15.10,"86,000","40,100",0.7
13/02/2025,15.10,"976,000",14.80,15.10,14.80,"49,900","37,400",0.2
12/02/2025,14.90,"1,586,300",14.75,15.15,14.70,"168,300","39,500",1.9
11/02/2025,14.75,"1,188,500",14.60,14.90,14.50,"39,600","7,800",0.5
10/02/2025,14.60,"1,561,800",14.85,14.95,14.55,"5,900","38,100",-0.5
07/02/2025,14.85,"2,428,800",15,15,14.80,"2,200","105,100",-1.5
06/02/2025,14.80,"1,999,600",15.30,15.30,14.80,0,"107,000",-1.6
05/02/2025,15.30,"1,429,300",15.35,15.40,15.05,0,"7,900",-0.1
04/02/2025,15.35,"3,870,700",14.90,15.40,14.85,"213,100","30,500",2.7
03/02/2025,14.70,"1,284,300",14.70,15.05,14.20,"96,800","58,800",0.6
24/01/2025,14.75,"908,200",15,15,14.70,0,"132,800",-2.0
23/01/2025,14.90,"1,208,200",14.80,15,14.70,"29,000","51,700",-0.3
22/01/2025,14.80,"1,376,800",15,15.10,14.70,0,"23,200",-0.3
21/01/2025,15.10,"1,576,600",15.20,15.20,14.80,"468,100","13,300",6.8
20/01/2025,15.10,"2,495,200",15.45,15.50,14.95,"38,800","41,700",-0.0
17/01/2025,15.45,"1,701,100",15.40,15.70,15.20,"7,400",0,0.1
16/01/2025,15.40,"1,704,700",15.50,15.60,15.15,"39,600","28,500",0.2
15/01/2025,15.35,"3,020,700",14.40,15.35,14.40,"57,500","35,200",0.3
14/01/2025,14.35,"485,800",14.60,14.65,14.25,0,"18,500",-0.3
13/01/2025,14.60,"800,900",14.10,14.70,14.05,"11,600","16,600",-0.1
10/01/2025,14.25,"1,018,200",14.30,14.75,14.10,"6,800","143,600",-1.9
09/01/2025,14.30,"638,900",14.15,14.30,14.05,"3,200","4,800",-0.0
