Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,7.10,"2,000",6.30,7.10,6.30,0,0,0
20/03/2025,6.50,"6,100",6.70,6.70,6.30,0,0,0
19/03/2025,7.10,0,7.10,7.10,7.10,0,0,0
18/03/2025,7.10,100,7.10,7.10,7.10,0,0,0
17/03/2025,7.20,"1,300",5.70,7.20,5.70,0,0,0
14/03/2025,6.40,200,7,7,6.40,0,0,0
13/03/2025,7.30,"1,100",6.40,7.30,6.40,0,0,0
12/03/2025,6.70,"1,300",7.20,7.20,6.70,0,0,0
11/03/2025,6.60,100,6.60,6.60,6.60,0,0,0
10/03/2025,7.40,0,7.40,7.40,7.40,0,0,0
07/03/2025,7.40,0,7.40,7.40,7.40,0,0,0
06/03/2025,7.60,"2,100",6.50,7.60,6.50,0,0,0
05/03/2025,7.30,0,7.30,7.30,7.30,0,0,0
04/03/2025,7.30,0,7.30,7.30,7.30,0,0,0
03/03/2025,7.30,0,7.30,7.30,7.30,0,0,0
28/02/2025,7.30,0,7.30,7.30,7.30,0,0,0
27/02/2025,7.30,0,7.30,7.30,7.30,0,0,0
26/02/2025,7.30,0,7.30,7.30,7.30,0,0,0
25/02/2025,7.30,0,7.30,7.30,7.30,0,0,0
24/02/2025,7.30,0,7.30,7.30,7.30,0,0,0
21/02/2025,7.50,600,7.20,7.50,7.20,0,0,0
20/02/2025,7.30,0,7.30,7.30,7.30,0,0,0
19/02/2025,7.30,100,7.30,7.30,7.30,0,0,0
18/02/2025,7.60,"2,500",7,7.60,7,0,0,0
17/02/2025,7,0,7,7,7,0,0,0
14/02/2025,7,100,7,7,7,0,0,0
13/02/2025,6.50,700,6.80,6.80,6.50,0,0,0
12/02/2025,7,127,7,7,7,0,0,0
11/02/2025,6.70,0,6.70,6.70,6.70,0,0,0
10/02/2025,6.70,203,6.70,6.70,6.70,0,0,0
07/02/2025,6.90,110,6.90,6.90,6.90,0,0,0
06/02/2025,7,27,6.80,6.80,6.80,0,0,0
05/02/2025,7,"1,101",6.20,7,6.20,0,0,0
04/02/2025,7,106,7,7,7,0,0,0
03/02/2025,6.90,900,6,6.90,6,0,0,0
24/01/2025,7,100,7,7,7,0,0,0
23/01/2025,7,"1,500",6.80,7,6.80,0,0,0
22/01/2025,7,"1,510",6.60,7,6,0,0,0
21/01/2025,6.80,200,6.80,6.80,6.80,0,0,0
20/01/2025,6.90,500,6.70,6.90,6.70,0,0,0
17/01/2025,7,600,6.70,7,6.70,0,0,0
16/01/2025,7,0,7,7,7,0,0,0
15/01/2025,7,"1,300",7,7,7,0,0,0
14/01/2025,7.30,"20,150",7,7.30,7,0,0,0
13/01/2025,6.40,99,6.40,6.40,6.40,0,0,0
10/01/2025,6.40,600,6.40,6.40,6.40,0,0,0
09/01/2025,7.40,0,7.40,7.40,7.40,0,0,0
08/01/2025,7.40,0,7.40,7.40,7.40,0,0,0
07/01/2025,7.40,2,7.40,7.40,7.40,0,0,0
06/01/2025,7.40,0,7.40,7.40,7.40,0,0,0
03/01/2025,7.40,0,7.40,7.40,7.40,0,0,0
02/01/2025,7.40,0,7.40,7.40,7.40,0,0,0
31/12/2024,7.40,0,7.40,7.40,7.40,0,0,0
30/12/2024,7.40,0,7.40,7.40,7.40,0,0,0
27/12/2024,7.40,64,7.40,7.40,7.40,0,0,0
26/12/2024,7.40,0,7.40,7.40,7.40,0,0,0
25/12/2024,7.40,0,7.40,7.40,7.40,0,0,0
24/12/2024,7.40,"1,000",7.30,7.40,7.30,0,0,0
23/12/2024,7.10,415,8,8,7.10,0,0,0
20/12/2024,7.30,710,6.50,7.30,6.50,0,0,0
19/12/2024,7.30,710,6.80,7.30,6.80,0,0,0
18/12/2024,6.90,0,6.90,6.90,6.90,0,0,0
17/12/2024,7,6,6.90,6.90,6.90,0,0,0
16/12/2024,7,610,6.50,7,6.50,0,0,0
13/12/2024,7.50,0,7.50,7.50,7.50,0,0,0
12/12/2024,7.50,3,7.50,7.50,7.50,0,0,0
11/12/2024,7.50,7,7.50,7.50,7.50,0,0,0
