Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,72,"19,000",72.30,73.90,72,0,0,0
20/03/2025,72.10,"8,000",73,73,72,0,0,0
19/03/2025,72.50,"20,300",74.10,74.10,72.50,0,0,0
18/03/2025,73.50,"21,000",74.50,74.50,73.50,0,0,0
17/03/2025,74.80,"11,700",75,75,74.10,0,0,0
14/03/2025,75,"9,600",75.60,75.80,75,50,0,0.0
13/03/2025,75.20,"17,300",75.20,75.50,74.90,0,0,0
12/03/2025,75.90,"11,200",75.70,76.10,75.40,0,"1,000",-0.1
11/03/2025,75.50,"19,900",75.80,76.20,75.40,0,0,0
10/03/2025,76.30,"21,800",76.30,76.40,75.80,800,0,0.1
07/03/2025,76,"19,400",76.30,76.90,75.80,"2,400",0,0.2
06/03/2025,76.30,"11,200",76.20,76.30,75.50,100,"3,000",-0.2
05/03/2025,75.90,"3,400",76.60,76.60,75.90,100,0,0.0
04/03/2025,76,"6,400",76,76,75.50,0,"2,500",-0.2
03/03/2025,75.80,"19,900",76.10,76.10,75.80,300,300,0
28/02/2025,76.20,"13,400",76.80,76.90,76,0,0,0
27/02/2025,77.10,"12,700",77,77.20,76,"4,700",0,0.4
26/02/2025,77.20,"29,600",77.70,77.70,76.10,"10,600",200,0.8
25/02/2025,75.40,"9,700",75,76,75,100,300,-0.0
24/02/2025,75.30,"8,900",75.10,75.50,75,0,0,0
21/02/2025,75,"27,900",76,76,75,200,"2,700",-0.2
20/02/2025,75.80,"36,400",75,76.20,75,400,800,-0.0
19/02/2025,75,"16,600",75.50,75.50,74.80,0,900,-0.1
18/02/2025,75.50,"13,900",75,75.60,74,0,0,0
17/02/2025,75,"23,800",76.30,76.30,74.50,50,"3,100",-0.2
14/02/2025,75.40,"15,700",75.30,75.50,75,100,"3,600",-0.3
13/02/2025,75,"15,000",75.70,75.70,74.70,0,0,0
12/02/2025,76.90,"7,300",75.50,76.90,75.50,0,0,0
11/02/2025,75.10,"45,902",76.10,76.20,74.70,0,0,0
10/02/2025,76.10,"33,354",77.60,77.60,76,100,0,0.0
