Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,67.70,"1,173,400",68.50,68.60,67.70,"4,334","242,974",0
20/03/2025,68.60,"750,000",68.70,69.10,68.10,"15,400","9,900",0.4
19/03/2025,68.80,"703,700",69.10,69.80,68.60,"29,500","52,637",-1.6
18/03/2025,69.10,"2,797,200",68.60,69.90,68.10,"396,110","67,861",22.6
17/03/2025,68.20,"1,117,200",67.80,68.40,67.70,"215,913","38,800",12.1
14/03/2025,67.70,"942,800",68.20,68.30,67.30,"15,210","114,434",-6.7
13/03/2025,68.30,"1,088,000",67.90,68.80,67.80,"30,700","21,800",0.6
12/03/2025,67.90,"761,300",67.80,68.30,67.40,"179,114","19,713",10.8
11/03/2025,67.40,"523,600",67.60,67.70,67,"20,600","24,279",-0.2
10/03/2025,67.80,"1,420,900",68.10,68.20,67.20,"5,400","152,800",-9.9
07/03/2025,67.80,"1,398,100",68.30,68.40,67.70,"29,700","191,900",-11.1
06/03/2025,68.30,"829,800",68.30,68.50,68.10,"16,800","151,000",-9.2
05/03/2025,68.40,"740,500",69.20,69.30,68.40,"41,000","125,000",-5.8
04/03/2025,69.10,"1,445,200",68.60,69.40,68.30,"159,610","85,463",5.1
03/03/2025,68.60,"647,800",68.10,68.70,68.10,"128,000","18,220",7.5
28/02/2025,68,"787,600",68.10,68.70,68,"170,920","131,220",2.7
27/02/2025,68,"809,600",68.40,68.60,67.90,"16,400","81,822",-4.5
26/02/2025,68.40,"519,300",68.70,68.90,68.40,"99,600","78,242",1.5
25/02/2025,68.70,"809,600",68.70,69.30,68.30,"167,500","20,710",10.1
24/02/2025,68.60,"1,066,000",68.20,68.80,67.80,"53,800","272,617",-14.9
21/02/2025,68.40,"767,500",68.60,68.80,68.20,"141,900","32,701",7.5
20/02/2025,68.80,"601,500",69.20,69.30,68.50,"27,337","68,260",-2.8
19/02/2025,68.70,"1,389,800",68.20,69,67.90,"198,700","77,100",8.3
18/02/2025,68,"634,400",68,68.30,67.70,"38,094","41,924",-0.3
17/02/2025,67.80,"762,900",67.70,68.40,67.50,"111,000","10,000",6.9
14/02/2025,67.70,"1,147,200",67.30,67.90,67,"301,066","109,365",13.0
13/02/2025,66.70,"650,700",67.10,67.10,66.60,"40,400","108,158",-4.5
12/02/2025,67.10,"344,200",67,67.50,67,"57,801","15,000",2.9
11/02/2025,67,"671,300",67.30,67.90,66.50,"51,910","171,960",-8.1
10/02/2025,67.30,"732,900",67.20,67.60,66.90,"43,008","104,558",-4.1
07/02/2025,67.30,"818,200",67.60,68,67.30,"185,000","159,485",1.7
06/02/2025,67.60,"539,300",68.20,68.20,67.50,"221,908","95,002",8.6
05/02/2025,67.80,"652,400",67.50,68.10,67.40,"341,100","98,800",16.4
04/02/2025,67.10,"398,400",66.90,67.30,66.90,"7,300","6,707",0.0
03/02/2025,67,"436,900",67.80,67.80,66.90,"21,700","35,600",-0.9
24/01/2025,67.90,"432,300",67,67.90,66.80,"14,100","23,300",-0.6
23/01/2025,67,"317,100",66.80,67.20,66.70,"8,500","49,500",-2.7
22/01/2025,66.80,"313,300",67.50,67.50,66.70,"22,100","41,700",-1.3
21/01/2025,67.10,"349,300",68,68.10,67.10,"38,000","32,088",0.4
20/01/2025,67.70,"662,000",67.20,68.20,66.80,"71,000","20,100",3.4
17/01/2025,66.80,"321,700",67.20,67.20,66.60,"82,000","32,626",3.3
16/01/2025,66.90,"493,400",67.10,67.30,66.60,"22,000","115,169",-6.2
15/01/2025,66.80,"395,000",67.20,67.40,66.80,"42,600","85,500",-2.9
14/01/2025,66.90,"397,300",66.50,67.40,66.50,"130,800","21,600",7.3
13/01/2025,66.40,"542,400",66.70,67.10,66.20,"33,772","142,500",-7.2
10/01/2025,66.70,"422,600",67,67.50,66.70,"19,600","121,000",-6.8
09/01/2025,67,"369,400",67.20,67.50,66.80,"17,901","117,522",-6.7
08/01/2025,67.10,"521,700",67,67.20,66.60,"26,020","131,702",-7.1
07/01/2025,67,"683,200",67.60,67.90,66.90,"13,700","286,138",-18.3
06/01/2025,67.50,"673,300",68,68.20,67.30,"28,054","198,398",-11.5
03/01/2025,68,"460,500",68.10,68.40,68,"18,244","123,701",-7.2
02/01/2025,68.10,"427,800",68.30,68.50,68,"1,200","126,482",-8.5
31/12/2024,68.10,"770,800",68.40,68.70,68.10,"25,235","44,524",-1.3
30/12/2024,68.20,"402,400",68.60,68.80,68.20,"9,208","23,816",-1.0
27/12/2024,68.50,"539,900",68.70,69,68.50,"8,746","18,200",-0.6
26/12/2024,68.50,"997,100",68.60,69.60,68.50,"69,300","55,312",1.0
25/12/2024,68.40,"456,300",68.30,68.90,68.30,"58,127","9,400",3.3
24/12/2024,68.20,"509,800",68.60,68.70,68.20,"75,100","3,922",4.9
23/12/2024,68.50,"563,700",68.80,69.10,68.50,"42,301","6,900",2.4
20/12/2024,68.60,"341,700",68.50,68.80,68.40,"46,869","13,330",2.3
19/12/2024,68.50,"721,400",68.20,68.60,68,0,"161,550",-11.0
18/12/2024,68.50,"504,100",68.40,68.70,68.30,"4,800","18,712",-1.0
17/12/2024,68,"412,900",68.10,68.50,68,"12,700","125,945",-7.7
16/12/2024,68.10,"350,100",68.50,68.60,68.10,"10,068","115,758",-7.2
13/12/2024,68.40,"348,000",68.50,68.60,68.20,"24,500","118,000",-6.4
12/12/2024,68.50,"516,000",68.80,69,68.50,"32,800","156,200",-8.5
11/12/2024,68.70,"539,000",69,69.20,68.60,"4,500","170,356",-11.4
10/12/2024,69,"402,500",69.40,69.60,69,"32,400","122,727",-6.2
09/12/2024,69.30,"395,900",69.50,69.50,69.20,"18,500","7,580",0.8
06/12/2024,69.20,"430,800",69.90,69.90,69,"26,045","5,001",1.5
05/12/2024,68.90,"630,900",68.70,69.80,68.50,"38,445","14,426",1.7
04/12/2024,68.60,"308,300",68.70,69.20,68.50,"35,100","8,200",1.9
03/12/2024,68.70,"634,300",69.30,69.60,68.70,"38,500","59,240",-1.4
02/12/2024,69.20,"404,200",69.70,69.80,69,"16,511","37,000",-1.4
29/11/2024,69.60,"283,000",69.30,69.80,69.20,"43,900","28,612",1.1
28/11/2024,69.30,"442,900",69.30,70,69.30,"37,128","20,900",1.1
27/11/2024,69.30,"417,500",69.80,69.80,69,"46,200","21,200",1.7
26/11/2024,69.60,"448,200",69.40,69.90,69.40,"27,896","69,009",-2.9
25/11/2024,69.30,"901,200",69.40,70.30,69.30,"223,300","132,371",6.4
22/11/2024,69.20,"1,015,100",68.60,70.60,68.60,"223,000","3,600",15.3
21/11/2024,68.20,"1,167,900",67.80,68.60,67.80,"299,400","20,417",19.0
20/11/2024,67.60,"711,800",67.90,68.40,67.50,"37,400","74,400",-2.5
19/11/2024,67.90,"693,100",69.50,69.70,67.90,"260,800","144,300",8.0
18/11/2024,69,"936,700",68.60,69.10,68.30,"378,800","138,503",16.5
15/11/2024,68.60,"774,000",68.90,69.40,68.60,"341,300","9,522",22.9
14/11/2024,69,"543,800",69.20,70.30,69,"170,200","8,300",11.3
13/11/2024,69.50,"827,600",70,70,68,"120,110","6,500",7.9
12/11/2024,69.80,"425,500",70.10,70.50,69.80,"5,700","48,000",-3.0
11/11/2024,70.10,"544,200",70.10,70.50,70,"115,600","122,400",-0.5
08/11/2024,70,"428,800",70.20,70.80,70,"47,600","152,700",-7.3
07/11/2024,70.10,"372,800",71,71,70.10,"12,300","101,900",-6.3
06/11/2024,70.10,"501,500",70,71.10,69.90,0,0,0
05/11/2024,69.60,"542,000",69.90,70,69.40,"6,900","140,700",-9.3
04/11/2024,69.90,"461,700",70.40,70.40,69.90,"10,600","64,100",-3.7
01/11/2024,70.20,"427,300",70.50,70.70,70,"7,800","83,500",-5.3
31/10/2024,70.50,"620,200",71,71,70.50,"10,500","226,500",-15.2
30/10/2024,70.60,"318,400",70.90,71.30,70.60,"1,500","67,000",-4.6
29/10/2024,70.80,"352,000",70.70,71.10,70.70,"2,700","104,900",-7.2
28/10/2024,70.70,"311,300",70.90,71,70.70,"6,700","54,700",-3.4
25/10/2024,70.90,"322,500",71,71.40,70.90,"13,800","8,400",0.4
24/10/2024,71,"413,400",70.90,71.20,70.90,"11,000","3,800",0.5
23/10/2024,70.90,"667,000",71.20,71.20,70.70,"6,400","59,800",-3.8
22/10/2024,71.20,"545,500",71.70,71.90,71.20,"27,300","30,000",-0.2
21/10/2024,71.70,"469,700",71.70,71.70,71.30,"12,900","128,700",-8.3
18/10/2024,71.70,"322,500",71.60,72.30,71.60,"2,800","5,700",-0.2
17/10/2024,71.50,"739,500",72,72.30,71.20,"3,500","115,700",-8.0
16/10/2024,72,"758,400",72.60,72.70,72,"10,500","40,600",-2.2
15/10/2024,72.70,"596,300",72.70,73,72.40,"76,400","15,800",4.4
14/10/2024,72.90,"526,200",73.60,73.60,72.70,"24,700","8,700",1.2
11/10/2024,73.20,"603,500",73.50,73.70,73.20,"43,300","2,600",3.0
10/10/2024,73.30,"1,046,200",73.20,73.60,72.50,"115,200","156,000",-3.0
09/10/2024,72.70,"547,200",72.60,72.90,72.30,"12,400","77,500",-4.7
08/10/2024,72.60,"637,900",73.40,73.40,72.60,"80,100","142,300",-4.5
07/10/2024,72.90,"580,700",73.50,73.70,72.60,"7,000","162,400",-11.3
04/10/2024,73.30,"867,900",72.80,73.70,72.50,"149,500","12,900",10.0
03/10/2024,72.50,"793,300",73.40,73.40,72.50,"20,800","170,900",-10.9
02/10/2024,72.90,"1,053,700",73.30,74,72.90,"103,900","361,700",-18.9
01/10/2024,73,"1,032,300",73.30,73.70,73,"9,900","327,000",-23.2
30/09/2024,73.20,"646,900",73.50,73.60,73,"107,300","25,700",6.0
27/09/2024,73.50,"536,000",74.20,74.30,73.50,"33,200","15,200",1.3
26/09/2024,74,"1,109,800",73.80,74.60,73.80,"78,400","54,900",1.8
25/09/2024,73.80,"665,000",74,74,73.50,"174,700","20,200",11.4
24/09/2024,73.70,"853,100",73,73.90,73,"8,900","8,600",0.0
23/09/2024,73,"552,300",73.10,73.30,72.90,"6,100","32,400",-1.9
20/09/2024,73.10,"998,500",73.60,73.80,73,"3,800","12,900",-0.7
19/09/2024,73.40,"980,600",73.20,73.40,72.90,"25,800","218,000",-14.1
18/09/2024,73.10,"777,600",73.30,73.50,72.90,"12,500","30,300",-1.3
17/09/2024,72.70,"764,100",72.60,73.20,72.30,"6,000","31,300",-1.8
16/09/2024,72.60,"1,863,200",74,74,72.60,"242,000","140,300",7.4
"13/09/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  60%ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  50/1 (Volume + 2%, Ratio=0.02)",,,,,,,,
