Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,24.50,"65,400",24.70,24.70,24.40,0,0,0
20/03/2025,24.50,"157,500",24.80,25,24.40,0,0,0
19/03/2025,24.80,"196,000",25.20,25.20,24.70,0,0,0
18/03/2025,25.10,"113,500",25.20,25.60,25.10,0,0,0
17/03/2025,25.30,"171,500",25.40,25.50,25,"48,800",0,0
14/03/2025,25,"170,700",25.50,25.60,25,0,0,0
13/03/2025,25.50,"237,600",25.70,25.90,25.30,0,0,0
12/03/2025,25.50,"153,400",25.50,25.80,25.30,"43,600",0,1.1
11/03/2025,25.50,"73,500",25.20,25.60,24.90,0,0,0
10/03/2025,25.40,"60,700",25.70,25.70,25.20,0,0,0
07/03/2025,25.60,"82,400",25.70,25.70,25.30,0,0,0
06/03/2025,25.70,"126,300",25,25.80,24.90,0,0,0
05/03/2025,24.90,"230,500",25.90,25.90,24.80,0,0,0
04/03/2025,25.60,"191,400",25.70,26,25.40,"10,000",0,0.3
03/03/2025,25.70,"214,100",26,26.40,25.60,0,0,0
28/02/2025,26.10,"256,200",26,26.50,25.80,"50,000",0,1.3
27/02/2025,26,"884,700",24.50,26.60,24.30,"83,100",0,2.1
26/02/2025,24.50,"104,000",24.50,24.90,24.30,0,0,0
25/02/2025,24.30,"75,900",25,25,24.30,0,0,0
24/02/2025,24.50,"289,000",20.60,25.50,20.60,0,0,0
21/02/2025,24.10,"49,500",24.10,24.30,24.10,0,0,0
20/02/2025,24.10,"66,500",24,24.30,23.90,0,0,0
19/02/2025,24,"129,100",24.10,24.20,23.80,"37,100",0,0.9
18/02/2025,24,"71,200",23.60,24.10,23.60,"29,500",0,0.7
17/02/2025,23.60,"85,700",23.70,23.80,23.50,0,0,0
14/02/2025,23.70,"96,300",23.80,23.90,23.10,0,0,0
13/02/2025,23.80,"86,100",24,24,23.70,0,0,0
12/02/2025,23.90,"92,344",23.90,24.40,23.80,0,"12,000",-0.3
11/02/2025,23.80,"185,869",24,24,23.20,"1,000","16,500",-0.4
10/02/2025,24,"530,107",25.20,25.20,23.90,"1,000","40,000",-0.9
07/02/2025,25.30,"98,059",25.10,25.40,25.10,0,0,0
06/02/2025,25,"94,917",25.20,25.30,24.80,0,0,0
05/02/2025,25.20,"91,150",25.10,25.30,25,"13,000",0,0.3
04/02/2025,25,"161,000",25,25.20,24.70,0,0,0
03/02/2025,24.80,"281,200",26,26,24.30,0,"10,000",0
24/01/2025,26,"78,260",26.10,26.10,25.80,0,0,0
23/01/2025,26.20,"69,555",26.10,26.40,26,"2,000",0,0.1
22/01/2025,26.20,"68,268",26.40,26.40,25.80,200,0,0.0
21/01/2025,26.20,"53,854",26.60,26.60,26.10,0,0,0
20/01/2025,26.50,"50,905",26.60,26.60,26.50,0,0,0
17/01/2025,26.50,"63,850",24.70,26.50,24.70,0,0,0
16/01/2025,26.40,"24,403",26.50,26.70,26.30,0,0,0
15/01/2025,26.50,"69,000",26.30,27,26.10,0,0,0
14/01/2025,26.10,"42,800",26.30,26.30,25.90,0,0,0
13/01/2025,26,"93,106",25.80,26,25.70,0,0,0
10/01/2025,25.70,"150,606",26.40,26.40,25.70,"1,700",0,0.0
09/01/2025,26.40,"81,000",26.30,26.60,26.20,"8,000",0,0.2
08/01/2025,26.30,"72,200",26.20,26.50,26.10,0,0,0
07/01/2025,26.40,"142,550",26.60,26.70,26.10,0,0,0
06/01/2025,26.60,"197,354",27,27,26.50,0,0,0
03/01/2025,27,"221,918",27.30,27.30,26.70,0,0,0
02/01/2025,27.40,"90,403",27.20,27.50,27.20,0,0,0
31/12/2024,27.40,"134,063",27.30,27.40,27.10,0,0,0
30/12/2024,27.40,"209,379",27.50,27.70,27.20,0,0,0
27/12/2024,27.60,"302,610",28.40,28.40,27.60,0,0,0
26/12/2024,28.20,"213,200",28.10,28.50,28.10,0,0,0
25/12/2024,28.10,"363,778",28.20,28.70,28,0,0,0
24/12/2024,28.40,"518,557",28,28.80,28,0,0,0
23/12/2024,28.10,"598,570",27.10,28.20,27.10,0,0,0
20/12/2024,27.10,"124,718",27.10,27.40,27,0,0,0
19/12/2024,27.10,"125,102",27,27.30,26.90,0,0,0
18/12/2024,27.40,"129,812",26.90,27.40,26.90,0,0,0
17/12/2024,27,"80,600",27,27.10,26.80,0,0,0
16/12/2024,27,"135,912",27.20,27.40,26.90,0,0,0
13/12/2024,27.30,"136,020",27.20,27.70,27.20,0,0,0
12/12/2024,27.40,"613,287",27.20,27.80,27.20,0,"3,300",-0.1
11/12/2024,27.20,"138,827",27.20,27.40,27.10,0,"2,000,000",-46.6
10/12/2024,27.20,"219,993",27.10,27.50,27.10,0,0,0
09/12/2024,27.20,"206,200",27,27.30,26.80,0,0,0
06/12/2024,26.90,"79,901",27.20,27.20,26.80,"5,000",0,0.1
05/12/2024,27.30,"200,905",26.80,27.30,26.30,0,0,0
04/12/2024,26.70,"97,800",27,27,26.70,0,0,0
03/12/2024,27.10,"82,248",27.20,27.30,26.90,0,0,0
02/12/2024,27.10,"84,112",27.30,27.70,27,0,0,0
29/11/2024,27.10,"208,997",27,27.50,26.80,0,0,0
28/11/2024,26.90,"87,003",26.70,27,26.70,0,0,0
27/11/2024,26.70,"42,900",26.80,26.80,26.60,0,0,0
26/11/2024,26.90,"81,505",26.70,27,26.70,0,0,0
25/11/2024,26.70,"127,900",26.50,26.80,26.30,0,0,0
22/11/2024,26.60,"64,247",26.60,26.80,26.60,0,"15,400",-0.4
21/11/2024,26.50,"53,500",26.40,26.70,26.40,0,"6,300",-0.2
20/11/2024,26.40,"139,168",26.90,26.90,26,0,"12,600",-0.3
19/11/2024,26.40,"231,106",27.30,27.30,26.40,0,"10,000",-0.3
18/11/2024,27.20,"206,968",27,27.80,26.80,0,"5,000",-0.1
15/11/2024,27.20,"388,694",28.10,28.10,27.10,0,0,0
14/11/2024,28.20,"331,150",28.30,28.50,28,0,0,0
13/11/2024,28.40,"210,476",28.60,28.70,28,0,0,0
12/11/2024,28.80,"671,361",27.50,29,27.50,"5,000",0,0.1
11/11/2024,27.60,"183,261",27.30,27.70,27.10,0,0,0
08/11/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
08/11/2024,27.30,"116,616",28,28,27.10,"5,000",0,0.1
07/11/2024,27.20,"118,804",27.39,27.39,27.01,0,0,0
06/11/2024,27.39,"82,221",27.20,27.39,27.01,0,0,0
05/11/2024,27.10,"48,110",27.39,27.39,26.91,0,0,0
04/11/2024,26.81,"115,841",23.73,27.39,23.73,0,0,0
01/11/2024,27.20,"101,442",27.59,27.59,27.20,0,200,-0.0
31/10/2024,27.68,"174,211",27.49,27.97,27.49,0,"10,000",-0.3
30/10/2024,27.68,"124,562",27.59,27.68,27.10,"5,000",0,0.1
29/10/2024,27.59,"91,112",27.49,27.68,27.39,0,0,0
28/10/2024,27.39,"201,434",26.72,27.78,26.72,0,0,0
25/10/2024,26.62,"39,301",26.81,26.81,26.52,"7,300",0,0.2
24/10/2024,26.62,"51,260",26.72,26.91,26.33,0,0,0
23/10/2024,26.72,"71,921",26.81,26.81,26.52,0,0,0
22/10/2024,26.72,"143,354",27.01,27.10,26.52,0,0,0
21/10/2024,27.01,"128,650",27.30,27.30,26.91,0,0,0
18/10/2024,27.30,"112,432",27.49,27.88,27.20,0,0,0
17/10/2024,27.39,"53,830",27.39,27.39,27.10,0,0,0
16/10/2024,27.39,"98,124",27.39,27.49,27.30,0,"7,000",-0.2
15/10/2024,27.30,"172,315",27.39,27.59,27.20,0,0,0
14/10/2024,27.20,"154,886",27.78,27.88,27.20,0,"2,200",-0.1
11/10/2024,27.68,"105,674",27.59,27.68,27.39,0,"3,000",-0.1
10/10/2024,27.39,"277,863",27.59,28.07,27.30,0,"7,900",-0.2
09/10/2024,27.59,"147,259",27.39,27.68,27.20,0,"2,000,600",-50.0
08/10/2024,27.20,"180,420",27.10,27.59,26.72,0,0,0
07/10/2024,27.10,"114,779",27.39,27.39,26.91,0,0,0
