Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,13.80,"547,700",14,14.15,13.80,"4,800","42,000",0
20/03/2025,14,"943,700",14.20,14.20,13.60,"3,600","3,400",0.0
19/03/2025,14.15,"1,614,900",14.30,14.30,13.90,"60,200","18,900",0.6
18/03/2025,14.35,"2,489,800",13.90,14.45,13.85,"881,800","125,450",10.7
17/03/2025,13.80,"1,515,100",13.65,13.85,13.50,"2,900","39,252",-0.5
14/03/2025,13.45,"1,157,300",13.85,13.85,13.40,"1,000",0,0.0
13/03/2025,13.55,"1,264,700",13.90,13.95,13.50,0,"11,600",-0.2
12/03/2025,13.80,"4,558,400",13,13.80,13,"607,300","5,146",8.1
11/03/2025,12.90,"1,177,000",12.50,12.90,12.50,"23,100",170,0.3
10/03/2025,12.70,"466,200",12.75,12.80,12.65,100,"61,800",-0.8
07/03/2025,12.70,"562,200",12.45,12.70,12.40,"20,300","30,400",-0.1
06/03/2025,12.45,"414,500",12.40,12.55,12.30,"34,700",700,0.4
05/03/2025,12.40,"797,100",12.70,12.70,12.40,200,"1,400",-0.0
04/03/2025,12.60,"1,320,200",12.95,12.95,12.60,"30,200","38,400",-0.1
03/03/2025,12.95,"512,800",13.15,13.15,12.95,0,"6,400",-0.1
28/02/2025,13.15,"547,700",13,13.20,13,"3,300","26,700",-0.3
27/02/2025,13.15,"667,100",13,13.15,13,0,"30,300",-0.4
26/02/2025,13.20,"704,800",13.20,13.30,13,200,"101,300",-1.3
25/02/2025,13.30,"679,100",13.35,13.40,13.20,"1,300","117,200",-1.5
24/02/2025,13.30,"1,985,300",12.80,13.30,12.80,"111,300","4,100",1.4
21/02/2025,12.85,"649,700",12.85,13.05,12.85,"3,400","56,600",-0.7
20/02/2025,12.90,"811,000",13.05,13.05,12.80,"4,300","83,355",-1.0
19/02/2025,12.95,"1,459,600",13,13.20,12.85,"1,500","130,241",-1.7
18/02/2025,12.95,"713,300",13.10,13.30,12.95,"11,100","13,600",-0.0
17/02/2025,13.10,"1,868,600",12.70,13.10,12.50,"92,000",800,1.2
14/02/2025,12.70,"704,700",12.55,12.85,12.55,"3,800","15,400",-0.1
13/02/2025,12.70,"1,054,800",12.40,12.95,12.30,"16,600","6,700",0.1
12/02/2025,12.45,"322,700",12.60,12.60,12.40,"9,300","2,122",0.1
11/02/2025,12.45,"376,300",12.30,12.45,12.25,"6,000","1,865",0.1
10/02/2025,12.30,"673,700",12.50,12.50,12.30,"9,500","4,600",0.1
07/02/2025,12.55,"746,500",12.75,12.75,12.50,"13,700","4,500",0.1
06/02/2025,12.65,"871,700",12.55,12.90,12.55,"1,000","28,000",-0.3
05/02/2025,12.55,"3,327,600",11.80,12.55,11.75,"18,700","2,500",0.2
04/02/2025,11.75,"288,800",11.70,11.75,11.70,"7,900",0,0.1
03/02/2025,11.65,"183,900",11.60,11.70,11.45,"6,900","1,400",0.1
24/01/2025,11.45,"324,000",11.50,11.55,11.45,0,0,0
23/01/2025,11.50,"112,000",11.50,11.65,11.50,"1,500",0,0.0
22/01/2025,11.45,"185,700",11.50,11.55,11.45,"1,600",0,0.0
21/01/2025,11.50,"109,800",11.60,11.60,11.50,300,"1,000",-0.0
20/01/2025,11.50,"184,300",11.75,11.75,11.50,200,0,0.0
17/01/2025,11.50,"75,700",11.45,11.55,11.40,"4,700",60,0.1
16/01/2025,11.45,"96,400",11.45,11.55,11.40,0,0,0
15/01/2025,11.45,"225,100",11.20,11.45,11.20,0,0,0
14/01/2025,11.20,"136,500",11.20,11.50,11.20,0,"1,100",-0.0
13/01/2025,11.25,"105,700",11.20,11.30,11.15,0,300,-0.0
10/01/2025,11.30,"192,500",11.45,11.60,11.30,0,400,-0.0
09/01/2025,11.55,"111,400",11.50,11.70,11.45,0,0,0
08/01/2025,11.55,"190,900",11.30,11.60,11.30,"20,100",0,0.2
07/01/2025,11.40,"249,400",11.40,11.50,11.30,0,0,0
06/01/2025,11.50,"253,800",11.70,11.75,11.50,0,0,0
03/01/2025,11.70,"290,400",11.85,11.90,11.70,100,0,0.0
02/01/2025,11.90,"479,300",11.95,11.95,11.80,0,700,-0.0
31/12/2024,12,"2,342,300",11.75,12,11.65,0,"20,700",-0.2
30/12/2024,11.75,"645,300",11.70,12,11.55,"1,900","1,300",0.0
27/12/2024,11.75,"547,500",11.70,11.75,11.55,200,0,0.0
26/12/2024,11.80,"422,600",11.80,11.90,11.60,0,"5,700",-0.1
25/12/2024,11.80,"653,600",11.80,11.80,11.55,0,100,-0.0
24/12/2024,11.70,"747,000",11.70,11.80,11.55,500,"1,200",-0.0
23/12/2024,11.65,"608,000",11.60,11.65,11.50,"1,400",0,0.0
20/12/2024,11.50,"775,700",11.35,11.60,11.35,"10,200",600,0.1
19/12/2024,11.25,"402,800",11.20,11.25,11.10,"3,100",0,0.0
18/12/2024,11.30,"312,400",11.15,11.35,11.10,200,"1,900",-0.0
17/12/2024,11.15,"213,300",11,11.15,10.95,0,"3,610",-0.0
16/12/2024,11.10,"226,500",11,11.10,10.85,100,"5,100",-0.1
13/12/2024,11,"208,500",11.20,11.20,11,0,"6,600",-0.1
12/12/2024,11.10,"152,800",10.95,11.10,10.95,0,"4,300",-0.0
11/12/2024,11.05,"118,200",10.95,11.10,10.95,"1,000",0,0.0
10/12/2024,10.95,"384,500",11,11.10,10.90,"5,800",300,0.1
09/12/2024,10.95,"687,000",11.20,11.35,10.95,"3,700","2,300",0.0
06/12/2024,11.20,"189,000",11.25,11.25,11.15,0,0,0
05/12/2024,11.20,"216,800",11.10,11.20,10.95,"18,400","1,800",0.2
04/12/2024,11.10,"189,400",11,11.10,10.95,"19,000","9,600",0.1
03/12/2024,11.05,"97,400",11.05,11.10,10.90,"10,000","1,900",0.1
02/12/2024,11,"153,200",11.20,11.25,11,0,"39,000",-0.4
29/11/2024,11.10,"204,000",11.05,11.25,11.05,"15,000","10,700",0.0
28/11/2024,11.10,"275,300",11,11.20,11,"29,600",0,0.3
27/11/2024,11,"235,900",11.05,11.05,10.90,300,0,0.0
26/11/2024,11,"190,800",10.95,11.10,10.95,"3,100",0,0.0
25/11/2024,10.90,"267,300",10.65,10.90,10.65,"10,000",0,0.1
22/11/2024,10.70,"164,300",10.65,10.85,10.65,0,"20,800",-0.2
21/11/2024,10.70,"216,700",10.70,10.85,10.65,"2,100","10,300",-0.1
20/11/2024,10.70,"249,600",10.70,10.85,10.65,300,"56,900",-0.6
19/11/2024,10.70,"149,100",10.80,10.90,10.70,0,300,-0.0
18/11/2024,10.80,"185,000",10.60,10.85,10.60,"24,600",0,0.3
15/11/2024,10.75,"352,500",10.75,10.80,10.55,0,0,0
14/11/2024,10.75,"187,200",10.90,11,10.75,0,0,0
13/11/2024,10.90,"343,200",10.95,10.95,10.70,"33,300",5,0.4
12/11/2024,10.80,"95,000",10.70,10.85,10.70,0,0,0
11/11/2024,10.70,"222,600",10.70,10.80,10.60,100,800,-0.0
08/11/2024,10.70,"290,400",10.85,10.90,10.70,0,0,0
07/11/2024,10.85,"154,200",10.80,10.85,10.75,"4,400",700,0.0
06/11/2024,10.80,"227,400",10.80,10.85,10.65,0,0,0
05/11/2024,10.75,"253,100",10.60,10.85,10.60,400,0,0.0
04/11/2024,10.65,"972,300",11.20,11.20,10.45,"1,200","58,000",-0.6
01/11/2024,11.20,"233,300",11.25,11.40,11.20,0,600,-0.0
31/10/2024,11.30,"837,900",11.45,11.45,11.25,400,"5,100",-0.1
30/10/2024,11.50,"299,200",11.45,11.55,11.40,500,600,-0.0
29/10/2024,11.45,"182,500",11.45,11.55,11.45,0,200,-0.0
28/10/2024,11.45,"184,900",11.45,11.50,11.40,0,0,0
