Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,30.30,"5,300",31,31,30.30,0,0,0
20/03/2025,31,800,30.90,31,30.90,100,0,0.0
19/03/2025,30.40,"1,700",30.40,30.50,30.40,500,0,0.0
18/03/2025,30.30,"8,600",31.10,31.10,30.30,0,"8,100",0
17/03/2025,30.60,"2,800",30.50,31,30.40,0,0,0
14/03/2025,31,"14,700",30.90,31,30.20,0,100,-0.0
13/03/2025,30.90,"1,900",31.10,31.10,30.50,0,0,0
12/03/2025,31.20,"12,700",31.20,31.30,31.10,0,0,0
11/03/2025,31,"28,900",31.30,31.30,31,0,0,0
10/03/2025,31.80,"21,000",31.80,31.90,31.40,0,0,0
07/03/2025,31.90,"33,000",32,32,31.80,0,0,0
06/03/2025,31.60,"19,000",31.80,31.80,31.50,0,0,0
05/03/2025,31.60,"1,000",31.90,31.90,31.30,0,0,0
04/03/2025,31.70,"8,600",31.50,31.80,31.40,0,100,-0.0
03/03/2025,31.70,"14,900",32.40,32.40,31,0,0,0
28/02/2025,32.40,"2,200",32.40,32.50,32.40,600,0,0.0
27/02/2025,32.30,"27,200",32.10,32.50,32.10,"7,100",0,0.2
26/02/2025,32.30,"18,000",32,32.40,31.90,"5,200",0,0.2
25/02/2025,32,"10,500",31.70,32.20,31.70,"2,700",0,0.1
24/02/2025,32.30,"10,900",31.90,32.30,31.70,"3,300",400,0.1
21/02/2025,31.90,"13,900",31.60,32.20,31.60,0,0,0
20/02/2025,31.80,"18,700",31.40,32.10,31.40,0,0,0
19/02/2025,31.60,"12,300",31.50,31.80,31,0,0,0
18/02/2025,31.50,"12,200",31.70,31.70,31.50,0,0,0
17/02/2025,31.50,"11,000",31.30,31.70,31.30,0,0,0
14/02/2025,30.90,"10,300",30.50,31,30.50,0,0,0
13/02/2025,30.90,"5,400",30.70,30.90,30.70,0,0,0
12/02/2025,30.80,"3,450",30.60,31,30.50,0,0,0
11/02/2025,31,"14,604",30.50,31,30.50,0,0,0
10/02/2025,30.40,"4,906",30.90,30.90,30.30,0,"1,400",-0.0
07/02/2025,30.60,"27,851",30,31,29.40,0,0,0
06/02/2025,29.70,"14,922",29.50,29.80,29.30,0,0,0
05/02/2025,29.60,"9,261",29.70,29.70,29.50,"2,000",0,0.1
04/02/2025,29.50,"15,600",29,29.70,29,0,"3,900",-0.1
03/02/2025,29.10,"25,400",29.30,29.70,28.50,0,0,0
24/01/2025,29.30,"6,403",29.50,29.50,29.20,0,0,0
23/01/2025,29,"14,900",28.90,29,28.90,0,"1,000",-0.0
22/01/2025,29.50,"36,904",29,29.50,28.50,0,900,-0.0
21/01/2025,29.40,"38,100",28.60,29.40,28.50,0,0,0
20/01/2025,28.40,"11,700",28.30,28.50,28.30,0,0,0
17/01/2025,28.30,"7,218",28.20,28.40,28.20,0,0,0
16/01/2025,28.20,"2,501",28.30,28.30,28.20,500,0,0.0
15/01/2025,28.30,"3,150",28.40,28.40,28.30,0,0,0
14/01/2025,28.30,"1,700",28.40,28.40,28.30,0,200,-0.0
13/01/2025,28.40,"1,800",28.50,28.50,28.30,0,0,0
10/01/2025,28.30,"1,000",28.50,28.50,28.30,0,0,0
09/01/2025,28.50,800,28.60,28.60,28.40,0,100,-0.0
08/01/2025,28.50,"1,200",28.50,28.80,28.50,700,200,0.0
07/01/2025,28.50,"10,869",28.50,28.50,28.40,0,"3,900",-0.1
06/01/2025,28.50,"4,700",28.40,28.90,28.40,0,500,-0.0
03/01/2025,28.50,"12,305",28.30,28.60,28.30,0,0,0
02/01/2025,28.50,"10,400",28.50,28.60,28.50,0,0,0
31/12/2024,28,"8,194",28.10,28.20,28,0,0,0
30/12/2024,28.30,"4,881",28.20,28.30,28.20,0,0,0
27/12/2024,28.40,"7,600",28.30,28.40,28.10,100,0,0.0
26/12/2024,28.30,"8,450",28.30,28.50,28.30,"1,800",0,0.1
25/12/2024,28.20,"8,300",28.40,28.40,28.20,0,0,0
24/12/2024,28.30,"11,700",28.20,28.40,28.20,500,0,0.0
23/12/2024,28.30,"10,831",28.30,28.30,28.10,"2,000",0,0.1
20/12/2024,28.30,"42,900",28.30,28.40,28,"3,800",0,0.1
19/12/2024,28.40,"50,350",28.20,28.40,28,"42,200",0,1.2
18/12/2024,28.10,"50,349",28.30,28.40,28,"14,500",0,0.4
17/12/2024,28,"22,270",28,28.40,27.70,"6,500",0,0.2
16/12/2024,28.10,"19,800",28.10,28.20,28,"6,800",0,0.2
13/12/2024,27.90,"36,400",28.20,28.20,27.90,"10,700",0,0.3
12/12/2024,28,"26,700",28.30,28.50,27.90,0,0,0
11/12/2024,28,"71,600",28.20,28.50,27.80,0,"8,500",-0.2
10/12/2024,28.30,"16,600",28.40,28.40,28.20,0,0,0
09/12/2024,28.40,"4,851",28.40,28.40,28.30,"1,000",0,0.0
06/12/2024,28.30,"19,460",28.40,28.60,28.30,0,0,0
05/12/2024,28.40,"10,100",28.40,28.40,28.20,0,0,0
04/12/2024,28.30,"6,700",28.40,28.50,28.30,0,0,0
03/12/2024,28.40,"7,400",28.50,28.60,28.40,0,"2,700",-0.1
02/12/2024,28.50,"4,605",28.60,28.60,28.40,0,0,0
29/11/2024,28.30,"9,402",28.40,28.40,28.30,0,"1,100",-0.0
28/11/2024,28.30,"10,208",28.40,28.50,28.30,0,0,0
