Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.80,0,12.80,12.80,12.80,0,0,0
20/03/2025,12.80,0,12.80,12.80,12.80,0,0,0
19/03/2025,12.70,300,12.80,12.80,12.70,0,0,0
18/03/2025,11.90,100,11.90,11.90,11.90,0,0,0
17/03/2025,13.90,0,13.90,13.90,13.90,0,0,0
14/03/2025,13.90,0,13.90,13.90,13.90,0,0,0
13/03/2025,13.90,0,13.90,13.90,13.90,0,0,0
12/03/2025,13.90,"1,000",13.90,13.90,13.90,0,0,0
11/03/2025,12,500,12.80,12.80,12,0,0,0
10/03/2025,13.10,0,13.10,13.10,13.10,0,0,0
07/03/2025,13.10,0,13.10,13.10,13.10,0,0,0
06/03/2025,13.60,"1,400",12,13.60,12,0,0,0
05/03/2025,13.70,0,13.70,13.70,13.70,0,0,0
04/03/2025,13.70,0,13.70,13.70,13.70,0,0,0
03/03/2025,12.10,"2,200",13.80,13.80,12.10,0,0,0
28/02/2025,13.50,"1,100",13.50,13.50,13.10,0,0,0
27/02/2025,12.20,700,12.10,12.20,12.10,0,0,0
26/02/2025,12.30,"1,800",14.50,14.60,12.30,0,0,0
25/02/2025,12.70,300,12.90,12.90,12.70,0,0,0
24/02/2025,13,"3,200",12,13.30,11.90,0,0,0
21/02/2025,13.90,0,13.90,13.90,13.90,0,0,0
20/02/2025,13.90,0,13.90,13.90,13.90,0,0,0
19/02/2025,13.90,"1,000",13.90,13.90,13.90,0,0,0
18/02/2025,14.10,"1,700",11.70,14.10,11.70,0,0,0
17/02/2025,13.60,"4,000",12,13.60,11.80,0,0,0
14/02/2025,14.90,"3,600",11.40,14.90,11.40,0,0,0
13/02/2025,13.30,"1,200",13.30,13.30,13.30,0,0,0
12/02/2025,15.50,7,15.60,15.60,15.60,0,0,0
11/02/2025,15.60,0,15.60,15.60,15.60,0,0,0
10/02/2025,15.60,0,15.60,15.60,15.60,0,0,0
07/02/2025,15.50,"1,200",16.30,16.30,15.50,0,0,0
06/02/2025,14.50,0,14.50,14.50,14.50,0,0,0
