Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,7.20,"42,800",7.20,7.30,7.20,0,0,0
20/03/2025,7.20,"57,200",7.20,7.30,7.10,0,0,0
19/03/2025,7.10,"21,600",7.10,7.20,7.10,0,0,0
18/03/2025,7.10,"75,100",7.20,7.20,7,0,0,0
17/03/2025,7.20,"34,300",7.20,7.30,7.10,0,0,0
14/03/2025,7.20,"48,100",7.20,7.30,7.10,"3,300",0,0.0
13/03/2025,7.20,"78,300",7.40,7.40,7.10,0,0,0
12/03/2025,7.40,"29,500",7.40,7.40,7.30,0,0,0
11/03/2025,7.40,"136,300",7.20,7.50,7.20,0,0,0
10/03/2025,7.30,"63,400",7.30,7.40,7.20,0,0,0
07/03/2025,7.30,"36,900",7.40,7.40,7.20,0,0,0
06/03/2025,7.40,"49,400",7.10,7.40,7.10,0,0,0
05/03/2025,7.10,"42,300",7.30,7.30,7.10,0,0,0
04/03/2025,7.30,"39,800",7.30,7.30,7.20,0,0,0
03/03/2025,7.30,"92,600",7.50,7.50,7.20,"4,000",0,0.0
28/02/2025,7.30,"113,700",7.50,7.50,7.30,0,0,0
27/02/2025,7.60,"67,600",7.60,7.60,7.30,0,0,0
26/02/2025,7.60,"142,400",7.60,7.70,7.40,0,0,0
25/02/2025,7.50,"261,900",7.30,7.70,7.20,0,0,0
24/02/2025,7.30,"79,100",7.20,7.30,7.10,0,0,0
21/02/2025,7.20,"58,700",7.30,7.30,7.10,"1,000",0,0.0
20/02/2025,7.30,"94,900",7.50,7.50,7.30,0,0,0
19/02/2025,7.40,"222,800",7.20,7.40,7.20,0,0,0
18/02/2025,7.20,"117,500",7.20,7.40,7.10,0,0,0
17/02/2025,7.10,"158,000",6.80,7.20,6.80,300,0,0.0
14/02/2025,7,"102,800",6.90,7.20,6.90,"1,700",0,0.0
13/02/2025,6.90,"80,900",6.80,6.90,6.70,0,0,0
12/02/2025,6.90,"122,011",6.90,7,6.80,0,0,0
11/02/2025,6.80,"82,911",6.80,6.90,6.70,"5,000",0,0.0
10/02/2025,6.80,"31,851",6.60,6.80,6.60,500,0,0.0
07/02/2025,6.70,"46,911",6.80,6.90,6.70,"8,800",0,0.1
06/02/2025,6.80,"62,435",6.60,6.80,6.50,0,0,0
05/02/2025,6.60,"20,756",6.60,6.70,6.50,0,0,0
04/02/2025,6.60,"36,700",6.40,6.60,6.40,0,0,0
03/02/2025,6.40,"13,700",6.50,6.50,6.30,0,0,0
24/01/2025,6.50,"45,261",6.50,6.60,6.40,0,0,0
23/01/2025,6.50,"43,702",6.40,6.50,6.30,0,0,0
22/01/2025,6.40,"41,620",6.40,6.50,6.30,500,0,0.0
21/01/2025,6.30,"197,281",6.80,6.80,6.30,"6,000",0,0.0
20/01/2025,6.80,"59,925",6.80,6.90,6.70,"43,500",0,0.3
17/01/2025,6.80,"56,400",6.80,6.80,6.60,0,0,0
