Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,13.80,"2,700",13.70,13.80,13.70,0,500,-0.0
20/03/2025,13.80,"4,400",14,14,13.70,0,0,0
19/03/2025,13.80,400,13.80,13.80,13.50,0,0,0
18/03/2025,13.80,200,13.80,13.80,13.80,0,0,0
17/03/2025,14,100,14,14,14,0,0,0
14/03/2025,13.70,"1,400",13.70,13.70,13.60,0,0,0
13/03/2025,13.90,"5,400",13.90,13.90,13.60,0,0,0
12/03/2025,13.90,0,13.90,13.90,13.90,0,0,0
11/03/2025,13.90,"3,100",13.90,13.90,13.80,0,0,0
10/03/2025,13.90,"1,000",13.90,13.90,13.90,0,0,0
07/03/2025,13.80,"3,000",13.80,13.90,13.80,0,0,0
06/03/2025,13.80,"2,400",13.70,13.80,13.60,0,0,0
05/03/2025,13.60,"8,100",13.60,13.70,13.60,0,0,0
04/03/2025,13.20,"6,000",13.60,13.60,13.20,0,0,0
03/03/2025,13.70,"1,600",13.20,13.90,13.20,0,0,0
28/02/2025,13.70,"36,300",13.70,13.90,13.70,0,0,0
27/02/2025,13.70,"4,300",13.70,13.70,13.70,0,0,0
26/02/2025,13.70,"14,100",13.50,13.70,13.50,0,0,0
25/02/2025,13.50,"5,600",13.50,13.80,13.50,0,0,0
24/02/2025,13.70,"8,300",13.80,13.80,13.30,0,0,0
21/02/2025,13.70,"11,100",13.40,13.70,13.40,0,0,0
20/02/2025,13.60,600,13.60,13.60,13.60,0,0,0
19/02/2025,13.60,"2,000",13.60,13.70,13.60,0,0,0
18/02/2025,13.50,0,13.50,13.50,13.50,0,0,0
17/02/2025,13.50,200,13.50,13.50,13.50,0,0,0
14/02/2025,13.70,"2,600",13.50,13.70,13.50,0,0,0
13/02/2025,13.40,100,13.40,13.40,13.40,0,0,0
12/02/2025,13.60,"1,000",13.30,13.60,13.30,0,0,0
11/02/2025,13.50,"4,900",13.40,13.50,13.40,600,0,0.0
10/02/2025,13.30,"1,700",13.20,13.30,13.20,800,0,0.0
07/02/2025,13.20,"4,000",13,13.20,13,"2,900","3,000",-0.0
06/02/2025,13,"2,000",13,13,13,0,"2,000",-0.0
05/02/2025,13,"5,002",13.10,13.10,13,0,0,0
04/02/2025,13.10,"14,516",13.30,13.30,13.10,"10,000",0,0.1
03/02/2025,13.30,"18,500",13.20,13.30,13.20,500,0,0
24/01/2025,13.20,"2,386",13.10,13.20,13.10,0,0,0
23/01/2025,13.20,"1,000",13.20,13.20,13.20,0,0,0
22/01/2025,13.10,"16,200",13,13.50,13,0,"3,200",-0.0
21/01/2025,12.90,"1,000",12.90,12.90,12.90,0,0,0
20/01/2025,12.90,0,12.90,12.90,12.90,0,0,0
17/01/2025,12.90,0,12.90,12.90,12.90,0,0,0
16/01/2025,12.90,700,12.80,12.90,12.80,0,0,0
15/01/2025,12.70,0,12.70,12.70,12.70,0,0,0
14/01/2025,12.70,"2,800",12.70,12.70,12.70,0,0,0
13/01/2025,12.70,"6,200",12.70,12.70,12.70,"3,200",0,0.0
10/01/2025,12.70,0,12.70,12.70,12.70,0,0,0
09/01/2025,12.70,"6,600",12.70,12.70,12.60,"1,900",0,0.0
08/01/2025,12.60,"1,300",12.60,12.60,12.60,100,0,0.0
07/01/2025,12.40,0,12.40,12.40,12.40,0,0,0
06/01/2025,12.40,0,12.40,12.40,12.40,0,0,0
03/01/2025,12.40,269,12.40,12.40,12.40,0,0,0
02/01/2025,12.70,100,12.70,12.70,12.70,0,0,0
31/12/2024,12.60,"5,307",12.50,12.60,12.50,0,0,0
30/12/2024,12.50,0,12.50,12.50,12.50,0,0,0
27/12/2024,12.50,"2,680",12.50,12.50,12.50,0,0,0
26/12/2024,12.40,"4,300",12.30,12.40,12.20,0,400,-0.0
25/12/2024,12.30,"1,200",12.30,12.30,12.30,0,0,0
24/12/2024,12.30,"4,201",12.30,12.30,12.30,0,0,0
23/12/2024,12.50,0,12.50,12.50,12.50,0,0,0
20/12/2024,12.50,300,12.60,12.60,12.40,0,0,0
19/12/2024,12,0,12,12,12,0,0,0
18/12/2024,12,"5,000",12,12,12,0,0,0
17/12/2024,12.10,3,12.10,12.10,12.10,0,0,0
16/12/2024,12.10,402,12.10,12.10,12.10,0,0,0
13/12/2024,12.10,"1,002",12.10,12.10,12.10,0,0,0
12/12/2024,12.10,10,12.10,12.10,12.10,0,0,0
11/12/2024,12.10,501,12,12.10,12,0,0,0
10/12/2024,11.90,"2,507",12,12,11.90,0,0,0
09/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
06/12/2024,11.90,0,11.90,11.90,11.90,0,0,0
05/12/2024,11.90,"1,000",11.90,11.90,11.90,0,0,0
04/12/2024,12,0,12,12,12,0,0,0
03/12/2024,12,200,11.90,12,11.90,0,100,-0.0
02/12/2024,12.10,100,12.10,12.10,12.10,0,0,0
29/11/2024,11.90,"1,000",11.90,11.90,11.90,0,0,0
28/11/2024,12,71,12,12,12,0,0,0
27/11/2024,12,0,12,12,12,0,0,0
26/11/2024,12,0,12,12,12,0,0,0
25/11/2024,12,0,12,12,12,0,0,0
22/11/2024,12,0,12,12,12,0,0,0
21/11/2024,12,0,12,12,12,0,0,0
20/11/2024,12,"3,131",12,12,12,0,0,0
19/11/2024,12,0,12,12,12,0,0,0
18/11/2024,12,"1,500",12,12,12,0,0,0
15/11/2024,12,"9,700",12,12,12,0,0,0
14/11/2024,12.10,0,12.10,12.10,12.10,0,0,0
13/11/2024,12.10,"5,100",12.10,12.10,12.10,0,0,0
12/11/2024,12.10,200,12.10,12.10,12.10,0,0,0
11/11/2024,12.10,408,12.10,12.10,12.10,0,0,0
08/11/2024,12.10,0,12.10,12.10,12.10,0,0,0
07/11/2024,12.10,633,12.20,12.20,12.10,0,0,0
06/11/2024,12.10,600,12,12.10,12,0,0,0
05/11/2024,12,200,12,12,12,0,0,0
04/11/2024,12,"10,502",12,12,12,"2,000",0,0.0
01/11/2024,12,"1,000",12,12,12,0,0,0
31/10/2024,12,"10,200",12,12,12,0,0,0
30/10/2024,12,"2,832",12.10,12.10,12,0,0,0
29/10/2024,12,"3,665",12,12,12,0,0,0
28/10/2024,12.10,"2,000",12.10,12.10,12.10,"2,000",0,0.0
25/10/2024,12.20,"6,000",12.20,12.20,12.20,"6,000",0,0.1
24/10/2024,12,"2,701",12,12,12,0,0,0
23/10/2024,12.40,0,12.40,12.40,12.40,0,0,0
22/10/2024,12.40,"1,000",12.40,12.40,12.40,0,0,0
21/10/2024,11.90,"6,401",11.80,11.90,11.80,0,0,0
18/10/2024,11.50,"1,500",11.50,11.50,11.40,0,0,0
17/10/2024,11.50,"10,700",11.70,11.70,11.50,0,0,0
16/10/2024,11.70,100,11.70,11.70,11.70,0,0,0
15/10/2024,11.70,501,11.70,11.70,11.70,0,0,0
14/10/2024,11.70,"2,100",11.80,11.80,11.70,0,700,-0.0
11/10/2024,11.70,0,11.70,11.70,11.70,0,0,0
10/10/2024,11.70,"2,300",11.70,11.70,11.70,"2,000",0,0.0
09/10/2024,11.80,0,11.80,11.80,11.80,0,0,0
08/10/2024,11.80,0,11.80,11.80,11.80,0,0,0
07/10/2024,11.80,201,11.80,11.80,11.80,0,0,0
04/10/2024,11.80,500,11.80,11.80,11.80,0,0,0
03/10/2024,11.80,100,11.80,11.80,11.80,0,0,0
02/10/2024,11.50,200,11.50,11.50,11.50,0,0,0
01/10/2024,11.40,1,11.40,11.40,11.40,0,0,0
