Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,14,"14,700",13.90,14.10,13.90,0,0,0
20/03/2025,13.90,"29,400",14,14,13.80,0,0,0
19/03/2025,14,"23,200",14.20,14.20,13.90,0,0,0
18/03/2025,14.10,"57,100",14.10,14.40,14.10,0,0,0
17/03/2025,14,"37,800",13.90,14.10,13.80,0,0,0
14/03/2025,14,"57,700",14.10,14.20,13.90,0,0,0
13/03/2025,14,"160,200",14.50,14.50,14,0,0,0
12/03/2025,14.60,"29,800",15.50,15.50,14.50,0,0,0
11/03/2025,14.50,"89,400",14.40,14.50,14.20,0,0,0
10/03/2025,14.50,"49,300",14.70,14.70,14.40,0,0,0
07/03/2025,14.50,"59,100",14.70,14.90,14.50,0,0,0
06/03/2025,14.70,"49,400",14.70,14.90,14.50,0,0,0
05/03/2025,14.50,"112,300",15,15.10,14.50,0,0,0
04/03/2025,15,"37,200",15.40,15.40,14.90,0,0,0
03/03/2025,15.40,"87,700",15.50,15.60,15.20,0,0,0
28/02/2025,15.30,"82,100",15.20,15.50,15,0,0,0
27/02/2025,15.30,"113,000",14.60,15.30,14.60,0,0,0
26/02/2025,14.40,"33,300",14.70,14.80,14.40,0,0,0
25/02/2025,14.70,"30,200",14.50,14.80,14.40,0,0,0
24/02/2025,14.50,"66,100",14.80,14.80,14.10,0,0,0
21/02/2025,14.70,"41,200",15,15.10,14.50,0,0,0
20/02/2025,15,"40,700",15,15.20,14.90,0,0,0
19/02/2025,15.10,"132,700",14.70,15.70,14.70,0,0,0
18/02/2025,14.30,"73,300",14.30,14.70,14.30,0,0,0
17/02/2025,14.20,"157,900",14.70,14.70,14.10,0,0,0
14/02/2025,14.80,"47,900",15,15.20,14.60,0,0,0
13/02/2025,14.70,"63,100",14.90,15.20,14.70,0,0,0
12/02/2025,14.60,"24,243",14.60,15,14.50,0,0,0
11/02/2025,14.90,"119,510",15.50,15.50,14.40,0,0,0
10/02/2025,15.30,"109,008",16,16.30,14.70,0,0,0
07/02/2025,16,"125,456",14.90,16,14.70,0,0,0
06/02/2025,14.90,"227,275",14.20,15.20,14.20,0,0,0
05/02/2025,14.20,"126,900",14.50,14.50,13.80,0,0,0
04/02/2025,14.40,"236,921",14,14.90,13.70,0,0,0
03/02/2025,13.10,"89,200",11.90,13.10,11.90,0,0,0
24/01/2025,11.50,"11,500",11.40,11.50,11.30,0,0,0
23/01/2025,11.30,"9,800",11.50,11.50,11.30,0,0,0
22/01/2025,11.40,"20,200",11.60,11.60,11.40,0,0,0
21/01/2025,11.60,"13,901",11.60,11.70,11.60,0,0,0
20/01/2025,11.70,"5,300",11.60,11.90,11.60,0,0,0
17/01/2025,11.90,"2,500",11.90,11.90,11.90,0,0,0
16/01/2025,12.10,"7,100",11.80,12.10,11.60,0,0,0
15/01/2025,11.90,"9,700",11.70,11.90,11.60,0,0,0
14/01/2025,12.20,"6,300",11.80,12.30,11.80,0,0,0
13/01/2025,11.60,"9,555",11.80,11.80,11.60,0,0,0
10/01/2025,11.60,"14,400",11.90,12,11.60,0,0,0
09/01/2025,12,"6,000",11.90,12,11.90,0,0,0
08/01/2025,11.90,"9,300",12.10,12.20,11.90,0,0,0
07/01/2025,12.10,"7,600",12.20,12.20,12.10,0,0,0
06/01/2025,12.10,"23,102",12.30,12.30,12,0,0,0
03/01/2025,12.40,"13,000",12.40,12.40,12.30,0,0,0
02/01/2025,12.40,"11,200",12.60,12.60,12.40,0,0,0
31/12/2024,12.50,"9,403",12.50,12.60,12.50,0,0,0
30/12/2024,12.50,"6,115",12.50,12.60,12.40,0,0,0
27/12/2024,12.50,"12,900",12.50,12.50,12.40,0,0,0
26/12/2024,12.50,"13,700",12.60,12.60,12.50,0,0,0
25/12/2024,12.60,"16,901",12.40,12.70,12.40,0,0,0
24/12/2024,12.40,"20,300",12.60,12.60,12.40,0,0,0
23/12/2024,12.50,"37,400",12.50,12.50,12.50,0,0,0
20/12/2024,12.50,"53,900",12.70,12.70,12.50,0,0,0
19/12/2024,12.60,"14,900",12.50,12.60,12.50,0,0,0
18/12/2024,12.70,"15,500",12.70,12.70,12.50,0,0,0
17/12/2024,12.60,"4,300",12.70,12.80,12.50,0,0,0
16/12/2024,12.60,"38,900",12.80,12.80,12.50,0,0,0
13/12/2024,12.60,"19,201",13,13,12.60,0,0,0
12/12/2024,13,"28,800",13,13.10,12.90,0,0,0
11/12/2024,13.10,"48,501",13.20,13.20,13,0,0,0
10/12/2024,13.30,"16,900",13,13.50,13,0,0,0
09/12/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
09/12/2024,13.30,"54,700",13.30,13.30,12.90,0,0,0
06/12/2024,13.10,"51,000",13.29,13.38,13.10,0,0,0
05/12/2024,13.19,"80,010",13.19,13.29,13.01,0,0,0
04/12/2024,13.01,"41,400",13.19,13.19,13.01,0,0,0
03/12/2024,13.01,"27,102",13.38,13.38,13.01,0,0,0
02/12/2024,13.29,"45,613",13.01,13.47,13.01,0,0,0
29/11/2024,13.10,"34,710",13.10,13.10,12.91,0,0,0
28/11/2024,13.10,"32,700",12.82,13.47,12.73,0,0,0
27/11/2024,12.54,"31,100",12.64,12.64,12.54,0,0,0
26/11/2024,12.64,"50,162",12.54,12.64,12.45,0,0,0
25/11/2024,12.45,"41,470",12.45,12.64,12.36,0,0,0
22/11/2024,12.64,"15,700",12.91,12.91,12.54,0,0,0
21/11/2024,12.64,"25,816",12.54,12.73,12.45,0,0,0
20/11/2024,12.73,"10,610",12.73,13.38,12.45,0,0,0
19/11/2024,12.54,"20,000",12.91,13.01,12.54,0,0,0
18/11/2024,12.64,"30,400",12.73,13.56,12.26,0,0,0
15/11/2024,12.45,"42,000",12.54,12.73,12.45,0,0,0
14/11/2024,12.64,"51,900",12.64,12.73,12.54,0,0,0
13/11/2024,12.64,"31,320",12.45,12.64,12.45,0,0,0
12/11/2024,12.54,"40,300",12.54,12.64,12.45,0,0,0
11/11/2024,12.45,"7,300",12.54,12.64,12.17,0,0,0
08/11/2024,12.54,"13,300",12.64,12.64,12.45,0,0,0
07/11/2024,12.64,"16,800",12.64,12.64,12.54,0,0,0
06/11/2024,12.54,"21,700",12.54,12.64,12.54,0,0,0
05/11/2024,12.54,"7,701",12.54,12.64,12.54,0,0,0
04/11/2024,12.54,"20,200",12.54,12.64,12.54,0,0,0
01/11/2024,12.64,"2,900",12.54,12.64,12.54,0,0,0
31/10/2024,12.64,"18,000",12.82,12.82,12.54,0,0,0
30/10/2024,12.91,"3,616",12.91,12.91,12.73,0,0,0
29/10/2024,13.01,"4,400",13.01,13.10,12.91,0,0,0
28/10/2024,12.82,"10,401",13.01,13.19,12.82,0,0,0
25/10/2024,13.01,"18,900",12.64,13.29,12.64,0,0,0
24/10/2024,12.64,"7,200",12.73,12.73,12.54,0,0,0
23/10/2024,12.73,"10,200",12.73,12.73,12.64,0,0,0
22/10/2024,12.73,"5,800",12.73,12.73,12.64,0,0,0
21/10/2024,12.64,"3,701",12.82,12.82,12.64,0,0,0
18/10/2024,12.82,"10,000",12.82,12.82,12.82,0,0,0
17/10/2024,12.82,"19,100",12.82,13.19,12.73,0,0,0
16/10/2024,12.82,400,12.91,12.91,12.82,0,0,0
15/10/2024,12.73,"13,247",13.01,13.01,12.64,0,0,0
14/10/2024,12.91,"18,300",12.91,13.01,12.91,0,0,0
11/10/2024,13.01,"28,300",13.01,13.01,12.82,0,0,0
10/10/2024,12.91,"15,600",13.29,13.29,12.82,0,0,0
09/10/2024,13.01,"2,300",13.01,13.19,13.01,0,0,0
08/10/2024,13.01,"50,500",13.10,13.10,12.82,0,0,0
07/10/2024,13.10,"5,300",13.29,13.47,13.01,0,0,0
04/10/2024,13.19,"1,700",13.29,13.47,13.19,0,0,0
03/10/2024,13.19,"17,200",13.66,13.66,13.10,0,0,0
02/10/2024,13.56,"41,825",13.47,13.75,13.47,0,0,0
01/10/2024,13.56,"121,625",12.91,13.56,12.82,0,0,0
30/09/2024,12.91,"9,900",12.91,12.91,12.82,0,0,0
27/09/2024,13.01,"32,700",12.91,13.01,12.82,0,0,0
26/09/2024,12.91,"16,300",12.91,13.01,12.64,0,0,0
25/09/2024,12.91,"11,420",12.82,13.01,12.73,0,0,0
24/09/2024,13.01,"62,052",13.01,13.01,12.64,0,0,0
23/09/2024,13.01,"11,501",13.10,13.10,12.91,0,0,0
20/09/2024,13.10,"14,806",13.19,13.19,13.01,0,0,0
19/09/2024,13.10,"8,600",13.29,13.29,13.01,0,0,0
18/09/2024,13.19,"31,900",13.19,13.19,13.01,0,0,0
17/09/2024,12.73,"13,400",13.10,13.10,12.54,0,0,0
16/09/2024,13.01,"7,300",13.10,13.19,13.01,0,0,0
13/09/2024,13.10,"1,900",13.19,13.19,13.10,0,0,0
12/09/2024,13.10,"16,700",13.10,13.38,13.10,0,0,0
11/09/2024,13.19,"5,400",13.10,13.19,13.01,0,0,0
10/09/2024,13.10,"5,300",13.01,13.47,13.01,0,0,0
09/09/2024,13.19,"15,000",13.01,13.29,12.91,0,0,0
06/09/2024,12.91,"16,110",13.10,13.19,12.91,0,0,0
05/09/2024,13.19,"7,400",13.19,13.29,13.10,0,0,0
04/09/2024,13.19,"6,200",13.01,13.29,13.01,0,0,0
30/08/2024,13.19,"70,466",13.29,13.47,12.82,0,0,0
29/08/2024,13.38,"31,321",13.56,13.56,13.38,0,0,0
28/08/2024,13.75,"33,920",13.75,13.75,13.47,0,0,0
27/08/2024,13.56,"68,400",13.94,14.03,13.56,0,0,0
26/08/2024,14.12,"83,656",14.12,14.49,13.94,0,0,0
23/08/2024,14.12,"34,980",14.40,14.40,13.94,0,0,0
22/08/2024,14.68,"32,342",14.49,14.77,14.31,0,0,0
21/08/2024,14.77,"27,302",14.87,14.87,14.68,0,0,0
20/08/2024,15.05,"46,764",14.77,15.05,14.49,0,0,0
19/08/2024,14.59,"18,400",15.70,15.70,14.40,0,0,0
16/08/2024,14.49,"42,400",14.31,14.77,14.21,0,0,0
15/08/2024,14.31,"12,510",14.12,14.40,14.03,0,0,0
14/08/2024,14.21,"5,701",14.49,14.49,14.12,0,0,0
13/08/2024,14.40,910,14.40,14.49,14.40,0,0,0
12/08/2024,14.49,"3,700",14.12,14.49,13.94,0,0,0
09/08/2024,14.31,"3,400",14.40,14.40,13.94,0,0,0
08/08/2024,14.40,"11,800",14.03,14.40,13.94,0,0,0
07/08/2024,14.31,"9,301",14.40,14.40,13.75,0,0,0
06/08/2024,14.40,"12,310",14.12,14.87,14.12,0,0,0
05/08/2024,14.21,"36,600",15.33,15.33,13.94,0,0,0
02/08/2024,15.33,"4,601",13.56,15.61,13.56,0,0,0
01/08/2024,14.68,"72,000",15.05,15.24,14.59,0,0,0
31/07/2024,15.33,"63,401",15.61,15.61,14.87,0,0,0
30/07/2024,15.61,"212,400",16.54,16.54,15.33,0,0,0
29/07/2024,16.72,"19,000",16.91,16.91,16.54,0,0,0
26/07/2024,16.72,"5,200",16.72,16.72,16.35,0,0,0
25/07/2024,16.54,"10,800",16.63,16.63,16.26,0,0,0
24/07/2024,16.63,"22,300",16.54,16.63,16.26,0,0,0
23/07/2024,16.44,"24,201",16.54,16.63,16.44,0,0,0
22/07/2024,16.63,"7,700",16.72,16.72,16.63,0,0,0
