Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8.60,"2,116,000",8.70,8.88,8.60,"163,900","126,600",0
20/03/2025,8.70,"2,206,900",8.88,8.88,8.62,"109,400","141,700",-0.3
19/03/2025,8.76,"2,213,500",8.81,8.92,8.70,"291,200","99,950",1.7
18/03/2025,8.82,"1,855,100",8.90,8.92,8.75,"43,400","257,100",-1.9
17/03/2025,8.80,"7,085,800",8.38,8.85,8.38,"937,300","2,100",8.1
14/03/2025,8.28,"1,215,000",8.24,8.35,8.23,"112,700","59,200",0.4
13/03/2025,8.25,"1,972,600",8.25,8.42,8.20,"82,900",0,0.7
12/03/2025,8.26,"1,119,700",8.39,8.39,8.24,"2,600","96,800",-0.8
11/03/2025,8.36,"2,634,300",8.25,8.36,8.19,"225,900","8,700",1.8
10/03/2025,8.34,"1,947,400",8.45,8.46,8.27,0,"343,700",-2.9
07/03/2025,8.35,"3,598,100",8.35,8.58,8.35,"54,900","1,066,800",-8.6
06/03/2025,8.31,"1,634,500",8.30,8.32,8.25,"6,000","423,400",-3.5
05/03/2025,8.26,"2,901,000",8.26,8.44,8.26,"177,100","339,800",-1.4
04/03/2025,8.26,"2,133,300",8.28,8.32,8.17,"66,400","280,600",-1.8
03/03/2025,8.30,"2,652,000",8.20,8.30,8.10,"160,800","834,900",-5.5
28/02/2025,8.24,"1,452,300",8.29,8.33,8.18,"1,000","397,600",-3.3
27/02/2025,8.27,"3,940,700",8.16,8.37,8.11,"115,200","935,500",-6.8
26/02/2025,8.13,"1,765,300",8.20,8.22,8.07,500,"413,200",-3.3
25/02/2025,8.10,"1,825,700",8.10,8.17,8.03,"9,100","342,200",-2.7
24/02/2025,8,"2,066,500",8.15,8.15,7.97,"6,800","452,200",-3.6
21/02/2025,8.14,"3,195,000",8.04,8.23,8,"243,400","444,400",-1.6
20/02/2025,8.06,"3,193,600",8.25,8.25,8.03,"301,500","346,600",-0.4
19/02/2025,8.20,"10,258,600",7.79,8.23,7.71,"461,400","4,864,879",-35.4
18/02/2025,7.70,"4,447,500",7.35,7.70,7.35,"301,500","1,206,900",-6.9
17/02/2025,7.35,"1,088,500",7.31,7.44,7.31,"186,500","163,700",0.2
14/02/2025,7.30,"1,249,900",7.24,7.34,7.24,"258,300","448,300",-1.4
13/02/2025,7.24,"1,099,200",7.25,7.26,7.20,"122,700","140,300",-0.1
12/02/2025,7.25,"409,900",7.22,7.34,7.22,"28,400","61,200",-0.2
11/02/2025,7.26,"753,200",7.21,7.35,7.21,"36,600","117,600",-0.6
10/02/2025,7.21,"565,400",7.23,7.27,7.21,0,"177,600",-1.3
07/02/2025,7.29,"770,800",7.34,7.37,7.29,"4,700","112,618",-0.8
06/02/2025,7.34,"705,600",7.41,7.43,7.32,"18,600","144,600",-0.9
05/02/2025,7.41,"1,351,600",7.35,7.45,7.33,"149,300","223,600",-0.6
04/02/2025,7.32,"771,900",7.20,7.33,7.20,"52,900","218,400",-1.2
03/02/2025,7.22,"599,300",7.31,7.31,7.19,"2,300","154,500",-1.1
24/01/2025,7.31,"1,199,400",7.16,7.33,7.16,"192,000","365,700",-1.3
23/01/2025,7.18,"364,300",7.12,7.22,7.11,"24,100","49,200",-0.2
22/01/2025,7.12,"863,000",7.25,7.25,7.11,0,"214,800",-1.5
21/01/2025,7.23,"1,238,400",7.19,7.25,7.15,"100,700","574,800",-3.4
20/01/2025,7.16,"462,400",7.20,7.23,7.16,"62,100","37,900",0.2
17/01/2025,7.19,"487,100",7.10,7.23,7.10,"61,300","46,000",0.1
16/01/2025,7.08,"363,800",7.20,7.28,7.08,"5,900","57,900",-0.4
15/01/2025,7.15,"312,700",7.06,7.16,7.06,"24,600","34,300",-0.1
14/01/2025,7.05,"284,300",7.10,7.12,7.01,"4,800","35,900",-0.2
13/01/2025,7.08,"704,400",7,7.10,6.95,"59,100","101,000",-0.3
10/01/2025,7,"662,200",7.15,7.15,7,"20,800","73,400",-0.4
09/01/2025,7.11,"582,400",7.13,7.16,7.10,"10,600","74,000",-0.5
08/01/2025,7.13,"825,400",7.02,7.17,6.99,"81,500","115,400",-0.2
07/01/2025,7.02,"916,300",7.10,7.16,6.99,0,"282,600",-2.0
06/01/2025,7.10,"845,300",7.30,7.30,7.10,"7,000","223,900",-1.6
03/01/2025,7.26,"1,054,900",7.43,7.43,7.26,"6,300","372,013",-2.7
02/01/2025,7.42,"425,800",7.43,7.46,7.40,"69,300","90,000",-0.2
31/12/2024,7.42,"1,122,500",7.38,7.47,7.38,"22,500","168,600",-1.1
30/12/2024,7.42,"661,500",7.43,7.45,7.38,"4,000","169,100",-1.2
27/12/2024,7.43,"1,174,700",7.58,7.60,7.42,"9,000","283,300",-2.1
26/12/2024,7.58,"680,900",7.66,7.68,7.57,"48,300","37,400",0.1
25/12/2024,7.65,"1,716,400",7.46,7.65,7.45,"265,200",0,2.0
24/12/2024,7.45,"736,200",7.55,7.55,7.40,"42,100","18,000",0.2
23/12/2024,7.55,"941,100",7.36,7.55,7.36,"148,800","75,700",0.5
20/12/2024,7.34,"758,000",7.37,7.39,7.31,0,"125,100",-0.9
19/12/2024,7.35,"1,711,800",7.42,7.45,7.30,"7,600","385,900",-2.8
18/12/2024,7.50,"502,900",7.41,7.52,7.39,0,"130,500",-1.0
17/12/2024,7.41,"682,200",7.46,7.50,7.37,0,"193,079",-1.4
16/12/2024,7.46,"951,000",7.52,7.57,7.44,"2,100","507,800",-3.8
13/12/2024,7.52,"744,500",7.65,7.65,7.52,"4,800","240,900",-1.8
12/12/2024,7.63,"1,681,400",7.74,7.78,7.56,"21,500","639,300",-4.8
11/12/2024,7.72,"1,468,300",7.82,7.84,7.70,"6,900","333,000",-2.5
10/12/2024,7.82,"994,600",7.84,7.86,7.80,"26,900","169,000",-1.1
09/12/2024,7.80,"1,456,700",7.77,7.84,7.61,"178,100",100,1.4
06/12/2024,7.75,"1,793,600",7.77,7.84,7.74,"143,700","58,600",0.7
05/12/2024,7.75,"1,515,700",7.51,7.78,7.46,"329,200","69,100",2.0
04/12/2024,7.51,"1,692,200",7.63,7.74,7.45,"34,900","52,500",-0.1
03/12/2024,7.62,"998,600",7.69,7.82,7.62,"1,200","228,700",-1.8
02/12/2024,7.79,"2,295,100",7.60,7.97,7.58,"173,700","157,800",0.1
29/11/2024,7.58,"921,100",7.56,7.59,7.50,"111,700","28,100",0.6
28/11/2024,7.56,"921,800",7.60,7.65,7.53,"6,700","102,200",-0.7
27/11/2024,7.52,"484,600",7.62,7.62,7.50,"3,700","101,200",-0.7
26/11/2024,7.58,"2,114,500",7.50,7.70,7.50,"193,500","15,300",1.4
25/11/2024,7.48,"703,500",7.42,7.53,7.41,"103,800","34,900",0.5
22/11/2024,7.41,"871,800",7.49,7.54,7.39,"38,400","29,500",0.1
21/11/2024,7.47,"638,400",7.45,7.48,7.40,"43,100","51,400",-0.1
20/11/2024,7.47,"1,798,200",7.39,7.58,7.29,"275,600","21,500",1.9
19/11/2024,7.39,"1,755,100",7.43,7.64,7.35,"266,600","88,800",1.3
18/11/2024,7.40,"1,527,200",7,7.45,6.98,"310,000","51,832",1.9
15/11/2024,7.03,"1,377,400",7.18,7.18,6.98,800,"363,200",-2.6
14/11/2024,7.19,"509,000",7.31,7.31,7.18,"31,400","87,400",-0.4
13/11/2024,7.26,"1,418,600",7.30,7.34,6.87,"130,300","86,400",0.3
12/11/2024,7.32,"542,900",7.44,7.47,7.32,"10,000","55,200",-0.3
11/11/2024,7.41,"1,459,900",7.34,7.45,7.29,"319,800","44,400",2.0
08/11/2024,7.34,"547,900",7.45,7.48,7.32,"39,300","56,900",-0.1
07/11/2024,7.40,"1,199,000",7.40,7.50,7.38,"123,000","30,400",0.7
06/11/2024,7.38,"1,173,500",7.19,7.40,7.16,0,0,0
05/11/2024,7.15,"604,500",7.09,7.19,7.09,"175,600","11,900",1.2
04/11/2024,7.11,"1,898,100",7.23,7.23,7.08,"28,300","75,200",-0.3
01/11/2024,7.26,"1,259,900",7.26,7.32,7.26,"42,200","15,500",0.2
31/10/2024,7.31,"739,400",7.30,7.34,7.27,"24,000","52,400",-0.2
30/10/2024,7.30,"808,400",7.40,7.45,7.26,"16,500","127,100",-0.8
29/10/2024,7.39,"1,844,000",7.30,7.59,7.28,"99,200","199,000",-0.7
28/10/2024,7.22,"954,500",7.20,7.28,7.15,"89,800","33,700",0.4
25/10/2024,7.14,"894,000",7.15,7.22,7.14,0,"203,600",-1.5
24/10/2024,7.20,"1,811,900",7.15,7.39,7.15,"212,800","90,300",0.9
23/10/2024,7.19,"745,800",7.18,7.19,7.10,"149,700","24,000",0.9
22/10/2024,7.13,"1,611,100",7.12,7.22,7.08,"294,800","75,500",1.6
21/10/2024,7.12,"1,367,800",7.25,7.25,7.10,"101,800","98,200",0.0
18/10/2024,7.23,"1,416,800",7.34,7.36,7.23,"3,000","205,600",-1.5
17/10/2024,7.28,"1,693,000",7.12,7.30,7.10,"110,600","11,500",0.7
16/10/2024,7.15,"2,464,200",7.11,7.27,7.05,"385,800","75,500",2.2
15/10/2024,6.94,"6,988,100",7.47,7.53,6.93,"228,100","36,100",1.3
