Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.45,"2,700,400",12.50,12.60,12.40,"38,700","6,681",0
20/03/2025,12.55,"5,122,000",12.60,12.65,12.35,"13,600","39,500",-0.3
19/03/2025,12.55,"5,510,800",12.55,12.70,12.45,"6,800","6,860",-0.0
18/03/2025,12.50,"8,376,300",12.65,12.75,12.50,"75,114","10,300",0.8
17/03/2025,12.55,"4,409,200",12.65,12.65,12.50,"9,700","51,913",-0.5
14/03/2025,12.50,"8,415,000",12.50,12.60,12.35,"47,000","646,800",-7.5
13/03/2025,12.50,"19,285,000",12.95,13,12.45,"75,029","1,453,745",-17.7
12/03/2025,12.95,"7,468,300",13.20,13.25,12.95,"92,500","108,355",-0.2
11/03/2025,13.15,"22,826,400",12.90,13.45,12.80,"880,901","1,086,900",-2.8
10/03/2025,13,"14,937,100",12.70,13.10,12.70,"1,741,600","19,700",22.3
07/03/2025,12.70,"6,632,500",12.80,12.90,12.70,"122,000","79,700",0.5
06/03/2025,12.80,"5,742,400",12.65,12.80,12.55,"12,100","56,400",-0.6
05/03/2025,12.60,"6,780,000",12.90,12.95,12.60,"55,000","23,450",0.4
04/03/2025,12.90,"9,864,100",12.70,12.90,12.65,"803,300","276,100",6.7
03/03/2025,12.70,"6,917,500",12.70,12.80,12.60,"317,800","186,500",1.7
28/02/2025,12.65,"7,557,000",12.85,12.85,12.60,"142,901","472,900",-4.2
27/02/2025,12.85,"11,188,600",12.95,12.95,12.60,323,"559,401",-7.1
26/02/2025,12.90,"7,381,900",13.05,13.15,12.90,111,"221,700",-2.9
25/02/2025,13.05,"9,996,000",12.95,13.10,12.90,"1,015,100","600,000",5.5
24/02/2025,12.90,"5,581,900",13,13,12.80,"6,900","254,380",-3.2
21/02/2025,12.95,"11,986,200",12.85,13.25,12.75,"931,866","789,200",1.9
20/02/2025,12.85,"7,344,600",13.10,13.10,12.80,0,"213,800",-2.8
