Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,26.50,200,26.50,26.50,26.50,0,0,0
20/03/2025,25.60,0,25.60,25.60,25.60,0,0,0
19/03/2025,26.50,"1,200",26.50,26.50,25.40,0,0,0
18/03/2025,24.90,0,24.90,24.90,24.90,0,0,0
17/03/2025,24.90,0,24.90,24.90,24.90,0,0,0
14/03/2025,24.90,0,24.90,24.90,24.90,0,0,0
13/03/2025,24.90,0,24.90,24.90,24.90,0,0,0
12/03/2025,24.90,"2,800",24.90,25,24.90,0,0,0
11/03/2025,25.70,500,25.50,25.70,25.50,0,0,0
10/03/2025,24.90,"2,000",24.90,24.90,24.90,0,0,0
07/03/2025,25,0,25,25,25,0,0,0
06/03/2025,25,"122,800",25.70,25.70,25,0,0,0
05/03/2025,25.60,100,25.60,25.60,25.60,0,0,0
04/03/2025,25.40,0,25.40,25.40,25.40,0,0,0
03/03/2025,25.40,200,25.40,25.40,25.40,0,0,0
28/02/2025,25.30,0,25.30,25.30,25.30,0,0,0
27/02/2025,25.30,200,25.30,25.30,25.30,0,0,0
26/02/2025,25.20,300,25.20,25.20,25.20,0,0,0
25/02/2025,25.20,0,25.20,25.20,25.20,0,0,0
24/02/2025,25.20,0,25.20,25.20,25.20,0,0,0
21/02/2025,25.20,0,25.20,25.20,25.20,0,0,0
20/02/2025,25.20,"5,800",25.30,25.30,25.20,0,0,0
19/02/2025,25,"3,600",25,25.10,25,0,0,0
18/02/2025,25,"2,000",25,25,25,0,0,0
17/02/2025,24.90,0,24.90,24.90,24.90,0,0,0
14/02/2025,24.90,"1,200",24.90,24.90,24.90,0,0,0
13/02/2025,23.40,0,23.40,23.40,23.40,0,0,0
12/02/2025,23.40,100,23.40,23.40,23.40,0,0,0
11/02/2025,24.50,"4,100",24.50,24.50,24.50,0,0,0
10/02/2025,23.40,100,23.40,23.40,23.40,0,0,0
07/02/2025,24.50,"2,300",24.50,24.50,24.30,0,0,0
06/02/2025,24.50,"5,200",24.50,24.50,24.50,0,0,0
05/02/2025,23.80,"1,500",23.30,23.80,23.30,0,0,0
04/02/2025,24.90,"9,900",23.20,24.90,23.20,0,0,0
03/02/2025,24.90,"2,500",24.90,24.90,24.90,0,0,0
24/01/2025,24.80,400,24.80,24.80,24.80,0,0,0
23/01/2025,24.90,200,23.10,24.90,23.10,0,0,0
22/01/2025,24.50,700,24.50,24.50,24.50,0,0,0
21/01/2025,25,300,23.90,25,23.90,0,0,0
20/01/2025,24.60,0,24.60,24.60,24.60,0,0,0
17/01/2025,24.60,0,24.60,24.60,24.60,0,0,0
16/01/2025,24.60,"8,301",24.60,24.60,24.60,0,0,0
15/01/2025,24.80,"6,000",24.80,24.80,24.50,0,0,0
14/01/2025,24.40,400,24.40,24.40,24.40,0,0,0
13/01/2025,24,"25,000",24,24,24,0,0,0
10/01/2025,26.80,0,26.80,26.80,26.80,0,0,0
09/01/2025,26.80,0,26.80,26.80,26.80,0,0,0
08/01/2025,26.80,0,26.80,26.80,26.80,0,0,0
07/01/2025,26.80,0,26.80,26.80,26.80,0,0,0
06/01/2025,26.80,0,26.80,26.80,26.80,0,0,0
03/01/2025,26.80,0,26.80,26.80,26.80,0,0,0
