Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,9.10,"376,800",9,9.10,8.80,0,0,0
20/03/2025,8.90,"365,000",9,9.10,8.80,0,0,0
19/03/2025,9,"375,700",9,9.10,9,0,0,0
18/03/2025,9.10,"498,900",8.90,9.20,8.90,0,0,0
17/03/2025,8.90,"390,200",8.90,9,8.80,0,0,0
14/03/2025,9,"392,000",8.90,9,8.90,0,0,0
13/03/2025,8.90,"377,500",8.90,9,8.80,0,0,0
12/03/2025,8.80,"137,500",8.90,8.90,8.70,0,0,0
11/03/2025,8.90,"442,000",9,9,8.90,0,0,0
10/03/2025,9,"429,200",9.10,9.10,8.90,0,0,0
07/03/2025,9,"335,500",9.10,9.10,8.90,0,0,0
06/03/2025,9.10,"395,700",9,9.10,9,0,0,0
05/03/2025,8.90,"427,000",9,9,8.90,0,0,0
04/03/2025,9.10,"337,100",9.10,9.10,9,0,0,0
03/03/2025,9.10,"355,900",9.10,9.20,9,0,0,0
28/02/2025,9.10,"382,000",9.10,9.20,9,0,0,0
27/02/2025,9,"341,600",9,9.10,9,0,0,0
26/02/2025,9,"387,800",9.10,9.10,9,0,0,0
25/02/2025,9.20,"394,700",9.10,9.30,9,0,0,0
24/02/2025,9.10,"456,300",8.80,9.20,8.80,0,0,0
21/02/2025,8.90,"369,900",8.90,8.90,8.80,0,0,0
20/02/2025,8.90,"416,700",9.10,9.10,8.90,0,0,0
19/02/2025,9,"383,100",9.20,9.20,9,0,0,0
18/02/2025,9.20,"579,100",8.80,9.30,8.70,0,0,0
17/02/2025,8.90,"453,700",9,9,8.70,0,0,0
14/02/2025,9,"400,100",8.90,9,8.90,0,"2,500",-0.0
13/02/2025,9,"425,300",9,9,8.90,0,0,0
12/02/2025,9,"392,600",9.10,9.10,8.90,0,0,0
11/02/2025,9.10,"469,060",9.90,9.90,9,0,0,0
10/02/2025,9.10,"313,008",9.10,9.10,9,0,0,0
07/02/2025,9,"333,311",8.80,9,8.80,0,0,0
06/02/2025,8.90,"292,309",8.90,9.10,8.80,0,0,0
05/02/2025,9,"311,610",9,9,8.80,0,0,0
04/02/2025,9,"438,909",8.80,9.30,8.70,0,0,0
03/02/2025,9,"467,200",8.70,9,8.50,0,0,0
24/01/2025,8.60,"480,461",8.80,8.90,8.60,0,0,0
23/01/2025,8.80,"415,702",8.80,8.80,8.70,0,0,0
22/01/2025,8.90,"465,400",8.80,8.90,8.70,0,0,0
21/01/2025,8.80,"272,804",8.80,9,8.70,0,0,0
20/01/2025,8.90,"462,250",8.80,8.90,8.70,0,0,0
17/01/2025,8.90,"392,111",9,9,8.80,0,"1,500",-0.0
16/01/2025,9,"354,701",8.90,9.10,8.80,0,0,0
15/01/2025,9,"361,302",8.90,9,8.70,0,0,0
14/01/2025,9,"289,478",9,9.20,8.50,0,0,0
13/01/2025,9.10,"392,942",9,9.30,8.80,0,0,0
10/01/2025,9.10,"175,500",9.20,9.30,9,0,0,0
09/01/2025,9.20,"409,159",8.90,9.50,8.90,0,0,0
08/01/2025,9,"187,913",8.80,9.10,8.80,0,0,0
07/01/2025,9.10,"187,650",9.20,9.30,8.80,0,0,0
06/01/2025,9.10,"336,859",9.20,9.40,9,0,0,0
03/01/2025,9.10,"250,809",9.40,9.40,9,0,2,-0.0
02/01/2025,9.60,"297,344",9.70,9.80,9.20,0,0,0
31/12/2024,9.70,"247,587",9.50,9.80,9.50,0,0,0
30/12/2024,9.50,"332,907",9.80,10.10,9.40,0,0,0
27/12/2024,9.80,"747,824",10.50,10.50,9.60,0,0,0
26/12/2024,10.50,"531,490",11.10,11.10,10.20,0,0,0
25/12/2024,11,"499,271",11.30,11.40,10.80,0,0,0
24/12/2024,10.80,"6,297,602",9.50,10.80,9.50,0,0,0
23/12/2024,9.50,"250,582",9.50,9.60,9.20,0,0,0
20/12/2024,9.50,"194,683",9.40,9.90,9.30,0,0,0
19/12/2024,9.40,"136,152",9.60,9.80,9.40,0,0,0
18/12/2024,9.60,"6,861,962",9.10,10.30,9,0,0,0
17/12/2024,9,"73,195",9,9,8.90,0,0,0
16/12/2024,9,"50,500",9.10,9.10,9,0,0,0
13/12/2024,9,"49,700",9.10,9.20,9,0,0,0
12/12/2024,9.10,"84,502",9.10,9.20,9,0,0,0
11/12/2024,9.10,"52,400",9.30,9.30,9,0,0,0
10/12/2024,9.10,"4,251,001",8.80,9.30,8.80,0,0,0
09/12/2024,8.90,"86,911",8.80,9,8.70,0,10,-0.0
06/12/2024,8.80,"117,600",8.60,8.80,8.60,0,0,0
05/12/2024,8.60,"195,100",8.60,8.70,8.60,0,0,0
04/12/2024,8.70,"5,600",8.70,8.70,8.60,0,0,0
03/12/2024,8.70,"48,017",8.80,8.80,8.70,0,0,0
02/12/2024,8.80,"55,122",8.80,8.80,8.80,0,0,0
29/11/2024,8.80,"66,701",8.90,8.90,8.80,0,0,0
28/11/2024,8.80,"80,405",8.90,8.90,8.80,0,0,0
27/11/2024,8.70,"90,400",9,9,8.70,0,0,0
26/11/2024,9,"49,812",9,9.20,9,0,0,0
25/11/2024,8.90,"137,700",8.70,9.50,8.70,0,0,0
22/11/2024,8.70,"125,501",8.60,8.70,8.60,0,0,0
21/11/2024,8.60,"97,700",8.60,8.60,8.60,0,0,0
20/11/2024,8.60,"141,107",8.60,8.60,8.60,0,0,0
19/11/2024,8.60,"73,300",8.60,8.60,8.60,0,0,0
18/11/2024,8.60,"76,201",8.60,8.60,8.60,0,0,0
15/11/2024,8.60,"34,310",8.60,8.60,8.50,0,0,0
14/11/2024,8.60,"29,000",8.60,8.60,8.60,0,0,0
13/11/2024,8.70,"173,101",8.60,8.70,8.60,0,0,0
12/11/2024,8.60,800,8.70,8.70,8.60,0,0,0
11/11/2024,8.70,"2,200",8.60,8.70,8.60,0,0,0
08/11/2024,8.70,"56,385",8.60,8.70,8.60,0,0,0
07/11/2024,8.70,"64,810",8.70,8.70,8.60,0,0,0
06/11/2024,8.70,"74,660",8.70,8.70,8.60,0,0,0
05/11/2024,8.80,400,8.80,8.80,8.80,0,0,0
04/11/2024,8.60,"63,200",8.80,8.80,8.60,0,0,0
01/11/2024,8.60,"65,840",8.80,8.80,8.60,0,0,0
31/10/2024,8.70,"60,222",8.80,8.80,8.70,0,0,0
30/10/2024,8.80,"66,508",8.80,8.80,8.80,0,0,0
29/10/2024,8.80,"51,700",8.80,8.80,8.80,0,0,0
28/10/2024,8.60,80,8.80,8.80,8.80,0,0,0
25/10/2024,8.60,"30,105",8.80,8.80,8.60,0,0,0
24/10/2024,8.70,"55,300",8.70,8.70,8.60,0,0,0
23/10/2024,8.80,"29,003",8.80,8.80,8.80,0,0,0
22/10/2024,8.80,"88,000",8.70,8.80,8.70,0,0,0
21/10/2024,8.80,"78,115",8.80,8.80,8.70,0,0,0
18/10/2024,8.90,"68,300",8.90,8.90,8.80,0,0,0
17/10/2024,8.80,"70,125",8.80,8.80,8.80,0,0,0
16/10/2024,9,"104,100",8.90,9,8.70,0,0,0
15/10/2024,8.90,"88,400",9,9,8.90,0,0,0
14/10/2024,8.90,"110,015",8.90,8.90,8.90,0,0,0
11/10/2024,8.90,"109,620",8.90,8.90,8.70,0,0,0
10/10/2024,8.80,"78,020",8.80,8.90,8.80,0,0,0
09/10/2024,8.80,"83,000",8.70,8.80,8.70,0,0,0
08/10/2024,8.70,"65,463",8.80,8.80,8.70,0,0,0
07/10/2024,8.70,"77,902",8.80,8.80,8.70,0,0,0
04/10/2024,8.70,"81,200",8.70,8.80,8.60,0,0,0
03/10/2024,8.70,"96,408",8.80,8.80,8.70,0,0,0
02/10/2024,8.80,"72,500",8.80,8.80,8.70,0,0,0
01/10/2024,8.80,"78,800",8.70,8.80,8.70,0,0,0
30/09/2024,8.70,"80,208",8.70,8.70,8.70,0,0,0
27/09/2024,8.70,"91,700",8.70,8.80,8.70,0,0,0
26/09/2024,8.70,"10,906",8.80,8.80,8.70,0,0,0
25/09/2024,8.70,"96,714",8.80,8.80,8.70,0,0,0
24/09/2024,8.80,"95,600",8.80,8.80,8.70,0,0,0
23/09/2024,8.80,"88,300",8.80,8.80,8.70,0,0,0
20/09/2024,8.80,"107,100",8.80,8.80,8.70,0,0,0
19/09/2024,8.80,"114,420",8.90,8.90,8.70,0,0,0
18/09/2024,9,"90,700",8.90,9,8.80,0,0,0
17/09/2024,8.90,"99,100",8.80,9,8.80,0,0,0
16/09/2024,8.80,"88,602",8.90,8.90,8.80,0,0,0
13/09/2024,8.90,"120,947",8.80,8.90,8.80,0,0,0
12/09/2024,8.80,"65,000",8.80,8.90,8.70,0,0,0
11/09/2024,8.80,"36,801",8.80,8.80,8.80,0,0,0
10/09/2024,8.60,"99,901",8.90,8.90,8.60,0,0,0
09/09/2024,8.60,"110,201",8.90,8.90,8.60,0,0,0
06/09/2024,8.80,"80,600",8.90,8.90,8.80,0,0,0
05/09/2024,8.90,"114,500",8.90,9,8.80,0,0,0
04/09/2024,9,"190,760",8.90,9,8.80,0,0,0
30/08/2024,8.90,"96,801",8.90,9,8.80,0,0,0
29/08/2024,8.90,"102,930",8.80,8.90,8.80,0,0,0
28/08/2024,8.80,"150,720",8.90,8.90,8.80,0,0,0
27/08/2024,8.90,"63,202",8.90,9,8.80,0,0,0
26/08/2024,8.80,"11,904",8.90,9,8.80,0,0,0
23/08/2024,8.90,"1,201",9,9,8.90,0,0,0
22/08/2024,9,"97,420",9.10,9.10,8.90,0,0,0
21/08/2024,9,"128,951",9,9.10,9,0,0,0
20/08/2024,9.10,"172,122",8.90,9.10,8.80,0,0,0
19/08/2024,8.90,"132,222",8.90,9,8.90,0,0,0
16/08/2024,8.90,"72,758",8.80,8.90,8.80,0,0,0
15/08/2024,9,"66,010",9,9.10,8.90,0,0,0
14/08/2024,8.90,"134,352",9,9,8.90,0,0,0
13/08/2024,8.90,"96,100",9,9.20,8.90,0,0,0
12/08/2024,9.20,"126,450",8.80,9.20,8.80,0,0,0
09/08/2024,8.80,"72,220",8.90,8.90,8.80,0,0,0
08/08/2024,8.90,"52,400",9,9,8.90,0,0,0
07/08/2024,8.80,"119,400",8.90,8.90,8.80,0,0,0
06/08/2024,8.70,"428,132",8.60,9.10,8.40,0,0,0
05/08/2024,8.50,"85,259",8.70,8.70,8.50,0,0,0
02/08/2024,8.80,"58,100",8.80,8.80,8.60,0,0,0
01/08/2024,8.80,"70,500",8.90,8.90,8.80,0,0,0
31/07/2024,8.80,"65,903",8.90,8.90,8.80,0,0,0
30/07/2024,8.90,"86,300",9,9,8.80,0,0,0
29/07/2024,9,"87,900",9,9,8.90,0,0,0
26/07/2024,9,"59,928",9,9,8.90,0,0,0
25/07/2024,8.80,"53,901",9,9.10,8.80,0,0,0
24/07/2024,9,"75,730",9,9,8.90,0,0,0
23/07/2024,9,"75,800",9.10,9.10,9,0,0,0
22/07/2024,9.10,"89,100",9.10,9.20,9,0,0,0
19/07/2024,9.10,"490,600",9.10,9.20,9,0,0,0
18/07/2024,9.20,"533,902",9.30,9.30,9,0,0,0
17/07/2024,9,"58,430",9,9.30,8,0,0,0
16/07/2024,9.10,"38,400",9.20,9.20,9.10,0,0,0
15/07/2024,9.20,"157,400",9.50,9.50,9.10,0,0,0
12/07/2024,9.20,"45,825",9,9.20,9,0,0,0
11/07/2024,9.10,"29,608",9.40,9.40,9.10,0,0,0
10/07/2024,9.20,"29,000",9.20,9.30,9.20,0,0,0
09/07/2024,9.40,"23,350",9.30,9.40,9.20,0,0,0
08/07/2024,9.20,"42,419",9.30,9.40,9.20,0,0,0
05/07/2024,9.30,"4,305",9.20,9.30,9.20,0,0,0
04/07/2024,9.20,"57,600",9.20,9.20,9.20,0,0,0
03/07/2024,9.20,"42,909",9.30,9.40,9.20,0,0,0
02/07/2024,9.20,"31,101",9.30,9.30,9.10,0,0,0
01/07/2024,9.40,178,9.40,9.40,9.40,0,0,0
28/06/2024,9.20,"47,307",9.20,9.40,9,0,0,0
27/06/2024,9.50,"10,500",9.50,9.50,9.50,0,0,0
