Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
12/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
11/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
10/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
07/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
06/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
05/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
04/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
03/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
24/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
23/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
22/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
21/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
20/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
17/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
16/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
15/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
14/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
13/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
10/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
09/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
08/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
07/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
06/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
03/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
02/01/2025,13.80,0,13.80,13.80,13.80,0,0,0
31/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
30/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
27/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
26/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
25/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
24/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
23/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
20/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
19/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
18/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
17/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
16/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
13/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
12/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
11/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
10/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
09/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
06/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
05/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
04/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
03/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
02/12/2024,13.80,0,13.80,13.80,13.80,0,0,0
29/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
28/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
27/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
26/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
25/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
22/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
21/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
20/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
19/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
18/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
14/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
13/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
12/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
11/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
08/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
07/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
06/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
05/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
04/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
01/11/2024,13.80,0,13.80,13.80,13.80,0,0,0
31/10/2024,13.80,0,13.80,13.80,13.80,0,0,0
30/10/2024,13.80,"54,596",13.50,13.80,13.40,0,0,0
29/10/2024,13.70,"10,351",13.70,14.30,13.50,0,0,0
28/10/2024,13.90,"87,981",14.20,14.20,13.30,0,0,0
25/10/2024,14.20,"17,026",14,14.20,14,0,0,0
24/10/2024,13.90,"38,074",13.90,14.20,13.90,0,0,0
23/10/2024,14.10,"60,200",14.10,14.20,14,0,0,0
22/10/2024,14.40,"65,743",14.60,14.60,14.10,0,0,0
21/10/2024,14.70,"91,241",14.70,15.50,14.50,0,100,-0.0
18/10/2024,14.70,"75,352",14.60,15,14.60,0,0,0
17/10/2024,14.80,"49,661",14.80,14.80,14.50,0,0,0
16/10/2024,14.80,"34,064",14.80,14.90,14.50,0,0,0
15/10/2024,14.80,"30,673",15.10,15.10,14.60,0,0,0
14/10/2024,15.30,"145,158",14.50,15.50,14.50,0,0,0
11/10/2024,14.50,"41,137",14.50,14.50,14.20,0,0,0
10/10/2024,14.50,"43,910",14.50,14.60,14.30,0,0,0
09/10/2024,14.60,"51,934",14.50,14.80,14.30,0,0,0
08/10/2024,14.30,"33,194",14.70,14.90,14.20,0,0,0
07/10/2024,14.70,"38,575",14.30,15,14.30,0,0,0
04/10/2024,13.90,"90,431",14.40,15,13.80,0,0,0
03/10/2024,14.30,"144,901",15.80,15.80,13.60,0,0,0
02/10/2024,15.60,"156,681",15.50,16.20,15,0,0,0
01/10/2024,15.40,"216,019",14.10,16.20,14.10,0,0,0
30/09/2024,14.10,"91,080",14.40,14.80,13.80,0,0,0
27/09/2024,14.10,"76,146",14,15.20,13.70,0,0,0
26/09/2024,14.30,"237,868",16.40,16.40,14.10,0,0,0
25/09/2024,15.90,"515,793",16.50,17.10,15.80,0,0,0
