Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,18.05,"12,500",18,18.05,18,0,0,0
20/03/2025,18.15,"28,300",18.05,18.15,17.90,0,0,0
19/03/2025,18.20,"56,800",18.20,18.20,18.10,0,0,0
18/03/2025,18.15,"12,600",18.20,18.40,18,0,0,0
17/03/2025,18.15,"32,600",18.15,18.15,18,0,0,0
14/03/2025,18.15,"108,000",18,18.15,17.95,0,0,0
13/03/2025,18,"21,800",18,18.05,17.95,0,0,0
12/03/2025,18.05,"9,700",18.05,18.10,18,0,0,0
11/03/2025,18.05,"42,600",17.95,18.05,17.95,0,0,0
10/03/2025,18.10,"97,200",18.20,18.40,17.90,0,0,0
07/03/2025,18.20,"76,900",18,18.50,18,0,0,0
06/03/2025,18,"38,100",17.85,18.05,17.80,0,0,0
05/03/2025,17.90,"49,000",17.80,17.90,17.70,0,0,0
04/03/2025,17.85,"22,300",17.85,17.95,17.80,0,0,0
03/03/2025,17.85,"30,400",17.90,17.90,17.80,0,0,0
28/02/2025,17.90,"36,700",17.80,18,17.80,0,0,0
27/02/2025,17.80,"13,000",17.90,17.90,17.75,0,0,0
26/02/2025,17.80,"11,600",17.65,17.80,17.60,0,0,0
25/02/2025,17.80,"29,700",17.65,18.05,17.60,0,0,0
24/02/2025,17.15,"49,900",17.90,18,17.15,0,0,0
21/02/2025,17.90,"28,000",18.35,18.35,17.90,0,0,0
20/02/2025,17.95,"28,300",18,18,17.95,0,0,0
19/02/2025,18.05,"50,900",18.15,18.15,17.95,0,0,0
18/02/2025,18,"27,200",18,18.15,18,0,0,0
17/02/2025,17.95,"38,100",17.80,18.10,17.75,0,0,0
14/02/2025,17.70,"25,200",17.65,17.90,17.65,0,0,0
13/02/2025,17.60,"29,100",17.60,17.70,17.55,0,0,0
12/02/2025,17.60,"43,000",17.90,17.90,17.60,0,0,0
11/02/2025,17.80,"25,000",17.75,17.95,17.65,0,0,0
10/02/2025,17.65,"28,200",17.60,17.95,17.55,0,0,0
07/02/2025,17.75,"6,900",17.95,17.95,17.60,0,0,0
06/02/2025,17.60,"17,800",17.50,17.60,17.50,0,0,0
05/02/2025,17.55,"4,100",17.60,18,17.55,0,0,0
04/02/2025,17.60,"17,200",17.45,17.60,17.40,0,0,0
03/02/2025,17.45,"14,700",17.30,17.45,17.25,0,400,-0.0
24/01/2025,17.30,"55,300",17.45,17.45,17.30,0,0,0
23/01/2025,17.50,"5,500",17.40,17.50,17.35,0,0,0
22/01/2025,17.40,"59,600",17.50,17.50,17.30,0,0,0
21/01/2025,17.40,"38,400",17.50,17.50,17.35,0,0,0
20/01/2025,17.50,"48,500",17.60,17.60,17.30,0,0,0
17/01/2025,17.60,"15,200",17.65,17.85,17.60,0,0,0
16/01/2025,17.65,"3,500",17.65,17.85,17.65,0,0,0
15/01/2025,17.60,"41,400",17.70,17.70,17.40,0,0,0
14/01/2025,17.70,"58,300",17.80,17.80,17.40,0,0,0
13/01/2025,17.80,"24,000",17.80,17.80,17.60,0,0,0
10/01/2025,17.85,"7,700",17.90,17.90,17.60,0,0,0
09/01/2025,17.90,"20,400",17.90,17.90,17.80,0,0,0
08/01/2025,17.90,"8,600",17.90,17.90,17.80,0,0,0
07/01/2025,17.85,"30,100",17.85,18.25,17.70,0,0,0
06/01/2025,17.85,"51,000",18.25,18.25,17.85,0,0,0
03/01/2025,18.30,"41,400",18.20,18.35,18,0,0,0
02/01/2025,18.20,"41,300",18.20,18.50,18.20,0,0,0
31/12/2024,18.20,"54,700",18.25,18.30,18.20,0,0,0
30/12/2024,18.30,"85,000",18.40,18.45,18.30,0,0,0
27/12/2024,18.45,"37,600",18.75,18.75,18.40,0,0,0
26/12/2024,18.75,"19,500",18.80,18.85,18.60,0,0,0
25/12/2024,18.80,"80,800",18.45,18.80,18.45,0,0,0
24/12/2024,18.55,"7,200",18.75,18.90,18.55,0,0,0
23/12/2024,18.75,"19,700",18.30,18.75,18.30,0,0,0
20/12/2024,18.40,"17,000",18.25,18.45,18.25,0,0,0
19/12/2024,18.30,"88,000",18.35,18.35,18.20,0,0,0
18/12/2024,18.45,"67,700",18.45,18.50,18.30,0,0,0
