Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,28.80,"1,998,900",28.40,29.15,28.40,"120,100","9,400",0
20/03/2025,28.45,"668,400",28.30,28.65,28.05,0,"119,360",-3.4
19/03/2025,28.40,"865,400",28.40,28.40,27.95,"4,800","3,400",0.0
18/03/2025,28.40,"1,115,600",28.90,29,28.30,"27,400",410,0.8
17/03/2025,28.90,"2,769,400",27.85,29.40,27.80,"1,251,800","50,500",34.5
14/03/2025,27.85,"2,272,700",28,28.50,27.65,"19,700","473,100",-12.7
13/03/2025,28.40,"1,577,600",28.90,29,28.35,"1,100","15,400",-0.4
12/03/2025,28.90,"1,293,800",29.25,29.60,28.75,"1,000","37,400",-1.1
11/03/2025,29.25,"4,188,100",28.40,29.70,28,"570,600","158,600",11.8
10/03/2025,28.40,"1,263,200",28.35,29,28.25,"6,000","98,400",-2.6
07/03/2025,28.35,"999,800",28.60,28.70,28.30,"6,000","51,800",-1.3
06/03/2025,28.60,"1,774,700",28.30,29,28.20,"14,000","32,500",-0.5
05/03/2025,28.20,"1,781,600",28.40,29,28.20,"87,700","72,000",0.4
04/03/2025,28.40,"1,390,300",27.75,28.60,27.40,"72,400","87,400",-0.4
03/03/2025,27.80,"1,247,700",27.95,28,27.65,800,"185,600",-5.1
28/02/2025,27.85,"1,142,800",28,28.20,27.80,600,"31,600",-0.9
27/02/2025,28,"1,222,000",28,28,27.70,"15,700","3,800",0.3
26/02/2025,28,"1,046,100",29,29,27.90,"2,000","5,400",-0.1
25/02/2025,28.15,"1,337,800",27.90,28.40,27.40,"29,000","77,500",-1.4
24/02/2025,27.90,"1,706,400",28.20,28.30,27.60,936,"35,300",-1.0
21/02/2025,28.20,"1,230,800",28.35,28.80,28.05,"30,800","61,829",-0.9
20/02/2025,28.35,"2,031,100",28.95,29.15,28.20,"16,800","465,300",-12.8
19/02/2025,28.95,"2,699,200",28.60,29.30,28.60,"980,600","105,600",25.3
18/02/2025,28.60,"2,379,900",28.60,29.10,28,"91,200","32,000",1.7
17/02/2025,28.50,"4,352,100",30,30.50,28.50,"205,000","174,100",0.8
14/02/2025,29.15,"5,251,200",27.35,29.15,27.25,"445,400","87,500",9.8
13/02/2025,27.25,"667,700",26.60,27.35,26.60,"750,000","4,700",20.2
12/02/2025,27.35,"456,600",27.55,27.75,27.20,"1,100","1,000",0.0
11/02/2025,27.55,"1,693,300",26.70,27.55,26.70,"178,600","3,000",4.8
10/02/2025,26.65,"1,547,900",27.50,27.55,26.65,"5,300","70,600",-1.8
07/02/2025,27.50,"995,700",27.50,27.90,27.40,"172,800","6,500",4.6
06/02/2025,27.50,"1,135,100",27.40,27.60,27.15,"3,700","44,041",-1.1
05/02/2025,27.45,"1,007,800",27.70,27.75,27.20,"34,540","8,900",0.7
04/02/2025,27.70,"1,263,800",27.65,28.20,27.65,"45,800","95,200",-1.4
03/02/2025,27.65,"1,535,800",26.80,28.70,26.80,"85,500","23,100",1.7
24/01/2025,26.85,"1,734,000",27.10,27.25,26.65,"105,000","1,500",2.8
23/01/2025,27.10,"917,200",27,28,27,"8,700","7,000",0.0
22/01/2025,27,"1,429,000",26.40,27,26.25,"41,800","182,800",-3.8
21/01/2025,26.35,"1,155,900",26.80,27,26,"5,200","1,900",0.1
20/01/2025,26.80,"608,000",27.05,27.50,26.75,600,"12,400",-0.3
17/01/2025,27.05,"996,300",26.45,27.20,26.45,"45,800","10,400",1.0
16/01/2025,26.45,"647,100",26.30,26.45,26,"4,300","1,000",0.1
15/01/2025,26.25,"1,321,400",25.30,26.30,25.30,"5,300","2,505",0.1
14/01/2025,25.25,"1,739,100",26,26.25,25.15,900,"13,000",-0.3
13/01/2025,26,"2,026,100",26.80,26.80,25.50,"11,800","10,017",0.0
10/01/2025,26.80,"1,424,800",27.45,27.50,26.80,"35,600",124,1.0
09/01/2025,27.50,"803,400",27.60,27.85,27.50,"176,900","95,300",2.3
08/01/2025,27.80,"680,100",27.50,27.90,27,"42,900","1,970",1.1
07/01/2025,27.25,"1,981,300",27.90,29.10,27.10,"102,600",700,2.8
06/01/2025,27.20,"2,440,800",26.80,28.45,26.80,"302,700","55,500",6.9
03/01/2025,28.40,"1,807,700",29.20,29.20,28.25,"6,121","93,600",-2.5
02/01/2025,29.20,"2,545,100",28.90,29.70,28.90,"21,500","121,700",-3.0
31/12/2024,28.65,"1,399,700",28.50,28.65,28,0,"43,400",-1.2
30/12/2024,28.50,"1,278,100",30,30,28.50,"5,400","53,100",-1.4
27/12/2024,29,"1,753,000",29.50,29.50,28.40,"130,000","41,800",2.6
26/12/2024,29,"2,531,500",28.65,29.20,28.45,"304,100","258,050",1.3
25/12/2024,28.65,"5,604,900",30,30.15,28.50,"1,000","217,800",-6.3
24/12/2024,29.80,"2,592,400",30.35,30.50,29.60,"7,300","66,750",-1.8
23/12/2024,30.45,"4,290,700",29.30,31.35,29.30,"1,000","305,100",-9.3
20/12/2024,29.30,"6,492,000",27.70,29.30,27.50,"359,900","122,500",6.6
19/12/2024,27.40,"1,941,700",27.35,27.50,27.05,200,"82,000",-2.2
18/12/2024,27.40,"1,771,100",27.10,27.50,26.70,"180,000","91,951",2.4
17/12/2024,27.05,"1,264,800",27.35,27.60,27,0,"89,646",-2.5
16/12/2024,27.35,"2,057,500",26.50,27.45,26.50,"208,200","27,900",4.9
13/12/2024,26.50,"1,307,300",26.80,27,26.45,100,"64,900",-1.7
12/12/2024,26.80,"2,021,500",27.30,27.50,26.65,"93,500","169,268",-2.1
11/12/2024,27.30,"2,241,700",27.90,28,27.15,"349,900","234,300",3.2
10/12/2024,27.70,"2,758,700",27.20,28.15,27.20,"85,200","14,400",2.0
09/12/2024,27.20,"2,253,400",26.20,27.30,26.20,"14,400","189,200",-4.7
06/12/2024,26.20,"2,144,200",26.15,26.50,25.70,"257,600","6,081",6.5
05/12/2024,26.15,"4,744,600",27.45,27.70,26.15,"185,500","149,600",0.9
04/12/2024,27,"2,878,600",27.55,27.65,26.50,"283,900","4,900",7.6
03/12/2024,27.55,"3,093,000",28.05,28.45,27.55,"214,500","154,000",1.7
02/12/2024,28.05,"2,976,500",28.70,28.90,27.80,"316,400","43,000",7.7
29/11/2024,27.90,"2,766,300",27.50,28.20,27.40,"331,200","25,600",8.5
28/11/2024,27.40,"1,405,300",27.90,28.50,27.25,"16,200","43,800",-0.8
27/11/2024,27.35,"1,694,900",27.40,27.80,27.20,"74,900","23,421",1.4
26/11/2024,27.35,"3,890,200",28.10,29.20,27.20,"53,200","63,258",-0.3
25/11/2024,28.10,"3,321,300",27.40,28.60,27.40,"38,500","143,305",-3.0
22/11/2024,27.45,"3,711,200",26.80,28.40,26.70,"183,400","197,484",-0.4
21/11/2024,26.55,"3,980,200",25.60,26.75,25.55,"90,700","47,800",1.1
20/11/2024,25.55,"3,020,200",24.90,25.75,24.80,"590,900","45,400",13.8
19/11/2024,24.75,"3,283,500",25.80,26.80,24.60,"78,200","26,300",1.3
18/11/2024,25.60,"2,078,800",25,26.30,24.30,"42,900","22,100",0.5
15/11/2024,25.60,"2,632,500",25.60,26.10,24.50,"84,800","83,500",0.0
14/11/2024,26.25,"3,981,700",26,27.40,25.45,"39,800","49,500",-0.3
13/11/2024,26,"3,570,000",25.05,26,24.50,"35,800","7,148",0.7
12/11/2024,25.25,"3,268,200",25.85,26.50,25.05,"74,100","5,700",1.7
11/11/2024,25.85,"3,600,200",24.80,26,24.80,"185,200","154,000",0.8
08/11/2024,24.80,"6,071,700",23.20,24.85,23.20,"58,300","52,800",0.1
07/11/2024,23.25,"3,147,800",22.80,23.70,22.70,"3,100","9,400",-0.1
06/11/2024,22.55,"2,089,200",22.90,23.50,22.40,0,0,0
05/11/2024,22.80,"2,143,600",21.60,22.85,21.60,"19,400","3,200",0.4
04/11/2024,21.60,"1,695,900",21.50,22.50,21,"72,900","55,100",0.4
01/11/2024,22.50,"2,025,000",23.35,23.35,22,"20,000","65,900",-1.0
31/10/2024,23.25,"4,046,400",22.35,23.45,22.30,"1,042,700","21,400",23.3
30/10/2024,22.35,"2,851,800",22,22.95,21.90,"4,900","88,200",-1.9
29/10/2024,22,"3,878,800",20.60,22,20.60,"7,100","16,500",-0.2
28/10/2024,20.60,"362,100",20.30,20.70,20.30,800,"11,600",-0.2
