Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8.30,"20,900",8.30,8.30,7.80,0,0,0
20/03/2025,8.30,"41,300",8,8.30,7.80,0,0,0
19/03/2025,8.30,800,8.30,8.50,8.30,0,0,0
18/03/2025,8.30,"44,600",7.90,8.50,7.90,0,0,0
17/03/2025,7.80,"2,400",7.80,7.80,7.80,0,0,0
14/03/2025,7.80,"4,300",7.80,7.80,7.80,0,0,0
13/03/2025,7.80,"7,200",7.80,7.90,7.80,0,0,0
12/03/2025,7.90,400,7.90,7.90,7.70,0,0,0
11/03/2025,7.90,"6,200",7.80,7.90,7.80,0,0,0
10/03/2025,7.80,200,7.80,7.80,7.80,0,0,0
07/03/2025,7.90,"57,100",7.80,8.30,7.80,0,0,0
06/03/2025,7.80,"4,100",7.60,7.80,7.60,0,0,0
05/03/2025,7.80,"5,100",7.60,7.80,7.60,0,0,0
04/03/2025,7.80,"5,900",7.90,7.90,7.60,0,"5,000",-0.0
03/03/2025,7.60,500,7.70,7.70,7.60,0,0,0
28/02/2025,7.80,"10,100",7.80,7.90,7.60,"4,500","4,500",0
27/02/2025,7.80,400,7.80,7.80,7.80,0,0,0
26/02/2025,8,0,8,8,8,80,0,0.0
25/02/2025,8,300,8,8,8,0,0,0
24/02/2025,8,"2,600",7.80,8,7.80,0,0,0
21/02/2025,7.80,"3,900",7.60,7.80,7.60,0,0,0
20/02/2025,7.80,"4,600",7.80,7.80,7.60,0,0,0
19/02/2025,7.80,"2,700",7.70,7.80,7.60,0,0,0
18/02/2025,7.70,"3,600",7.80,7.80,7.60,0,0,0
17/02/2025,7.80,"3,100",7.80,7.80,7.70,0,0,0
14/02/2025,7.90,"7,300",7.80,7.90,7.60,0,0,0
13/02/2025,7.80,"1,300",7.70,7.80,7.70,0,200,-0.0
12/02/2025,7.70,"8,100",7.80,7.80,7.70,0,0,0
11/02/2025,7.90,"18,700",7.60,7.90,7.60,0,"8,300",-0.1
10/02/2025,7.70,"4,800",7.60,7.70,7.60,0,0,0
07/02/2025,7.80,401,7.50,7.80,7.50,0,0,0
06/02/2025,8,"4,707",7.50,8,7.40,0,0,0
05/02/2025,7.70,1,7.70,7.70,7.70,0,0,0
04/02/2025,7.70,300,7.40,7.70,7.40,0,0,0
03/02/2025,7.80,0,7.80,7.80,7.80,0,0,0
24/01/2025,7.80,0,7.80,7.80,7.80,0,0,0
23/01/2025,7.80,0,7.80,7.80,7.80,0,0,0
22/01/2025,7.80,100,7.80,7.80,7.80,0,0,0
21/01/2025,7.70,300,7.80,7.80,7.70,0,200,-0.0
20/01/2025,7.70,"4,400",7.70,7.70,7.60,0,"2,000",-0.0
17/01/2025,7.70,"3,700",7.70,7.70,7.70,0,0,0
16/01/2025,7.70,0,7.70,7.70,7.70,0,0,0
15/01/2025,7.70,0,7.70,7.70,7.70,0,0,0
14/01/2025,7.70,"2,000",7.50,7.70,7.50,0,0,0
13/01/2025,7.70,"2,100",7.40,7.70,7.40,0,0,0
10/01/2025,7.70,"5,100",7.40,7.70,7.40,0,0,0
09/01/2025,7.70,"2,100",7.70,7.80,7.70,0,0,0
08/01/2025,7.70,12,7.70,7.70,7.70,0,0,0
07/01/2025,7.70,"2,211",7.30,7.70,7.30,2,0,0.0
06/01/2025,7.90,0,7.90,7.90,7.90,0,0,0
03/01/2025,7.90,0,7.90,7.90,7.90,0,0,0
02/01/2025,7.90,300,7.40,7.90,7.40,0,0,0
31/12/2024,7.40,0,7.40,7.40,7.40,0,0,0
30/12/2024,7.40,300,7.30,7.40,7.30,0,0,0
27/12/2024,7.40,"1,300",7.30,7.40,7.30,0,0,0
26/12/2024,7.80,152,7.80,7.80,7.80,0,0,0
25/12/2024,7.50,"1,500",7.40,7.50,7.30,0,0,0
24/12/2024,7.50,0,7.50,7.50,7.50,0,0,0
23/12/2024,7.50,"2,100",7.40,7.50,7.40,0,0,0
20/12/2024,7.40,"1,200",7.50,7.50,7.30,0,0,0
19/12/2024,7.40,0,7.40,7.40,7.40,0,0,0
18/12/2024,7.40,0,7.40,7.40,7.40,0,0,0
17/12/2024,7.40,500,7.40,7.40,7.30,0,400,-0.0
16/12/2024,7.60,41,7.60,7.60,7.60,0,0,0
13/12/2024,7.60,"1,226",7.30,7.60,7.30,0,0,0
12/12/2024,7.40,"3,400",7.40,7.40,7.40,0,0,0
11/12/2024,7.40,"4,600",7.40,7.50,7.40,0,0,0
10/12/2024,7.40,"1,000",7.70,7.70,7.40,0,0,0
09/12/2024,7.70,"1,100",7.70,7.70,7.70,0,0,0
06/12/2024,7.50,688,7.50,7.50,7.50,0,0,0
05/12/2024,7.90,500,7.40,7.90,7.40,0,0,0
04/12/2024,7.90,"14,600",8.10,8.10,7.20,0,0,0
03/12/2024,7.90,"1,115",8.50,8.50,7.90,0,0,0
02/12/2024,7.90,"18,600",7.20,7.90,7.20,0,0,0
29/11/2024,7.20,"11,820",6.80,7.20,6.80,0,0,0
28/11/2024,7,"18,000",6.90,7,6.80,0,0,0
27/11/2024,6.90,0,6.90,6.90,6.90,0,0,0
26/11/2024,6.90,400,6.50,6.90,6.50,0,0,0
25/11/2024,6.80,0,6.80,6.80,6.80,0,0,0
22/11/2024,6.80,"2,100",6.50,6.80,6.40,0,0,0
21/11/2024,6.90,0,6.90,6.90,6.90,0,0,0
20/11/2024,6.90,15,6.90,6.90,6.90,0,0,0
19/11/2024,6.90,0,6.90,6.90,6.90,0,0,0
18/11/2024,6.90,300,6.80,6.90,6.80,0,0,0
15/11/2024,6.70,"1,100",6.40,6.70,6.40,0,0,0
14/11/2024,6.70,100,6.70,6.70,6.70,0,0,0
13/11/2024,6.70,"20,002",6.80,6.80,6.70,0,0,0
12/11/2024,6.80,"3,200",6.70,6.80,6.70,0,0,0
11/11/2024,6.70,"17,000",6.70,6.70,6.60,0,0,0
08/11/2024,6.60,"7,600",6.60,6.70,6.40,0,0,0
07/11/2024,6.30,"11,600",6.70,6.70,6.30,0,0,0
06/11/2024,6.70,"2,800",6.80,6.80,6.20,0,0,0
05/11/2024,6.30,"34,100",6.20,6.80,5.70,0,0,0
04/11/2024,6.20,"12,300",6.30,6.30,6.20,0,0,0
01/11/2024,6.70,"32,500",7,7,6.30,0,0,0
31/10/2024,6.80,71,6.80,6.80,6.80,0,0,0
30/10/2024,6.80,"4,000",6.60,6.90,6.60,0,0,0
29/10/2024,6.60,"14,800",6.60,6.60,6.50,0,0,0
28/10/2024,6.40,320,6.40,6.40,6.40,0,0,0
25/10/2024,6.90,100,6.90,6.90,6.90,0,0,0
24/10/2024,6.50,"1,701",6.30,6.50,6.20,0,0,0
23/10/2024,6.50,202,6.70,6.70,6.50,0,0,0
22/10/2024,6.30,800,6.30,6.30,6.30,0,0,0
21/10/2024,6.30,"11,778",6.70,6.70,6.30,0,0,0
18/10/2024,6.90,"2,100",6.80,6.90,6.70,0,0,0
17/10/2024,6.80,200,7.10,7.10,6.80,0,0,0
16/10/2024,7.10,"1,378",6.90,7.10,6.60,0,0,0
15/10/2024,7.20,0,7.20,7.20,7.20,0,0,0
14/10/2024,7.20,0,7.20,7.20,7.20,0,0,0
11/10/2024,7.20,100,7.20,7.20,7.20,0,0,0
10/10/2024,7.30,0,7.30,7.30,7.30,0,0,0
09/10/2024,7.30,0,7.30,7.30,7.30,0,0,0
08/10/2024,7.30,1,7.30,7.30,7.30,0,0,0
07/10/2024,7.30,5,7.30,7.30,7.30,0,0,0
04/10/2024,7.30,0,7.30,7.30,7.30,0,0,0
03/10/2024,7.30,0,7.30,7.30,7.30,0,0,0
02/10/2024,7.30,0,7.30,7.30,7.30,0,0,0
01/10/2024,7.30,300,7,7.30,7,0,0,0
30/09/2024,7.20,300,7,7.20,7,0,0,0
27/09/2024,7,100,7,7,7,0,0,0
26/09/2024,7.30,301,7.30,7.30,7.30,0,0,0
25/09/2024,7.30,0,7.30,7.30,7.30,0,0,0
